	Control
0.2042	12.44
0.2053	12.15
0.2072	11.48
0.2082	11.18
0.2094	10.94
0.2121	10.45
0.2132	10.22
0.2151	9.933
0.2162	9.723
0.2172	9.523
0.2191	9.238
0.2203	9.06
0.2213	8.874
0.2224	8.682
0.2234	8.484
0.2244	8.272
0.2256	8.026
0.2266	7.767
0.2277	7.532
0.2296	7.04
0.2307	6.818
0.2318	6.626
0.2328	6.453
0.2356	5.872
0.2367	5.547
0.2385	5.07
0.2396	4.883
0.2407	4.677
0.2426	4.253
0.2437	3.898
0.2447	3.71
0.2458	3.513
0.2469	3.356
0.2479	3.169
0.249	2.97
0.25	2.848
0.2512	2.713
0.2522	2.532
0.2541	2.045
0.2551	1.67
0.2563	1.605
0.259	1.007
0.2601	0.938
0.2612	1.035
0.2631	1.321
0.2641	1.457
0.2651	1.308
0.2671	1.509
0.2682	1.706
0.2692	1.805
0.2703	1.904
0.2714	2.017
0.2724	2.156
0.2735	2.281
0.2745	2.408
0.2757	2.585
0.2767	2.721
0.2786	2.864
0.2796	2.96
0.2808	3.18
0.2835	3.479
0.2845	3.535
0.2857	3.582
0.2875	3.714
0.2886	3.903
0.2896	4.071
0.2916	4.151
0.2926	4.195
0.2937	4.256
0.2947	4.364
0.2959	4.437
0.2969	4.504
0.298	4.579
0.299	4.699
0.3	4.794
0.3012	4.892
0.3022	4.925
0.3041	5.062
0.3051	5.119
0.3063	5.184
0.309	5.312
0.31	5.357
0.3112	5.369
0.313	5.444
0.3141	5.46
0.3151	5.443
0.3171	5.531
0.3181	5.569
0.3192	5.592
0.3202	5.622
0.3214	5.577
0.3224	5.564
0.3234	5.588
0.3245	5.622
0.3256	5.623
0.3267	5.613
0.3277	5.641
0.3296	5.652
0.3306	5.646
0.3318	5.651
0.3328	5.639
0.3355	5.61
0.3366	5.591
0.3385	5.524
0.3396	5.544
0.3406	5.564
0.3417	5.549
0.3436	5.512
0.3447	5.475
0.3458	5.459
0.3468	5.403
0.3479	5.361
0.3489	5.274
0.35	5.199
0.351	5.139
0.3521	5.12
0.3532	5.107
0.3542	5.094
0.3562	5.024
0.3572	4.944
0.3583	4.824
0.3593	4.775
0.3621	4.683
0.3631	4.617
0.365	4.492
0.3661	4.384
0.3672	4.277
0.3682	4.192
0.3701	4.078
0.3711	4.043
0.3723	3.959
0.3733	3.902
0.3744	3.892
0.3754	3.877
0.3765	3.82
0.3776	3.674
0.3786	3.548
0.3797	3.507
0.3807	3.407
0.3818	3.325
0.3837	3.239
0.3847	3.156
0.3858	3.042
0.3869	2.978
0.3886	2.869
0.3896	2.775
0.3907	2.669
0.3926	2.683
0.3937	2.583
0.3947	2.458
0.3957	2.286
0.3977	2.018
0.3987	1.907
0.3998	1.828
0.4008	1.804
0.402	1.707
0.403	1.546
0.404	1.506
0.4051	1.458
0.4061	1.435
0.4072	1.366
0.4083	1.284
0.4093	1.326
0.4112	1.334
0.4123	1.202
0.4134	1.141
0.4144	0.951
0.4172	0.909
0.4182	0.876
0.4193	0.78
0.4211	0.779
0.4223	0.465
0.4233	0.194
0.4252	0.604
0.4262	0.907
0.4274	1.117
0.4284	1.179
0.4294	1.063
0.4305	0.741
0.4315	0.793
0.4326	0.868
0.4337	0.651
0.4347	0.689
0.4357	1.112
0.4369	1.042
0.4379	1.041
0.4398	1.209
0.4408	1.176
0.442	1.259
0.443	1.277
0.4457	1.295
0.4467	1.474
0.4479	1.613
0.4497	1.843
0.4508	1.855
0.4518	1.754
0.4529	1.731
0.4548	1.811
0.4558	1.837
0.457	2.002
0.458	2.102
0.459	2.168
0.4601	2.183
0.4611	2.23
0.4622	2.283
0.4633	2.325
0.4643	2.224
0.4654	2.26
0.4664	2.224
0.4675	2.222
0.4694	2.314
0.4704	2.277
0.4715	2.342
0.4726	2.41
0.4753	2.529
0.4763	2.598
0.4774	2.613
0.4793	2.595
0.4804	2.538
0.4814	2.53
0.4824	2.573
0.4844	2.579
0.4854	2.59
0.4865	2.678
0.4875	2.783
0.4886	2.845
0.4897	2.789
0.4907	2.841
0.4917	2.866
0.4929	2.836
0.4939	2.797
0.4949	2.808
0.496	2.797
0.497	2.826
0.4981	2.784
0.5	2.811
0.501	2.878
0.5021	2.975
0.5032	2.927
0.5059	2.93
0.5069	2.828
0.5081	2.748
0.5099	2.839
0.5109	2.867
0.512	2.871
0.5131	2.926
0.515	3.002
0.516	2.963
0.517	2.879
0.5182	2.788
0.5192	2.795
0.5202	2.893
0.5213	2.955
0.5223	2.858
0.5234	2.824
0.5245	2.792
0.5255	2.79
0.5265	2.805
0.5276	2.818
0.5287	2.843
0.5297	2.833
0.5316	2.705
0.5326	2.728
0.5338	2.767
0.5348	2.775
0.5375	2.656
0.5386	2.572
0.5396	2.433
0.5415	2.492
0.5425	2.543
0.5437	2.516
0.5447	2.47
0.5457	2.458
0.5476	2.484
0.5487	2.425
0.5498	2.319
0.5508	2.305
0.5518	2.363
0.553	2.383
0.554	2.325
0.555	2.286
0.5561	2.281
0.5571	2.282
0.5582	2.287
0.5592	2.322
0.5603	2.323
0.5613	2.226
0.5623	2.147
0.5643	2.1
0.5653	2.086
0.5664	2.06
0.5674	2.159
0.5685	2.143
0.5702	1.958
0.5712	1.964
0.5722	2.029
0.5734	2.001
0.5752	1.884
0.5763	1.968
0.5773	1.97
0.5784	1.922
0.5803	1.815
0.5813	1.738
0.5823	1.699
0.5835	1.737
0.5845	1.766
0.5855	1.854
0.5866	1.729
0.5876	1.691
0.5887	1.632
0.5897	1.553
0.5908	1.601
0.5918	1.609
0.5928	1.583
0.594	1.535
0.595	1.52
0.596	1.53
0.5979	1.438
0.599	1.131
0.6	1.111
0.6011	1.16
0.6021	1.14
0.6049	0.723
0.6059	1.165
0.6069	1.216
0.608	1.125
0.6099	0.894
0.611	0.838
0.612	1.052
0.613	1.157
0.6141	1.213
0.616	1.04
0.617	0.966
0.6181	1.113
0.6192	0.734
0.6202	0.889
0.6212	0.494
0.6223	0.907
0.6233	0.828
0.6244	0.598
0.6255	0.41
0.6265	0.424
0.6275	0.628
0.6286	0.33
0.6297	0.405
0.6307	0.155
0.6317	-0.047
0.6337	-0.578
0.6347	0.331
0.6357	0.286
0.6368	0.423
