# x	 y	 dy	 fy
1.003700000000000009e-01 1.209609480515740021e+00 5.000000000000000278e-02 1.240685699002208375e+00
1.010999999999999954e-01 1.206665344300569931e+00 5.000000000000000278e-02 1.252128162998777272e+00
1.018199999999999938e-01 1.230862620910269989e+00 5.000000000000000278e-02 1.263387954258486046e+00
1.025500000000000023e-01 1.270276484695100017e+00 5.000000000000000278e-02 1.274713990019546994e+00
1.032799999999999968e-01 1.278296348479929900e+00 5.000000000000000278e-02 1.285995685241691167e+00
1.039999999999999952e-01 1.271709625089620044e+00 5.000000000000000278e-02 1.297057372759310878e+00
1.047300000000000036e-01 1.303353488874450017e+00 5.000000000000000278e-02 1.308193842508288851e+00
1.054599999999999982e-01 1.323303352659279897e+00 5.000000000000000278e-02 1.319290657035232517e+00
1.061900000000000066e-01 1.329536216444120011e+00 5.000000000000000278e-02 1.330268313756695964e+00
1.069100000000000050e-01 1.362999493053810074e+00 5.000000000000000278e-02 1.341060654331417634e+00
1.076399999999999996e-01 1.396600356838640034e+00 5.000000000000000278e-02 1.351897353962396631e+00
1.083699999999999941e-01 1.396189220623470062e+00 5.000000000000000278e-02 1.362665106289896233e+00
1.090900000000000064e-01 1.391531497233170045e+00 5.000000000000000278e-02 1.373213841417803449e+00
1.098200000000000010e-01 1.379973361018000055e+00 5.000000000000000278e-02 1.383797037854890943e+00
1.105499999999999955e-01 1.402358224802829900e+00 5.000000000000000278e-02 1.394338513615791975e+00
1.112699999999999939e-01 1.421175501412520026e+00 5.000000000000000278e-02 1.404586147124887940e+00
1.120000000000000023e-01 1.435059365197359993e+00 5.000000000000000278e-02 1.414927708711431809e+00
1.127299999999999969e-01 1.445100228982189927e+00 5.000000000000000278e-02 1.425154022809173027e+00
1.134600000000000053e-01 1.466410092767020057e+00 5.000000000000000278e-02 1.435282207807671462e+00
1.141800000000000037e-01 1.465160369376709903e+00 5.000000000000000278e-02 1.445199919820910228e+00
1.149099999999999983e-01 1.468599233161540063e+00 5.000000000000000278e-02 1.455106028650760663e+00
