# x	 y	 dy	 fy
1.003700000000000009e-01 1.209609480515740021e+00 5.000000000000000278e-02 1.221897651133028839e+00
1.010999999999999954e-01 1.206665344300569931e+00 5.000000000000000278e-02 1.234023989995737924e+00
1.018199999999999938e-01 1.230862620910269989e+00 5.000000000000000278e-02 1.245955106658165779e+00
1.025500000000000023e-01 1.270276484695100017e+00 5.000000000000000278e-02 1.257951030637025847e+00
1.032799999999999968e-01 1.278296348479929900e+00 5.000000000000000278e-02 1.269897411257632225e+00
1.039999999999999952e-01 1.271709625089620044e+00 5.000000000000000278e-02 1.281607154832179463e+00
1.047300000000000036e-01 1.303353488874450017e+00 5.000000000000000278e-02 1.293391764293776003e+00
1.054599999999999982e-01 1.323303352659279897e+00 5.000000000000000278e-02 1.305132336501569013e+00
1.061900000000000066e-01 1.329536216444120011e+00 5.000000000000000278e-02 1.316740698376656526e+00
1.069100000000000050e-01 1.362999493053810074e+00 5.000000000000000278e-02 1.328151376523618810e+00
1.076399999999999996e-01 1.396600356838640034e+00 5.000000000000000278e-02 1.339603897247124475e+00
1.083699999999999941e-01 1.396189220623470062e+00 5.000000000000000278e-02 1.350980271771563324e+00
1.090900000000000064e-01 1.391531497233170045e+00 5.000000000000000278e-02 1.362121988237855907e+00
1.098200000000000010e-01 1.379973361018000055e+00 5.000000000000000278e-02 1.373295029115367827e+00
1.105499999999999955e-01 1.402358224802829900e+00 5.000000000000000278e-02 1.384422153478188422e+00
1.112699999999999939e-01 1.421175501412520026e+00 5.000000000000000278e-02 1.395232792296792201e+00
1.120000000000000023e-01 1.435059365197359993e+00 5.000000000000000278e-02 1.406140426935160725e+00
1.127299999999999969e-01 1.445100228982189927e+00 5.000000000000000278e-02 1.416921813109664585e+00
1.134600000000000053e-01 1.466410092767020057e+00 5.000000000000000278e-02 1.427595726983733382e+00
1.141800000000000037e-01 1.465160369376709903e+00 5.000000000000000278e-02 1.438045028428806882e+00
1.149099999999999983e-01 1.468599233161540063e+00 5.000000000000000278e-02 1.448476223059704138e+00
1.156400000000000067e-01 1.471917096946369963e+00 5.000000000000000278e-02 1.458852400000688165e+00
1.163600000000000051e-01 1.493483373556069971e+00 5.000000000000000278e-02 1.468911039218056880e+00
1.170899999999999996e-01 1.517542237340899991e+00 5.000000000000000278e-02 1.479029341140059683e+00
1.178199999999999942e-01 1.521151101125729932e+00 5.000000000000000278e-02 1.489018807068743122e+00
1.185400000000000065e-01 1.534811377735429971e+00 5.000000000000000278e-02 1.498731498291168363e+00
1.192700000000000010e-01 1.534866241520260077e+00 5.000000000000000278e-02 1.508505044151596142e+00
1.199999999999999956e-01 1.526032105305090036e+00 5.000000000000000278e-02 1.518072108612519067e+00
1.207300000000000040e-01 1.550507969089919946e+00 5.000000000000000278e-02 1.527575711314443474e+00
1.214500000000000024e-01 1.579966245699609972e+00 5.000000000000000278e-02 1.536769161223306313e+00
1.221799999999999969e-01 1.571573109484440067e+00 5.000000000000000278e-02 1.545979257647762006e+00
1.229100000000000054e-01 1.576503973269270054e+00 5.000000000000000278e-02 1.555064196675192800e+00
1.236300000000000038e-01 1.586790249878970105e+00 5.000000000000000278e-02 1.563846331244691745e+00
1.243599999999999983e-01 1.596111113663799985e+00 5.000000000000000278e-02 1.572685231764659131e+00
1.250900000000000067e-01 1.609688977448630043e+00 5.000000000000000278e-02 1.581278548661955830e+00
