# x	 y	 dy	 fy
1.003700000000000009e-01 1.209609480515740021e+00 5.000000000000000278e-02 1.280779364888438909e+00
1.010999999999999954e-01 1.206665344300569931e+00 5.000000000000000278e-02 1.292047359121918149e+00
1.018199999999999938e-01 1.230862620910269989e+00 5.000000000000000278e-02 1.303123382874117997e+00
1.025500000000000023e-01 1.270276484695100017e+00 5.000000000000000278e-02 1.314210304096707693e+00
1.032799999999999968e-01 1.278296348479929900e+00 5.000000000000000278e-02 1.325246573679788264e+00
1.039999999999999952e-01 1.271709625089620044e+00 5.000000000000000278e-02 1.336026932165367276e+00
1.047300000000000036e-01 1.303353488874450017e+00 5.000000000000000278e-02 1.346860669405936406e+00
1.054599999999999982e-01 1.323303352659279897e+00 5.000000000000000278e-02 1.357626852859361799e+00
1.061900000000000066e-01 1.329536216444120011e+00 5.000000000000000278e-02 1.368244993877336224e+00
1.069100000000000050e-01 1.362999493053810074e+00 5.000000000000000278e-02 1.378671833777701972e+00
1.076399999999999996e-01 1.396600356838640034e+00 5.000000000000000278e-02 1.389089425582403559e+00
1.083699999999999941e-01 1.396189220623470062e+00 5.000000000000000278e-02 1.399431405737094014e+00
1.090900000000000064e-01 1.391531497233170045e+00 5.000000000000000278e-02 1.409524345369260523e+00
1.098200000000000010e-01 1.379973361018000055e+00 5.000000000000000278e-02 1.419628514221846549e+00
1.105499999999999955e-01 1.402358224802829900e+00 5.000000000000000278e-02 1.429670528181291145e+00
1.112699999999999939e-01 1.421175501412520026e+00 5.000000000000000278e-02 1.439389288556317759e+00
1.120000000000000023e-01 1.435059365197359993e+00 5.000000000000000278e-02 1.449189163175657491e+00
1.127299999999999969e-01 1.445100228982189927e+00 5.000000000000000278e-02 1.458829545969905217e+00
1.134600000000000053e-01 1.466410092767020057e+00 5.000000000000000278e-02 1.468365463073511012e+00
1.141800000000000037e-01 1.465160369376709903e+00 5.000000000000000278e-02 1.477666389452596318e+00
1.149099999999999983e-01 1.468599233161540063e+00 5.000000000000000278e-02 1.486931658215570717e+00
1.156400000000000067e-01 1.471917096946369963e+00 5.000000000000000278e-02 1.496136397373892590e+00
1.163600000000000051e-01 1.493483373556069971e+00 5.000000000000000278e-02 1.505004509057319861e+00
1.170899999999999996e-01 1.517542237340899991e+00 5.000000000000000278e-02 1.513926131831228039e+00
1.178199999999999942e-01 1.521151101125729932e+00 5.000000000000000278e-02 1.522689133605725553e+00
1.185400000000000065e-01 1.534811377735429971e+00 5.000000000000000278e-02 1.531198708074372750e+00
1.192700000000000010e-01 1.534866241520260077e+00 5.000000000000000278e-02 1.539727708121298777e+00
1.199999999999999956e-01 1.526032105305090036e+00 5.000000000000000278e-02 1.548053399132292896e+00
1.207300000000000040e-01 1.550507969089919946e+00 5.000000000000000278e-02 1.556311656875011717e+00
1.214500000000000024e-01 1.579966245699609972e+00 5.000000000000000278e-02 1.564245864868885727e+00
1.221799999999999969e-01 1.571573109484440067e+00 5.000000000000000278e-02 1.572192139033315783e+00
1.229100000000000054e-01 1.576503973269270054e+00 5.000000000000000278e-02 1.579986249157439682e+00
1.236300000000000038e-01 1.586790249878970105e+00 5.000000000000000278e-02 1.587505792157316353e+00
1.243599999999999983e-01 1.596111113663799985e+00 5.000000000000000278e-02 1.595044478848784753e+00
1.250900000000000067e-01 1.609688977448630043e+00 5.000000000000000278e-02 1.602339560136722074e+00
1.258100000000000052e-01 1.622209254058329941e+00 5.000000000000000278e-02 1.609465000684917602e+00
1.265400000000000136e-01 1.622798117843160082e+00 5.000000000000000278e-02 1.616478084430489348e+00
1.272699999999999942e-01 1.635512981627990081e+00 5.000000000000000278e-02 1.623361910955507081e+00
1.280000000000000027e-01 1.619593845412820032e+00 5.000000000000000278e-02 1.630105136450470837e+00
1.287200000000000011e-01 1.626807122022509988e+00 5.000000000000000278e-02 1.636551914607851765e+00
1.294500000000000095e-01 1.649096985807350091e+00 5.000000000000000278e-02 1.643014542166614467e+00
1.301799999999999902e-01 1.668357849592180031e+00 5.000000000000000278e-02 1.649204760472671394e+00
1.308999999999999886e-01 1.658440126201869980e+00 5.000000000000000278e-02 1.655228922835409566e+00
1.316299999999999970e-01 1.661797989986699919e+00 5.000000000000000278e-02 1.661136328760439262e+00
1.323600000000000054e-01 1.668861853771530068e+00 5.000000000000000278e-02 1.666881439605499615e+00
1.330800000000000038e-01 1.664556130381229959e+00 5.000000000000000278e-02 1.672425060773817584e+00
1.338100000000000123e-01 1.690157994166060051e+00 5.000000000000000278e-02 1.677804256350447165e+00
1.345399999999999929e-01 1.703342857950890021e+00 5.000000000000000278e-02 1.683102101745779677e+00
1.352599999999999913e-01 1.703184134560590035e+00 5.000000000000000278e-02 1.688068918673196306e+00
1.359899999999999998e-01 1.716124998345420094e+00 5.000000000000000278e-02 1.692993317639360562e+00
1.367200000000000082e-01 1.722723862130250083e+00 5.000000000000000278e-02 1.697731446462221960e+00
1.374499999999999889e-01 1.720912725915080044e+00 5.000000000000000278e-02 1.702273113554394035e+00
1.381699999999999873e-01 1.724352002524770056e+00 5.000000000000000278e-02 1.706649516887358109e+00
1.388999999999999957e-01 1.733304866309600012e+00 5.000000000000000278e-02 1.710807693163321597e+00
1.396300000000000041e-01 1.737887730094429983e+00 5.000000000000000278e-02 1.714880602132795584e+00
1.403500000000000025e-01 1.760280006704129985e+00 5.000000000000000278e-02 1.718654405998554902e+00
1.410800000000000110e-01 1.764841870488959907e+00 5.000000000000000278e-02 1.722337820138213571e+00
1.418099999999999916e-01 1.775459734273789891e+00 5.000000000000000278e-02 1.725854378208272033e+00
1.425299999999999900e-01 1.785883010883489996e+00 5.000000000000000278e-02 1.729096096018824635e+00
1.432599999999999985e-01 1.783717874668319991e+00 5.000000000000000278e-02 1.732299003542953519e+00
1.439900000000000069e-01 1.803186738453149918e+00 5.000000000000000278e-02 1.735188819136040506e+00
1.447100000000000053e-01 1.827542015062840086e+00 5.000000000000000278e-02 1.737953694065617949e+00
1.454400000000000137e-01 1.825972878847669900e+00 5.000000000000000278e-02 1.740526801401742540e+00
1.461699999999999944e-01 1.828192742632499979e+00 5.000000000000000278e-02 1.742925244617432590e+00
1.468899999999999928e-01 1.820320019242199994e+00 5.000000000000000278e-02 1.745148787756448661e+00
1.476200000000000012e-01 1.775498883027029962e+00 5.000000000000000278e-02 1.747142686439526527e+00
1.483500000000000096e-01 1.774957746811860027e+00 5.000000000000000278e-02 1.749047164135444143e+00
1.490700000000000081e-01 1.788054023421560057e+00 5.000000000000000278e-02 1.750636984146329178e+00
1.497999999999999887e-01 1.802790887206390025e+00 5.000000000000000278e-02 1.752133595192813642e+00
1.505299999999999971e-01 1.803348750991220051e+00 5.000000000000000278e-02 1.753422033748039954e+00
1.512499999999999956e-01 1.820423027600909904e+00 5.000000000000000278e-02 1.754491100800190884e+00
1.519800000000000040e-01 1.829224891385750063e+00 5.000000000000000278e-02 1.755454865210229753e+00
1.527100000000000124e-01 1.820770755170580069e+00 5.000000000000000278e-02 1.756125542195028366e+00
1.534300000000000108e-01 1.811387031780270052e+00 5.000000000000000278e-02 1.756701071729845687e+00
1.541599999999999915e-01 1.817724895565099974e+00 5.000000000000000278e-02 1.757012618257688619e+00
1.548899999999999999e-01 1.815589759349929944e+00 5.000000000000000278e-02 1.757179120024770613e+00
1.556099999999999983e-01 1.819877035959629907e+00 5.000000000000000278e-02 1.757163720006891694e+00
1.563400000000000067e-01 1.822105899744459911e+00 5.000000000000000278e-02 1.756916087326559239e+00
1.570699999999999874e-01 1.812321763529290086e+00 5.000000000000000278e-02 1.756572867483431777e+00
1.577900000000000136e-01 1.797749040138989951e+00 5.000000000000000278e-02 1.755915306743397686e+00
1.585199999999999942e-01 1.810223903923819933e+00 5.000000000000000278e-02 1.755161693461109396e+00
1.592500000000000027e-01 1.814601767708649893e+00 5.000000000000000278e-02 1.754162690537472313e+00
1.599700000000000011e-01 1.836838044318340080e+00 5.000000000000000278e-02 1.753008044606305660e+00
1.607000000000000095e-01 1.844881908103169987e+00 5.000000000000000278e-02 1.751681246258335101e+00
1.614299999999999902e-01 1.863990771887999998e+00 5.000000000000000278e-02 1.750094055501540957e+00
1.621499999999999886e-01 1.862613048497699930e+00 5.000000000000000278e-02 1.748442813955617403e+00
1.628799999999999970e-01 1.838150912282529914e+00 5.000000000000000278e-02 1.746461567219997457e+00
1.636100000000000054e-01 1.827029776067359945e+00 5.000000000000000278e-02 1.744369841971848745e+00
1.643300000000000038e-01 1.801632052677059947e+00 5.000000000000000278e-02 1.742093930112058597e+00
1.650600000000000123e-01 1.803374916461889965e+00 5.000000000000000278e-02 1.739590038938514160e+00
1.657899999999999929e-01 1.788464780246719954e+00 5.000000000000000278e-02 1.736957125467381458e+00
1.665099999999999913e-01 1.794355056856409947e+00 5.000000000000000278e-02 1.734078648924844757e+00
1.672399999999999998e-01 1.796097920641239964e+00 5.000000000000000278e-02 1.731073940162212610e+00
1.679700000000000082e-01 1.799234784426070100e+00 5.000000000000000278e-02 1.727793638304857993e+00
1.686900000000000066e-01 1.795677061035769961e+00 5.000000000000000278e-02 1.724425817342654987e+00
1.694199999999999873e-01 1.790957924820600011e+00 5.000000000000000278e-02 1.720823888391015855e+00
1.701499999999999957e-01 1.808274788605430006e+00 5.000000000000000278e-02 1.717001025990142704e+00
1.708699999999999941e-01 1.811849065215130006e+00 5.000000000000000278e-02 1.713132817255085039e+00
1.716000000000000025e-01 1.827784928999959924e+00 5.000000000000000278e-02 1.708906909597589063e+00
1.723300000000000110e-01 1.793897792784789891e+00 5.000000000000000278e-02 1.704592821334196318e+00
1.730500000000000094e-01 1.755441069394479969e+00 5.000000000000000278e-02 1.700098883335614763e+00
1.737799999999999900e-01 1.751361933179309993e+00 5.000000000000000278e-02 1.695385894168077723e+00
1.745099999999999985e-01 1.736386796964140000e+00 5.000000000000000278e-02 1.690515482791120627e+00
1.752299999999999969e-01 1.747150073573839890e+00 5.000000000000000278e-02 1.685473750742211285e+00
1.759600000000000053e-01 1.762096937358669901e+00 5.000000000000000278e-02 1.680278567765274733e+00
1.766900000000000137e-01 1.761947801143499914e+00 5.000000000000000278e-02 1.674787226032629084e+00
1.774100000000000121e-01 1.776145077753199963e+00 5.000000000000000278e-02 1.669276977441895404e+00
1.781399999999999928e-01 1.772913653251489974e+00 5.000000000000000278e-02 1.663479108992204303e+00
1.788700000000000012e-01 1.761440880958569988e+00 5.000000000000000278e-02 1.657503388603979610e+00
1.795899999999999996e-01 1.753569941162800072e+00 5.000000000000000278e-02 1.651485429019047935e+00
1.803200000000000081e-01 1.732917168869869906e+00 5.000000000000000278e-02 1.645128166329983932e+00
1.810499999999999887e-01 1.710860396576940001e+00 5.000000000000000278e-02 1.638687559115146852e+00
1.817699999999999871e-01 1.701641456781179951e+00 5.000000000000000278e-02 1.632079671482040695e+00
1.824999999999999956e-01 1.705326684488249978e+00 5.000000000000000278e-02 1.625264122028983627e+00
1.832199999999999940e-01 1.704383744692490099e+00 5.000000000000000278e-02 1.618366143766361009e+00
1.839500000000000024e-01 1.720302972399559982e+00 5.000000000000000278e-02 1.611180879694869894e+00
1.846800000000000108e-01 1.704417200106630004e+00 5.000000000000000278e-02 1.603896484966098823e+00
1.854000000000000092e-01 1.680625260310860014e+00 5.000000000000000278e-02 1.596446805092525123e+00
1.861299999999999899e-01 1.686938488017940108e+00 5.000000000000000278e-02 1.588818175073514194e+00
1.868599999999999983e-01 1.698418715725009909e+00 5.000000000000000278e-02 1.580963710509762254e+00
1.875799999999999967e-01 1.663680775929240019e+00 5.000000000000000278e-02 1.573086413189278776e+00
1.883100000000000052e-01 1.654097003636310070e+00 5.000000000000000278e-02 1.564952796639682786e+00
1.890400000000000136e-01 1.642485231343389973e+00 5.000000000000000278e-02 1.556614059833112629e+00
1.897600000000000120e-01 1.671432291547620075e+00 5.000000000000000278e-02 1.548317705325781279e+00
1.904899999999999927e-01 1.674350519254689917e+00 5.000000000000000278e-02 1.539638295388303657e+00
1.912200000000000011e-01 1.649214746961759959e+00 5.000000000000000278e-02 1.530881837787137822e+00
1.919399999999999995e-01 1.621524807166000004e+00 5.000000000000000278e-02 1.522058619918113642e+00
1.926700000000000079e-01 1.600196034873069939e+00 5.000000000000000278e-02 1.512967779383420197e+00
1.933900000000000063e-01 1.601044095077309937e+00 5.000000000000000278e-02 1.503886345204605401e+00
1.941199999999999870e-01 1.627180322784379962e+00 5.000000000000000278e-02 1.494468193820464696e+00
1.948499999999999954e-01 1.612128550491449985e+00 5.000000000000000278e-02 1.484978885568166040e+00
1.955699999999999938e-01 1.593827610695679908e+00 5.000000000000000278e-02 1.475395016493078471e+00
1.963000000000000023e-01 1.560556838402759938e+00 5.000000000000000278e-02 1.465588376766036705e+00
1.970300000000000107e-01 1.558230066109830059e+00 5.000000000000000278e-02 1.455624050563427030e+00
1.977500000000000091e-01 1.564715126314059956e+00 5.000000000000000278e-02 1.445644226971006807e+00
1.984799999999999898e-01 1.569559354021129893e+00 5.000000000000000278e-02 1.435437628118031439e+00
1.991999999999999882e-01 1.544965414225369926e+00 5.000000000000000278e-02 1.425159315046880426e+00
1.999299999999999966e-01 1.526032641932439926e+00 5.000000000000000278e-02 1.414676049652677570e+00
2.006600000000000050e-01 1.472679869639510031e+00 5.000000000000000278e-02 1.404000617789295413e+00
2.013800000000000034e-01 1.459355929843749955e+00 5.000000000000000278e-02 1.393372811590441129e+00
2.021100000000000119e-01 1.450102157550819948e+00 5.000000000000000278e-02 1.382471053619611867e+00
2.028300000000000103e-01 1.480882217755050023e+00 5.000000000000000278e-02 1.371563956029618447e+00
2.035599999999999909e-01 1.489640445462129925e+00 5.000000000000000278e-02 1.360441415517043007e+00
2.042899999999999994e-01 1.493656673169200033e+00 5.000000000000000278e-02 1.349108224374625964e+00
2.050099999999999978e-01 1.489243733373430079e+00 5.000000000000000278e-02 1.337874764254115334e+00
2.057400000000000062e-01 1.455272961080499972e+00 5.000000000000000278e-02 1.326327716442850857e+00
2.064699999999999869e-01 1.422384188787580106e+00 5.000000000000000278e-02 1.314674301934079192e+00
2.071900000000000130e-01 1.408713248991809941e+00 5.000000000000000278e-02 1.303084699907834043e+00
2.079199999999999937e-01 1.348510476698880023e+00 5.000000000000000278e-02 1.291178542338246915e+00
