#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000  -0.48493355   0.00000000
  0.00000000  -0.48493355   0.00000000
  0.00000000   0.28770836   0.00000000
 10.00000000   0.28770836   0.00000000
 10.00000000  -0.23466751   0.00000000
 41.53904402  -0.23466751   0.00000000
 41.53904402  -0.08522477   0.00000000
 51.53904402  -0.08522477   0.00000000
 51.53904402  -0.48493355   0.00000000
 62.13835503  -0.48493355   0.00000000
 62.13835503   2.23253304   0.00000000
191.51741592   2.23253304   0.00000000
191.51741592   3.11598578   0.00000000
208.34224740   3.11598578   0.00000000
208.34224740   2.06900000   0.00000000
218.34224740   2.06900000   0.00000000
