# Q dQ R dR fit
0.008 0.000101125 0.324794 0.0116188 0.323235
0.0085 0.000107445 0.300295 0.00974903 0.303418
0.009 0.000113765 0.283474 0.00948072 0.281059
0.0095 0.000120086 0.255694 0.00774186 0.260061
0.01 0.000126406 0.235626 0.00724399 0.240371
0.0105 0.000132726 0.219746 0.00628915 0.221934
0.011 0.000139046 0.203906 0.00604406 0.204696
0.0115 0.000145367 0.194469 0.00534184 0.188599
0.012 0.000151687 0.171324 0.00484178 0.173589
0.0125 0.000158007 0.161429 0.00428687 0.159609
0.013 0.000164327 0.14464 0.00393224 0.146606
0.0135 0.000170647 0.134927 0.00349304 0.134524
0.014 0.000176968 0.127085 0.00335922 0.123311
0.0145 0.000183288 0.113981 0.00287627 0.112917
0.015 0.000189608 0.109133 0.00282897 0.103292
0.0155 0.000195928 0.0960736 0.0023829 0.0943891
0.016 0.000202248 0.090275 0.00230133 0.0861624
0.0165 0.000208569 0.0832755 0.00204184 0.0785687
0.017 0.000214889 0.0755392 0.00189248 0.0715665
0.0175 0.000221209 0.06853 0.00166363 0.0651164
0.018 0.000227529 0.0629595 0.00157065 0.059181
0.0185 0.000233849 0.0572329 0.00138094 0.053725
0.019 0.000240169 0.0526538 0.0013008 0.0487149
0.0195 0.000246489 0.0470738 0.00113128 0.0441192
0.02 0.00025281 0.0429669 0.0010533 0.0399082
0.0205 0.00025913 0.0400811 0.00096133 0.036054
0.021 0.00026545 0.0368355 0.000903832 0.0325302
0.0215 0.00027177 0.0341139 0.000867286 0.0293125
0.022 0.00027809 0.0303886 0.000786641 0.0263774
0.0225 0.00028441 0.0268492 0.000688639 0.0237035
0.023 0.00029073 0.0253536 0.000658808 0.0212707
0.0235 0.00029705 0.0231277 0.000594716 0.01906
0.024 0.00030337 0.0214027 0.000561366 0.0170539
0.0245 0.00030969 0.0188075 0.000491337 0.0152393
0.025 0.00031601 0.0171678 0.000413223 0.0136526
0.0274 0.000346346 0.0103509 0.000285328 0.00778434
0.0298 0.000376681 0.0062384 0.000182997 0.00424807
0.0322 0.000407017 0.00356596 0.000114664 0.00224131
0.0346 0.000437351 0.00215348 7.70547e-05 0.00116494
0.037 0.000467686 0.00121114 4.99691e-05 0.000627547
0.0394 0.00049802 0.000735309 3.51734e-05 0.000382812
0.0418 0.000528353 0.00049222 2.62438e-05 0.000282887
0.0442 0.000558686 0.0003679 2.13033e-05 0.000244413
0.0466 0.000589019 0.000357244 1.96377e-05 0.000224431
0.049 0.000619351 0.000321723 1.74246e-05 0.000203934
0.0514 0.000649682 0.000261414 1.49663e-05 0.000177125
0.0538 0.000680013 0.000260414 1.42331e-05 0.000144782
0.0562 0.000710344 0.000203191 1.19161e-05 0.000110392
0.0586 0.000740673 0.000166829 1.03117e-05 7.80313e-05
0.061 0.000771002 0.000126851 8.63468e-06 5.12543e-05
0.0634 0.00080133 0.000122319 8.14145e-06 3.25237e-05
0.0658 0.000831658 0.000108403 7.50874e-06 2.29436e-05
0.0682 0.000861985 9.16495e-05 6.70812e-06 2.21959e-05
0.0706 0.000892311 8.99604e-05 6.44226e-06 2.86659e-05
0.073 0.000922636 9.3535e-05 6.33388e-06 3.97533e-05
0.0754 0.00095296 0.000108675 6.4538e-06 5.23415e-05
0.0778 0.000983284 0.00010446 6.10767e-06 6.33553e-05
0.0802 0.00101361 0.000106111 5.93851e-06 7.03049e-05
0.0826 0.00104393 0.000113925 5.92773e-06 7.17066e-05
0.085 0.00107425 0.00010397 5.48512e-06 6.72936e-05
0.0874 0.00110457 0.000102873 5.28258e-06 5.79731e-05
0.0898 0.00113489 8.86438e-05 4.73336e-06 4.55492e-05
0.0922 0.00116521 7.20136e-05 4.1798e-06 3.22785e-05
0.0946 0.00119552 5.47912e-05 3.6238e-06 2.03655e-05
0.097 0.00122584 4.14159e-05 3.14525e-06 1.15114e-05
0.0994 0.00125615 2.63666e-05 2.67809e-06 6.61176e-06
0.1018 0.00128647 1.65662e-05 2.34199e-06 5.65764e-06
0.1042 0.00131678 9.77643e-06 2.10267e-06 7.84494e-06
0.1066 0.00134709 1.20661e-05 2.08964e-06 1.18412e-05
0.109 0.0013774 1.53427e-05 2.10954e-06 1.61505e-05
0.1114 0.00140771 2.02104e-05 2.15125e-06 1.94603e-05
0.1138 0.00143801 2.41531e-05 2.18312e-06 2.09099e-05
0.1162 0.00146832 2.83835e-05 2.20576e-06 2.02214e-05
0.1186 0.00149863 3.30318e-05 2.2376e-06 1.76794e-05
0.121 0.00152893 3.48784e-05 2.22434e-06 1.39837e-05
0.1234 0.00155923 3.60223e-05 2.18932e-06 1.00238e-05
