# Q dQ R dR fit
0.00369389 7.90228e-05 0.592758 0.0191935 0.664329
0.00415562 8.066e-05 0.573119 0.0185971 0.634128
0.00461736 8.24514e-05 0.570775 0.0186342 0.600195
0.00507909 8.43872e-05 0.565794 0.0185004 0.567371
0.00554083 8.64576e-05 0.543299 0.0179151 0.535639
0.00600256 8.86532e-05 0.529419 0.0175448 0.504993
0.0064643 9.09649e-05 0.499278 0.0168181 0.475429
0.00692603 9.33842e-05 0.457563 0.0157938 0.446952
0.00738776 9.59028e-05 0.439414 0.0154077 0.419565
0.0078495 9.85132e-05 0.407293 0.0145451 0.393274
0.00831123 0.000101208 0.387682 0.0141447 0.368082
0.00877297 0.000103981 0.355658 0.0132605 0.343992
0.0092347 0.000106827 0.336075 0.0128241 0.321002
0.00969643 0.000109738 0.321139 0.0124452 0.299107
0.0101582 0.000112711 0.282595 0.0113974 0.278299
0.0106199 0.00011574 0.276188 0.0112486 0.258565
0.0110816 0.000118822 0.246795 0.0104782 0.239888
0.0115434 0.000121951 0.232149 0.00784075 0.222249
0.0120051 0.000125126 0.203234 0.00931453 0.205599
0.012236 0.000126729 0.191829 0.00847291 0.197634
0.0124668 0.000128341 0.21706 0.00968647 0.189959
0.0129286 0.000131595 0.192827 0.00891036 0.1753
0.0133903 0.000134885 0.182573 0.00868504 0.161518
0.0136211 0.000136542 0.167028 0.00710024 0.154953
0.013852 0.000138207 0.15179 0.00773278 0.148648
0.0143137 0.000141561 0.154133 0.00786151 0.136655
0.0147755 0.000144942 0.127439 0.00705639 0.125435
0.0150063 0.000146643 0.124463 0.00543374 0.120111
0.0152372 0.00014835 0.120011 0.00681782 0.115015
0.0156989 0.000151783 0.111988 0.00651596 0.105356
0.0161607 0.00015524 0.102012 0.00619832 0.0963615
0.0163915 0.000156976 0.0912838 0.00410487 0.0921096
0.0166224 0.000158717 0.0842386 0.00553539 0.0880495
0.0170841 0.000162215 0.0891327 0.00570445 0.0803834
0.0175458 0.000165816 0.0759973 0.00526333 0.073277
0.0177767 0.000167997 0.0718467 0.00323754 0.0699564
0.0184693 0.000174543 0.0610163 0.00288514 0.0607664
0.0191619 0.000181088 0.0545332 0.00259446 0.0526349
0.0198545 0.000187633 0.0479069 0.00233145 0.0454886
0.020547 0.000194178 0.0419084 0.00207223 0.039226
0.0212396 0.000200723 0.032301 0.00171836 0.0337529
0.0219322 0.000207268 0.0311233 0.00165217 0.0289827
0.0226248 0.000213814 0.0270913 0.00147687 0.0248266
0.0230865 0.000218177 0.0241879 0.00117924 0.0224322
0.0253951 0.000239994 0.0136126 0.000767877 0.0132376
0.0277036 0.00026181 0.00678439 0.000482429 0.0076192
0.0300122 0.000283627 0.00421198 0.000345245 0.00430378
0.0323207 0.000305443 0.001735 0.000204883 0.00239846
0.0346292 0.000327258 0.000693302 0.000124593 0.00134367
0.0369377 0.000349074 0.000341158 8.58205e-05 0.000797664
0.0392461 0.000370888 0.000248125 7.14028e-05 0.000552976
0.0415545 0.000392703 0.000279961 7.07809e-05 0.000480867
0.0438629 0.000414517 0.000379116 7.48499e-05 0.000497741
0.0461712 0.000436331 0.000568951 8.39757e-05 0.000546624
0.0498645 0.000471232 0.000680419 8.26876e-05 0.000605196
0.0535577 0.000506131 0.000796267 8.13664e-05 0.000583901
0.0572508 0.00054103 0.000673476 6.91263e-05 0.000488091
0.0609437 0.000575927 0.000456574 5.35726e-05 0.000366071
0.0646366 0.000610822 0.00019927 3.36683e-05 0.000268288
0.0683293 0.000645716 9.44129e-05 2.28538e-05 0.000218096
0.0720219 0.000680608 7.70192e-05 1.99804e-05 0.000206479
0.0757143 0.000715498 4.61764e-05 1.59838e-05 0.000206753
0.0794066 0.000750386 8.69994e-05 1.93869e-05 0.000194921
0.0830988 0.000785272 8.89722e-05 1.8451e-05 0.000162297
0.0867908 0.000820156 9.00241e-05 1.76454e-05 0.000115685
