# Q Iq dIq dQ fit
2.040000000000000147e-02 9.723000000000000753e+00 6.968000000000000582e-02 1.557999999999999923e-03 9.630369693650910889e+00
2.060999999999999985e-02 9.390000000000000568e+00 7.058999999999999997e-02 2.406000000000000152e-03 9.661067505901423047e+00
2.079999999999999905e-02 9.271000000000000796e+00 6.753000000000000669e-02 1.575000000000000011e-03 9.319226062329118321e+00
2.120000000000000009e-02 9.060999999999999943e+00 6.308999999999999331e-02 1.590999999999999966e-03 8.978001782092150052e+00
2.161000000000000074e-02 8.682999999999999829e+00 6.347999999999999476e-02 1.608999999999999970e-03 8.629240257524275037e+00
2.194000000000000117e-02 8.201000000000000512e+00 5.104000000000000203e-02 2.442999999999999859e-03 8.432405785481961402e+00
2.200999999999999832e-02 8.394999999999999574e+00 5.815000000000000030e-02 1.626000000000000058e-03 8.286853851588658060e+00
2.240999999999999936e-02 8.105999999999999872e+00 6.049999999999999822e-02 1.642999999999999929e-03 7.943773347141636521e+00
2.282000000000000001e-02 7.857000000000000206e+00 6.069999999999999701e-02 1.660999999999999933e-03 7.607166473682138275e+00
2.322000000000000106e-02 7.562000000000000277e+00 5.960000000000000020e-02 1.678000000000000021e-03 7.300569164636681485e+00
2.326999999999999902e-02 7.304999999999999716e+00 4.771000000000000241e-02 2.481000000000000132e-03 7.412193007757549523e+00
2.363000000000000170e-02 7.209999999999999964e+00 5.621999999999999914e-02 1.696000000000000025e-03 7.001709801771749397e+00
2.460000000000000034e-02 6.483999999999999986e+00 3.871999999999999748e-02 2.520999999999999804e-03 6.569863214122324102e+00
2.593000000000000166e-02 5.812000000000000277e+00 3.366000000000000242e-02 2.563000000000000174e-03 5.859210509369081166e+00
2.725999999999999951e-02 5.179999999999999716e+00 3.033999999999999891e-02 2.605999999999999810e-03 5.245357932082042041e+00
2.859000000000000083e-02 4.682000000000000384e+00 2.663000000000000089e-02 2.650000000000000012e-03 4.715384284243002710e+00
2.990999999999999909e-02 4.254999999999999893e+00 2.281000000000000041e-02 2.696000000000000046e-03 4.264246959854226304e+00
3.124000000000000041e-02 3.850999999999999979e+00 2.052999999999999964e-02 2.743000000000000212e-03 3.871043948073348062e+00
3.257000000000000173e-02 3.553999999999999826e+00 2.077000000000000027e-02 2.792000000000000211e-03 3.522886077826928641e+00
3.389999999999999958e-02 3.197000000000000064e+00 1.757999999999999841e-02 2.841000000000000209e-03 3.211821787391097693e+00
3.522999999999999743e-02 2.935999999999999943e+00 1.763999999999999943e-02 2.892000000000000039e-03 2.938474518189750029e+00
3.656000000000000222e-02 2.698999999999999844e+00 1.503999999999999955e-02 2.944000000000000002e-03 2.696825150015565775e+00
3.787999999999999701e-02 2.479000000000000092e+00 1.353000000000000036e-02 2.995999999999999965e-03 2.480651226686527266e+00
3.921000000000000180e-02 2.290999999999999925e+00 1.434999999999999991e-02 3.050000000000000194e-03 2.284311879656301780e+00
4.053999999999999965e-02 2.089999999999999858e+00 1.349999999999999985e-02 3.105000000000000121e-03 2.107707636723942901e+00
4.186999999999999750e-02 1.941000000000000059e+00 1.291999999999999919e-02 3.160000000000000048e-03 1.949608503067620680e+00
4.197000000000000036e-02 1.965999999999999970e+00 2.576000000000000165e-02 4.995999999999999573e-03 2.003104604637283792e+00
4.320000000000000229e-02 1.802999999999999936e+00 1.188999999999999953e-02 3.216000000000000109e-03 1.814239842788733625e+00
4.451999999999999708e-02 1.673999999999999932e+00 1.144000000000000052e-02 3.272999999999999868e-03 1.684411399778512619e+00
4.585000000000000187e-02 1.562000000000000055e+00 1.097000000000000058e-02 3.330000000000000061e-03 1.565083615269131867e+00
4.596000000000000085e-02 1.570000000000000062e+00 1.776000000000000148e-02 5.105000000000000163e-03 1.594148557778845454e+00
4.717999999999999972e-02 1.427999999999999936e+00 9.514999999999999153e-03 3.389000000000000085e-03 1.456533904289722958e+00
4.850000000000000144e-02 1.352000000000000091e+00 1.090999999999999956e-02 3.446999999999999977e-03 1.358034935209063265e+00
4.982999999999999929e-02 1.247999999999999998e+00 8.835000000000000839e-03 3.507000000000000135e-03 1.266836942098323204e+00
4.995999999999999747e-02 1.274000000000000021e+00 1.434999999999999991e-02 5.219999999999999814e-03 1.285544717040116192e+00
5.115999999999999714e-02 1.185999999999999943e+00 8.732000000000000178e-03 3.566999999999999858e-03 1.182002317015700799e+00
5.247999999999999887e-02 1.102000000000000091e+00 8.406999999999999543e-03 3.627000000000000016e-03 1.105481934611258543e+00
5.380999999999999672e-02 1.042000000000000037e+00 8.174000000000000710e-03 3.689000000000000005e-03 1.034745242574689250e+00
5.394000000000000183e-02 1.044999999999999929e+00 1.097000000000000058e-02 5.342999999999999659e-03 1.048535332628516281e+00
5.514000000000000151e-02 9.706000000000000183e-01 7.823999999999999358e-03 3.749999999999999861e-03 9.729362531330749686e-01
5.646000000000000324e-02 9.034999999999999698e-01 7.317999999999999852e-03 3.811999999999999850e-03 9.126731491148937225e-01
5.779000000000000109e-02 8.597000000000000197e-01 7.545999999999999756e-03 3.874999999999999972e-03 8.566039382466791308e-01
5.793000000000000232e-02 8.649000000000000021e-01 7.969999999999999654e-03 5.472999999999999567e-03 8.666935541876612525e-01
5.911000000000000282e-02 8.072000000000000286e-01 6.620000000000000016e-03 3.937000000000000395e-03 8.049530156960352789e-01
6.044000000000000067e-02 7.619000000000000217e-01 6.911999999999999741e-03 4.001000000000000216e-03 7.561499869872613244e-01
6.176000000000000240e-02 7.145000000000000240e-01 6.309000000000000372e-03 4.063999999999999904e-03 7.116180684005023460e-01
6.192000000000000282e-02 7.196000000000000174e-01 7.650999999999999815e-03 5.609000000000000270e-03 7.186618291243070944e-01
6.308999999999999331e-02 6.742000000000000215e-01 5.909000000000000190e-03 4.127999999999999725e-03 6.697570699100664493e-01
6.440999999999999504e-02 6.330999999999999961e-01 5.670999999999999826e-03 4.192999999999999679e-03 6.322713778654621697e-01
6.572999999999999676e-02 5.916000000000000147e-01 5.677999999999999887e-03 4.257000000000000367e-03 5.968558906287774191e-01
6.590000000000000024e-02 5.979999999999999760e-01 5.232999999999999804e-03 5.749999999999999903e-03 6.005758137636971750e-01
6.705999999999999461e-02 5.676999999999999824e-01 5.903000000000000261e-03 4.322000000000000321e-03 5.633844534995343656e-01
6.837999999999999634e-02 5.344999999999999751e-01 5.491000000000000221e-03 4.388000000000000407e-03 5.326692380541622196e-01
6.970999999999999419e-02 5.053999999999999604e-01 5.259999999999999919e-03 4.453000000000000361e-03 5.022169773904572310e-01
6.987999999999999767e-02 5.100999999999999979e-01 4.951999999999999805e-03 5.896000000000000199e-03 5.067573752231078199e-01
7.102999999999999592e-02 4.873999999999999999e-01 5.434999999999999727e-03 4.518999999999999580e-03 4.753359612016833657e-01
7.234999999999999765e-02 4.462999999999999745e-01 4.779000000000000262e-03 4.584999999999999666e-03 4.494374940214342362e-01
7.366999999999999937e-02 4.343000000000000194e-01 4.688000000000000327e-03 4.650999999999999752e-03 4.256234328649987075e-01
7.385999999999999510e-02 4.283000000000000140e-01 3.717999999999999951e-03 6.047000000000000292e-03 4.288678547827751153e-01
7.499999999999999722e-02 4.116000000000000214e-01 4.573999999999999941e-03 4.717999999999999972e-03 4.035465549011733599e-01
7.631999999999999895e-02 3.895000000000000129e-01 4.346000000000000037e-03 4.785000000000000191e-03 3.833032194266700610e-01
7.764000000000000068e-02 3.658000000000000140e-01 4.938999999999999814e-03 4.852000000000000410e-03 3.637851681805572834e-01
7.782999999999999641e-02 3.749000000000000110e-01 2.737999999999999982e-03 6.202000000000000048e-03 3.651019127365821015e-01
8.180999999999999384e-02 3.138000000000000234e-01 2.412000000000000081e-03 6.361999999999999600e-03 3.123315097556544906e-01
8.577999999999999514e-02 2.718999999999999750e-01 2.171000000000000187e-03 6.525000000000000418e-03 2.697802047655723512e-01
8.974999999999999645e-02 2.351999999999999924e-01 1.931999999999999907e-03 6.690999999999999899e-03 2.334774378096909908e-01
9.371000000000000163e-02 2.038000000000000089e-01 1.940000000000000101e-03 6.860999999999999911e-03 2.038141968616087873e-01
9.768000000000000294e-02 1.786000000000000087e-01 1.631000000000000071e-03 7.033000000000000189e-03 1.796113521131756929e-01
1.015999999999999959e-01 1.590000000000000024e-01 1.595999999999999979e-03 7.207999999999999997e-03 1.594625279016554931e-01
1.055999999999999994e-01 1.370000000000000107e-01 1.451999999999999949e-03 7.386000000000000204e-03 1.423466270569284098e-01
1.095000000000000001e-01 1.250000000000000000e-01 1.494000000000000102e-03 7.564999999999999676e-03 1.279935809578502948e-01
1.135000000000000037e-01 1.140000000000000041e-01 1.423999999999999919e-03 7.747000000000000414e-03 1.150770638681051228e-01
1.174000000000000044e-01 1.050999999999999990e-01 1.446999999999999936e-03 7.931000000000000549e-03 1.048888324088101814e-01
1.213999999999999940e-01 9.947000000000000286e-02 1.185999999999999988e-03 8.115999999999999950e-03 9.624038420018210527e-02
1.252999999999999947e-01 9.092000000000000082e-02 1.147000000000000016e-03 8.302999999999999617e-03 9.031398095516801616e-02
1.292999999999999983e-01 8.623999999999999722e-02 1.199999999999999895e-03 8.491999999999999549e-03 8.626974760297537181e-02
1.332000000000000128e-01 8.475000000000000588e-02 1.106999999999999911e-03 8.680999999999999481e-03 8.348570975646273096e-02
1.370999999999999996e-01 8.094999999999999418e-02 1.106999999999999911e-03 8.871999999999999678e-03 8.124446577792647506e-02
1.409999999999999865e-01 7.577000000000000401e-02 1.142000000000000003e-03 9.063999999999999141e-03 7.931783360196686949e-02
1.449000000000000010e-01 7.724999999999999922e-02 1.131000000000000061e-03 9.258000000000000604e-03 7.782878763336181782e-02
1.489000000000000046e-01 7.642000000000000182e-02 9.927000000000000060e-04 9.452000000000000332e-03 7.644533676881017092e-02
1.527999999999999914e-01 7.410999999999999532e-02 1.010999999999999963e-03 9.646999999999999326e-03 7.531767457217143635e-02
1.567000000000000060e-01 7.409000000000000308e-02 1.100999999999999982e-03 9.842999999999999319e-03 7.443899974456059943e-02
1.605999999999999928e-01 7.373999999999999999e-02 1.036999999999999944e-03 1.004000000000000031e-02 7.380227091354014946e-02
1.645000000000000073e-01 7.272000000000000686e-02 1.031000000000000015e-03 1.024000000000000084e-02 7.334735439957990044e-02
1.683000000000000052e-01 7.378999999999999448e-02 9.996000000000000111e-04 1.043000000000000003e-02 7.303801663465751826e-02
1.721999999999999920e-01 7.091000000000000081e-02 9.441999999999999655e-04 1.063000000000000056e-02 7.282938654763840280e-02
1.761000000000000065e-01 7.084999999999999631e-02 9.755999999999999698e-04 1.082999999999999935e-02 7.270200817443044083e-02
1.799999999999999933e-01 7.272000000000000686e-02 1.002999999999999985e-03 1.102999999999999987e-02 7.264691247168221511e-02
1.837999999999999912e-01 7.084000000000000019e-02 9.097000000000000485e-04 1.123000000000000040e-02 7.261657995814238542e-02
1.877000000000000057e-01 7.180999999999999883e-02 9.204999999999999858e-04 1.142999999999999919e-02 7.261387902704274921e-02
1.915000000000000036e-01 7.130000000000000226e-02 8.999999999999999754e-04 1.162999999999999971e-02 7.262900490566284728e-02
1.953999999999999904e-01 7.176000000000000434e-02 9.263999999999999665e-04 1.183000000000000024e-02 7.265429947960398704e-02
1.991999999999999882e-01 7.215000000000000580e-02 8.762000000000000474e-04 1.203000000000000076e-02 7.268298530378337896e-02
2.031000000000000028e-01 7.097000000000000530e-02 9.487999999999999689e-04 1.222999999999999955e-02 7.271225646237407247e-02
2.069000000000000006e-01 7.159999999999999698e-02 8.563000000000000516e-04 1.243000000000000008e-02 7.273662225454546881e-02
2.106999999999999984e-01 7.116999999999999715e-02 9.504999999999999560e-04 1.264000000000000019e-02 7.275789647398502036e-02
2.144999999999999962e-01 7.209999999999999742e-02 8.540999999999999981e-04 1.284000000000000072e-02 7.277387910988421249e-02
2.184000000000000108e-01 7.133000000000000451e-02 8.442000000000000285e-04 1.303999999999999951e-02 7.278487999728244784e-02
2.222000000000000086e-01 7.252999999999999725e-02 8.444000000000000334e-04 1.324000000000000003e-02 7.279069014237876667e-02
2.260000000000000064e-01 7.395999999999999797e-02 8.421000000000000317e-04 1.344000000000000056e-02 7.279221474918795565e-02
