WaterFracHeadgroup1  [    0.4753,        0.5,     0.5217] (-   0.02472, +   0.02168)
WaterFracHeadgroup2  [     0.424,     0.4532,     0.4763] (-    0.0292, +   0.02307)
WaterFracHydrocarbon  [    0.0269,    0.03919,     0.0485] (-   0.01228, +  0.009317)
WaterFracLipid1  [   0.03182,    0.04423,    0.05356] (-   0.01241, +  0.009323)
WaterFracLipid2  [   0.02218,    0.03208,    0.04303] (-  0.009901, +   0.01095)
WaterFracSubMembrane  [      0.98,      0.982,     0.9869] (-  0.001981, +   0.00484)
bilayer.defect_hc_AVG  [         0,          0,          0] (-         0, +         0)
bilayer.defect_hc_COM  [     1e+05,      1e+05,      1e+05] (-         0, +         0)
bilayer.defect_hc_INT  [         0,          0,          0] (-         0, +         0)
bilayer.defect_hg_AVG  [         0,          0,          0] (-         0, +         0)
bilayer.defect_hg_COM  [     1e+05,      1e+05,      1e+05] (-         0, +         0)
bilayer.defect_hg_INT  [         0,          0,          0] (-         0, +         0)
bilayer.headgroup1_1.carbonyl_glycerol_AVG  [      1.47,       1.47,       1.47] (- 2.002e-12, + 9.903e-14)
bilayer.headgroup1_1.carbonyl_glycerol_COM  [     27.47,      27.47,      27.47] (- 3.038e-11, + 1.503e-12)
bilayer.headgroup1_1.carbonyl_glycerol_INT  [     2.129,      2.255,      2.384] (-    0.1263, +    0.1291)
bilayer.headgroup1_1.choline_AVG  [       1.2,        1.2,        1.2] (- 2.127e-13, + 7.994e-15)
bilayer.headgroup1_1.choline_COM  [     22.55,      22.55,      22.55] (- 1.563e-13, + 4.189e-12)
bilayer.headgroup1_1.choline_INT  [     1.738,      1.841,      1.946] (-    0.1031, +    0.1054)
bilayer.headgroup1_1.phosphate_AVG  [      0.54,       0.54,       0.54] (- 7.772e-16, +         0)
bilayer.headgroup1_1.phosphate_COM  [     24.02,      24.02,      24.02] (- 7.105e-15, + 2.132e-14)
bilayer.headgroup1_1.phosphate_INT  [     0.782,     0.8284,     0.8759] (-    0.0464, +   0.04744)
bilayer.headgroup1_1_AVG  [    0.2033,     0.2868,     0.4523] (-   0.08353, +    0.1654)
bilayer.headgroup1_1_COM  [     25.05,      25.05,      25.05] (- 1.369e-11, + 6.963e-13)
bilayer.headgroup1_1_INT  [     0.301,     0.4418,     0.7018] (-    0.1408, +      0.26)
bilayer.headgroup1_2.carbonyl_glycerol_AVG  [      1.47,       1.47,       1.47] (- 2.002e-12, + 9.903e-14)
