# x	 y	 dy	 fy
9.930999999999999550e-02 1.305447000000000024e+00 5.000000000000000278e-02 1.352117204440712817e+00
1.003700000000000009e-01 1.349572999999999912e+00 5.000000000000000278e-02 1.372994545780237940e+00
1.010999999999999954e-01 1.346513000000000071e+00 5.000000000000000278e-02 1.386753293507648532e+00
1.018199999999999938e-01 1.370595999999999925e+00 5.000000000000000278e-02 1.400177579386442606e+00
1.025500000000000023e-01 1.409893999999999981e+00 5.000000000000000278e-02 1.413788313680220066e+00
1.032799999999999968e-01 1.417797999999999892e+00 5.000000000000000278e-02 1.427399047973997304e+00
1.039999999999999952e-01 1.411097000000000046e+00 5.000000000000000278e-02 1.440823333852791377e+00
1.047300000000000036e-01 1.442625000000000046e+00 5.000000000000000278e-02 1.454434068146568837e+00
1.054599999999999982e-01 1.462458999999999953e+00 5.000000000000000278e-02 1.468044802440346075e+00
1.061900000000000066e-01 1.468576000000000104e+00 5.000000000000000278e-02 1.481655536734123535e+00
1.069100000000000050e-01 1.501924999999999955e+00 5.000000000000000278e-02 1.494923036980183140e+00
1.076399999999999996e-01 1.535409999999999942e+00 5.000000000000000278e-02 1.507557274929681723e+00
1.083699999999999941e-01 1.534882999999999997e+00 5.000000000000000278e-02 1.520191512879180529e+00
1.090900000000000064e-01 1.530110999999999999e+00 5.000000000000000278e-02 1.532652679075946489e+00
1.098200000000000010e-01 1.518437000000000037e+00 5.000000000000000278e-02 1.545286917025445295e+00
1.105499999999999955e-01 1.540705999999999909e+00 5.000000000000000278e-02 1.557921154974943878e+00
1.112699999999999939e-01 1.559409000000000045e+00 5.000000000000000278e-02 1.570382321171709838e+00
1.120000000000000023e-01 1.573177000000000048e+00 5.000000000000000278e-02 1.583016559121208644e+00
1.127299999999999969e-01 1.583102000000000009e+00 5.000000000000000278e-02 1.595650797070707450e+00
1.134600000000000053e-01 1.604295999999999944e+00 5.000000000000000278e-02 1.607666877104371173e+00
1.141800000000000037e-01 1.602932000000000023e+00 5.000000000000000278e-02 1.618972846106045083e+00
1.149099999999999983e-01 1.606254999999999988e+00 5.000000000000000278e-02 1.630435842454964313e+00
1.156400000000000067e-01 1.609456999999999915e+00 5.000000000000000278e-02 1.641898838803883764e+00
1.163600000000000051e-01 1.630908999999999942e+00 5.000000000000000278e-02 1.653204807805557675e+00
1.170899999999999996e-01 1.654851999999999990e+00 5.000000000000000278e-02 1.664667804154476904e+00
1.178199999999999942e-01 1.658344999999999958e+00 5.000000000000000278e-02 1.676130800503396134e+00
1.185400000000000065e-01 1.671891000000000016e+00 5.000000000000000278e-02 1.687436769505070044e+00
1.192700000000000010e-01 1.671829999999999927e+00 5.000000000000000278e-02 1.698899765853989274e+00
1.199999999999999956e-01 1.662879999999999914e+00 5.000000000000000278e-02 1.709174362486146403e+00
1.207300000000000040e-01 1.687240000000000073e+00 5.000000000000000278e-02 1.719288899788222746e+00
1.214500000000000024e-01 1.716584000000000110e+00 5.000000000000000278e-02 1.729264881784791097e+00
1.221799999999999969e-01 1.708075000000000010e+00 5.000000000000000278e-02 1.739379419086867440e+00
1.229100000000000054e-01 1.712890000000000024e+00 5.000000000000000278e-02 1.749493956388943783e+00
1.236300000000000038e-01 1.723062000000000094e+00 5.000000000000000278e-02 1.759469938385512133e+00
1.243599999999999983e-01 1.732267000000000001e+00 5.000000000000000278e-02 1.769584475687588254e+00
1.250900000000000067e-01 1.745729000000000086e+00 5.000000000000000278e-02 1.779699012989664597e+00
1.258100000000000052e-01 1.758135000000000003e+00 5.000000000000000278e-02 1.789321441361294784e+00
