# x	 y	 dy	 fy
0.000000000000000000e+00 6.481399999999999662e-02 1.000000000000000021e-02 3.721170008566931919e-01
1.000000000000000021e-03 6.501999999999999447e-02 1.000000000000000021e-02 3.721281657577112933e-01
2.000000000000000042e-03 6.564000000000000390e-02 1.000000000000000021e-02 3.721393306587293948e-01
3.000000000000000062e-03 6.667099999999999416e-02 1.000000000000000021e-02 3.721504955597474962e-01
4.000000000000000083e-03 6.811499999999999500e-02 1.000000000000000021e-02 3.721616604607656531e-01
5.000000000000000104e-03 6.997000000000000441e-02 1.000000000000000021e-02 3.721728253617837545e-01
6.000000000000000125e-03 7.223599999999999466e-02 1.000000000000000021e-02 3.721839902628018559e-01
7.000000000000000146e-03 7.491100000000000536e-02 1.000000000000000021e-02 3.722909608176581675e-01
8.000000000000000167e-03 7.799499999999999489e-02 1.000000000000000021e-02 3.724355465689134781e-01
8.999999999999999320e-03 8.148600000000000287e-02 1.000000000000000021e-02 3.725801323201687887e-01
1.000000000000000021e-02 8.538199999999999956e-02 1.000000000000000021e-02 3.727247180714240993e-01
1.099999999999999936e-02 8.968199999999999783e-02 1.000000000000000021e-02 3.728693038226794654e-01
1.200000000000000025e-02 9.438399999999999568e-02 1.000000000000000021e-02 3.730138895739347760e-01
1.299999999999999940e-02 9.948600000000000498e-02 1.000000000000000021e-02 3.733535568641109248e-01
1.400000000000000029e-02 1.049900000000000000e-01 1.000000000000000021e-02 3.739454314997268658e-01
1.499999999999999944e-02 1.108800000000000063e-01 1.000000000000000021e-02 3.745373061353428068e-01
1.600000000000000033e-02 1.171699999999999964e-01 1.000000000000000021e-02 3.751291807709587478e-01
1.700000000000000122e-02 1.238400000000000056e-01 1.000000000000000021e-02 3.757210554065747443e-01
1.799999999999999864e-02 1.309099999999999986e-01 1.000000000000000021e-02 3.763129300421906853e-01
1.899999999999999953e-02 1.383500000000000008e-01 1.000000000000000021e-02 3.770449921925826398e-01
2.000000000000000042e-02 1.461800000000000044e-01 1.000000000000000021e-02 3.785459166515551810e-01
2.100000000000000130e-02 1.543899999999999995e-01 1.000000000000000021e-02 3.800468411105277777e-01
