WaterFracHeadgroup1  [    0.4043,     0.5388,     0.5627] (-    0.1345, +   0.02391)
WaterFracHeadgroup2  [    0.3987,     0.5343,     0.5591] (-    0.1356, +   0.02485)
WaterFracHydrocarbon  [   0.02293,    0.03471,    0.03883] (-   0.01178, +   0.00412)
WaterFracLipid1  [   0.02364,    0.03551,    0.03949] (-   0.01187, +  0.003985)
WaterFracLipid2  [   0.02221,    0.03367,    0.03806] (-   0.01146, +  0.004396)
WaterFracSubMembrane  [    0.9901,     0.9941,     0.9964] (-  0.003954, +  0.002398)
bilayer.defect_hc_AVG  [         0,          0,          0] (-         0, +         0)
bilayer.defect_hc_COM  [     1e+05,      1e+05,      1e+05] (-         0, +         0)
bilayer.defect_hc_INT  [         0,          0,          0] (-         0, +         0)
bilayer.defect_hg_AVG  [         0,          0,          0] (-         0, +         0)
bilayer.defect_hg_COM  [     1e+05,      1e+05,      1e+05] (-         0, +         0)
bilayer.defect_hg_INT  [         0,          0,          0] (-         0, +         0)
bilayer.headgroup1_1.carbonyl_glycerol_AVG  [    0.6987,     0.7429,     0.8093] (-   0.04421, +   0.06635)
bilayer.headgroup1_1.carbonyl_glycerol_COM  [     55.44,      57.86,      58.73] (-     2.416, +    0.8761)
bilayer.headgroup1_1.carbonyl_glycerol_INT  [      1.93,      2.078,      2.244] (-    0.1478, +    0.1661)
bilayer.headgroup1_1.choline_AVG  [    0.5959,     0.6356,      0.661] (-   0.03961, +   0.02548)
bilayer.headgroup1_1.choline_COM  [     51.74,      52.64,      53.58] (-    0.9037, +    0.9459)
bilayer.headgroup1_1.choline_INT  [     1.667,      1.753,      1.843] (-   0.08565, +   0.09012)
bilayer.headgroup1_1.phosphate_AVG  [    0.2693,     0.3161,     0.3759] (-   0.04679, +   0.05984)
bilayer.headgroup1_1.phosphate_COM  [     53.74,      55.13,      55.72] (-     1.395, +    0.5907)
bilayer.headgroup1_1.phosphate_INT  [    0.7581,     0.8855,      1.042] (-    0.1274, +    0.1562)
bilayer.headgroup1_1_AVG  [      1.24,      1.378,      1.509] (-    0.1386, +    0.1309)
bilayer.headgroup1_1_COM  [     54.01,      55.27,      56.09] (-     1.254, +    0.8284)
bilayer.headgroup1_1_INT  [     3.426,      3.801,      4.115] (-    0.3751, +    0.3141)
bilayer.headgroup1_2.carbonyl_glycerol_AVG  [    0.6987,     0.7429,     0.8093] (-   0.04421, +   0.06635)
bilayer.headgroup1_2.carbonyl_glycerol_COM  [     55.44,      57.86,      58.73] (-     2.416, +    0.8761)
bilayer.headgroup1_2.carbonyl_glycerol_INT  [      1.93,      2.078,      2.244] (-    0.1478, +    0.1661)
bilayer.headgroup1_2.choline_AVG  [    0.5959,     0.6356,      0.661] (-   0.03961, +   0.02548)
bilayer.headgroup1_2.choline_COM  [     51.74,      52.64,      53.58] (-    0.9037, +    0.9459)
bilayer.headgroup1_2.choline_INT  [     1.667,      1.753,      1.843] (-   0.08565, +   0.09012)
bilayer.headgroup1_2.phosphate_AVG  [    0.2693,     0.3161,     0.3759] (-   0.04679, +   0.05984)
bilayer.headgroup1_2.phosphate_COM  [     53.74,      55.13,      55.72] (-     1.395, +    0.5907)
bilayer.headgroup1_2.phosphate_INT  [    0.7581,     0.8855,      1.042] (-    0.1274, +    0.1562)
bilayer.headgroup1_2_AVG  [    0.1954,     0.3315,     0.4635] (-    0.1361, +     0.132)
bilayer.headgroup1_2_COM  [     54.01,      55.27,      56.09] (-     1.254, +    0.8284)
