# x	 y	 dy	 fy
0.000000000000000000e+00 6.481399999999999662e-02 1.000000000000000021e-02 3.295825364636913446e-01
1.000000000000000021e-03 6.501999999999999447e-02 1.000000000000000021e-02 3.297451950481485317e-01
2.000000000000000042e-03 6.564000000000000390e-02 1.000000000000000021e-02 3.299078536326056632e-01
3.000000000000000062e-03 6.667099999999999416e-02 1.000000000000000021e-02 3.300705122170628503e-01
4.000000000000000083e-03 6.811499999999999500e-02 1.000000000000000021e-02 3.302331708015200373e-01
5.000000000000000104e-03 6.997000000000000441e-02 1.000000000000000021e-02 3.303958293859772244e-01
6.000000000000000125e-03 7.223599999999999466e-02 1.000000000000000021e-02 3.305584879704343559e-01
7.000000000000000146e-03 7.491100000000000536e-02 1.000000000000000021e-02 3.310154404908798309e-01
8.000000000000000167e-03 7.799499999999999489e-02 1.000000000000000021e-02 3.315879386368469350e-01
8.999999999999999320e-03 8.148600000000000287e-02 1.000000000000000021e-02 3.321604367828139837e-01
1.000000000000000021e-02 8.538199999999999956e-02 1.000000000000000021e-02 3.327329349287810878e-01
1.099999999999999936e-02 8.968199999999999783e-02 1.000000000000000021e-02 3.333054330747481919e-01
1.200000000000000025e-02 9.438399999999999568e-02 1.000000000000000021e-02 3.338779312207152405e-01
1.299999999999999940e-02 9.948600000000000498e-02 1.000000000000000021e-02 3.347331859274477739e-01
1.400000000000000029e-02 1.049900000000000000e-01 1.000000000000000021e-02 3.359539969138305993e-01
1.499999999999999944e-02 1.108800000000000063e-01 1.000000000000000021e-02 3.371748079002134246e-01
1.600000000000000033e-02 1.171699999999999964e-01 1.000000000000000021e-02 3.383956188865962500e-01
1.700000000000000122e-02 1.238400000000000056e-01 1.000000000000000021e-02 3.396164298729790754e-01
1.799999999999999864e-02 1.309099999999999986e-01 1.000000000000000021e-02 3.408372408593619007e-01
1.899999999999999953e-02 1.383500000000000008e-01 1.000000000000000021e-02 3.422119644387586757e-01
2.000000000000000042e-02 1.461800000000000044e-01 1.000000000000000021e-02 3.444308258985749327e-01
2.100000000000000130e-02 1.543899999999999995e-01 1.000000000000000021e-02 3.466496873583912453e-01
2.199999999999999872e-02 1.629700000000000037e-01 1.000000000000000021e-02 3.488685488182075023e-01
2.299999999999999961e-02 1.719100000000000072e-01 1.000000000000000021e-02 3.510874102780237593e-01
2.400000000000000050e-02 1.812300000000000022e-01 1.000000000000000021e-02 3.533062717378400164e-01
2.500000000000000139e-02 1.908999999999999864e-01 1.000000000000000021e-02 3.555251331976563289e-01
2.599999999999999881e-02 2.009400000000000075e-01 1.000000000000000021e-02 3.589617859785431131e-01
2.699999999999999969e-02 2.113200000000000078e-01 1.000000000000000021e-02 3.625767419237703182e-01
2.800000000000000058e-02 2.220600000000000074e-01 1.000000000000000021e-02 3.661916978689975788e-01
2.900000000000000147e-02 2.331300000000000039e-01 1.000000000000000021e-02 3.698066538142248394e-01
2.999999999999999889e-02 2.445499999999999896e-01 1.000000000000000021e-02 3.734216097594520445e-01
3.099999999999999978e-02 2.562999999999999723e-01 1.000000000000000021e-02 3.770365657046793051e-01
3.200000000000000067e-02 2.683800000000000074e-01 1.000000000000000021e-02 3.816964244697425568e-01
3.300000000000000155e-02 2.807799999999999740e-01 1.000000000000000021e-02 3.870813359911941531e-01
3.400000000000000244e-02 2.934999999999999831e-01 1.000000000000000021e-02 3.924662475126458050e-01
3.500000000000000333e-02 3.065300000000000247e-01 1.000000000000000021e-02 3.978511590340974013e-01
3.599999999999999728e-02 3.198699999999999877e-01 1.000000000000000021e-02 4.032360705555489977e-01
3.699999999999999817e-02 3.335099999999999731e-01 1.000000000000000021e-02 4.086209820770005940e-01
3.799999999999999906e-02 3.474499999999999811e-01 1.000000000000000021e-02 4.146381257541588705e-01
3.899999999999999994e-02 3.616699999999999915e-01 1.000000000000000021e-02 4.220729007402124200e-01
4.000000000000000083e-02 3.761700000000000044e-01 1.000000000000000021e-02 4.295076757262659695e-01
4.100000000000000172e-02 3.909599999999999742e-01 1.000000000000000021e-02 4.369424507123195189e-01
4.200000000000000261e-02 4.060099999999999820e-01 1.000000000000000021e-02 4.443772256983730129e-01
4.299999999999999656e-02 4.213199999999999723e-01 1.000000000000000021e-02 4.518120006844265069e-01
4.399999999999999745e-02 4.368900000000000006e-01 1.000000000000000021e-02 4.593045500846419382e-01
4.499999999999999833e-02 4.527100000000000013e-01 1.000000000000000021e-02 4.689196932048886879e-01
4.599999999999999922e-02 4.687799999999999745e-01 1.000000000000000021e-02 4.785348363251354376e-01
4.700000000000000011e-02 4.850700000000000012e-01 1.000000000000000021e-02 4.881499794453821872e-01
4.800000000000000100e-02 5.016000000000000458e-01 1.000000000000000021e-02 4.977651225656288814e-01
4.900000000000000189e-02 5.183499999999999774e-01 1.000000000000000021e-02 5.073802656858756865e-01
5.000000000000000278e-02 5.353099999999999525e-01 1.000000000000000021e-02 5.169954088061223807e-01
5.099999999999999672e-02 5.524799999999999711e-01 1.000000000000000021e-02 5.281959445150516963e-01
5.199999999999999761e-02 5.698499999999999677e-01 1.000000000000000021e-02 5.399403642758652255e-01
5.299999999999999850e-02 5.874099999999999877e-01 1.000000000000000021e-02 5.516847840366788658e-01
5.399999999999999939e-02 6.051499999999999657e-01 1.000000000000000021e-02 5.634292037974923950e-01
5.500000000000000028e-02 6.230700000000000127e-01 1.000000000000000021e-02 5.751736235583060353e-01
5.600000000000000117e-02 6.411499999999999977e-01 1.000000000000000021e-02 5.869180433191195645e-01
5.700000000000000205e-02 6.593999999999999861e-01 1.000000000000000021e-02 5.995379709340705743e-01
5.800000000000000294e-02 6.777999999999999581e-01 1.000000000000000021e-02 6.131748090067012935e-01
5.899999999999999689e-02 6.963500000000000245e-01 1.000000000000000021e-02 6.268116470793320127e-01
5.999999999999999778e-02 7.150300000000000544e-01 1.000000000000000021e-02 6.404484851519627320e-01
6.099999999999999867e-02 7.338400000000000478e-01 1.000000000000000021e-02 6.540853232245935622e-01
6.199999999999999956e-02 7.527700000000000502e-01 1.000000000000000021e-02 6.677221612972242815e-01
6.300000000000000044e-02 7.718099999999999961e-01 1.000000000000000021e-02 6.816288919032935656e-01
6.400000000000000133e-02 7.909599999999999964e-01 1.000000000000000021e-02 6.967592353683942363e-01
6.500000000000000222e-02 8.102000000000000313e-01 1.000000000000000021e-02 7.118895788334947961e-01
6.600000000000000311e-02 8.295299999999999896e-01 1.000000000000000021e-02 7.270199222985954668e-01
6.700000000000000400e-02 8.489299999999999624e-01 1.000000000000000021e-02 7.421502657636960265e-01
6.800000000000000488e-02 8.684100000000000152e-01 1.000000000000000021e-02 7.572806092287966973e-01
6.900000000000000577e-02 8.879500000000000171e-01 1.000000000000000021e-02 7.724109526938973680e-01
7.000000000000000666e-02 9.075400000000000134e-01 1.000000000000000021e-02 7.884214280523897944e-01
7.099999999999999367e-02 9.271800000000000042e-01 1.000000000000000021e-02 8.045310212420415663e-01
7.199999999999999456e-02 9.468499999999999694e-01 1.000000000000000021e-02 8.206406144316935602e-01
7.299999999999999545e-02 9.665599999999999747e-01 1.000000000000000021e-02 8.367502076213454432e-01
7.399999999999999634e-02 9.862800000000000455e-01 1.000000000000000021e-02 8.528598008109974371e-01
7.499999999999999722e-02 1.006000000000000005e+00 1.000000000000000021e-02 8.689693940006494310e-01
7.599999999999999811e-02 1.025700000000000056e+00 1.000000000000000021e-02 8.853323545446845078e-01
7.699999999999999900e-02 1.045500000000000096e+00 1.000000000000000021e-02 9.018526896415496319e-01
7.799999999999999989e-02 1.065199999999999925e+00 1.000000000000000021e-02 9.183730247384147560e-01
7.900000000000000078e-02 1.084899999999999975e+00 1.000000000000000021e-02 9.348933598352798802e-01
8.000000000000000167e-02 1.104500000000000037e+00 1.000000000000000021e-02 9.514136949321450043e-01
8.100000000000000255e-02 1.124200000000000088e+00 1.000000000000000021e-02 9.679340300290100174e-01
8.200000000000000344e-02 1.143699999999999939e+00 1.000000000000000021e-02 9.844050448940037112e-01
8.300000000000000433e-02 1.163200000000000012e+00 1.000000000000000021e-02 1.000778122019949423e+00
8.400000000000000522e-02 1.182700000000000085e+00 1.000000000000000021e-02 1.017151199145895024e+00
8.500000000000000611e-02 1.202099999999999946e+00 1.000000000000000021e-02 1.033524276271840625e+00
8.599999999999999312e-02 1.221400000000000041e+00 1.000000000000000021e-02 1.049897353397786004e+00
8.699999999999999400e-02 1.240599999999999925e+00 1.000000000000000021e-02 1.066270430523731605e+00
8.799999999999999489e-02 1.259700000000000042e+00 1.000000000000000021e-02 1.082609742128830765e+00
8.899999999999999578e-02 1.278699999999999948e+00 1.000000000000000021e-02 1.098345675055600879e+00
8.999999999999999667e-02 1.297600000000000087e+00 1.000000000000000021e-02 1.114081607982371214e+00
9.099999999999999756e-02 1.316300000000000026e+00 1.000000000000000021e-02 1.129817540909141327e+00
9.199999999999999845e-02 1.334999999999999964e+00 1.000000000000000021e-02 1.145553473835911440e+00
9.299999999999999933e-02 1.353399999999999936e+00 1.000000000000000021e-02 1.161289406762681553e+00
9.400000000000000022e-02 1.371799999999999908e+00 1.000000000000000021e-02 1.177025339689451888e+00
9.500000000000000111e-02 1.389999999999999902e+00 1.000000000000000021e-02 1.191976731160633296e+00
9.600000000000000200e-02 1.407999999999999918e+00 1.000000000000000021e-02 1.206695187926622337e+00
9.700000000000000289e-02 1.425899999999999945e+00 1.000000000000000021e-02 1.221413644692611156e+00
9.800000000000000377e-02 1.443599999999999994e+00 1.000000000000000021e-02 1.236132101458600197e+00
9.900000000000000466e-02 1.461000000000000076e+00 1.000000000000000021e-02 1.250850558224589237e+00
1.000000000000000056e-01 1.478299999999999947e+00 1.000000000000000021e-02 1.265569014990578278e+00
1.010000000000000064e-01 1.495500000000000052e+00 1.000000000000000021e-02 1.279666929162245781e+00
1.019999999999999934e-01 1.512299999999999978e+00 1.000000000000000021e-02 1.293116738765123452e+00
1.029999999999999943e-01 1.528999999999999915e+00 1.000000000000000021e-02 1.306566548368001346e+00
1.039999999999999952e-01 1.545500000000000096e+00 1.000000000000000021e-02 1.320016357970879017e+00
1.049999999999999961e-01 1.561700000000000088e+00 1.000000000000000021e-02 1.333466167573756911e+00
1.059999999999999970e-01 1.577700000000000102e+00 1.000000000000000021e-02 1.346915977176634582e+00
1.069999999999999979e-01 1.593499999999999917e+00 1.000000000000000021e-02 1.360076865682463776e+00
1.079999999999999988e-01 1.608999999999999986e+00 1.000000000000000021e-02 1.372132324545231041e+00
1.089999999999999997e-01 1.624200000000000088e+00 1.000000000000000021e-02 1.384187783407998307e+00
1.100000000000000006e-01 1.639199999999999990e+00 1.000000000000000021e-02 1.396243242270765572e+00
1.110000000000000014e-01 1.653899999999999926e+00 1.000000000000000021e-02 1.408298701133532838e+00
1.120000000000000023e-01 1.668400000000000105e+00 1.000000000000000021e-02 1.420354159996299881e+00
1.130000000000000032e-01 1.682500000000000107e+00 1.000000000000000021e-02 1.432409618859067368e+00
1.140000000000000041e-01 1.696399999999999908e+00 1.000000000000000021e-02 1.443152302014924615e+00
