z lipid2 substrate bME protein lipid1 headgroup2 headgroup2_2 headgroup2_3 normarea tetherg headgroup1_3 headgroup1_2 defect_hg methyl1 tether defect_hc methyl2 headgroup1 summol water waterperc
0.0 0.0 31.496584 1.468297 0.0 0.0 0.0 0.0 0.0 45.119927 0.0 0.0 0.0 0.0 0.0 3.20609 0.0 0.0 0.0 36.170971 8.948956 0.198337111671
0.5 0.0 31.489321 1.468412 0.0 0.0 0.0 0.0 0.0 45.119927 0.0 0.0 0.0 0.0 0.0 3.207799 0.0 0.0 0.0 36.165532 8.954395 0.198457657079
1.0 0.0 31.467541 1.468757 0.0 0.0 0.0 0.0 0.0 45.119927 0.0 0.0 0.0 0.0 0.0 3.212925 0.0 0.0 0.0 36.149223 8.970704 0.198819115997
1.5 0.0 31.431273 1.469328 0.0 0.0 0.0 0.0 0.0 45.119927 0.0 0.0 0.0 0.0 0.0 3.22146 0.0 0.0 0.0 36.122061 8.997866 0.199421111652
2.0 0.0 31.380562 1.470121 0.0 0.0 0.0 0.0 0.0 45.119927 0.0 0.0 0.0 0.0 0.0 3.233395 0.0 0.0 0.0 36.084078 9.035849 0.200262934823
2.5 0.0 31.315475 1.471129 0.0 0.0 0.0 0.0 0.0 45.119927 0.0 0.0 1e-06 0.0 0.0 3.248712 0.0 0.0 1e-06 36.035318 9.084609 0.20134361033
3.0 0.0 31.236094 1.472344 0.0 0.0 0.0 0.0 0.0 45.119927 0.0 0.0 1e-06 0.0 0.0 3.267393 0.0 0.0 1e-06 35.975833 9.144094 0.20266198569
3.5 0.0 31.142522 1.473756 0.0 0.0 0.0 0.0 0.0 45.119927 0.0 0.0 2e-06 0.0 0.0 3.289414 0.0 0.0 3e-06 35.905697 9.21423 0.204216420829
4.0 0.0 31.03488 1.475354 0.0 0.0 0.0 0.0 0.0 45.119927 0.0 0.0 4e-06 1e-06 0.0 3.314747 0.0 0.0 5e-06 35.824991 9.294936 0.206005120531
4.5 0.0 30.913303 1.477123 0.0 0.0 0.0 0.0 0.0 45.119927 0.0 0.0 6e-06 1e-06 0.0 3.343358 0.0 0.0 8e-06 35.733799 9.386128 0.208026223092
5.0 0.0 30.777949 1.479049 0.0 0.0 0.0 0.0 0.0 45.119927 0.0 0.0 1.1e-05 3e-06 0.0 3.375212 0.0 0.0 1.5e-05 35.632239 9.487688 0.210277113259
5.5 0.0 30.62899 1.481116 0.0 0.0 0.0 0.0 0.0 45.119927 0.0 0.0 2e-05 5e-06 0.0 3.410268 0.0 0.0 2.6e-05 35.520425 9.599502 0.212755264431
6.0 0.0 30.466616 1.483304 0.0 0.0 0.0 0.0 0.0 45.119927 0.0 0.0 3.4e-05 8e-06 0.0 3.448481 0.0 0.0 4.4e-05 35.398487 9.72144 0.215457795399
6.5 0.0 34.131314 1.485594 0.0 0.0 0.0 0.0 0.0 45.119927 0.0 0.0 5.7e-05 1.3e-05 0.0 3.489802 0.0 0.0 7.4e-05 39.106854 6.013073 0.133268677496
7.0 0.0 33.779189 1.487967 0.0 0.0 0.0 0.0 0.0 45.119927 1e-06 0.0 9.6e-05 2.2e-05 0.0 3.53418 0.0 0.0 0.000122 38.801577 6.31835 0.1400345794
7.5 0.0 33.411609 1.490399 0.0 0.0 0.0 0.0 0.0 45.119927 1e-06 0.0 0.000158 3.7e-05 0.0 3.581557 0.0 0.0 0.0002 38.483961 6.635966 0.147073952491
8.0 0.0 33.033802 1.492869 0.0 1e-06 0.0 0.0 0.0 45.119927 2e-06 0.0 0.000257 6e-05 0.0 3.631875 0.0 0.0 0.000323 38.159189 6.960738 0.15427192513
8.5 0.0 32.648253 1.49535 0.0 1e-06 0.0 0.0 0.0 45.119927 4e-06 0.0 0.000412 9.6e-05 0.0 3.685069 0.0 0.0 0.000514 37.829699 7.290228 0.16157446354
9.0 0.0 32.256121 1.49782 0.0 2e-06 0.0 0.0 0.0 45.119927 7e-06 0.0 0.000651 0.000151 0.0 3.741072 0.0 0.0 0.000806 37.49663 7.623297 0.168956323888
9.5 0.0 31.857975 1.500251 0.0 4e-06 0.0 0.0 0.0 45.119927 1.3e-05 0.0 0.001014 0.000235 0.0 3.799815 0.0 0.0 0.001248 37.160555 7.959372 0.176404806683
10.0 0.0 31.454145 1.502618 0.0 8e-06 0.0 0.0 0.0 45.119927 2.4e-05 0.0 0.001559 0.000362 0.0 3.861222 1e-06 0.0 0.001905 36.821844 8.298083 0.183911711559
10.5 0.0 31.044877 1.504894 0.0 1.5e-05 0.0 0.0 0.0 45.119927 4.3e-05 0.0 0.002362 0.000548 0.0 3.925215 2e-06 0.0 0.002869 36.480825 8.639102 0.191469769
11.0 0.0 30.63039 1.50705 0.0 2.7e-05 0.0 0.0 0.0 45.119927 7.6e-05 0.0 0.00353 0.000819 0.0 3.991712 3e-06 0.0 0.004262 36.137869 8.982058 0.199070756475
11.5 0.0 30.210902 1.50906 0.0 4.9e-05 0.0 0.0 0.0 45.119927 0.000131 0.0 0.005204 0.001207 0.0 4.060624 5e-06 0.0 0.006247 35.793429 9.326498 0.206704634074
12.0 0.0 29.786638 1.510895 0.0 8.8e-05 0.0 0.0 0.0 45.119927 0.000223 0.0 0.007567 0.001755 0.0 4.131857 9e-06 0.0 0.009034 35.448066 9.671861 0.214358968267
12.5 0.0 29.357829 1.512528 0.0 0.000156 0.0 0.0 0.0 45.119927 0.000375 0.0 0.010852 0.002518 0.0 4.205308 1.6e-05 0.0 0.012893 35.102475 10.017452 0.222018355659
