# z rho mu P theta
-16.3183 2.07e-06 0 0 270
-6.31829 2.07e-06 0 0 270
-6.31829 2.07001e-06 0 0 270
-4.98147 2.07001e-06 0 0 270
-4.98147 2.07036e-06 0 0 270
-3.90156 2.07036e-06 0 0 270
-3.90156 2.07402e-06 0 0 270
-3.18219 2.07402e-06 0 0 270
-3.18219 2.08683e-06 0 0 270
-2.62178 2.08683e-06 0 0 270
-2.62178 2.11521e-06 0 0 270
-2.15038 2.11521e-06 0 0 270
-2.15038 2.16425e-06 0 0 270
-1.7345 2.16425e-06 0 0 270
-1.7345 2.23675e-06 0 0 270
-1.35502 2.23675e-06 0 0 270
-1.35502 2.33302e-06 0 0 270
-0.999696 2.33302e-06 0 0 270
-0.999696 2.45101e-06 0 0 270
-0.659791 2.45101e-06 0 0 270
-0.659791 2.58661e-06 0 0 270
-0.328507 2.58661e-06 0 0 270
-0.328507 2.73409e-06 0 0 270
-1.88738e-15 2.73409e-06 0 0 270
-1.88738e-15 2.88655e-06 0 0 270
0.331284 2.88655e-06 0 0 270
0.331284 3.03643e-06 0 0 270
0.671188 3.03643e-06 0 0 270
0.671188 3.17612e-06 0 0 270
1.02652 3.17612e-06 0 0 270
1.02652 3.29857e-06 0 0 270
1.40599 3.29857e-06 0 0 270
1.40599 3.39812e-06 0 0 270
1.82188 3.39812e-06 0 0 270
1.82188 3.47132e-06 0 0 270
2.29327 3.47132e-06 0 0 270
2.29327 3.51789e-06 0 0 270
2.85368 3.51789e-06 0 0 270
2.85368 3.54137e-06 0 0 270
3.57305 3.54137e-06 0 0 270
3.57305 3.54908e-06 0 0 270
4.65296 3.54908e-06 0 0 270
4.65296 3.54998e-06 0 0 270
5.98978 3.54998e-06 0 0 270
5.98978 3.55e-06 0 0 270
13.6617 3.55e-06 0 0 270
13.6617 3.55e-06 0 0 270
14.9985 3.55e-06 0 0 270
14.9985 3.54993e-06 0 0 270
16.0784 3.54993e-06 0 0 270
16.0784 3.54924e-06 0 0 270
16.7978 3.54924e-06 0 0 270
16.7978 3.54683e-06 0 0 270
17.3582 3.54683e-06 0 0 270
17.3582 3.54148e-06 0 0 270
17.8296 3.54148e-06 0 0 270
17.8296 3.53223e-06 0 0 270
18.2455 3.53223e-06 0 0 270
18.2455 3.51857e-06 0 0 270
18.625 3.51857e-06 0 0 270
18.625 3.50042e-06 0 0 270
18.9803 3.50042e-06 0 0 270
18.9803 3.47818e-06 0 0 270
19.3202 3.47818e-06 0 0 270
19.3202 3.45262e-06 0 0 270
19.6515 3.45262e-06 0 0 270
19.6515 3.42482e-06 0 0 270
19.98 3.42482e-06 0 0 270
19.98 3.39608e-06 0 0 270
20.3113 3.39608e-06 0 0 270
20.3113 3.36783e-06 0 0 270
20.6512 3.36783e-06 0 0 270
20.6512 3.3415e-06 0 0 270
21.0065 3.3415e-06 0 0 270
21.0065 3.31842e-06 0 0 270
21.386 3.31842e-06 0 0 270
21.386 3.29965e-06 0 0 270
21.8019 3.29965e-06 0 0 270
21.8019 3.28585e-06 0 0 270
22.2733 3.28585e-06 0 0 270
22.2733 3.27708e-06 0 0 270
22.8337 3.27708e-06 0 0 270
22.8337 3.27265e-06 0 0 270
23.5531 3.27265e-06 0 0 270
23.5531 3.2712e-06 0 0 270
24.633 3.2712e-06 0 0 270
24.633 3.27103e-06 0 0 270
25.9698 3.27103e-06 0 0 270
25.9698 3.27102e-06 0 0 270
42.9663 3.27102e-06 0 0 270
42.9663 3.27102e-06 0 0 270
44.2733 3.27102e-06 0 0 270
44.2733 3.27103e-06 0 0 270
47.116 3.27103e-06 0 0 270
47.116 3.27134e-06 0 0 270
49.4124 3.27134e-06 0 0 270
49.4124 3.27458e-06 0 0 270
50.9421 3.27458e-06 0 0 270
50.9421 3.28588e-06 0 0 270
52.1338 3.28588e-06 0 0 270
52.1338 3.31093e-06 0 0 270
53.1363 3.31093e-06 0 0 270
53.1363 3.35422e-06 0 0 270
54.0206 3.35422e-06 0 0 270
54.0206 3.41821e-06 0 0 270
54.8276 3.41821e-06 0 0 270
54.8276 3.5032e-06 0 0 270
55.5832 3.5032e-06 0 0 270
55.5832 3.60735e-06 0 0 270
56.306 3.60735e-06 0 0 270
56.306 3.72705e-06 0 0 270
57.0104 3.72705e-06 0 0 270
57.0104 3.85723e-06 0 0 270
57.709 3.85723e-06 0 0 270
57.709 3.9918e-06 0 0 270
58.4135 3.9918e-06 0 0 270
58.4135 4.1241e-06 0 0 270
59.1363 4.1241e-06 0 0 270
59.1363 4.24741e-06 0 0 270
59.8919 4.24741e-06 0 0 270
59.8919 4.3555e-06 0 0 270
60.6988 4.3555e-06 0 0 270
60.6988 4.44337e-06 0 0 270
61.5832 4.44337e-06 0 0 270
61.5832 4.50799e-06 0 0 270
62.5856 4.50799e-06 0 0 270
62.5856 4.54909e-06 0 0 270
63.7773 4.54909e-06 0 0 270
63.7773 4.56982e-06 0 0 270
65.307 4.56982e-06 0 0 270
65.307 4.57663e-06 0 0 270
67.6034 4.57663e-06 0 0 270
67.6034 4.57742e-06 0 0 270
70.4462 4.57742e-06 0 0 270
70.4462 4.57744e-06 0 0 270
71.6852 4.57744e-06 0 0 270
71.6852 4.57744e-06 0 0 270
159.266 4.57744e-06 0 0 270
159.266 4.29768e-06 0 0 270
159.766 4.29768e-06 0 0 270
159.766 4.29765e-06 0 0 270
160.266 4.29765e-06 0 0 270
160.266 4.29756e-06 0 0 270
160.766 4.29756e-06 0 0 270
160.766 4.29741e-06 0 0 270
161.266 4.29741e-06 0 0 270
161.266 4.2972e-06 0 0 270
161.766 4.2972e-06 0 0 270
161.766 4.29693e-06 0 0 270
162.266 4.29693e-06 0 0 270
162.266 4.29661e-06 0 0 270
162.766 4.29661e-06 0 0 270
