z lipid2 substrate bME protein lipid1 headgroup2 headgroup2_2 normarea tetherg headgroup1_2 methyl1 tether methyl2 headgroup1 summol water waterperc
0.0 0.0 183.999831 7e-05 0.0 0.0 0.0 0.0 184.0 0.0 0.0 0.0 1.4e-05 0.0 0.0 183.999915 8.50000000128e-05 4.61956521809e-07
0.5 0.0 183.999798 0.00013 0.0 0.0 0.0 0.0 184.0 0.0 0.0 0.0 2.6e-05 0.0 0.0 183.999954 4.59999999975e-05 2.49999999987e-07
1.0 0.0 183.99969 0.000238 0.0 0.0 0.0 0.0 184.0 0.0 0.0 0.0 4.8e-05 0.0 0.0 183.999976 2.40000000247e-05 1.30434782743e-07
1.5 0.0 183.999471 0.00043 0.0 0.0 0.0 0.0 184.0 0.0 0.0 0.0 8.7e-05 0.0 0.0 183.999988 1.19999999981e-05 6.52173912942e-08
2.0 0.0 183.999075 0.000763 0.0 0.0 0.0 0.0 184.0 0.0 0.0 0.0 0.000154 0.0 0.0 183.999992 7.9999999798e-06 4.34782607598e-08
2.5 0.0 183.998387 0.001335 0.0 0.0 0.0 0.0 184.0 0.0 0.0 0.0 0.00027 0.0 0.0 183.999992 7.9999999798e-06 4.34782607598e-08
3.0 0.0 183.99722 0.002304 0.0 0.0 0.0 0.0 184.0 0.0 0.0 0.0 0.000466 0.0 1e-06 183.999991 9.0000000057e-06 4.89130435092e-08
3.5 0.0 183.995273 0.003918 0.0 0.0 0.0 0.0 184.0 0.0 0.0 0.0 0.000793 0.0 1e-06 183.999985 1.5000000019e-05 8.15217392335e-08
4.0 0.0 183.992072 0.006568 0.0 0.0 0.0 0.0 184.0 0.0 0.0 0.0 0.00133 0.0 2e-06 183.999972 2.80000000146e-05 1.52173913123e-07
4.5 0.0 183.986894 0.010852 0.0 0.0 0.0 0.0 184.0 1e-06 0.0 0.0 0.0022 0.0 3e-06 183.99995 5.00000000159e-05 2.71739130521e-07
5.0 0.0 183.97864 0.017674 0.0 0.0 0.0 0.0 184.0 1e-06 1e-06 0.0 0.003585 0.0 4e-06 183.999905 9.50000000159e-05 5.16304347913e-07
5.5 0.0 183.96568 0.028373 0.0 1e-06 0.0 0.0 184.0 2e-06 1e-06 0.0 0.00576 0.0 6e-06 183.999823 0.000177000000008 9.61956521782e-07
6.0 0.0 183.945636 0.044902 0.0 1e-06 0.0 0.0 184.0 3e-06 2e-06 0.0 0.009124 0.0 1e-05 183.999678 0.000321999999983 1.74999999991e-06
6.5 0.0 183.808924 0.070049 0.0 2e-06 0.0 0.0 184.0 5e-06 2e-06 0.0 0.014249 0.0 1.4e-05 183.893245 0.106755 0.000580190217391
7.0 0.0 183.826459 0.107731 0.0 4e-06 0.0 0.0 184.0 9e-06 4e-06 0.0 0.021941 0.0 2.1e-05 183.956169 0.043831 0.000238211956522
7.5 0.0 183.785232 0.163338 0.0 7e-06 0.0 0.0 184.0 1.5e-05 6e-06 0.0 0.033313 0.0 3.1e-05 183.981942 0.018058 9.81413043477e-05
8.0 0.0 183.696987 0.244148 0.0 1.3e-05 0.0 0.0 184.0 2.5e-05 8e-06 0.0 0.049873 0.0 4.5e-05 183.991099 0.00890100000001 4.8375e-05
8.5 0.0 183.559269 0.359795 0.0 2.2e-05 0.0 0.0 184.0 4.1e-05 1.2e-05 0.0 0.073631 0.0 6.5e-05 183.992835 0.00716499999999 3.89402173912e-05
9.0 0.0 183.360529 0.522764 0.0 3.6e-05 0.0 0.0 184.0 6.7e-05 1.8e-05 0.0 0.107204 0.0 9.3e-05 183.990711 0.009289 5.04836956521e-05
9.5 0.0 183.082428 0.748888 0.0 6.1e-05 0.0 0.0 184.0 0.000108 2.6e-05 0.0 0.153939 0.0 0.000132 183.985582 0.014418 7.83586956522e-05
10.0 0.0 182.70059 1.057802 0.0 0.000101 0.0 0.0 184.0 0.000173 3.7e-05 0.0 0.218025 0.0 0.000185 183.976913 0.023087 0.000125472826087
10.5 0.0 182.18463 1.473269 0.0 0.000165 0.0 0.0 184.0 0.000275 5.2e-05 0.0 0.304591 0.0 0.000256 183.963238 0.036762 0.000199793478261
11.0 0.0 181.497992 2.02332 0.0 0.000269 0.0 0.0 184.0 0.000432 7.4e-05 0.0 0.419774 0.0 0.000352 183.942213 0.057787 0.000314059782609
11.5 0.0 180.597899 2.7401 0.0 0.000432 0.0 0.0 184.0 0.000672 0.000102 0.0 0.570744 0.0 0.00048 183.910429 0.089571 0.000486798913043
12.0 0.0 179.435614 3.659338 0.0 0.000689 0.0 0.0 184.0 0.001035 0.000141 0.0 0.765663 0.0 0.000648 183.863128 0.136872 0.000743869565217
12.5 0.0 177.957167 4.819343 0.0 0.001087 0.0 0.0 184.0 0.001579 0.000193 0.0 1.01356 0.0 0.000866 183.793795 0.206205 0.00112067934783
13.0 0.0 176.104626 6.259467 0.0 0.001699 0.0 0.0 184.0 0.002385 0.000262 0.0 1.324115 0.0 0.001148 183.693702 0.306298 0.00166466304348
13.5 0.0 173.817978 8.017998 0.0 0.00263 0.0 0.0 184.0 0.003566 0.000352 0.0 1.707341 0.0 0.001508 183.551373 0.448627 0.00243819021739
14.0 0.0 171.037625 10.129514 0.0 0.004032 0.0 0.0 184.0 0.005278 0.000467 1e-06 2.173154 0.0 0.001963 183.352034 0.647966 0.00352155434783
14.5 0.0 167.707431 12.62176 0.0 0.006121 0.0 0.0 184.0 0.007735 0.000616 1e-06 2.730856 0.0 0.002533 183.077053 0.922947 0.00501601630435
15.0 1e-06 163.778192 15.512235 0.0 0.009206 0.0 0.0 184.0 0.011221 0.000804 3e-06 3.388539 1e-06 0.003239 182.703441 1.296559 0.00704651630435
15.5 1e-06 159.211344 18.804687 0.0 0.013711 0.0 0.0 184.0 0.016115 0.001039 4e-06 4.15245 1e-06 0.004105 182.203457 1.796543 0.00976382065217
16.0 2e-06 153.982643 22.485827 0.0 0.020228 0.0 0.0 184.0 0.022912 0.001332 7e-06 5.026355 2e-06 0.005158 181.544466 2.455534 0.0133452934783
16.5 4e-06 148.085518 26.522588 0.0 0.029558 0.0 0.0 184.0 0.03225 0.001691 1.2e-05 6.010951 3e-06 0.006423 180.688998 3.311002 0.017994576087
17.0 8e-06 141.533789 30.860282 0.0 0.042782 0.0 0.0 184.0 0.04494 0.002127 2.1e-05 7.10339 6e-06 0.00793 179.595275 4.404725 0.0239387228261
17.5 1.3e-05 134.363433 35.421982 0.0 0.061336 0.0 0.0 184.0 0.061996 0.002652 3.4e-05 8.296949 1e-05 0.009706 178.218111 5.781889 0.0314233097826
18.0 2.2e-05 126.63316 40.109395 0.0 0.087107 0.0 0.0 184.0 0.084669 0.003277 5.6e-05 9.580894 1.6e-05 0.011777 176.510373 7.489627 0.0407044945652
18.5 3.8e-05 118.423635 44.805375 0.0 0.12254 0.0 0.0 184.0 0.114479 0.004012 9.2e-05 10.940583 2.7e-05 0.014169 174.42495 9.57505 0.0520383152174
19.0 6.3e-05 109.835271 49.378107 0.0 0.170767 0.0 0.0 184.0 0.153234 0.004869 0.000147 12.357784 4.4e-05 0.016902 171.917188 12.082812 0.0656674565217
19.5 0.000104 100.984685 53.686818 0.0 0.235746 0.0 0.0 184.0 0.203056 0.005856 0.000234 13.811232 7e-05 0.019991 168.947792 15.052208 0.0818054782609
20.0 0.00017 92.0 57.588709 0.0 0.32241 0.0 0.0 184.0 0.266385 0.006981 0.000369 15.277372 0.000112 0.023448 165.485956 18.514044 0.100619804348
20.5 0.000276 83.015315 60.94666 0.0 0.436828 0.0 0.0 184.0 0.345969 0.008248 0.000575 16.731251 0.000178 0.027272 161.512572 22.487428 0.122214282609
21.0 0.000444 74.164729 63.637138 0.0 0.586359 0.0 0.0 184.0 0.444832 0.00966 0.000887 18.147482 0.000279 0.031458 157.023268 26.976732 0.146612673913
21.5 0.000706 65.576365 65.557682 0.0 0.779797 1e-06 0.0 184.0 0.566223 0.011214 0.001356 19.501223 0.000432 0.035987 152.030986 31.969014 0.173744641304
22.0 0.001112 57.36684 66.63334 0.0 1.027493 1e-06 1e-06 184.0 0.71353 0.012906 0.002051 20.769098 0.000664 0.040831 146.567867 37.432133 0.203435505435
22.5 0.001736 49.636567 66.821493 0.0 1.341435 2e-06 1e-06 184.0 0.890161 0.014724 0.003071 21.929989 0.001008 0.045948 140.686135 43.313865 0.235401440217
23.0 0.002683 42.466211 66.114638 0.0 1.735282 4e-06 2e-06 184.0 1.099405 0.016653 0.004552 22.965666 0.001517 0.051288 134.457901 49.542099 0.269250538043
23.5 0.004106 35.914482 64.540887 0.0 2.224314 7e-06 3e-06 184.0 1.344248 0.018673 0.00668 23.861206 0.00226 0.056785 127.973651 56.026349 0.304491027174
24.0 0.006222 30.017357 62.162116 0.0 2.825298 1.1e-05 5e-06 184.0 1.627172 0.020758 0.009705 24.605218 0.003332 0.062366 121.33956 62.66044 0.340545869565
24.5 0.009339 24.788656 59.069958 0.0 3.556245 1.8e-05 8e-06 184.0 1.949935 0.022881 0.013958 25.189856 0.004864 0.067946 114.673664 69.326336 0.376773565217
25.0 0.013882 20.221808 55.379978 0.0 4.436049 2.9e-05 1.3e-05 184.0 2.31334 0.025006 0.019875 25.610678 0.007029 0.073435 108.101122 75.898878 0.412493902174
25.5 0.020436 16.292569 51.224554 0.0 5.483985 4.7e-05 2.1e-05 184.0 2.717011 0.027098 0.028015 25.866363 0.010055 0.078735 101.748889 82.251111 0.447016907609
26.0 0.029794 12.962375 46.745067 0.0 6.71909 7.6e-05 3.3e-05 184.0 3.159191 0.029117 0.039095 25.958351 0.01424 0.083747 95.740176 88.259824 0.479672956522
26.5 0.043019 10.182022 42.084041 0.0 8.159398 0.00012 5.3e-05 184.0 3.636579 0.031023 0.054009 25.89045 0.019965 0.088373 90.189052 93.810948 0.509842108696
27.0 0.061516 7.895374 37.377818 0.0 9.82107 0.000189 8.3e-05 184.0 4.144219 0.032778 0.073865 25.66844 0.02771 0.092516 85.195578 98.804422 0.536980554348
27.5 0.087121 6.042833 32.750297 0.0 11.717436 0.000293 0.000128 184.0 4.675468 0.034343 0.100008 25.299724 0.038073 0.096087 80.841811 103.158189 0.560642331522
28.0 0.122199 4.564386 28.308076 0.0 13.857975 0.000451 0.000197 184.0 5.222038 0.035682 0.134049 24.79303 0.051786 0.099008 77.188877 106.811123 0.580495233696
28.5 0.169758 3.4021 24.137236 0.0 16.247288 0.000688 0.0003 184.0 5.774145 0.036765 0.177875 24.158179 0.069732 0.101211 74.275277 109.724723 0.596330016304
29.0 0.233568 2.502004 20.301793 0.0 18.884111 0.001038 0.000453 184.0 6.320741 0.037566 0.233665 23.405923 0.092954 0.102646 72.116462 111.883538 0.608062706522
29.5 0.318288 1.815356 16.843715 0.0 21.760429 0.001553 0.000677 184.0 6.849848 0.038067 0.303877 22.547821 0.122667 0.103276 70.705574 113.294426 0.615730576087
30.0 0.429594 1.299357 13.784292 0.0 24.860753 0.002301 0.001002 184.0 7.348972 0.038253 0.391228 21.596157 0.160252 0.103086 70.015247 113.984753 0.619482353261
30.5 0.574287 0.917385 11.126541 0.0 28.161606 0.003376 0.001469 184.0 7.805576 0.038123 0.498641 20.563865 0.207253 0.102078 70.0002 113.9998 0.619564130435
31.0 0.760394 0.638846 8.858305 0.0 31.631303 0.004908 0.002133 184.0 8.207596 0.037677 0.629177 19.464448 0.265347 0.100275 70.600409 113.399591 0.616302125
31.5 0.997221 0.438764 6.955707 0.0 35.230025 0.007066 0.003068 184.0 8.543969 0.036928 0.78593 18.311866 0.336317 0.097715 71.744576 112.255424 0.610083826087
32.0 1.295366 0.297186 5.386632 0.0 38.910267 0.010078 0.004371 184.0 8.805136 0.035893 0.9719 17.120394 0.42199 0.094457 73.35367 110.64633 0.60133875
32.5 1.666656 0.198499 4.113996 0.0 42.617633 0.014239 0.006168 184.0 8.983492 0.034597 1.189833 15.904437 0.524172 0.090572 75.344294 108.655706 0.590520141304
33.0 2.124011 0.130737 3.098602 0.0 46.291993 0.01993 0.008622 184.0 9.073754 0.033069 1.442038 14.678306 0.644562 0.086144 77.631768 106.368232 0.578088217391
