# Q dQ R dR fit
0.00461736 8.24514e-05 0.557956 0.0148664 0.588783
0.00507909 8.43872e-05 0.541042 0.0144733 0.561019
0.00554083 8.64576e-05 0.537373 0.014413 0.529773
0.00600256 8.86532e-05 0.487947 0.0132982 0.499736
0.0064643 9.09649e-05 0.477884 0.0131046 0.470887
0.00692603 9.33842e-05 0.439378 0.012258 0.44321
0.00738776 9.59028e-05 0.410242 0.0115945 0.416689
0.0078495 9.85132e-05 0.395599 0.0113025 0.39131
0.00831123 0.000101208 0.379489 0.0109734 0.367057
0.00877297 0.000103981 0.357654 0.0104174 0.343913
0.0092347 0.000106827 0.326322 0.00978065 0.321862
0.00969643 0.000109738 0.308585 0.00935966 0.300883
0.0101582 0.000112711 0.278281 0.008686 0.280954
0.0106199 0.00011574 0.262646 0.00832271 0.262051
0.0110816 0.000118822 0.252749 0.00813814 0.244148
0.0115434 0.000121951 0.233767 0.00635804 0.227217
0.0120051 0.000125126 0.230102 0.00760568 0.211206
0.012236 0.000126729 0.206412 0.00677107 0.203534
0.0124668 0.000128341 0.203782 0.00697998 0.196128
0.0129286 0.000131595 0.191095 0.00665649 0.181952
0.0133903 0.000134885 0.174069 0.00624625 0.168579
0.0136211 0.000136542 0.163116 0.0052959 0.16219
0.013852 0.000138207 0.164496 0.00603325 0.156038
0.0143137 0.000141561 0.150095 0.00566385 0.144296
0.0147755 0.000144942 0.143385 0.00554399 0.133258
0.0150063 0.000146643 0.137793 0.00437743 0.128
0.0152372 0.00014835 0.125248 0.00506714 0.122948
0.0156989 0.000151783 0.121887 0.00496985 0.113333
0.0161607 0.00015524 0.105558 0.00452995 0.104323
0.0163915 0.000156976 0.10957 0.00345718 0.100044
0.0166224 0.000158717 0.0929649 0.0041974 0.0959399
0.0170841 0.000162215 0.0963192 0.0043116 0.0881503
0.0175458 0.000165816 0.0830847 0.00394616 0.0808781
0.0177767 0.000167997 0.0796894 0.00258748 0.0774581
0.0184693 0.000174543 0.0672439 0.00226078 0.0679186
0.0191619 0.000181088 0.0586882 0.00199269 0.0593759
0.0198545 0.000187633 0.0516795 0.0017878 0.0517711
0.020547 0.000194178 0.0480836 0.00166153 0.0450185
0.0212396 0.000200723 0.041001 0.00144288 0.0390382
0.0219322 0.000207268 0.034834 0.00127407 0.0337557
0.0226248 0.000213814 0.0300903 0.0011364 0.0290928
0.0230865 0.000218177 0.0260805 0.000927169 0.0263725
0.0253951 0.000239994 0.0155466 0.000610268 0.0156992
0.0277036 0.00026181 0.00800215 0.00038245 0.0089666
0.0300122 0.000283627 0.00378636 0.000234673 0.00492444
0.0323207 0.000305443 0.00140565 0.000132281 0.00261532
0.0346292 0.000327258 0.000733495 9.10383e-05 0.00138026
0.0369377 0.000349074 0.000300828 5.81097e-05 0.000779356
0.0392461 0.000370888 0.000245799 4.86751e-05 0.000528936
0.0415545 0.000392703 0.000345458 5.10518e-05 0.000453469
0.0438629 0.000414517 0.000429083 5.17813e-05 0.000449935
0.0461712 0.000436331 0.00060056 5.71754e-05 0.000461813
0.0498645 0.000471232 0.000727909 5.82366e-05 0.000454152
0.0535577 0.000506131 0.000594378 4.86505e-05 0.000396724
0.0572508 0.00054103 0.00044284 3.90211e-05 0.000308513
0.0609437 0.000575927 0.000330593 3.19145e-05 0.000220459
0.0646366 0.000610822 0.000171811 2.16654e-05 0.000157586
0.0683293 0.000645716 7.97525e-05 1.47354e-05 0.000130311
0.0720219 0.000680608 3.53863e-05 1.03777e-05 0.000132942
0.0757143 0.000715498 3.93255e-05 1.02134e-05 0.000148621
0.0794066 0.000750386 7.08012e-05 1.21498e-05 0.000158302
0.0830988 0.000785272 8.9112e-05 1.25285e-05 0.000149574
0.0867908 0.000820156 7.48305e-05 1.1165e-05 0.000121301
0.0904826 0.000855038 8.51837e-05 1.1168e-05 8.21643e-05
0.0923284 0.000872478 8.97647e-05 9.29189e-06 6.29651e-05
0.09602 0.000907356 6.39427e-05 7.72985e-06 3.20798e-05
0.0997113 0.000942232 3.82826e-05 6.11896e-06 1.67786e-05
0.103402 0.000977105 2.28034e-05 5.02676e-06 1.67011e-05
0.107093 0.00101198 1.22114e-05 4.20814e-06 2.54393e-05
0.110784 0.00104684 1.50335e-05 4.3305e-06 3.47608e-05
0.114475 0.00108171 1.97946e-05 4.42879e-06 3.86711e-05
0.118165 0.00111657 2.34157e-05 4.44964e-06 3.54182e-05
0.121855 0.00115143 2.50576e-05 4.4152e-06 2.69912e-05
0.125545 0.00118629 2.39988e-05 4.20037e-06 1.70353e-05
0.129235 0.00122114 1.6582e-05 3.06767e-06 8.6707e-06
0.132924 0.00125599 7.58703e-06 2.6018e-06 3.32677e-06
0.136613 0.00129083 4.67911e-06 2.42485e-06 8.30647e-07
0.140302 0.00132568 4.44528e-06 2.40163e-06 2.36146e-07
0.14399 0.00136052 1.85818e-06 2.25885e-06 6.45815e-07
0.147679 0.00139535 1.908e-06 2.20587e-06 1.55628e-06
0.151367 0.00143018 6.53405e-06 2.35321e-06 2.73322e-06
0.155054 0.00146501 1.01618e-05 2.45034e-06 3.94012e-06
0.158742 0.00149984 5.93658e-06 2.21452e-06 4.85039e-06
0.161507 0.00152595 6.82904e-06 1.95318e-06 5.12603e-06
0.166116 0.00156947 5.30287e-06 1.87382e-06 4.80706e-06
0.170724 0.00161298 6.18741e-06 1.87753e-06 4.09049e-06
0.175331 0.00165649 3.94158e-06 1.77824e-06 3.8487e-06
0.179938 0.00169999 5.47784e-06 1.79043e-06 4.45732e-06
0.184544 0.00174348 3.62893e-07 1.59541e-06 5.3713e-06
0.18915 0.00178697 3.21659e-06 1.63793e-06 5.6512e-06
0.193755 0.00183045 3.694e-06 1.5976e-06 4.88961e-06
0.19836 0.00187392 5.38903e-06 1.62393e-06 3.61489e-06
0.202964 0.00191738 5.65528e-06 1.61224e-06 2.7969e-06
0.207568 0.00196083 3.94406e-06 1.5267e-06 2.96192e-06
0.21217 0.00200428 4.96226e-06 1.54055e-06 3.75384e-06
0.216773 0.00204772 4.50152e-06 1.51004e-06 4.29615e-06
0.221374 0.00209115 2.86367e-06 1.46512e-06 3.94095e-06
0.230575 0.00217798 2.93332e-06 1.4181e-06 1.47528e-06
0.235174 0.00222138 4.37261e-06 1.14572e-06 6.02641e-07
0.239773 0.00226477 2.56594e-06 1.09325e-06 3.40079e-07
0.244371 0.00230815 3.3116e-06 1.0879e-06 4.78609e-07
0.248968 0.00235153 3.67257e-06 1.09145e-06 6.75207e-07
0.253565 0.00239489 1.58694e-06 1.03736e-06 7.35234e-07
0.258161 0.00243824 1.12061e-06 1.02084e-06 6.57807e-07
0.262756 0.00248159 1.63276e-06 1.03244e-06 5.22267e-07
0.271943 0.00256824 1.17183e-06 9.845e-07 2.55864e-07
0.276535 0.00261155 2.41838e-06 9.87149e-07 1.78235e-07
0.281127 0.00265485 2.81869e-06 9.69654e-07 1.85688e-07
0.285718 0.00269814 2.31921e-06 9.40158e-07 2.75725e-07
0.290308 0.00274142 3.49871e-06 9.37148e-07 3.85144e-07
0.294897 0.00278468 3.21102e-06 9.10783e-07 4.40267e-07
