Model 0x10afdd838
  size 405 out of 409
  interface=0x10afdd8d8
  repeats=0 at 0x10afdd86c
  # d(0x7f874b81a990) rho(0x7f874b819cc8) mu(0x7f874b819000) rough(0x7f874b81b658)
  0 0 2.07e-06 0 7
  1 19.157 3.49068e-06 0 5.15988
  2 33.58 3.4238e-06 0 5.15988
  3 109.614 4.51594e-06 0 5.9268
  4 0.5 4.51594e-06 0 0
  5 0.5 4.51594e-06 0 0
  6 0.5 4.51594e-06 0 0
  7 0.5 4.51594e-06 0 0
  8 0.5 4.51594e-06 0 0
  9 0.5 4.51594e-06 0 0
  10 0.5 4.51594e-06 0 0
  11 0.5 4.51594e-06 0 0
  12 0.5 4.51594e-06 0 0
  13 0.5 4.51594e-06 0 0
  14 0.5 4.51594e-06 0 0
  15 0.5 4.51594e-06 0 0
  16 0.5 4.51594e-06 0 0
  17 0.5 4.51301e-06 0 0
  18 0.5 4.51476e-06 0 0
  19 0.5 4.51549e-06 0 0
  20 0.5 4.51578e-06 0 0
  21 0.5 4.51589e-06 0 0
  22 0.5 4.51592e-06 0 0
  23 0.5 4.51593e-06 0 0
  24 0.5 4.51593e-06 0 0
  25 0.5 4.51591e-06 0 0
  26 0.5 4.51586e-06 0 0
  27 0.5 4.51572e-06 0 0
  28 0.5 4.5154e-06 0 0
  29 0.5 4.51466e-06 0 0
  30 0.5 4.51305e-06 0 0
  31 0.5 4.50971e-06 0 0
  32 0.5 4.50317e-06 0 0
  33 0.5 4.49099e-06 0 0
  34 0.5 4.46944e-06 0 0
  35 0.5 4.43325e-06 0 0
  36 0.5 4.37554e-06 0 0
  37 0.5 4.28817e-06 0 0
  38 0.5 4.16255e-06 0 0
  39 0.5 3.99107e-06 0 0
  40 0.5 3.76877e-06 0 0
  41 0.5 3.4951e-06 0 0
  42 0.5 3.17508e-06 0 0
  43 0.5 2.81953e-06 0 0
  44 0.5 2.44404e-06 0 0
  45 0.5 2.06681e-06 0 0
  46 0.5 1.70579e-06 0 0
  47 0.5 1.37593e-06 0 0
  48 0.5 1.08713e-06 0 0
