Model 0x10afddd88
  size 405 out of 409
  interface=0x10afdde28
  repeats=0 at 0x10afdddbc
  # d(0x7f874b816990) rho(0x7f874b815cc8) mu(0x7f874b815000) rough(0x7f874b817658)
  0 0 2.07e-06 0 7
  1 19.157 3.49068e-06 0 5.15988
  2 33.58 3.4238e-06 0 5.15988
  3 109.614 4.51594e-06 0 5.9268
  4 0.5 4.51594e-06 0 0
  5 0.5 4.51594e-06 0 0
  6 0.5 4.51594e-06 0 0
  7 0.5 4.51594e-06 0 0
  8 0.5 4.51594e-06 0 0
  9 0.5 4.51594e-06 0 0
  10 0.5 4.51594e-06 0 0
  11 0.5 4.51594e-06 0 0
  12 0.5 4.51594e-06 0 0
  13 0.5 4.51594e-06 0 0
  14 0.5 4.51594e-06 0 0
  15 0.5 4.51594e-06 0 0
  16 0.5 4.51594e-06 0 0
  17 0.5 4.51544e-06 0 0
  18 0.5 4.51574e-06 0 0
  19 0.5 4.51586e-06 0 0
  20 0.5 4.51591e-06 0 0
  21 0.5 4.51593e-06 0 0
  22 0.5 4.51594e-06 0 0
  23 0.5 4.51594e-06 0 0
  24 0.5 4.51593e-06 0 0
  25 0.5 4.51591e-06 0 0
  26 0.5 4.51586e-06 0 0
  27 0.5 4.51572e-06 0 0
  28 0.5 4.5154e-06 0 0
  29 0.5 4.51466e-06 0 0
  30 0.5 4.51305e-06 0 0
  31 0.5 4.50971e-06 0 0
  32 0.5 4.50317e-06 0 0
  33 0.5 4.49099e-06 0 0
  34 0.5 4.46945e-06 0 0
  35 0.5 4.43327e-06 0 0
  36 0.5 4.37558e-06 0 0
  37 0.5 4.28827e-06 0 0
  38 0.5 4.16281e-06 0 0
  39 0.5 3.9917e-06 0 0
  40 0.5 3.77024e-06 0 0
  41 0.5 3.49832e-06 0 0
  42 0.5 3.18182e-06 0 0
  43 0.5 2.83296e-06 0 0
  44 0.5 2.46954e-06 0 0
  45 0.5 2.11301e-06 0 0
  46 0.5 1.7857e-06 0 0
  47 0.5 1.50793e-06 0 0
  48 0.5 1.29559e-06 0 0
  49 0.5 1.15842e-06 0 0
  50 0.5 1.09942e-06 0 0
  51 0.5 1.11505e-06 0 0
  52 0.5 1.1961e-06 0 0
  53 0.5 1.32913e-06 0 0
  54 0.5 1.49801e-06 0 0
  55 0.5 1.6858e-06 0 0
  56 0.5 1.8765e-06 0 0
  57 0.5 2.05665e-06 0 0
  58 0.5 2.21638e-06 0 0
  59 0.5 2.34996e-06 0 0
  60 0.5 2.45557e-06 0 0
  61 0.5 2.53462e-06 0 0
  62 0.5 2.5906e-06 0 0
  63 0.5 2.62806e-06 0 0
  64 0.5 2.65161e-06 0 0
  65 0.5 2.66531e-06 0 0
  66 0.5 2.67233e-06 0 0
  67 0.5 2.67483e-06 0 0
  68 0.5 2.67406e-06 0 0
  69 0.5 2.67044e-06 0 0
  70 0.5 2.66373e-06 0 0
  71 0.5 2.65306e-06 0 0
  72 0.5 2.63707e-06 0 0
  73 0.5 2.61385e-06 0 0
  74 0.5 2.58113e-06 0 0
  75 0.5 2.53631e-06 0 0
  76 0.5 2.47666e-06 0 0
  77 0.5 2.39959e-06 0 0
  78 0.5 2.30294e-06 0 0
  79 0.5 2.18535e-06 0 0
  80 0.5 2.04656e-06 0 0
  81 0.5 1.88769e-06 0 0
  82 0.5 1.71134e-06 0 0
  83 0.5 1.52156e-06 0 0
  84 0.5 1.32361e-06 0 0
  85 0.5 1.12353e-06 0 0
  86 0.5 9.27589e-07 0 0
  87 0.5 7.41734e-07 0 0
  88 0.5 5.71017e-07 0 0
  89 0.5 4.19197e-07 0 0
  90 0.5 2.88509e-07 0 0
  91 0.5 1.79638e-07 0 0
  92 0.5 9.18806e-08 0 0
  93 0.5 2.34403e-08 0 0
  94 0.5 -2.82057e-08 0 0
  95 0.5 -6.59364e-08 0 0
  96 0.5 -9.26693e-08 0 0
  97 0.5 -1.11128e-07 0 0
  98 0.5 -1.23708e-07 0 0
  99 0.5 -1.3243e-07 0 0
  100 0.5 -1.38967e-07 0 0
  101 0.5 -1.44706e-07 0 0
  102 0.5 -1.5083e-07 0 0
  103 0.5 -1.58385e-07 0 0
