# Q dQ R dR fit
0.00877296 0.000101448 1.01815 0.0352494 1.99998
0.0100889 0.000116666 1.00413 0.0325345 1.99998
0.0114048 0.000131883 1.01322 0.0316653 1.99998
0.0127208 0.0001471 1.07858 0.0337222 1.99021
0.0140367 0.000162317 0.940841 0.0284445 1.75569
0.0153526 0.000177533 0.0724992 0.00232795 1.08861
0.0166685 0.00019275 0.0317261 0.00105537 1.02886
0.0179845 0.000207967 0.0281479 0.000937042 1.02688
0.0193004 0.000223183 0.0283291 0.000914645 1.02805
0.0206163 0.0002384 0.0293705 0.000893711 1.02857
0.0219322 0.000253616 0.0286517 0.000942443 1.02795
0.0241253 0.000278976 0.025397 0.000777601 1.02498
0.0263185 0.000304336 0.0208888 0.00063511 1.02073
0.0285116 0.000329695 0.0163739 0.000492531 1.01619
0.0307047 0.000355054 0.0120031 0.0003638 1.01201
0.0328977 0.000380412 0.00867023 0.000265134 1.00854
0.0350908 0.00040577 0.00617714 0.000194043 1.0059
0.0372838 0.000431127 0.00413255 0.000132528 1.00406
0.0394768 0.000456484 0.00295762 9.89008e-05 1.00288
0.0416698 0.00048184 0.00225409 7.45004e-05 1.0022
0.0438627 0.000507195 0.00186626 6.26543e-05 1.00185
0.0473713 0.000547762 0.00169761 5.61631e-05 1.00166
0.0508798 0.000588326 0.00162054 5.26225e-05 1.00157
0.0543882 0.000628889 0.00140689 4.53721e-05 1.00142
0.0578966 0.000669449 0.00122827 3.95682e-05 1.0012
0.0614048 0.000710006 0.00100742 3.31609e-05 1.00097
0.0649128 0.000750561 0.00080649 2.68998e-05 1.00078
0.0684208 0.000791114 0.000659728 2.24637e-05 1.00065
0.0719286 0.000831663 0.000571268 1.96635e-05 1.00056
0.0754363 0.000872209 0.000518322 1.77017e-05 1.0005
0.0789438 0.000912752 0.000455371 1.57496e-05 1.00042
0.0824512 0.000953291 0.000343531 1.2472e-05 1.00032
0.0859585 0.000993827 0.000272785 1.09002e-05 1.00023
0.087712 0.00101409 0.000209238 8.32631e-06 1.00019
0.091219 0.00105462 0.000151563 6.53746e-06 1.00013
0.0947258 0.00109515 0.000117379 5.32634e-06 1.0001
0.0982324 0.00113567 0.000112786 5.10928e-06 1.0001
0.101739 0.00117619 0.000128322 5.38887e-06 1.00011
0.105245 0.0012167 0.000126776 5.17258e-06 1.00011
0.108751 0.00125721 0.000120173 4.99311e-06 1.0001
0.112257 0.00129772 9.22976e-05 4.0397e-06 1.00008
0.115762 0.00133822 6.18481e-05 3.0715e-06 1.00004
0.119268 0.00137871 3.66336e-05 2.25461e-06 1.00001
0.122773 0.0014192 1.56787e-05 1.15098e-06 0.999997
0.126278 0.00145968 1.06518e-05 9.67073e-07 0.999992
0.129782 0.00150016 1.35305e-05 1.04926e-06 0.999996
0.133287 0.00154063 2.17359e-05 1.23852e-06 1
0.136791 0.0015811 2.40507e-05 1.2697e-06 1.00001
0.140295 0.00162156 2.17689e-05 1.1797e-06 1
0.143798 0.00166202 1.65906e-05 1.04276e-06 0.999998
0.147302 0.00170247 7.91204e-06 8.10177e-07 0.999991
0.150805 0.00174291 2.55461e-06 6.86986e-07 0.999985
0.153432 0.00177324 1.54542e-06 5.6876e-07 0.999983
0.15781 0.00182377 1.3636e-06 5.56428e-07 0.999983
0.162187 0.0018743 3.67943e-06 5.86517e-07 0.999986
0.166564 0.00192482 4.94911e-06 5.94433e-07 0.999987
0.170941 0.00197532 3.4784e-06 5.55847e-07 0.999986
0.175317 0.00202581 2.36798e-06 5.26154e-07 0.999984
0.179693 0.00207629 3.67333e-07 4.72708e-07 0.999982
0.184068 0.00212676 6.08481e-07 4.70361e-07 0.999982
0.188442 0.00217722 1.88077e-06 4.82944e-07 0.999983
0.192816 0.00222766 3.01192e-06 4.89719e-07 0.999984
0.197189 0.0022781 2.60479e-06 4.66459e-07 0.999984
0.201562 0.00232851 1.68063e-06 4.47736e-07 0.999983
0.205934 0.00237892 6.04323e-07 4.29903e-07 0.999982
0.210305 0.00242931 4.6444e-07 4.155e-07 0.999982
0.214676 0.00247968 8.41908e-07 4.21242e-07 0.999982
0.219046 0.00253004 1.41081e-06 4.25081e-07 0.999983
0.223416 0.00258039 1.46178e-06 3.57705e-07 0.999983
0.227785 0.00263072 5.69092e-07 3.44703e-07 0.999982
0.232153 0.00268104 5.73373e-07 3.487e-07 0.999982
0.23652 0.00273134 -1.62339e-08 3.32857e-07 0.999982
0.240887 0.00278162 1.30183e-07 3.35686e-07 0.999982
0.245253 0.00283189 -1.11801e-07 3.68769e-07 0.999982
0.249618 0.00288214 5.72855e-07 3.65871e-07 0.999982
0.253982 0.00293238 6.7522e-08 3.48465e-07 0.999982
0.258346 0.00298259 5.81056e-07 3.50821e-07 0.999982
