p2sigma m2sigma msigma psigma zaxis mean 
0.0 0.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.5 0.0 
0.0 0.0 0.0 0.0 1.0 0.0 
0.0 0.0 0.0 0.0 1.5 0.0 
0.0 0.0 0.0 0.0 2.0 0.0 
0.0 0.0 0.0 0.0 2.5 0.0 
0.0 0.0 0.0 0.0 3.0 0.0 
0.0 0.0 0.0 0.0 3.5 0.0 
0.0 0.0 0.0 0.0 4.0 0.0 
0.0 0.0 0.0 0.0 4.5 0.0 
0.0 0.0 0.0 0.0 5.0 0.0 
0.0 0.0 0.0 0.0 5.5 0.0 
0.0 0.0 0.0 0.0 6.0 0.0 
0.0 0.0 0.0 0.0 6.5 0.0 
0.0 0.0 0.0 0.0 7.0 0.0 
0.0 0.0 0.0 0.0 7.5 0.0 
0.0 0.0 0.0 0.0 8.0 0.0 
0.0 0.0 0.0 0.0 8.5 0.0 
0.0 0.0 0.0 0.0 9.0 0.0 
0.0 0.0 0.0 0.0 9.5 0.0 
0.0 0.0 0.0 0.0 10.0 0.0 
0.0 0.0 0.0 0.0 10.5 0.0 
0.0 0.0 0.0 0.0 11.0 0.0 
0.0 0.0 0.0 0.0 11.5 0.0 
0.0 0.0 0.0 0.0 12.0 0.0 
0.0 0.0 0.0 0.0 12.5 0.0 
0.0 0.0 0.0 0.0 13.0 0.0 
0.0 0.0 0.0 0.0 13.5 0.0 
0.0 0.0 0.0 0.0 14.0 0.0 
0.0 0.0 0.0 0.0 14.5 0.0 
0.0 0.0 0.0 0.0 15.0 0.0 
0.0 0.0 0.0 0.0 15.5 0.0 
0.0 0.0 0.0 0.0 16.0 0.0 
0.0 0.0 0.0 0.0 16.5 0.0 
0.0 0.0 0.0 0.0 17.0 0.0 
0.0 0.0 0.0 0.0 17.5 0.0 
0.0 0.0 0.0 0.0 18.0 0.0 
0.0 0.0 0.0 0.0 18.5 0.0 
0.0 0.0 0.0 0.0 19.0 0.0 
0.0 0.0 0.0 0.0 19.5 0.0 
0.0 0.0 0.0 0.0 20.0 0.0 
0.0 0.0 0.0 0.0 20.5 0.0 
0.0 0.0 0.0 0.0 21.0 0.0 
0.0 0.0 0.0 0.0 21.5 0.0 
0.0 0.0 0.0 0.0 22.0 0.0 
0.0 0.0 0.0 0.0 22.5 0.0 
0.0 0.0 0.0 0.0 23.0 0.0 
0.0 0.0 0.0 0.0 23.5 0.0 
0.018565 0.0 0.0 0.0 24.0 0.0 
0.079946 0.0 0.0 0.0 24.5 0.0 
0.154843 0.0 0.0 0.021345 25.0 0.0 
0.227834 0.0 0.0 0.065248 25.5 0.0 
0.302974 0.0 0.0 0.124602 26.0 0.0 
0.382338 0.0 0.0 0.172842 26.5 0.0 
0.484525 0.0 0.0 0.241567597 27.0 0.0 
0.584033 0.0 0.0 0.295453067 27.5 0.0 
0.688364 0.0 0.0 0.37422 28.0 0.0 
0.78259 0.0 0.0 0.45229521 28.5 0.043335 
0.872372 0.0 0.0 0.520329 29.0 0.091595 
0.976827 0.0 0.0 0.598314 29.5 0.139062 
1.122566 0.0 0.0 0.677564 30.0 0.189332 
1.233976 0.0 0.0 0.757954 30.5 0.253254 
1.345988 0.0 0.0 0.84365008 31.0 0.3168785 
1.454951 0.0 0.0 0.927016 31.5 0.373987 
1.559073 0.0 0.0 1.004697 32.0 0.425783 
1.662611 0.0 0.0 1.11788 32.5 0.467555 
1.794598 0.0 0.0 1.233570254 33.0 0.5496155 
1.905532 0.0 0.0 1.322311 33.5 0.606629 
2.015436 0.0 0.019240924 1.411283319 34.0 0.678167 
2.13226 0.0 0.09452 1.489126 34.5 0.746293 
2.236645 0.0 0.163836197 1.562677 35.0 0.812233 
2.339509 0.0 0.197628 1.641562 35.5 0.8829765 
2.486235 0.0 0.268094 1.718334 36.0 0.948068 
2.673359 0.0 0.329495 1.825387643 36.5 1.0283015 
2.855113 0.045607 0.375978 1.917299707 37.0 1.122615 
3.030401 0.092798798 0.442980297 2.015021 37.5 1.2162775 
3.188663649 0.177337 0.523204914 2.104364 38.0 1.297114 
3.345792642 0.234663 0.620761 2.186026136 38.5 1.367665 
3.484859289 0.271978 0.708986011 2.275311387 39.0 1.4311175 
3.610609267 0.285723 0.763146 2.363294928 39.5 1.492938 
3.7313771 0.338049027 0.817443 2.48241028 40.0 1.558559 
3.84529575 0.391454349 0.873633 2.565447 40.5 1.609809 
3.931655917 0.435992767 0.91806623 2.666589898 41.0 1.6745735 
4.01079402 0.48089 0.989809 2.737952184 41.5 1.751688 
4.081229 0.506737 1.055518019 2.79759496 42.0 1.8171915 
4.14375 0.531912279 1.118018825 2.867345356 42.5 1.871171 
4.19884 0.565400217 1.172714815 2.942508696 43.0 1.90888 
4.231296 0.61365114 1.228591 3.006754964 43.5 1.960069 
4.235492 0.669024767 1.27514285 3.059366 44.0 1.999265 
4.249416 0.722015593 1.332012563 3.112849 44.5 2.060259 
4.272734 0.764759457 1.378276219 3.15355 45.0 2.107875 
4.303536071 0.806596 1.43238 3.169904 45.5 2.1526055 
4.343416322 0.848335 1.473834 3.190743824 46.0 2.191585 
4.356571239 0.890483 1.497976 3.215594 46.5 2.223705 
4.371895891 0.933092 1.532477848 3.256953321 47.0 2.258762 
4.393093614 0.97071 1.575492 3.279115 47.5 2.323622 
4.419636689 1.009827 1.622554 3.355649 48.0 2.3775795 
4.452238156 1.040717 1.657288152 3.373672 48.5 2.443164 
4.491458749 1.063029 1.690275198 3.425282809 49.0 2.489751 
4.53557046 1.080635278 1.736011 3.481002 49.5 2.5531135 
4.587367 1.088333545 1.772684 3.563788258 50.0 2.611123 
4.640739 1.112123604 1.804124903 3.629671063 50.5 2.67017 
4.697771 1.158635599 1.846705 3.676909 51.0 2.7408165 
4.777174719 1.224636 1.874358 3.771379 51.5 2.801198 
4.82488027 1.271012 1.9274867 3.856902373 52.0 2.860746 
4.879627 1.307403072 1.998427 3.93667 52.5 2.93991 
4.976310971 1.345068 2.076525684 4.002931 53.0 2.9824825 
5.039589579 1.348528 2.114345 4.105751 53.5 3.057083 
5.123206934 1.400911 2.167273 4.200514939 54.0 3.153522 
5.245716683 1.47974 2.232937638 4.286461271 54.5 3.241669 
5.372550859 1.548612 2.279998991 4.404564176 55.0 3.32587 
5.453295 1.631847 2.354835979 4.506457083 55.5 3.411045 
5.620311 1.680482 2.402799 4.651677794 56.0 3.508605 
5.776789 1.720885421 2.44935 4.803471 56.5 3.591472 
5.982645842 1.773261 2.51941225 4.955394 57.0 3.707526 
6.159533 1.815265 2.591562 5.144871763 57.5 3.78204 
6.37956 1.864519 2.706065087 5.267159 58.0 3.895682 
6.580870658 1.870803 2.775883 5.452138353 58.5 3.977262 
6.671962 1.879941 2.848240846 5.568917409 59.0 4.100991 
6.846176 1.937292 2.895922 5.750649 59.5 4.233219 
7.026504028 1.956531 2.968175 5.923099 60.0 4.3257 
7.228501164 1.980518 3.033195 6.045187488 60.5 4.421599 
7.424972724 2.017398475 3.116113 6.156226267 61.0 4.540449 
7.706951976 2.045983 3.212797545 6.34298 61.5 4.63262 
7.973817 2.061767 3.284815 6.505293 62.0 4.722543 
8.209695 2.078436 3.341670005 6.56222291 62.5 4.785368 
8.457976 2.095852 3.427633492 6.674794378 63.0 4.832226 
8.629136 2.113881 3.480719 6.770685012 63.5 4.87278 
8.75018 2.132384 3.53583 6.827379 64.0 4.940288 
8.998473 2.151224 3.533123 6.865626 64.5 4.994672 
9.174426 2.170266 3.643245 6.947695 65.0 5.0401955 
9.26401 2.156985977 3.647329276 7.017711694 65.5 5.08556 
9.255275852 2.136908574 3.613623 7.052433 66.0 5.100321 
9.217630431 2.117597911 3.626286 6.968456 66.5 5.0958905 
9.154381599 2.117682765 3.611961 6.964069064 67.0 5.079171 
9.034032 2.123964 3.613774 6.978061 67.5 5.05571 
8.940921 2.132419 3.604348327 7.021324 68.0 5.020704 
8.836891 2.140364 3.562924418 6.871315 68.5 5.012667 
8.6871 2.147747 3.536905769 6.760945 69.0 4.961836 
8.58323112 2.154516 3.504483824 6.725659983 69.5 4.918252 
8.34852227 2.160622 3.475959 6.58604 70.0 4.887156 
8.130699 2.166013 3.454303003 6.483489401 70.5 4.7928715 
7.914102 2.164515 3.419774 6.355757546 71.0 4.724473 
7.729321 2.102560004 3.379196277 6.169008044 71.5 4.644047 
7.661000489 2.039159195 3.319397 5.96928 72.0 4.495726 
7.381066114 2.028340008 3.23205447 5.805787 72.5 4.347718 
7.064133593 2.037065472 3.141799 5.621851652 73.0 4.223674 
6.755671668 2.045537358 3.040157196 5.462531 73.5 4.1090485 
6.516999124 2.056279 2.927871 5.227684933 74.0 4.011763 
6.143299265 2.042917 2.840745 5.000727854 74.5 3.869796 
5.766538 1.959447754 2.75816444 4.796158 75.0 3.701248 
5.447516 1.877514 2.664927 4.597575 75.5 3.5498365 
5.150009 1.774535519 2.579673713 4.361884 76.0 3.391438 
4.952196 1.701916 2.489639 4.133641387 76.5 3.222596 
4.671549 1.689581 2.396248 3.896881 77.0 3.0763875 
4.38499 1.583956517 2.2726147 3.701458 77.5 2.9171805 
4.150221404 1.45435148 2.142046 3.509283129 78.0 2.773384 
3.919667 1.490535 2.046482256 3.270740899 78.5 2.61032 
3.712471833 1.383832 1.909579633 3.059492906 79.0 2.4559395 
3.537769375 1.226811 1.771016868 2.914563 79.5 2.331741 
3.311237669 1.080382 1.639700782 2.74637491 80.0 2.177267 
3.143321078 1.025007 1.504052325 2.564441006 80.5 2.055623 
2.980769 0.865182281 1.376401 2.428285 81.0 1.9392065 
2.823701688 0.75575 1.193159 2.340501 81.5 1.8191855 
2.753622 0.586300372 1.046815 2.254984 82.0 1.707246 
2.71679 0.473343154 0.940814748 2.1748148 82.5 1.620518 
