Chisq l_lipid sigma global_rough rhoprot d_on1 d_on2 d_on3 d_on4 d_on5 d_on6 d_on7 d_on8 d_on9 d_on10 d_on11 d_on12 d_on13 d_on14 d_on15 d_on16 d_on17 d_on18 d_on19 d_on20 d_on21 d_on22 d_on23 vf_on1 vf_on2 vf_on3 vf_on4 vf_on5 vf_on6 vf_on7 vf_on8 vf_on9 vf_on10 vf_on11 vf_on12 vf_on13 vf_on14 vf_on15 vf_on16 vf_on17 vf_on18 vf_on19 vf_on20 vf_on21 vf_on22 vf_on23 rho_solv_0 mu_solv_0 mu_organic beamintensity alignment background_0
2.77805 8.8848812 3.641156 7.718119 1.2541712e-05 -4.05452 -4.665313 -1.883948 4.17656 4.9 4.24619 1.77497 -3.17918 4.34651 -4.532113 2.20576 -3.16779 -4.199442 -1.02012 -4.026877 -2.74349 -0.5246 -0.4047 2.62448 4.25735 0.55673 4.44455 2.93222 0.03155832 0.6035346 0.715748 0.6526008 0.329048 0.3342352 0.4633992 0.6460192 0.4544478 0.3311622 0.4415103 0.3243595 0.1887085 0.199198 0.258478 0.31367 0.2707585 0.210341 0.0844795 0.03876535 0.0220612 0.01659355 0.01756855 1.0229402e-05 1.10711285e-07 9.6255028e-08 1.012612 0.005792486 7.8208773e-09
4.28752 10.91305 5.0745445 6.7127625 1.2760024e-05 -0.74283 -4.628277 -1.424924 4.91571 1.83986 0.50317 4.97784 -0.94582 4.889 -3.92451 3.62093 -1.10519 -3.83688 -2.12415 -3.16927 -1.5661 2.70416 0.48271 4.41586 3.60398 1.55145 3.49861 2.19264 0.009 0.3727764 0.5522896 0.6353376 0.4052312 0.2781192 0.4879224 0.6100528 0.4831524 0.3190347 0.4311576 0.334327 0.1914875 0.177125 0.244943 0.3108785 0.2775385 0.21238 0.076511 0.0463498 0.032681 0.0139956 0.01555065 1.0184942e-05 2.73597e-07 9.0481843e-08 1.027921 0.006184563 1.55150581e-08
11.3927 11.090864 3.398241 4.9697025 1.3122612e-05 -4.745728 -4.9673307 -1.925324 4.99975 2.52108 -4.9796036 -2.44244 -0.33554 4.9 -3.06946 4.9 -0.65213 0.59525 2.39679 -4.999815612 4.9 -3.07648 4.9 -4.999864817 -2.10611 4.46876 -2.10518 4.9 0.009 0.2985219 0.5460512 0.566464 0.3871528 0.2713312 0.2719448 0.4938784 0.3972312 0.2749005 0.3451788 0.2494465 0.133553 0.1425665 0.1778395 0.256647 0.224394 0.171487 0.133432 0.0447103 0.002709685 3.304625e-07 3.671805e-07 1.0363675e-05 9.00115997541e-09 9.901e-08 1.000071 0.006154792 5.99e-10
2.42731 10.755284 4.1454255 7.2166615 1.2369232e-05 -1.5414 -3.07781 -1.281164 4.91454 2.97315 3.67279 3.33559 -0.56684 3.93887 -3.38723 3.8851 -0.02184 -2.93727 -0.72395 -2.25925 -1.75892 3.02697 -2.07203 4.88874 3.49811 1.50771 3.67885 1.15848 0.0004370058 0.5134725 0.7091224 0.7300976 0.452888 0.3641832 0.538356 0.6965768 0.5613147 0.3867345 0.507051 0.3536835 0.238188 0.2245105 0.3122815 0.376701 0.3098155 0.2626485 0.1113415 0.0726045 0.0620685 0.0357342 0.0323694 1.0145251e-05 3.09783365e-07 7.9843798e-08 1.0275212 0.005984272 1.48785836e-08
2.99805 10.236682 4.3019285 6.8322915 1.2331772e-05 -2.60983 -4.192038 -1.982792 4.26014 4.99784 3.08753 3.60482 -1.15077 3.53207 -3.84689 4.0137 -1.16591 -3.19378 -1.20109 -2.81006 -1.95402 3.6535 -2.00787 4.67403 3.06245 4.02699 3.57846 0.35418 0.01071045 0.5001669 0.6927856 0.7041768 0.358032 0.3302528 0.5130648 0.6782968 0.5147442 0.3475278 0.47025 0.348204 0.2102995 0.206994 0.2804695 0.3417305 0.2904355 0.2486505 0.0862745 0.0484488 0.0238497 0.0194111 0.01385085 1.0199439e-05 2.38462086e-07 9.1585693e-08 1.0184382 0.005489134 1.27521949e-08
3.88633 10.51335 3.8293035 6.332411 1.22833e-05 -2.67994 -3.89192 -1.318604 4.64108 4.73572 3.73606 3.9559 0.21741 4.02315 -3.81595 3.18393 -1.59357 -3.11692 -0.76758 -2.71479 -2.03418 4.34357 -0.56703 3.75492 4.01366 0.50504 3.48742 -0.68762 0.01326069 0.4802823 0.767544 0.7764288 0.4247472 0.374908 0.575732 0.7357184 0.5245893 0.3753306 0.5261751 0.3813205 0.2379195 0.232503 0.308884 0.378563 0.305697 0.2554595 0.105986 0.04480905 0.02568685 0.01729355 0.01908075 1.0127942e-05 3.1968841e-07 7.7651839e-08 1.0250536 0.006249096 1.98560587e-08
2.4637 10.421524 3.565707 6.3088985 1.2269024e-05 -2.58653 -3.70981 -2.23544 4.84215 3.14897 3.66348 4.64015 -0.6291 4.32529 -4.275084 2.11143 -0.72192 -2.14507 0.6501 -3.0842 -0.46751 3.57312 -2.48786 4.78108 0.8516 1.24821 1.01665 -0.94621 0.03146553 0.512046 0.7498624 0.762108 0.4239472 0.3412992 0.5921568 0.7540736 0.5560749 0.3878883 0.5239188 0.384699 0.2249235 0.2488995 0.3093755 0.3831175 0.3354775 0.2828165 0.1068365 0.070733 0.0481481 0.01902055 0.02113395 1.0321248e-05 2.41116975e-07 8.6680837e-08 1.0137552 0.006110888 1.51118661e-08
2.56549 10.051504 4.252272 6.849344 1.2381948e-05 -2.83478 -4.21204 -1.9751 4.27695 4.9 2.6348 3.0259 -1.11546 3.57271 -3.92254 4.03248 -1.24923 -3.00206 -0.69373 -2.84901 -2.05245 3.52071 -1.38237 4.68022 2.68365 4.10758 3.77697 0.1591 0.00939519 0.5028498 0.6899416 0.7053528 0.365516 0.3271216 0.5006032 0.6804592 0.5089959 0.3553731 0.4764132 0.3513725 0.21041 0.210218 0.2812525 0.342977 0.2896 0.240309 0.0874415 0.04901915 0.02681915 0.01489825 0.0165536 1.0199458e-05 2.42555907e-07 9.1738846e-08 1.0184884 0.005661712 1.32786898e-08
2.59808 10.079126 4.1144555 6.8616275 1.2317864e-05 -2.79362 -4.07966 -2.035628 4.24981 4.99471 3.20948 3.62113 -1.15859 3.45129 -3.83749 3.96556 -0.95779 -3.09886 -0.99615 -2.68955 -1.83266 3.90451 -1.8608 4.65374 3.25845 4.04044 3.68565 0.10583 0.01572606 0.517059 0.707196 0.7114312 0.3635264 0.334072 0.5198752 0.6905688 0.514323 0.3571245 0.4772277 0.344676 0.2105965 0.2117215 0.2868665 0.34556 0.289955 0.246686 0.0883405 0.0486972 0.0262593 0.0152442 0.016938 1.021576e-05 2.48476141e-07 9.1133857e-08 1.0182696 0.005549985 1.29196094e-08
2.69664 10.078664 4.368248 6.9085955 1.2289568e-05 -2.9585 -4.326453 -1.943972 4.39505 4.9 2.54614 2.96313 -1.12248 3.5884 -3.96448 4.03163 -1.28833 -3.13999 -0.6791 -2.87383 -1.91752 3.65966 -1.4774 4.67494 2.79481 4.09198 3.33776 0.41125 0.00126963 0.4982445 0.6814456 0.6961992 0.3606976 0.3166248 0.4840256 0.6583256 0.5089635 0.3429972 0.459855 0.3479885 0.2081975 0.1990615 0.2681935 0.331765 0.2830575 0.2364855 0.0823485 0.0496124 0.02168975 0.00980465 0.01089405 1.0098986e-05 2.44546826e-07 9.1777258e-08 1.0215642 0.005094306 1.33166138e-08
2.18833 10.30475 3.9790995 6.9472415 1.227542e-05 -2.45827 -3.57264 -1.966604 4.98871 4.4691 3.61414 3.91733 -0.44374 3.63959 -3.60722 2.46651 -0.40046 -2.88015 -1.17817 -2.54295 -1.74524 3.87627 -1.9476 1.71453 3.51023 3.64511 4.16238 0.15333 0.01157346 0.5271093 0.724556 0.7280784 0.4036248 0.3540224 0.5556048 0.69858 0.5297688 0.3624957 0.4941162 0.35268 0.229434 0.2258555 0.306392 0.3760985 0.291391 0.2652435 0.111014 0.055637 0.0116599 0.0125555 0.01395055 1.0184182e-05 2.77712623e-07 8.3747863e-08 1.0183142 0.005617864 1.32148178e-08
2.94867 9.659196 4.1896575 7.3838995 1.2466112e-05 -2.95609 -4.493045 -1.835516 4.42986 4.9 2.78791 4.06217 -1.93938 3.92439 -4.187355 3.09245 -0.7058 -3.66176 -2.17688 -2.46984 -1.3058 2.15895 0.04761 3.07629 3.76022 4.32297 1.92182 -0.34376 0.02986677 0.5508648 0.6681576 0.6386448 0.3314256 0.3168184 0.4847392 0.6238048 0.4375026 0.3144492 0.4157865 0.295363 0.1867215 0.176991 0.250829 0.3028515 0.2605615 0.199383 0.075067 0.03308255 0.01812405 0.0120828 0.01114935 1.0075692e-05 1.79876148e-07 9.3700432e-08 1.02128 0.00498498 9.1071995e-09
2.87508 9.981588 3.9840015 6.9387105 1.2279672e-05 -2.28822 -4.095397 -2.328716 4.90362 2.41605 3.87574 3.91282 -1.00039 3.18772 -3.87092 3.81032 -1.43219 -3.23706 -0.81847 -2.70273 -1.4232 3.82499 -1.45092 0.56644 2.94129 3.44826 3.33385 -0.07979 0.03855042 0.5374944 0.7031576 0.702916 0.415924 0.3408312 0.5511632 0.7169248 0.5261319 0.370296 0.4855734 0.341712 0.223963 0.2102485 0.28988 0.341762 0.296795 0.256696 0.113527 0.0615285 0.03670755 0.0142191 0.01577375 1.0137746e-05 2.58597224e-07 8.7755185e-08 1.0223022 0.005384652 1.47545322e-08
