Model 0x1012862c0
  size 1002 out of 1114
  interface=0x101286360
  repeats=0 at 0x1012862f4
  # d(0x7fca718075a0) rho(0x7fca718052d0) mu(0x7fca71803000) rough(0x7fca71809870)
  0 0 0 0 7
  1 0.5 3.38128e-10 4.04336e-08 0
  2 0.5 3.67921e-10 4.04336e-08 0
  3 0.5 4.61361e-10 4.04336e-08 0
  4 0.5 6.31006e-10 4.04336e-08 0
  5 0.5 8.99037e-10 4.04336e-08 0
  6 0.5 1.29919e-09 4.04336e-08 0
  7 0.5 1.87953e-09 4.04336e-08 0
  8 0.5 2.70617e-09 4.04336e-08 0
  9 0.5 3.868e-09 4.04336e-08 0
  10 0.5 5.4825e-09 4.04336e-08 0
  11 0.5 7.70264e-09 4.04336e-08 0
  12 0.5 1.0725e-08 4.04336e-08 0
  13 0.5 1.47991e-08 4.04336e-08 0
  14 0.5 2.62228e-08 4.04741e-08 0
  15 0.5 2.98386e-08 4.04499e-08 0
  16 0.5 3.77525e-08 4.04398e-08 0
  17 0.5 4.93627e-08 4.04358e-08 0
  18 0.5 6.48065e-08 4.04343e-08 0
  19 0.5 8.46442e-08 4.04338e-08 0
  20 0.5 1.09695e-07 4.04336e-08 0
  21 0.5 1.40959e-07 4.04336e-08 0
  22 0.5 1.7958e-07 4.04336e-08 0
  23 0.5 2.26826e-07 4.04336e-08 0
  24 0.5 2.84066e-07 4.04336e-08 0
  25 0.5 3.52748e-07 4.04336e-08 0
  26 0.5 4.3437e-07 4.04336e-08 0
  27 0.5 5.30442e-07 4.04336e-08 0
  28 0.5 6.42441e-07 4.04336e-08 0
  29 0.5 7.71761e-07 4.04336e-08 0
  30 0.5 9.19657e-07 4.04336e-08 0
  31 0.5 1.08718e-06 4.04336e-08 0
  32 0.5 1.27514e-06 4.04336e-08 0
  33 0.5 1.48401e-06 4.04336e-08 0
  34 0.5 1.71392e-06 4.04336e-08 0
  35 0.5 1.96458e-06 4.04336e-08 0
  36 0.5 2.23527e-06 4.04337e-08 0
  37 0.5 2.52482e-06 4.04337e-08 0
  38 0.5 2.8316e-06 4.04338e-08 0
  39 0.5 3.15358e-06 4.04339e-08 0
  40 0.5 3.48832e-06 4.04341e-08 0
  41 0.5 3.83303e-06 4.04344e-08 0
  42 0.5 4.18467e-06 4.04348e-08 0
  43 0.5 4.54003e-06 4.04354e-08 0
  44 0.5 4.89578e-06 4.04362e-08 0
  45 0.5 5.24864e-06 4.04374e-08 0
  46 0.5 5.59539e-06 4.04392e-08 0
  47 0.5 5.93305e-06 4.04415e-08 0
  48 0.5 6.25893e-06 4.04448e-08 0
  49 0.5 6.5707e-06 4.04494e-08 0
  50 0.5 6.86648e-06 4.04555e-08 0
  51 0.5 7.14486e-06 4.04637e-08 0
  52 0.5 7.40496e-06 4.04747e-08 0
  53 0.5 7.64641e-06 4.04891e-08 0
  54 0.5 7.86938e-06 4.05079e-08 0
  55 0.5 8.07455e-06 4.05322e-08 0
  56 0.5 8.26304e-06 4.05634e-08 0
  57 0.5 8.43642e-06 4.06029e-08 0
  58 0.5 8.59661e-06 4.06527e-08 0
  59 0.5 8.74585e-06 4.07147e-08 0
  60 0.5 8.88658e-06 4.07914e-08 0
  61 0.5 9.02142e-06 4.08854e-08 0
  62 0.5 9.15305e-06 4.09996e-08 0
  63 0.5 9.28414e-06 4.11374e-08 0
  64 0.5 9.41727e-06 4.13022e-08 0
  65 0.5 9.55485e-06 4.14981e-08 0
  66 0.5 9.69903e-06 4.1729e-08 0
  67 0.5 9.85164e-06 4.19995e-08 0
  68 0.5 1.00141e-05 4.23144e-08 0
  69 0.5 1.01874e-05 4.26785e-08 0
  70 0.5 1.03719e-05 4.30972e-08 0
  71 0.5 1.05676e-05 4.35761e-08 0
  72 0.5 1.07737e-05 4.41208e-08 0
  73 0.5 1.0989e-05 4.47376e-08 0
  74 0.5 1.12117e-05 4.54324e-08 0
  75 0.5 1.14393e-05 4.62118e-08 0
  76 0.5 1.1669e-05 4.70822e-08 0
  77 0.5 1.18976e-05 4.80499e-08 0
  78 0.5 1.21215e-05 4.9121e-08 0
  79 0.5 1.23371e-05 5.03015e-08 0
  80 0.5 1.25415e-05 5.15519e-08 0
  81 0.5 1.27351e-05 5.27277e-08 0
  82 0.5 1.29142e-05 5.38301e-08 0
  83 0.5 1.30756e-05 5.48719e-08 0
  84 0.5 1.32162e-05 5.58639e-08 0
  85 0.5 1.33336e-05 5.68151e-08 0
  86 0.5 1.3426e-05 5.77322e-08 0
  87 0.5 1.34923e-05 5.86191e-08 0
  88 0.5 1.35322e-05 5.94775e-08 0
  89 0.5 1.3546e-05 6.03062e-08 0
  90 0.5 1.35348e-05 6.11018e-08 0
  91 0.5 1.35003e-05 6.18582e-08 0
  92 0.5 1.34446e-05 6.25678e-08 0
  93 0.5 1.33705e-05 6.32213e-08 0
  94 0.5 1.32811e-05 6.38084e-08 0
  95 0.5 1.31794e-05 6.43185e-08 0
  96 0.5 1.30689e-05 6.47412e-08 0
  97 0.5 1.29528e-05 6.50669e-08 0
  98 0.5 1.28343e-05 6.52876e-08 0
  99 0.5 1.27163e-05 6.53973e-08 0
  100 0.5 1.26013e-05 6.53923e-08 0
  101 0.5 1.24916e-05 6.52717e-08 0
  102 0.5 1.2389e-05 6.50378e-08 0
  103 0.5 1.22949e-05 6.46958e-08 0
  104 0.5 1.22101e-05 6.42539e-08 0
  105 0.5 1.21351e-05 6.37234e-08 0
  106 0.5 1.20702e-05 6.31182e-08 0
  107 0.5 1.2015e-05 6.24545e-08 0
  108 0.5 1.19691e-05 6.17504e-08 0
  109 0.5 1.19317e-05 6.10256e-08 0
  110 0.5 1.19018e-05 6.03009e-08 0
  111 0.5 1.18783e-05 5.95978e-08 0
  112 0.5 1.18601e-05 5.89381e-08 0
  113 0.5 1.1846e-05 5.83437e-08 0
  114 0.5 1.18347e-05 5.7836e-08 0
  115 0.5 1.1825e-05 5.7436e-08 0
  116 0.5 1.18158e-05 5.71639e-08 0
  117 0.5 1.1806e-05 5.70392e-08 0
  118 0.5 1.17948e-05 5.70719e-08 0
  119 0.5 1.17842e-05 5.71684e-08 0
  120 0.5 1.17744e-05 5.73011e-08 0
  121 0.5 1.17651e-05 5.7473e-08 0
  122 0.5 1.17559e-05 5.76864e-08 0
  123 0.5 1.17465e-05 5.79429e-08 0
  124 0.5 1.17294e-05 5.83151e-08 0
  125 0.5 1.1721e-05 5.86393e-08 0
  126 0.5 1.17113e-05 5.90135e-08 0
  127 0.5 1.17003e-05 5.94356e-08 0
  128 0.5 1.16882e-05 5.9904e-08 0
  129 0.5 1.16749e-05 6.04169e-08 0
  130 0.5 1.16605e-05 6.09722e-08 0
  131 0.5 1.16451e-05 6.15684e-08 0
  132 0.5 1.16286e-05 6.22035e-08 0
  133 0.5 1.16112e-05 6.28756e-08 0
  134 0.5 1.15929e-05 6.35831e-08 0
  135 0.5 1.15737e-05 6.4324e-08 0
  136 0.5 1.15537e-05 6.50966e-08 0
  137 0.5 1.15329e-05 6.58989e-08 0
  138 0.5 1.15114e-05 6.67293e-08 0
  139 0.5 1.14892e-05 6.75858e-08 0
  140 0.5 1.14663e-05 6.84666e-08 0
  141 0.5 1.14429e-05 6.937e-08 0
  142 0.5 1.1419e-05 7.0294e-08 0
  143 0.5 1.13946e-05 7.12369e-08 0
  144 0.5 1.13697e-05 7.21969e-08 0
  145 0.5 1.13444e-05 7.3172e-08 0
  146 0.5 1.13188e-05 7.41606e-08 0
  147 0.5 1.12929e-05 7.51607e-08 0
  148 0.5 1.12667e-05 7.61705e-08 0
  149 0.5 1.12403e-05 7.71883e-08 0
  150 0.5 1.12138e-05 7.82121e-08 0
  151 0.5 1.11872e-05 7.92403e-08 0
  152 0.5 1.11605e-05 8.02708e-08 0
  153 0.5 1.11338e-05 8.1302e-08 0
  154 0.5 1.11071e-05 8.2332e-08 0
  155 0.5 1.10805e-05 8.33589e-08 0
  156 0.5 1.1054e-05 8.4381e-08 0
  157 0.5 1.10277e-05 8.53964e-08 0
  158 0.5 1.10016e-05 8.64033e-08 0
  159 0.5 1.09758e-05 8.73999e-08 0
  160 0.5 1.09502e-05 8.83843e-08 0
  161 0.5 1.09251e-05 8.93548e-08 0
  162 0.5 1.09004e-05 9.03094e-08 0
  163 0.5 1.08761e-05 9.12464e-08 0
  164 0.5 1.08523e-05 9.2164e-08 0
  165 0.5 1.08291e-05 9.30603e-08 0
  166 0.5 1.08065e-05 9.39335e-08 0
  167 0.5 1.07845e-05 9.47818e-08 0
  168 0.5 1.07632e-05 9.56033e-08 0
  169 0.5 1.07426e-05 9.63962e-08 0
  170 0.5 1.07229e-05 9.71588e-08 0
  171 0.5 1.0704e-05 9.78891e-08 0
  172 0.5 1.06859e-05 9.85854e-08 0
  173 0.5 1.06688e-05 9.92458e-08 0
  174 0.5 1.06527e-05 9.98685e-08 0
  175 0.5 1.06376e-05 1.00452e-07 0
  176 0.5 1.06235e-05 1.00994e-07 0
  177 0.5 1.06106e-05 1.01492e-07 0
  178 0.5 1.05988e-05 1.01946e-07 0
  179 0.5 1.05883e-05 1.02353e-07 0
  180 0.5 1.0579e-05 1.02711e-07 0
  181 0.5 1.0571e-05 1.03019e-07 0
  182 0.5 1.05644e-05 1.03274e-07 0
  183 0.5 1.05592e-05 1.03476e-07 0
  184 0.5 1.05554e-05 1.03621e-07 0
  185 0.5 1.05532e-05 1.03709e-07 0
  186 0.5 1.05523e-05 1.03742e-07 0
  187 0.5 1.05527e-05 1.03726e-07 0
  188 0.5 1.05544e-05 1.0366e-07 0
  189 0.5 1.05573e-05 1.03548e-07 0
  190 0.5 1.05614e-05 1.0339e-07 0
  191 0.5 1.05666e-05 1.03188e-07 0
  192 0.5 1.0573e-05 1.02944e-07 0
  193 0.5 1.05804e-05 1.02658e-07 0
  194 0.5 1.05888e-05 1.02333e-07 0
  195 0.5 1.05982e-05 1.01969e-07 0
  196 0.5 1.06086e-05 1.01569e-07 0
  197 0.5 1.06199e-05 1.01133e-07 0
  198 0.5 1.06321e-05 1.00663e-07 0
  199 0.5 1.06451e-05 1.00162e-07 0
  200 0.5 1.06589e-05 9.96292e-08 0
  201 0.5 1.06734e-05 9.90673e-08 0
  202 0.5 1.06887e-05 9.84775e-08 0
  203 0.5 1.07047e-05 9.78613e-08 0
  204 0.5 1.07213e-05 9.72202e-08 0
  205 0.5 1.07385e-05 9.65557e-08 0
  206 0.5 1.07563e-05 9.58692e-08 0
  207 0.5 1.07746e-05 9.51622e-08 0
  208 0.5 1.07934e-05 9.44362e-08 0
  209 0.5 1.08127e-05 9.36927e-08 0
  210 0.5 1.08324e-05 9.29331e-08 0
  211 0.5 1.08524e-05 9.21589e-08 0
  212 0.5 1.08728e-05 9.13717e-08 0
  213 0.5 1.08935e-05 9.05728e-08 0
  214 0.5 1.09145e-05 8.97638e-08 0
  215 0.5 1.09357e-05 8.89461e-08 0
  216 0.5 1.09571e-05 8.81212e-08 0
  217 0.5 1.09786e-05 8.72906e-08 0
  218 0.5 1.10002e-05 8.64557e-08 0
  219 0.5 1.10219e-05 8.56181e-08 0
  220 0.5 1.10437e-05 8.47792e-08 0
  221 0.5 1.10654e-05 8.39405e-08 0
  222 0.5 1.10871e-05 8.31035e-08 0
  223 0.5 1.11087e-05 8.22696e-08 0
  224 0.5 1.11302e-05 8.14404e-08 0
  225 0.5 1.11515e-05 8.06172e-08 0
  226 0.5 1.11726e-05 7.98016e-08 0
  227 0.5 1.11935e-05 7.89951e-08 0
  228 0.5 1.12142e-05 7.81991e-08 0
  229 0.5 1.12345e-05 7.74152e-08 0
  230 0.5 1.12544e-05 7.66447e-08 0
  231 0.5 1.1274e-05 7.58892e-08 0
  232 0.5 1.12932e-05 7.51501e-08 0
  233 0.5 1.13118e-05 7.44289e-08 0
  234 0.5 1.133e-05 7.37271e-08 0
  235 0.5 1.13477e-05 7.30462e-08 0
  236 0.5 1.13647e-05 7.23877e-08 0
  237 0.5 1.13812e-05 7.1753e-08 0
  238 0.5 1.1397e-05 7.11436e-08 0
  239 0.5 1.14121e-05 7.05609e-08 0
  240 0.5 1.14264e-05 7.00065e-08 0
  241 0.5 1.144e-05 6.94819e-08 0
  242 0.5 1.14528e-05 6.89885e-08 0
  243 0.5 1.14648e-05 6.85277e-08 0
  244 0.5 1.14758e-05 6.81011e-08 0
  245 0.5 1.14859e-05 6.77102e-08 0
  246 0.5 1.14951e-05 6.73564e-08 0
  247 0.5 1.15033e-05 6.70412e-08 0
  248 0.5 1.15104e-05 6.6766e-08 0
  249 0.5 1.15165e-05 6.65325e-08 0
  250 0.5 1.15214e-05 6.63419e-08 0
  251 0.5 1.15252e-05 6.61959e-08 0
  252 0.5 1.15278e-05 6.60959e-08 0
  253 0.5 1.15287e-05 6.60611e-08 0
  254 0.5 1.15276e-05 6.61015e-08 0
  255 0.5 1.15247e-05 6.62139e-08 0
  256 0.5 1.152e-05 6.63953e-08 0
  257 0.5 1.15136e-05 6.66425e-08 0
  258 0.5 1.15056e-05 6.69524e-08 0
  259 0.5 1.1496e-05 6.73217e-08 0
  260 0.5 1.1485e-05 6.77474e-08 0
  261 0.5 1.14726e-05 6.82262e-08 0
  262 0.5 1.14589e-05 6.87551e-08 0
  263 0.5 1.14439e-05 6.93309e-08 0
  264 0.5 1.14279e-05 6.99504e-08 0
  265 0.5 1.14108e-05 7.06105e-08 0
  266 0.5 1.13927e-05 7.1308e-08 0
  267 0.5 1.13738e-05 7.20399e-08 0
  268 0.5 1.1354e-05 7.28028e-08 0
  269 0.5 1.13335e-05 7.35938e-08 0
  270 0.5 1.13124e-05 7.44095e-08 0
  271 0.5 1.12907e-05 7.5247e-08 0
  272 0.5 1.12685e-05 7.6103e-08 0
  273 0.5 1.12459e-05 7.69744e-08 0
  274 0.5 1.1223e-05 7.7858e-08 0
  275 0.5 1.11999e-05 7.87507e-08 0
  276 0.5 1.11766e-05 7.96493e-08 0
  277 0.5 1.11532e-05 8.05507e-08 0
  278 0.5 1.11299e-05 8.14518e-08 0
  279 0.5 1.11066e-05 8.23493e-08 0
  280 0.5 1.10835e-05 8.32402e-08 0
  281 0.5 1.10607e-05 8.41212e-08 0
  282 0.5 1.10382e-05 8.49893e-08 0
  283 0.5 1.10161e-05 8.58412e-08 0
  284 0.5 1.09946e-05 8.66739e-08 0
  285 0.5 1.09736e-05 8.74842e-08 0
  286 0.5 1.09532e-05 8.82689e-08 0
  287 0.5 1.09336e-05 8.90248e-08 0
  288 0.5 1.09149e-05 8.9749e-08 0
  289 0.5 1.0897e-05 9.0438e-08 0
  290 0.5 1.08802e-05 9.10889e-08 0
  291 0.5 1.08644e-05 9.16985e-08 0
  292 0.5 1.08497e-05 9.22637e-08 0
  293 0.5 1.08363e-05 9.27812e-08 0
  294 0.5 1.08242e-05 9.32479e-08 0
  295 0.5 1.08135e-05 9.36607e-08 0
  296 0.5 1.08043e-05 9.40164e-08 0
  297 0.5 1.07966e-05 9.43119e-08 0
  298 0.5 1.07906e-05 9.45441e-08 0
  299 0.5 1.07862e-05 9.47136e-08 0
  300 0.5 1.07834e-05 9.48244e-08 0
  301 0.5 1.07819e-05 9.48794e-08 0
  302 0.5 1.07819e-05 9.48814e-08 0
  303 0.5 1.07831e-05 9.48333e-08 0
  304 0.5 1.07856e-05 9.47381e-08 0
  305 0.5 1.07892e-05 9.45986e-08 0
  306 0.5 1.07939e-05 9.44177e-08 0
  307 0.5 1.07996e-05 9.41983e-08 0
  308 0.5 1.08062e-05 9.39433e-08 0
  309 0.5 1.08137e-05 9.36556e-08 0
  310 0.5 1.08219e-05 9.3338e-08 0
  311 0.5 1.08308e-05 9.29935e-08 0
  312 0.5 1.08404e-05 9.2625e-08 0
  313 0.5 1.08505e-05 9.22352e-08 0
  314 0.5 1.0861e-05 9.18273e-08 0
  315 0.5 1.0872e-05 9.14039e-08 0
  316 0.5 1.08833e-05 9.09681e-08 0
  317 0.5 1.08948e-05 9.05226e-08 0
  318 0.5 1.09066e-05 9.00705e-08 0
  319 0.5 1.09184e-05 8.96145e-08 0
  320 0.5 1.09302e-05 8.91576e-08 0
  321 0.5 1.0942e-05 8.87026e-08 0
  322 0.5 1.09537e-05 8.82525e-08 0
  323 0.5 1.09651e-05 8.78102e-08 0
  324 0.5 1.09763e-05 8.73785e-08 0
  325 0.5 1.09871e-05 8.69603e-08 0
  326 0.5 1.09976e-05 8.65585e-08 0
  327 0.5 1.10075e-05 8.6176e-08 0
  328 0.5 1.10168e-05 8.58157e-08 0
  329 0.5 1.10255e-05 8.54805e-08 0
  330 0.5 1.10334e-05 8.51732e-08 0
  331 0.5 1.10406e-05 8.48968e-08 0
  332 0.5 1.10469e-05 8.46542e-08 0
  333 0.5 1.10522e-05 8.44482e-08 0
  334 0.5 1.10565e-05 8.42818e-08 0
  335 0.5 1.10598e-05 8.41578e-08 0
  336 0.5 1.10618e-05 8.4079e-08 0
  337 0.5 1.10626e-05 8.40485e-08 0
  338 0.5 1.10621e-05 8.40691e-08 0
  339 0.5 1.10601e-05 8.41437e-08 0
  340 0.5 1.10567e-05 8.42751e-08 0
  341 0.5 1.10516e-05 8.44725e-08 0
  342 0.5 1.10433e-05 8.47916e-08 0
  343 0.5 1.10318e-05 8.52373e-08 0
  344 0.5 1.10172e-05 8.57994e-08 0
  345 0.5 1.09999e-05 8.64681e-08 0
  346 0.5 1.09801e-05 8.72333e-08 0
  347 0.5 1.0958e-05 8.80851e-08 0
  348 0.5 1.09339e-05 8.90135e-08 0
  349 0.5 1.09082e-05 9.00086e-08 0
  350 0.5 1.08809e-05 9.10604e-08 0
  351 0.5 1.08524e-05 9.2159e-08 0
  352 0.5 1.0823e-05 9.32942e-08 0
  353 0.5 1.07929e-05 9.44563e-08 0
  354 0.5 1.07624e-05 9.56352e-08 0
  355 0.5 1.07316e-05 9.68209e-08 0
  356 0.5 1.0701e-05 9.80036e-08 0
  357 0.5 1.06707e-05 9.91731e-08 0
  358 0.5 1.0641e-05 1.0032e-07 0
  359 0.5 1.06121e-05 1.01433e-07 0
  360 0.5 1.05844e-05 1.02504e-07 0
  361 0.5 1.0558e-05 1.03521e-07 0
  362 0.5 1.05333e-05 1.04476e-07 0
  363 0.5 1.05104e-05 1.05358e-07 0
  364 0.5 1.04897e-05 1.06157e-07 0
  365 0.5 1.04714e-05 1.06863e-07 0
  366 0.5 1.04558e-05 1.07466e-07 0
  367 0.5 1.04431e-05 1.07957e-07 0
  368 0.5 1.04336e-05 1.08324e-07 0
  369 0.5 1.04266e-05 1.08593e-07 0
  370 0.5 1.04203e-05 1.08837e-07 0
  371 0.5 1.04145e-05 1.09062e-07 0
  372 0.5 1.04091e-05 1.09268e-07 0
  373 0.5 1.04043e-05 1.09455e-07 0
  374 0.5 1.03999e-05 1.09623e-07 0
  375 0.5 1.0396e-05 1.09774e-07 0
  376 0.5 1.03925e-05 1.09908e-07 0
  377 0.5 1.03895e-05 1.10024e-07 0
  378 0.5 1.03869e-05 1.10125e-07 0
  379 0.5 1.03847e-05 1.10209e-07 0
  380 0.5 1.03829e-05 1.10278e-07 0
  381 0.5 1.03815e-05 1.10332e-07 0
  382 0.5 1.03805e-05 1.10371e-07 0
  383 0.5 1.03799e-05 1.10397e-07 0
  384 0.5 1.03796e-05 1.10408e-07 0
  385 0.5 1.03796e-05 1.10407e-07 0
  386 0.5 1.038e-05 1.10393e-07 0
  387 0.5 1.03806e-05 1.10367e-07 0
  388 0.5 1.03816e-05 1.10329e-07 0
  389 0.5 1.03829e-05 1.1028e-07 0
  390 0.5 1.03845e-05 1.1022e-07 0
  391 0.5 1.03863e-05 1.10149e-07 0
  392 0.5 1.03884e-05 1.10069e-07 0
  393 0.5 1.03907e-05 1.09979e-07 0
  394 0.5 1.03932e-05 1.09881e-07 0
  395 0.5 1.0396e-05 1.09774e-07 0
  396 0.5 1.0399e-05 1.09659e-07 0
  397 0.5 1.04022e-05 1.09536e-07 0
  398 0.5 1.04055e-05 1.09407e-07 0
  399 0.5 1.04091e-05 1.0927e-07 0
  400 0.5 1.04127e-05 1.09128e-07 0
  401 0.5 1.04166e-05 1.0898e-07 0
  402 0.5 1.04205e-05 1.08827e-07 0
  403 0.5 1.04246e-05 1.08669e-07 0
  404 0.5 1.04288e-05 1.08507e-07 0
  405 0.5 1.04331e-05 1.0834e-07 0
  406 0.5 1.04375e-05 1.08171e-07 0
  407 0.5 1.0442e-05 1.07999e-07 0
  408 0.5 1.04465e-05 1.07824e-07 0
  409 0.5 1.04511e-05 1.07648e-07 0
  410 0.5 1.04557e-05 1.0747e-07 0
  411 0.5 1.04604e-05 1.07291e-07 0
  412 0.5 1.0465e-05 1.07111e-07 0
  413 0.5 1.04697e-05 1.06931e-07 0
  414 0.5 1.04743e-05 1.06752e-07 0
  415 0.5 1.04789e-05 1.06574e-07 0
  416 0.5 1.04835e-05 1.06396e-07 0
  417 0.5 1.04881e-05 1.06221e-07 0
  418 0.5 1.04925e-05 1.06048e-07 0
  419 0.5 1.0497e-05 1.05878e-07 0
  420 0.5 1.05013e-05 1.0571e-07 0
  421 0.5 1.0506e-05 1.0553e-07 0
  422 0.5 1.05112e-05 1.05329e-07 0
  423 0.5 1.05169e-05 1.05109e-07 0
  424 0.5 1.0523e-05 1.04872e-07 0
  425 0.5 1.05296e-05 1.04618e-07 0
  426 0.5 1.05366e-05 1.04348e-07 0
  427 0.5 1.0544e-05 1.04063e-07 0
  428 0.5 1.05517e-05 1.03764e-07 0
  429 0.5 1.05598e-05 1.03453e-07 0
  430 0.5 1.05682e-05 1.0313e-07 0
  431 0.5 1.05768e-05 1.02796e-07 0
  432 0.5 1.05857e-05 1.02453e-07 0
  433 0.5 1.05948e-05 1.02101e-07 0
  434 0.5 1.06041e-05 1.01742e-07 0
  435 0.5 1.06136e-05 1.01376e-07 0
  436 0.5 1.06232e-05 1.01004e-07 0
  437 0.5 1.0633e-05 1.00628e-07 0
  438 0.5 1.06428e-05 1.00249e-07 0
  439 0.5 1.06527e-05 9.98672e-08 0
  440 0.5 1.06626e-05 9.94841e-08 0
  441 0.5 1.06726e-05 9.91006e-08 0
  442 0.5 1.06825e-05 9.87178e-08 0
  443 0.5 1.06924e-05 9.83368e-08 0
  444 0.5 1.07022e-05 9.79585e-08 0
  445 0.5 1.07119e-05 9.7584e-08 0
  446 0.5 1.07214e-05 9.72143e-08 0
  447 0.5 1.07309e-05 9.68504e-08 0
  448 0.5 1.07401e-05 9.64935e-08 0
  449 0.5 1.07492e-05 9.61444e-08 0
  450 0.5 1.0758e-05 9.58043e-08 0
  451 0.5 1.07665e-05 9.54742e-08 0
  452 0.5 1.07748e-05 9.51551e-08 0
  453 0.5 1.07828e-05 9.4848e-08 0
  454 0.5 1.07904e-05 9.45541e-08 0
  455 0.5 1.07976e-05 9.42742e-08 0
  456 0.5 1.08045e-05 9.40094e-08 0
  457 0.5 1.08109e-05 9.37609e-08 0
  458 0.5 1.08169e-05 9.35295e-08 0
  459 0.5 1.08224e-05 9.33164e-08 0
  460 0.5 1.08275e-05 9.31225e-08 0
  461 0.5 1.0832e-05 9.29489e-08 0
  462 0.5 1.08359e-05 9.27967e-08 0
  463 0.5 1.08393e-05 9.26667e-08 0
  464 0.5 1.08422e-05 9.25535e-08 0
  465 0.5 1.08448e-05 9.24538e-08 0
  466 0.5 1.0847e-05 9.23673e-08 0
  467 0.5 1.08489e-05 9.22936e-08 0
  468 0.5 1.08505e-05 9.2232e-08 0
  469 0.5 1.08518e-05 9.21824e-08 0
  470 0.5 1.08528e-05 9.21442e-08 0
  471 0.5 1.08535e-05 9.21169e-08 0
  472 0.5 1.0854e-05 9.21003e-08 0
  473 0.5 1.08541e-05 9.20938e-08 0
  474 0.5 1.0854e-05 9.2097e-08 0
  475 0.5 1.08537e-05 9.21095e-08 0
  476 0.5 1.08532e-05 9.21308e-08 0
  477 0.5 1.08524e-05 9.21606e-08 0
  478 0.5 1.08514e-05 9.21984e-08 0
  479 0.5 1.08502e-05 9.22437e-08 0
  480 0.5 1.08489e-05 9.22962e-08 0
  481 0.5 1.08473e-05 9.23555e-08 0
  482 0.5 1.08456e-05 9.2421e-08 0
  483 0.5 1.08438e-05 9.24924e-08 0
  484 0.5 1.08418e-05 9.25693e-08 0
  485 0.5 1.08397e-05 9.26511e-08 0
  486 0.5 1.08374e-05 9.27375e-08 0
  487 0.5 1.08351e-05 9.28281e-08 0
  488 0.5 1.08327e-05 9.29225e-08 0
  489 0.5 1.08301e-05 9.30201e-08 0
  490 0.5 1.08275e-05 9.31206e-08 0
  491 0.5 1.08249e-05 9.32235e-08 0
  492 0.5 1.08221e-05 9.33285e-08 0
  493 0.5 1.08194e-05 9.3435e-08 0
  494 0.5 1.08166e-05 9.35428e-08 0
  495 0.5 1.08138e-05 9.36512e-08 0
  496 0.5 1.0811e-05 9.376e-08 0
  497 0.5 1.08081e-05 9.38686e-08 0
  498 0.5 1.08053e-05 9.39767e-08 0
  499 0.5 1.08026e-05 9.40839e-08 0
  500 0.5 1.07998e-05 9.41896e-08 0
  501 0.5 1.07971e-05 9.42935e-08 0
  502 0.5 1.07945e-05 9.43951e-08 0
  503 0.5 1.07919e-05 9.44941e-08 0
  504 0.5 1.07894e-05 9.45899e-08 0
  505 0.5 1.07871e-05 9.46822e-08 0
  506 0.5 1.07848e-05 9.47706e-08 0
  507 0.5 1.07826e-05 9.48545e-08 0
