# z rho mu
-10 0 0
0 0 0
0 2.03463e-10 2.43303e-08
0 2.03463e-10 2.43303e-08
0 2.36176e-10 2.82421e-08
0 2.36176e-10 2.82421e-08
0 2.6565e-10 3.17666e-08
0 2.6565e-10 3.17666e-08
0 2.90602e-10 3.47504e-08
0 2.90602e-10 3.47504e-08
0 3.10163e-10 3.70895e-08
0 3.10163e-10 3.70895e-08
0 3.24009e-10 3.87453e-08
0 3.24009e-10 3.87453e-08
0 3.32479e-10 3.97581e-08
0 3.32479e-10 3.97581e-08
0 3.36599e-10 4.02507e-08
0 3.36599e-10 4.02507e-08
0 3.37937e-10 4.04108e-08
0 3.37937e-10 4.04108e-08
0 3.38125e-10 4.04332e-08
0 3.38125e-10 4.04332e-08
0 3.38128e-10 4.04336e-08
0.5 3.38128e-10 4.04336e-08
0.5 3.67921e-10 4.04336e-08
1 3.67921e-10 4.04336e-08
1 4.61361e-10 4.04336e-08
1.5 4.61361e-10 4.04336e-08
1.5 6.31006e-10 4.04336e-08
2 6.31006e-10 4.04336e-08
2 8.99037e-10 4.04336e-08
2.5 8.99037e-10 4.04336e-08
2.5 1.29919e-09 4.04336e-08
3 1.29919e-09 4.04336e-08
3 1.87953e-09 4.04336e-08
3.5 1.87953e-09 4.04336e-08
3.5 2.70617e-09 4.04336e-08
4 2.70617e-09 4.04336e-08
4 3.868e-09 4.04336e-08
4.5 3.868e-09 4.04336e-08
4.5 5.4825e-09 4.04336e-08
5 5.4825e-09 4.04336e-08
5 7.70264e-09 4.04336e-08
5.5 7.70264e-09 4.04336e-08
5.5 1.0725e-08 4.04336e-08
6 1.0725e-08 4.04336e-08
6 1.47991e-08 4.04336e-08
6.5 1.47991e-08 4.04336e-08
6.5 2.62228e-08 4.04741e-08
7 2.62228e-08 4.04741e-08
7 2.98386e-08 4.04499e-08
7.5 2.98386e-08 4.04499e-08
7.5 3.77525e-08 4.04398e-08
8 3.77525e-08 4.04398e-08
8 4.93627e-08 4.04358e-08
8.5 4.93627e-08 4.04358e-08
8.5 6.48065e-08 4.04343e-08
9 6.48065e-08 4.04343e-08
9 8.46442e-08 4.04338e-08
9.5 8.46442e-08 4.04338e-08
9.5 1.09695e-07 4.04336e-08
10 1.09695e-07 4.04336e-08
10 1.40959e-07 4.04336e-08
10.5 1.40959e-07 4.04336e-08
10.5 1.7958e-07 4.04336e-08
11 1.7958e-07 4.04336e-08
11 2.26826e-07 4.04336e-08
11.5 2.26826e-07 4.04336e-08
11.5 2.84066e-07 4.04336e-08
12 2.84066e-07 4.04336e-08
12 3.52748e-07 4.04336e-08
12.5 3.52748e-07 4.04336e-08
12.5 4.3437e-07 4.04336e-08
13 4.3437e-07 4.04336e-08
13 5.30442e-07 4.04336e-08
13.5 5.30442e-07 4.04336e-08
13.5 6.42441e-07 4.04336e-08
14 6.42441e-07 4.04336e-08
14 7.71761e-07 4.04336e-08
14.5 7.71761e-07 4.04336e-08
14.5 9.19657e-07 4.04336e-08
15 9.19657e-07 4.04336e-08
15 1.08718e-06 4.04336e-08
15.5 1.08718e-06 4.04336e-08
15.5 1.27514e-06 4.04336e-08
16 1.27514e-06 4.04336e-08
16 1.48401e-06 4.04336e-08
16.5 1.48401e-06 4.04336e-08
16.5 1.71392e-06 4.04336e-08
17 1.71392e-06 4.04336e-08
17 1.96458e-06 4.04336e-08
17.5 1.96458e-06 4.04336e-08
17.5 2.23527e-06 4.04337e-08
18 2.23527e-06 4.04337e-08
18 2.52482e-06 4.04337e-08
18.5 2.52482e-06 4.04337e-08
18.5 2.8316e-06 4.04338e-08
19 2.8316e-06 4.04338e-08
19 3.15358e-06 4.04339e-08
19.5 3.15358e-06 4.04339e-08
19.5 3.48832e-06 4.04341e-08
20 3.48832e-06 4.04341e-08
20 3.83303e-06 4.04344e-08
20.5 3.83303e-06 4.04344e-08
20.5 4.18467e-06 4.04348e-08
21 4.18467e-06 4.04348e-08
21 4.54003e-06 4.04354e-08
21.5 4.54003e-06 4.04354e-08
21.5 4.89578e-06 4.04362e-08
22 4.89578e-06 4.04362e-08
22 5.24864e-06 4.04374e-08
22.5 5.24864e-06 4.04374e-08
22.5 5.59539e-06 4.04392e-08
23 5.59539e-06 4.04392e-08
23 5.93305e-06 4.04415e-08
23.5 5.93305e-06 4.04415e-08
23.5 6.25893e-06 4.04448e-08
24 6.25893e-06 4.04448e-08
24 6.5707e-06 4.04494e-08
24.5 6.5707e-06 4.04494e-08
24.5 6.86648e-06 4.04555e-08
25 6.86648e-06 4.04555e-08
25 7.14486e-06 4.04637e-08
25.5 7.14486e-06 4.04637e-08
25.5 7.40496e-06 4.04747e-08
26 7.40496e-06 4.04747e-08
26 7.64641e-06 4.04891e-08
26.5 7.64641e-06 4.04891e-08
26.5 7.86938e-06 4.05079e-08
27 7.86938e-06 4.05079e-08
27 8.07455e-06 4.05322e-08
27.5 8.07455e-06 4.05322e-08
27.5 8.26304e-06 4.05634e-08
28 8.26304e-06 4.05634e-08
28 8.43642e-06 4.06029e-08
28.5 8.43642e-06 4.06029e-08
28.5 8.59661e-06 4.06527e-08
29 8.59661e-06 4.06527e-08
29 8.74585e-06 4.07147e-08
29.5 8.74585e-06 4.07147e-08
29.5 8.88658e-06 4.07914e-08
30 8.88658e-06 4.07914e-08
30 9.02142e-06 4.08854e-08
30.5 9.02142e-06 4.08854e-08
30.5 9.15305e-06 4.09996e-08
31 9.15305e-06 4.09996e-08
31 9.28414e-06 4.11374e-08
31.5 9.28414e-06 4.11374e-08
31.5 9.41727e-06 4.13022e-08
32 9.41727e-06 4.13022e-08
32 9.55485e-06 4.14981e-08
32.5 9.55485e-06 4.14981e-08
32.5 9.69903e-06 4.1729e-08
33 9.69903e-06 4.1729e-08
33 9.85164e-06 4.19995e-08
33.5 9.85164e-06 4.19995e-08
33.5 1.00141e-05 4.23144e-08
34 1.00141e-05 4.23144e-08
34 1.01874e-05 4.26785e-08
34.5 1.01874e-05 4.26785e-08
34.5 1.03719e-05 4.30972e-08
35 1.03719e-05 4.30972e-08
35 1.05676e-05 4.35761e-08
35.5 1.05676e-05 4.35761e-08
35.5 1.07737e-05 4.41208e-08
36 1.07737e-05 4.41208e-08
36 1.0989e-05 4.47376e-08
36.5 1.0989e-05 4.47376e-08
36.5 1.12117e-05 4.54324e-08
37 1.12117e-05 4.54324e-08
37 1.14393e-05 4.62118e-08
37.5 1.14393e-05 4.62118e-08
37.5 1.1669e-05 4.70822e-08
38 1.1669e-05 4.70822e-08
38 1.18976e-05 4.80499e-08
38.5 1.18976e-05 4.80499e-08
38.5 1.21215e-05 4.9121e-08
39 1.21215e-05 4.9121e-08
39 1.23371e-05 5.03015e-08
39.5 1.23371e-05 5.03015e-08
39.5 1.25415e-05 5.15519e-08
40 1.25415e-05 5.15519e-08
40 1.27351e-05 5.27277e-08
40.5 1.27351e-05 5.27277e-08
40.5 1.29142e-05 5.38301e-08
41 1.29142e-05 5.38301e-08
41 1.30756e-05 5.48719e-08
41.5 1.30756e-05 5.48719e-08
41.5 1.32162e-05 5.58639e-08
42 1.32162e-05 5.58639e-08
42 1.33336e-05 5.68151e-08
42.5 1.33336e-05 5.68151e-08
42.5 1.3426e-05 5.77322e-08
43 1.3426e-05 5.77322e-08
43 1.34923e-05 5.86191e-08
43.5 1.34923e-05 5.86191e-08
43.5 1.35322e-05 5.94775e-08
44 1.35322e-05 5.94775e-08
44 1.3546e-05 6.03062e-08
44.5 1.3546e-05 6.03062e-08
44.5 1.35348e-05 6.11018e-08
45 1.35348e-05 6.11018e-08
45 1.35003e-05 6.18582e-08
45.5 1.35003e-05 6.18582e-08
45.5 1.34446e-05 6.25678e-08
46 1.34446e-05 6.25678e-08
46 1.33705e-05 6.32213e-08
46.5 1.33705e-05 6.32213e-08
46.5 1.32811e-05 6.38084e-08
47 1.32811e-05 6.38084e-08
47 1.31794e-05 6.43185e-08
47.5 1.31794e-05 6.43185e-08
47.5 1.30689e-05 6.47412e-08
48 1.30689e-05 6.47412e-08
48 1.29528e-05 6.50669e-08
48.5 1.29528e-05 6.50669e-08
48.5 1.28343e-05 6.52876e-08
