#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-20.00000000   2.06900090   0.00000000
-10.00000000   2.06900090   0.00000000
-10.00000000   2.06900295   0.00000000
 -9.50000000   2.06900295   0.00000000
 -9.50000000   2.06900917   0.00000000
 -9.00000000   2.06900917   0.00000000
 -9.00000000   2.06902697   0.00000000
 -8.50000000   2.06902697   0.00000000
 -8.50000000   2.06907498   0.00000000
 -8.00000000   2.06907498   0.00000000
 -8.00000000   2.06919716   0.00000000
 -7.50000000   2.06919716   0.00000000
 -7.50000000   2.06949045   0.00000000
 -7.00000000   2.06949045   0.00000000
 -7.00000000   2.07015454   0.00000000
 -6.50000000   2.07015454   0.00000000
 -6.50000000   2.07157297   0.00000000
 -6.00000000   2.07157297   0.00000000
 -6.00000000   2.07443076   0.00000000
 -5.50000000   2.07443076   0.00000000
 -5.50000000   2.07986202   0.00000000
 -5.00000000   2.07986202   0.00000000
 -5.00000000   2.08959884   0.00000000
 -4.50000000   2.08959884   0.00000000
 -4.50000000   2.10606458   0.00000000
 -4.00000000   2.10606458   0.00000000
 -4.00000000   2.13233052   0.00000000
 -3.50000000   2.13233052   0.00000000
 -3.50000000   2.17185372   0.00000000
 -3.00000000   2.17185372   0.00000000
 -3.00000000   2.22795329   0.00000000
 -2.50000000   2.22795329   0.00000000
 -2.50000000   2.30306633   0.00000000
 -2.00000000   2.30306633   0.00000000
 -2.00000000   2.39793433   0.00000000
 -1.50000000   2.39793433   0.00000000
 -1.50000000   2.51095890   0.00000000
 -1.00000000   2.51095890   0.00000000
 -1.00000000   2.63797971   0.00000000
 -0.50000000   2.63797971   0.00000000
 -0.50000000   2.77263577   0.00000000
  0.00000000   2.77263577   0.00000000
  0.00000000   2.90729182   0.00000000
  0.50000000   2.90729182   0.00000000
  0.50000000   3.03431264   0.00000000
  1.00000000   3.03431264   0.00000000
  1.00000000   3.14733721   0.00000000
  1.50000000   3.14733721   0.00000000
  1.50000000   3.24220521   0.00000000
  2.00000000   3.24220521   0.00000000
  2.00000000   3.31731825   0.00000000
  2.50000000   3.31731825   0.00000000
  2.50000000   3.37341782   0.00000000
  3.00000000   3.37341782   0.00000000
  3.00000000   3.41294102   0.00000000
  3.50000000   3.41294102   0.00000000
  3.50000000   3.43920695   0.00000000
  4.00000000   3.43920695   0.00000000
  4.00000000   3.45567270   0.00000000
  4.50000000   3.45567270   0.00000000
  4.50000000   3.46540952   0.00000000
  5.00000000   3.46540952   0.00000000
  5.00000000   3.47084078   0.00000000
  5.50000000   3.47084078   0.00000000
  5.50000000   3.47369857   0.00000000
  6.00000000   3.47369857   0.00000000
  6.00000000   3.47511699   0.00000000
  6.50000000   3.47511699   0.00000000
  6.50000000   3.47578109   0.00000000
  7.00000000   3.47578109   0.00000000
  7.00000000   3.47607437   0.00000000
  7.50000000   3.47607437   0.00000000
  7.50000000   3.47619656   0.00000000
  8.00000000   3.47619656   0.00000000
  8.00000000   3.47624457   0.00000000
  8.50000000   3.47624457   0.00000000
  8.50000000   3.47626237   0.00000000
  9.00000000   3.47626237   0.00000000
  9.00000000   3.47626859   0.00000000
  9.50000000   3.47626859   0.00000000
  9.50000000   3.47627064   0.00000000
 10.00000000   3.47627064   0.00000000
 10.00000000   3.47627128   0.00000000
 10.50000000   3.47627128   0.00000000
 10.50000000   3.47627147   0.00000000
