#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   2.06900000   0.00000000
  0.00000000   2.06900000   0.00000000
  0.00000000   3.10485034   0.00000000
 65.25786481   3.10485034   0.00000000
 65.25786481   3.10485034   0.00000000
 78.25786481   3.10485034   0.00000000
 78.25786481   3.10298808   0.00000000
 78.75786481   3.10298808   0.00000000
 78.75786481   3.10093290   0.00000000
 79.25786481   3.10093290   0.00000000
 79.25786481   3.09699785   0.00000000
 79.75786481   3.09699785   0.00000000
 79.75786481   3.08984497   0.00000000
 80.25786481   3.08984497   0.00000000
 80.25786481   3.07750131   0.00000000
 80.75786481   3.07750131   0.00000000
 80.75786481   3.05727869   0.00000000
 81.25786481   3.05727869   0.00000000
 81.25786481   3.02582565   0.00000000
 81.75786481   3.02582565   0.00000000
 81.75786481   2.97938270   0.00000000
 82.25786481   2.97938270   0.00000000
 82.25786481   2.91427852   0.00000000
 82.75786481   2.91427852   0.00000000
 82.75786481   2.82763620   0.00000000
 83.25786481   2.82763620   0.00000000
 83.25786481   2.71816911   0.00000000
 83.75786481   2.71816911   0.00000000
 83.75786481   2.58686766   0.00000000
 84.25786481   2.58686766   0.00000000
 84.25786481   2.43735154   0.00000000
 84.75786481   2.43735154   0.00000000
 84.75786481   2.27571518   0.00000000
 85.25786481   2.27571518   0.00000000
 85.25786481   2.10982422   0.00000000
 85.75786481   2.10982422   0.00000000
 85.75786481   1.94818786   0.00000000
 86.25786481   1.94818786   0.00000000
 86.25786481   1.79867174   0.00000000
 86.75786481   1.79867174   0.00000000
 86.75786481   1.66737029   0.00000000
 87.25786481   1.66737029   0.00000000
 87.25786481   1.55790320   0.00000000
 87.75786481   1.55790320   0.00000000
 87.75786481   1.47126088   0.00000000
 88.25786481   1.47126088   0.00000000
 88.25786481   1.40615671   0.00000000
 88.75786481   1.40615671   0.00000000
 88.75786481   1.35971376   0.00000000
 89.25786481   1.35971376   0.00000000
 89.25786481   1.32826071   0.00000000
 89.75786481   1.32826071   0.00000000
 89.75786481   1.30803809   0.00000000
 90.25786481   1.30803809   0.00000000
 90.25786481   1.29569444   0.00000000
 90.75786481   1.29569444   0.00000000
 90.75786481   1.28854155   0.00000000
 91.25786481   1.28854155   0.00000000
 91.25786481   1.28460650   0.00000000
 91.75786481   1.28460650   0.00000000
 91.75786481   1.28255132   0.00000000
 92.25786481   1.28255132   0.00000000
 92.25786481   1.28153231   0.00000000
 92.75786481   1.28153231   0.00000000
 92.75786481   1.28105265   0.00000000
 93.25786481   1.28105265   0.00000000
 93.25786481   1.28083829   0.00000000
 93.75786481   1.28083829   0.00000000
 93.75786481   1.28074736   0.00000000
 94.25786481   1.28074736   0.00000000
 94.25786481   1.28071073   0.00000000
 94.75786481   1.28071073   0.00000000
 94.75786481   1.28069672   0.00000000
 95.25786481   1.28069672   0.00000000
 95.25786481   1.28069164   0.00000000
 95.75786481   1.28069164   0.00000000
 95.75786481   1.28068989   0.00000000
 96.25786481   1.28068989   0.00000000
 96.25786481   1.28068932   0.00000000
 96.75786481   1.28068932   0.00000000
 96.75786481   1.28068914   0.00000000
 97.25786481   1.28068914   0.00000000
 97.25786481   1.28068909   0.00000000
 97.75786481   1.28068909   0.00000000
 97.75786481   1.28068907   0.00000000
 98.25786481   1.28068907   0.00000000
 98.25786481   1.28068907   0.00000000
 98.75786481   1.28068907   0.00000000
 98.75786481   1.28068907   0.00000000
 99.25786481   1.28068907   0.00000000
 99.25786481   1.28068907   0.00000000
 99.75786481   1.28068907   0.00000000
 99.75786481   1.28068907   0.00000000
100.25786481   1.28068907   0.00000000
100.25786481   1.28068907   0.00000000
100.75786481   1.28068907   0.00000000
100.75786481   1.28068907   0.00000000
101.25786481   1.28068907   0.00000000
101.25786481   1.28068907   0.00000000
101.75786481   1.28068907   0.00000000
101.75786481   1.28068907   0.00000000
102.25786481   1.28068907   0.00000000
102.25786481   1.28068907   0.00000000
102.75786481   1.28068907   0.00000000
102.75786481   1.28068907   0.00000000
103.25786481   1.28068907   0.00000000
103.25786481   1.28068907   0.00000000
103.75786481   1.28068907   0.00000000
103.75786481   1.28068907   0.00000000
104.25786481   1.28068907   0.00000000
104.25786481   1.28068907   0.00000000
104.75786481   1.28068907   0.00000000
104.75786481   1.28068907   0.00000000
105.25786481   1.28068907   0.00000000
105.25786481   1.28068907   0.00000000
105.75786481   1.28068907   0.00000000
105.75786481   1.28068907   0.00000000
106.25786481   1.28068907   0.00000000
106.25786481   1.28068907   0.00000000
106.75786481   1.28068907   0.00000000
106.75786481   1.28068907   0.00000000
107.25786481   1.28068907   0.00000000
107.25786481   1.28068907   0.00000000
107.75786481   1.28068907   0.00000000
107.75786481   1.28068907   0.00000000
108.25786481   1.28068907   0.00000000
