#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   2.06900000   0.00000000
  0.00000000   2.06900000   0.00000000
  0.00000000   3.49327093   0.00000000
  9.17608619   3.49327093   0.00000000
  9.17608619   2.84454157   0.00000000
 27.55479831   2.84454157   0.00000000
 27.55479831   4.24394821   0.00000000
197.30323865   4.24394821   0.00000000
197.30323865   4.24394821   0.00000000
209.30323865   4.24394821   0.00000000
209.30323865   4.24280317   0.00000000
209.80323865   4.24280317   0.00000000
209.80323865   4.24144081   0.00000000
210.30323865   4.24144081   0.00000000
210.30323865   4.23870218   0.00000000
210.80323865   4.23870218   0.00000000
210.80323865   4.23345837   0.00000000
211.30323865   4.23345837   0.00000000
211.30323865   4.22389504   0.00000000
211.80323865   4.22389504   0.00000000
211.80323865   4.20728452   0.00000000
212.30323865   4.20728452   0.00000000
212.30323865   4.17981068   0.00000000
212.80323865   4.17981068   0.00000000
212.80323865   4.13654394   0.00000000
213.30323865   4.13654394   0.00000000
213.30323865   4.07167993   0.00000000
213.80323865   4.07167993   0.00000000
213.80323865   3.97913389   0.00000000
214.30323865   3.97913389   0.00000000
214.30323865   3.85351058   0.00000000
214.80323865   3.85351058   0.00000000
214.80323865   3.69134946   0.00000000
215.30323865   3.69134946   0.00000000
215.30323865   3.49240733   0.00000000
215.80323865   3.49240733   0.00000000
215.80323865   3.26063721   0.00000000
216.30323865   3.26063721   0.00000000
216.30323865   3.00450998   0.00000000
216.80323865   3.00450998   0.00000000
216.80323865   2.73643783   0.00000000
217.30323865   2.73643783   0.00000000
217.30323865   2.47128182   0.00000000
217.80323865   2.47128182   0.00000000
217.80323865   2.22419425   0.00000000
218.30323865   2.22419425   0.00000000
218.30323865   2.00826435   0.00000000
218.80323865   2.00826435   0.00000000
218.80323865   1.83251610   0.00000000
219.30323865   1.83251610   0.00000000
219.30323865   1.70071515   0.00000000
219.80323865   1.70071515   0.00000000
219.80323865   1.61120937   0.00000000
220.30323865   1.61120937   0.00000000
220.30323865   1.55774102   0.00000000
220.80323865   1.55774102   0.00000000
220.80323865   1.53092862   0.00000000
221.30323865   1.53092862   0.00000000
221.30323865   1.51999848   0.00000000
221.80323865   1.51999848   0.00000000
221.80323865   1.51436739   0.00000000
222.30323865   1.51436739   0.00000000
222.30323865   1.50480907   0.00000000
222.80323865   1.50480907   0.00000000
222.80323865   1.48411115   0.00000000
223.30323865   1.48411115   0.00000000
223.30323865   1.44728305   0.00000000
223.80323865   1.44728305   0.00000000
223.80323865   1.39146405   0.00000000
224.30323865   1.39146405   0.00000000
224.30323865   1.31569490   0.00000000
224.80323865   1.31569490   0.00000000
224.80323865   1.22067110   0.00000000
225.30323865   1.22067110   0.00000000
225.30323865   1.10852512   0.00000000
225.80323865   1.10852512   0.00000000
225.80323865   0.98262094   0.00000000
226.30323865   0.98262094   0.00000000
226.30323865   0.84731112   0.00000000
226.80323865   0.84731112   0.00000000
226.80323865   0.70761117   0.00000000
227.30323865   0.70761117   0.00000000
227.30323865   0.56877986   0.00000000
227.80323865   0.56877986   0.00000000
227.80323865   0.43583898   0.00000000
228.30323865   0.43583898   0.00000000
228.30323865   0.31310143   0.00000000
228.80323865   0.31310143   0.00000000
228.80323865   0.20378902   0.00000000
229.30323865   0.20378902   0.00000000
229.30323865   0.10980611   0.00000000
229.80323865   0.10980611   0.00000000
229.80323865   0.03170054   0.00000000
230.30323865   0.03170054   0.00000000
230.30323865  -0.03119913   0.00000000
230.80323865  -0.03119913   0.00000000
230.80323865  -0.08051582   0.00000000
231.30323865  -0.08051582   0.00000000
231.30323865  -0.11849040   0.00000000
231.80323865  -0.11849040   0.00000000
231.80323865  -0.14764681   0.00000000
232.30323865  -0.14764681   0.00000000
232.30323865  -0.17050534   0.00000000
232.80323865  -0.17050534   0.00000000
232.80323865  -0.18937050   0.00000000
233.30323865  -0.18937050   0.00000000
233.30323865  -0.20619816   0.00000000
233.80323865  -0.20619816   0.00000000
233.80323865  -0.22253022   0.00000000
234.30323865  -0.22253022   0.00000000
234.30323865  -0.23947746   0.00000000
234.80323865  -0.23947746   0.00000000
234.80323865  -0.25773131   0.00000000
235.30323865  -0.25773131   0.00000000
235.30323865  -0.27759027   0.00000000
235.80323865  -0.27759027   0.00000000
235.80323865  -0.29899363   0.00000000
236.30323865  -0.29899363   0.00000000
236.30323865  -0.32156149   0.00000000
236.80323865  -0.32156149   0.00000000
236.80323865  -0.34464364   0.00000000
237.30323865  -0.34464364   0.00000000
237.30323865  -0.36738098   0.00000000
237.80323865  -0.36738098   0.00000000
237.80323865  -0.38878118   0.00000000
238.30323865  -0.38878118   0.00000000
238.30323865  -0.40780724   0.00000000
238.80323865  -0.40780724   0.00000000
238.80323865  -0.42347341   0.00000000
