#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   2.06900000   0.00000000
  0.00000000   2.06900000   0.00000000
  0.00000000   3.41302740   0.00000000
 20.17967732   3.41302740   0.00000000
 20.17967732   3.13101998   0.00000000
 40.42077960   3.13101998   0.00000000
 40.42077960   4.50688841   0.00000000
199.72361758   4.50688841   0.00000000
199.72361758   4.50688843   0.00000000
210.22361758   4.50688843   0.00000000
210.22361758   4.50505385   0.00000000
210.72361758   4.50505385   0.00000000
210.72361758   4.50321364   0.00000000
211.22361758   4.50321364   0.00000000
211.22361758   4.49999949   0.00000000
211.72361758   4.49999949   0.00000000
211.72361758   4.49462116   0.00000000
212.22361758   4.49462116   0.00000000
212.22361758   4.48596239   0.00000000
212.72361758   4.48596239   0.00000000
212.72361758   4.47251333   0.00000000
213.22361758   4.47251333   0.00000000
213.22361758   4.45232195   0.00000000
213.72361758   4.45232195   0.00000000
213.72361758   4.42298303   0.00000000
214.22361758   4.42298303   0.00000000
214.22361758   4.38168501   0.00000000
214.72361758   4.38168501   0.00000000
214.72361758   4.32533233   0.00000000
215.22361758   4.32533233   0.00000000
215.22361758   4.25075313   0.00000000
215.72361758   4.25075313   0.00000000
215.72361758   4.15498896   0.00000000
216.22361758   4.15498896   0.00000000
216.22361758   4.03564576   0.00000000
216.72361758   4.03564576   0.00000000
216.72361758   3.89126710   0.00000000
217.22361758   3.89126710   0.00000000
217.22361758   3.72167560   0.00000000
217.72361758   3.72167560   0.00000000
217.72361758   3.52822188   0.00000000
218.22361758   3.52822188   0.00000000
218.22361758   3.31388478   0.00000000
218.72361758   3.31388478   0.00000000
218.72361758   3.08318453   0.00000000
219.22361758   3.08318453   0.00000000
219.22361758   2.84189916   0.00000000
219.72361758   2.84189916   0.00000000
219.72361758   2.59660805   0.00000000
220.22361758   2.59660805   0.00000000
220.22361758   2.35411933   0.00000000
220.72361758   2.35411933   0.00000000
220.72361758   2.12086043   0.00000000
221.22361758   2.12086043   0.00000000
221.22361758   1.90231908   0.00000000
221.72361758   1.90231908   0.00000000
221.72361758   1.70261309   0.00000000
222.22361758   1.70261309   0.00000000
222.22361758   1.52424299   0.00000000
222.72361758   1.52424299   0.00000000
222.72361758   1.36804873   0.00000000
223.22361758   1.36804873   0.00000000
223.22361758   1.23335689   0.00000000
223.72361758   1.23335689   0.00000000
223.72361758   1.11827608   0.00000000
224.22361758   1.11827608   0.00000000
224.22361758   1.02008077   0.00000000
224.72361758   1.02008077   0.00000000
224.72361758   0.93561932   0.00000000
225.22361758   0.93561932   0.00000000
225.22361758   0.86168958   0.00000000
225.72361758   0.86168958   0.00000000
225.72361758   0.79534135   0.00000000
226.22361758   0.79534135   0.00000000
226.22361758   0.73408414   0.00000000
226.72361758   0.73408414   0.00000000
226.72361758   0.67599733   0.00000000
227.22361758   0.67599733   0.00000000
227.22361758   0.61975357   0.00000000
227.72361758   0.61975357   0.00000000
227.72361758   0.56457542   0.00000000
228.22361758   0.56457542   0.00000000
228.22361758   0.51014799   0.00000000
228.72361758   0.51014799   0.00000000
228.72361758   0.45650925   0.00000000
229.22361758   0.45650925   0.00000000
229.22361758   0.40393574   0.00000000
229.72361758   0.40393574   0.00000000
229.72361758   0.35283655   0.00000000
230.22361758   0.35283655   0.00000000
230.22361758   0.30366332   0.00000000
230.72361758   0.30366332   0.00000000
230.72361758   0.25684017   0.00000000
231.22361758   0.25684017   0.00000000
231.22361758   0.21271425   0.00000000
231.72361758   0.21271425   0.00000000
231.72361758   0.17152572   0.00000000
232.22361758   0.17152572   0.00000000
232.22361758   0.13339485   0.00000000
232.72361758   0.13339485   0.00000000
232.72361758   0.09832324   0.00000000
233.22361758   0.09832324   0.00000000
233.22361758   0.06620604   0.00000000
233.72361758   0.06620604   0.00000000
233.72361758   0.03685208   0.00000000
234.22361758   0.03685208   0.00000000
234.22361758   0.01000891   0.00000000
234.72361758   0.01000891   0.00000000
234.72361758  -0.01460993   0.00000000
235.22361758  -0.01460993   0.00000000
235.22361758  -0.03729774   0.00000000
235.72361758  -0.03729774   0.00000000
235.72361758  -0.05832962   0.00000000
236.22361758  -0.05832962   0.00000000
236.22361758  -0.07794101   0.00000000
236.72361758  -0.07794101   0.00000000
236.72361758  -0.09631096   0.00000000
237.22361758  -0.09631096   0.00000000
237.22361758  -0.11355054   0.00000000
237.72361758  -0.11355054   0.00000000
237.72361758  -0.12969653   0.00000000
238.22361758  -0.12969653   0.00000000
238.22361758  -0.14471002   0.00000000
238.72361758  -0.14471002   0.00000000
238.72361758  -0.15847896   0.00000000
239.22361758  -0.15847896   0.00000000
239.22361758  -0.17082377   0.00000000
239.72361758  -0.17082377   0.00000000
239.72361758  -0.18150440   0.00000000
240.22361758  -0.18150440   0.00000000
