#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   2.06900000   0.00000000
  0.00000000   2.06900000   0.00000000
  0.00000000   3.38294292   0.00000000
 16.28336106   3.38294292   0.00000000
 16.28336106   3.40170207   0.00000000
 45.66959785   3.40170207   0.00000000
 45.66959785   4.44999970   0.00000000
200.36196262   4.44999970   0.00000000
200.36196262   4.50928990   0.00000000
207.36196262   4.50928990   0.00000000
207.36196262   4.50790146   0.00000000
207.86196262   4.50790146   0.00000000
207.86196262   4.50730407   0.00000000
208.36196262   4.50730407   0.00000000
208.36196262   4.50645699   0.00000000
208.86196262   4.50645699   0.00000000
208.86196262   4.50525382   0.00000000
209.36196262   4.50525382   0.00000000
209.36196262   4.50354105   0.00000000
209.86196262   4.50354105   0.00000000
209.86196262   4.50109785   0.00000000
210.36196262   4.50109785   0.00000000
210.36196262   4.49760907   0.00000000
210.86196262   4.49760907   0.00000000
210.86196262   4.49263071   0.00000000
211.36196262   4.49263071   0.00000000
211.36196262   4.48554825   0.00000000
211.86196262   4.48554825   0.00000000
211.86196262   4.47552990   0.00000000
212.36196262   4.47552990   0.00000000
212.36196262   4.46147931   0.00000000
212.86196262   4.46147931   0.00000000
212.86196262   4.44199554   0.00000000
213.36196262   4.44199554   0.00000000
213.36196262   4.41535155   0.00000000
213.86196262   4.41535155   0.00000000
213.86196262   4.37950530   0.00000000
214.36196262   4.37950530   0.00000000
214.36196262   4.33215923   0.00000000
214.86196262   4.33215923   0.00000000
214.86196262   4.27088267   0.00000000
215.36196262   4.27088267   0.00000000
215.36196262   4.19330661   0.00000000
215.86196262   4.19330661   0.00000000
215.86196262   4.09739028   0.00000000
216.36196262   4.09739028   0.00000000
216.36196262   3.98174465   0.00000000
216.86196262   3.98174465   0.00000000
216.86196262   3.84598036   0.00000000
217.36196262   3.84598036   0.00000000
217.36196262   3.69102950   0.00000000
217.86196262   3.69102950   0.00000000
217.86196262   3.51937765   0.00000000
218.36196262   3.51937765   0.00000000
218.36196262   3.33513831   0.00000000
218.86196262   3.33513831   0.00000000
218.86196262   3.14391211   0.00000000
219.36196262   3.14391211   0.00000000
219.36196262   2.95239978   0.00000000
219.86196262   2.95239978   0.00000000
219.86196262   2.76777816   0.00000000
220.36196262   2.76777816   0.00000000
220.36196262   2.59689787   0.00000000
220.86196262   2.59689787   0.00000000
220.86196262   2.44540731   0.00000000
221.36196262   2.44540731   0.00000000
221.36196262   2.31693976   0.00000000
221.86196262   2.31693976   0.00000000
221.86196262   2.21250801   0.00000000
222.36196262   2.21250801   0.00000000
222.36196262   2.13022872   0.00000000
222.86196262   2.13022872   0.00000000
222.86196262   2.06544941   0.00000000
223.36196262   2.06544941   0.00000000
223.36196262   2.01128420   0.00000000
223.86196262   2.01128420   0.00000000
223.86196262   1.95949316   0.00000000
224.36196262   1.95949316   0.00000000
224.36196262   1.90158019   0.00000000
224.86196262   1.90158019   0.00000000
224.86196262   1.82994558   0.00000000
225.36196262   1.82994558   0.00000000
225.36196262   1.73891989   0.00000000
225.86196262   1.73891989   0.00000000
225.86196262   1.62552385   0.00000000
226.36196262   1.62552385   0.00000000
226.36196262   1.48984294   0.00000000
226.86196262   1.48984294   0.00000000
226.86196262   1.33496594   0.00000000
227.36196262   1.33496594   0.00000000
227.36196262   1.16650647   0.00000000
227.86196262   1.16650647   0.00000000
227.86196262   0.99179282   0.00000000
228.36196262   0.99179282   0.00000000
228.36196262   0.81886409   0.00000000
228.86196262   0.81886409   0.00000000
228.86196262   0.65543767   0.00000000
229.36196262   0.65543767   0.00000000
229.36196262   0.50800983   0.00000000
229.86196262   0.50800983   0.00000000
229.86196262   0.38121653   0.00000000
230.36196262   0.38121653   0.00000000
230.36196262   0.27752399   0.00000000
230.86196262   0.27752399   0.00000000
230.86196262   0.19725232   0.00000000
231.36196262   0.19725232   0.00000000
231.36196262   0.13887571   0.00000000
231.86196262   0.13887571   0.00000000
231.86196262   0.09950325   0.00000000
232.36196262   0.09950325   0.00000000
232.36196262   0.07543125   0.00000000
232.86196262   0.07543125   0.00000000
232.86196262   0.06266979   0.00000000
233.36196262   0.06266979   0.00000000
233.36196262   0.05737541   0.00000000
233.86196262   0.05737541   0.00000000
233.86196262   0.05615680   0.00000000
234.36196262   0.05615680   0.00000000
234.36196262   0.05625269   0.00000000
234.86196262   0.05625269   0.00000000
234.86196262   0.05560214   0.00000000
235.36196262   0.05560214   0.00000000
235.36196262   0.05283751   0.00000000
235.86196262   0.05283751   0.00000000
235.86196262   0.04722948   0.00000000
236.36196262   0.04722948   0.00000000
236.36196262   0.03860661   0.00000000
236.86196262   0.03860661   0.00000000
236.86196262   0.02726297   0.00000000
237.36196262   0.02726297   0.00000000
237.36196262   0.01385937   0.00000000
