#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)
                   0     3.12748798105488                2.069                    0
    16.2833610601627     3.12748798105488     3.38294291644983                    0
    29.3862367921013     12.5108577727529     3.40170206565393                    0
    154.692364764405                    0     4.44999970028342                    0
                   9                    0     4.44999969954013                    0
                 0.5                    0     4.44888943673377                    0
                 0.5                    0     4.44802016340589                    0
                 0.5                    0     4.44655388437518                    0
                 0.5                    0     4.44414290988372                    0
                 0.5                    0     4.44027852296877                    0
                 0.5                    0     4.43424077247468                    0
                 0.5                    0     4.42504541701763                    0
                 0.5                    0     4.41139488055073                    0
                 0.5                    0     4.39164322396859                    0
                 0.5                    0     4.36378784212616                    0
                 0.5                    0     4.32550197741087                    0
                 0.5                    0     4.27422121834509                    0
                 0.5                    0     4.20729307809065                    0
                 0.5                    0     4.12219110549125                    0
                 0.5                    0     4.01678407100362                    0
                 0.5                    0     3.88963780518487                    0
                 0.5                    0     3.74031438506869                    0
                 0.5                    0     3.56962338692478                    0
                 0.5                    0      3.3797758703425                    0
                 0.5                    0     3.17439615394794                    0
                 0.5                    0     2.95836056715716                    0
                 0.5                    0      2.7374556084301                    0
                 0.5                    0     2.51787748673716                    0
                 0.5                    0     2.30562598779689                    0
                 0.5                    0     2.10587177316251                    0
                 0.5                    0     1.92239127409112                    0
                 0.5                    0     1.75716239723549                    0
                 0.5                    0     1.61019530009636                    0
                 0.5                    0     1.47963730865562                    0
                 0.5                    0     1.36214530476251                    0
                 0.5                    0      1.2534712358009                    0
                 0.5                    0     1.14916661597077                    0
                 0.5                    0     1.04528878444799                    0
                 0.5                    0    0.938990865377481                    0
                 0.5                    0    0.828899734722166                    0
                 0.5                    0    0.715227544974032                    0
                 0.5                    0     0.59961376720911                    0
                 0.5                    0    0.484745057376981                    0
                 0.5                    0    0.373838520534387                    0
                 0.5                    0    0.270092125665793                    0
                 0.5                    0    0.176201221763473                    0
                 0.5                    0   0.0940152435284631                    0
                 0.5                    0   0.0243715063033324                    0
                 0.5                    0  -0.0328963959574068                    0
                 0.5                    0  -0.0788101609671184                    0
                 0.5                    0   -0.115011406279441                    0
                 0.5                    0    -0.14349569106302                    0
                 0.5                    0   -0.166362837267385                    0
                 0.5                    0   -0.185613703121048                    0
                 0.5                    0    -0.20300549299312                    0
                 0.5                    0   -0.219963107727422                    0
                 0.5                    0   -0.237535497651626                    0
                 0.5                    0   -0.256383660794487                    0
                 0.5                    0   -0.276789267703152                    0
                 0.5                    0   -0.298677520811239                    0
                 0.5                    0      -0.321652475013                    0
                 0.5                    0   -0.345046026435093                    0
                 0.5                    0   -0.367982389889661                    0
                 0.5                    0   -0.389458253833676                    0
                 0.5                    0   -0.408435669082511                    0
                 0.5                    0   -0.423941162311826                    0
                 0.5                    0   -0.435161663422237                    0
                 0.5                    0   -0.441526470138366                    0
                 0.5                    0   -0.442765116838566                    0
                 0.5                    0   -0.438933656582129                    0
                 0.5                    0   -0.430406029929821                    0
                 0.5                    0    -0.41783205905321                    0
                 0.5                    0   -0.402068193247269                    0
                 0.5                    0   -0.384090531335535                    0
                 0.5                    0   -0.364901213820734                    0
                 0.5                    0   -0.345438771159637                    0
                 0.5                    0   -0.326500638049902                    0
                 0.5                    0   -0.308682399073752                    0
                 0.5                    0   -0.292334300028786                    0
                 0.5                    0   -0.277532141458919                    0
                 0.5                    0   -0.264057801689443                    0
                 0.5                    0   -0.251384994211499                    0
                 0.5                    0   -0.238668671454297                    0
                 0.5                    0   -0.224741329831973                    0
                 0.5                    0   -0.208125190659287                    0
                 0.5                    0   -0.187073985561488                    0
                 0.5                    0   -0.159659665596875                    0
                 0.5                    0   -0.123915855463836                    0
                 0.5                    0  -0.0780404532949206                    0
                 0.5                    0  -0.0206454165562293                    0
                 0.5                    0   0.0489744630079695                    0
                 0.5                    0    0.130595486491371                    0
                 0.5                    0    0.222889263272159                    0
                 0.5                    0    0.323359772144971                    0
                 0.5                    0    0.428419589902997                    0
                 0.5                    0    0.533607462068384                    0
                 0.5                    0    0.633923381095057                    0
                 0.5                    0     0.72423630277163                    0
                 0.5                    0    0.799708859892596                    0
                 0.5                    0    0.856184926819859                    0
                 0.5                    0    0.890497924946071                    0
                 0.5                    0    0.900675820183444                    0
                 0.5                    0    0.886037338531953                    0
                 0.5                    0    0.847188379015473                    0
                 0.5                    0    0.785935447030578                    0
                 0.5                    0    0.705134209410315                    0
                 0.5                    0    0.608488131587088                    0
                 0.5                    0    0.500307870640504                    0
                 0.5                    0    0.385239848450714                    0
                 0.5                    0    0.267974146728665                    0
                 0.5                    0    0.152947445610714                    0
                 0.5                    0   0.0440639441438359                    0
                 0.5                    0   -0.055537523403706                    0
                 0.5                    0   -0.143642111580252                    0
                 0.5                    0    -0.21902266053402                    0
                 0.5                    0    -0.28140161294201                    0
                 0.5                    0   -0.331321170826457                    0
                 0.5                    0   -0.369946958923857                    0
                 0.5                    0   -0.398839854451714                    0
                 0.5                    0    -0.41973194690706                    0
                 0.5                    0   -0.434336214283853                    0
                 0.5                    0   -0.444208072160239                    0
                 0.5                    0   -0.450664131042635                    0
                 0.5                    0   -0.454752625206901                    0
                 0.5                    0   -0.457263104317375                    0
                 0.5                    0   -0.458760566549325                    0
                 0.5                    0   -0.459630429446493                    0
                  80                    0   -0.460724710354083                    0
                   0                    0   -0.460724710354083                    0
