#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)
                   0     4.03006630887626                2.069                    0
    29.5780484010922     4.03006630887626     3.43344612783223                    0
    16.4057624471985      5.3671364778433     3.65456596161027                    0
    121.521150289971                    0     4.71962200440228                    0
                 2.5                    0     4.71407126252009                    0
                 0.5                    0     4.71512919107332                    0
                 0.5                    0      4.7155018801659                    0
                 0.5                    0     4.71594660249788                    0
                 0.5                    0     4.71646877919989                    0
                 0.5                    0     4.71706981688186                    0
                 0.5                    0      4.7177442866189                    0
                 0.5                    0     4.71847597061839                    0
                 0.5                    0     4.71923249514748                    0
                 0.5                    0     4.71995826422458                    0
                 0.5                    0     4.72056543927058                    0
                 0.5                    0     4.72092279012938                    0
                 0.5                    0     4.72084238719386                    0
                 0.5                    0     4.72006432442136                    0
                 0.5                    0     4.71823996374247                    0
                 0.5                    0     4.71491456684975                    0
                 0.5                    0     4.70951060980322                    0
                 0.5                    0     4.70131352069692                    0
                 0.5                    0     4.68946198368784                    0
                 0.5                    0     4.67294524104789                    0
                 0.5                    0     4.65060991655907                    0
                 0.5                    0     4.62117869854526                    0
                 0.5                    0     4.58328269574158                    0
                 0.5                    0     4.53550838356057                    0
                 0.5                    0     4.47645880971562                    0
                 0.5                    0     4.40482720289982                    0
                 0.5                    0     4.31947946391887                    0
                 0.5                    0     4.21954040629218                    0
                 0.5                    0     4.10447727749361                    0
                 0.5                    0     3.97417326097458                    0
                 0.5                    0     3.82898352815001                    0
                 0.5                    0     3.66976710347488                    0
                 0.5                    0     3.49788934802212                    0
                 0.5                    0     3.31519216194089                    0
                 0.5                    0     3.12393183997375                    0
                 0.5                    0     2.92668757625781                    0
                 0.5                    0     2.72624653778936                    0
                 0.5                    0      2.5254738394871                    0
                 0.5                    0     2.32717734039242                    0
                 0.5                    0     2.13397772678355                    0
                 0.5                    0     1.94819377919722                    0
                 0.5                    0      1.7717511129905                    0
                 0.5                    0     1.60612025120288                    0
                 0.5                    0     1.45228695284257                    0
                 0.5                    0     1.31075465106206                    0
                 0.5                    0     1.18157602174178                    0
                 0.5                    0     1.06440841446985                    0
                 0.5                    0    0.958586348276877                    0
                 0.5                    0    0.863203598591188                    0
                 0.5                    0    0.777197555086965                    0
                 0.5                    0    0.699429386060876                    0
                 0.5                    0    0.628754906754287                    0
                 0.5                    0      0.5640826866214                    0
                 0.5                    0    0.504417617623066                    0
                 0.5                    0    0.448889709753419                    0
                 0.5                    0    0.396769142341955                    0
                 0.5                    0    0.347469503068367                    0
                 0.5                    0    0.300541673041241                    0
                 0.5                    0    0.255660996182904                    0
                 0.5                    0    0.212610268295868                    0
                 0.5                    0    0.171260776300362                    0
                 0.5                    0    0.131553194283587                    0
                 0.5                    0   0.0934796744099714                    0
                 0.5                    0   0.0570680159118683                    0
                 0.5                    0   0.0223683943456562                    0
                 0.5                    0  -0.0105571917868076                    0
                 0.5                    0  -0.0416428419713728                    0
                 0.5                    0  -0.0708242900002546                    0
                 0.5                    0  -0.0980423981913618                    0
                 0.5                    0    -0.12324499263416                    0
                 0.5                    0   -0.146387423743282                    0
                 0.5                    0   -0.167432211334002                    0
                 0.5                    0   -0.186348093010893                    0
                 0.5                    0   -0.203108747082593                    0
                 0.5                    0   -0.217691412173314                    0
                 0.5                    0   -0.230075578788448                    0
                 0.5                    0   -0.240241885300333                    0
                 0.5                    0   -0.248171313023904                    0
                 0.5                    0   -0.253844742404469                    0
                 0.5                    0   -0.257242904578509                    0
                 0.5                    0   -0.258346739219598                    0
                 0.5                    0   -0.257138150095999                    0
                 0.5                    0   -0.253601133578326                    0
                 0.5                    0   -0.247723241963895                    0
                 0.5                    0   -0.239497332330985                    0
                 0.5                    0   -0.228923542837076                    0
                 0.5                    0   -0.216011429685884                    0
                 0.5                    0   -0.200782196456495                    0
                 0.5                    0   -0.183270925929707                    0
                 0.5                    0   -0.163528784009268                    0
                 0.5                    0   -0.141624928774495                    0
                 0.5                    0   -0.117648732783723                    0
                 0.5                    0  -0.0917096608832599                    0
                 0.5                    0  -0.0639443430700524                    0
                 0.5                    0  -0.0344948801775161                    0
                 0.5                    0 -0.00359226570000325                    0
                 0.5                    0   0.0281785853336704                    0
                 0.5                    0   0.0615881708073416                    0
                 0.5                    0   0.0957974632842353                    0
                 0.5                    0       0.130550779039                    0
                 0.5                    0    0.165576837103193                    0
                 0.5                    0    0.200592473008765                    0
                 0.5                    0    0.235306844529455                    0
                 0.5                    0    0.269426046054498                    0
                 0.5                    0    0.302658028509054                    0
                 0.5                    0    0.334717704564231                    0
                 0.5                    0    0.365332105275698                    0
                 0.5                    0    0.394245445155858                    0
                 0.5                    0    0.421223948741872                    0
                 0.5                    0    0.446060293457213                    0
                 0.5                    0     0.46857753118758                    0
                 0.5                    0    0.488632364410825                    0
                 0.5                    0    0.506117671533979                    0
                 0.5                    0    0.520964199601786                    0
