#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   2.06900000   0.00000000
  0.00000000   2.06900000   0.00000000
  0.00000000   3.79999996   0.00000000
 10.00001558   3.79999996   0.00000000
 10.00001558   2.70000058   0.00000000
 50.00005364   2.70000058   0.00000000
 50.00005364   4.40000008   0.00000000
160.00006821   4.40000008   0.00000000
160.00006821   4.39988952   0.00000000
163.00006821   4.39988952   0.00000000
163.00006821   4.39853541   0.00000000
163.50006821   4.39853541   0.00000000
163.50006821   4.39791931   0.00000000
164.00006821   4.39791931   0.00000000
164.00006821   4.39707113   0.00000000
164.50006821   4.39707113   0.00000000
164.50006821   4.39591469   0.00000000
165.00006821   4.39591469   0.00000000
165.00006821   4.39435371   0.00000000
165.50006821   4.39435371   0.00000000
165.50006821   4.39226808   0.00000000
166.00006821   4.39226808   0.00000000
166.00006821   4.38951003   0.00000000
166.50006821   4.38951003   0.00000000
166.50006821   4.38590034   0.00000000
167.00006821   4.38590034   0.00000000
167.00006821   4.38122497   0.00000000
167.50006821   4.38122497   0.00000000
167.50006821   4.37523218   0.00000000
168.00006821   4.37523218   0.00000000
168.00006821   4.36763083   0.00000000
168.50006821   4.36763083   0.00000000
168.50006821   4.35809004   0.00000000
169.00006821   4.35809004   0.00000000
169.00006821   4.34624076   0.00000000
169.50006821   4.34624076   0.00000000
169.50006821   4.33167962   0.00000000
170.00006821   4.33167962   0.00000000
170.00006821   4.31397549   0.00000000
170.50006821   4.31397549   0.00000000
170.50006821   4.29267896   0.00000000
171.00006821   4.29267896   0.00000000
171.00006821   4.26733496   0.00000000
171.50006821   4.26733496   0.00000000
171.50006821   4.23749831   0.00000000
172.00006821   4.23749831   0.00000000
172.00006821   4.20275199   0.00000000
172.50006821   4.20275199   0.00000000
172.50006821   4.16272751   0.00000000
173.00006821   4.16272751   0.00000000
173.00006821   4.11712655   0.00000000
173.50006821   4.11712655   0.00000000
173.50006821   4.06574264   0.00000000
174.00006821   4.06574264   0.00000000
174.00006821   4.00848165   0.00000000
174.50006821   4.00848165   0.00000000
174.50006821   3.94537956   0.00000000
175.00006821   3.94537956   0.00000000
175.00006821   3.87661584   0.00000000
175.50006821   3.87661584   0.00000000
175.50006821   3.80252110   0.00000000
176.00006821   3.80252110   0.00000000
176.00006821   3.72357763   0.00000000
176.50006821   3.72357763   0.00000000
176.50006821   3.64041190   0.00000000
177.00006821   3.64041190   0.00000000
177.00006821   3.55377848   0.00000000
177.50006821   3.55377848   0.00000000
177.50006821   3.46453562   0.00000000
178.00006821   3.46453562   0.00000000
178.00006821   3.37361294   0.00000000
178.50006821   3.37361294   0.00000000
178.50006821   3.28197281   0.00000000
179.00006821   3.28197281   0.00000000
179.00006821   3.19056723   0.00000000
179.50006821   3.19056723   0.00000000
179.50006821   3.10029269   0.00000000
180.00006821   3.10029269   0.00000000
180.00006821   3.00761879   0.00000000
180.50006821   3.00761879   0.00000000
180.50006821   2.92185548   0.00000000
181.00006821   2.92185548   0.00000000
181.00006821   2.83915702   0.00000000
181.50006821   2.83915702   0.00000000
181.50006821   2.75980475   0.00000000
182.00006821   2.75980475   0.00000000
182.00006821   2.68386607   0.00000000
182.50006821   2.68386607   0.00000000
182.50006821   2.61119276   0.00000000
183.00006821   2.61119276   0.00000000
183.00006821   2.54143209   0.00000000
183.50006821   2.54143209   0.00000000
183.50006821   2.47405036   0.00000000
184.00006821   2.47405036   0.00000000
184.00006821   2.40836735   0.00000000
184.50006821   2.40836735   0.00000000
184.50006821   2.34359981   0.00000000
185.00006821   2.34359981   0.00000000
185.00006821   2.27891092   0.00000000
185.50006821   2.27891092   0.00000000
185.50006821   2.21346278   0.00000000
186.00006821   2.21346278   0.00000000
186.00006821   2.14646833   0.00000000
186.50006821   2.14646833   0.00000000
186.50006821   2.07723950   0.00000000
187.00006821   2.07723950   0.00000000
187.00006821   2.00522865   0.00000000
187.50006821   2.00522865   0.00000000
187.50006821   1.93006069   0.00000000
188.00006821   1.93006069   0.00000000
188.00006821   1.85155432   0.00000000
188.50006821   1.85155432   0.00000000
188.50006821   1.76973140   0.00000000
189.00006821   1.76973140   0.00000000
189.00006821   1.68481445   0.00000000
189.50006821   1.68481445   0.00000000
189.50006821   1.59721288   0.00000000
190.00006821   1.59721288   0.00000000
190.00006821   1.50749971   0.00000000
190.50006821   1.50749971   0.00000000
190.50006821   1.41638048   0.00000000
191.00006821   1.41638048   0.00000000
191.00006821   1.32465704   0.00000000
191.50006821   1.32465704   0.00000000
191.50006821   1.23318874   0.00000000
192.00006821   1.23318874   0.00000000
192.00006821   1.14285349   0.00000000
192.50006821   1.14285349   0.00000000
192.50006821   1.05451128   0.00000000
193.00006821   1.05451128   0.00000000
193.00006821   0.96897194   0.00000000
