# bilayer.substrate_zaxis bilayer.substrate_area bilayer.substrate_msigma_area bilayer.substrate_psigma_area
0.000000000000000000e+00 5.585592600851017409e+01 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e-01 5.585562373243376300e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 5.585467747634800162e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.500000000000000000e+00 5.585296561580744168e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 5.585027422330173152e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.500000000000000000e+00 5.584627995778152609e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+00 5.584052559684339911e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.500000000000000000e+00 5.583238780969044512e+01 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+00 5.582103681372635151e+01 0.000000000000000000e+00 0.000000000000000000e+00
4.500000000000000000e+00 5.580538772166165273e+01 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+00 5.578404369262385387e+01 0.000000000000000000e+00 0.000000000000000000e+00
5.500000000000000000e+00 5.575523146786692053e+01 0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 5.571673050820125184e+01 0.000000000000000000e+00 0.000000000000000000e+00
6.500000000000000000e+00 5.566579775204598235e+01 0.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000000e+00 5.559909095851197947e+01 0.000000000000000000e+00 0.000000000000000000e+00
7.500000000000000000e+00 5.551259464647607444e+01 0.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000000e+00 5.540155372182460525e+01 0.000000000000000000e+00 0.000000000000000000e+00
8.500000000000000000e+00 5.526042091034348402e+01 0.000000000000000000e+00 0.000000000000000000e+00
9.000000000000000000e+00 5.508282497066992534e+01 0.000000000000000000e+00 0.000000000000000000e+00
9.500000000000000000e+00 5.486156722177565115e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+01 5.458865404754943995e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.050000000000000000e+01 5.425537260863912081e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.100000000000000000e+01 5.385241589268149198e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.150000000000000000e+01 5.337006140206396054e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.200000000000000000e+01 5.279840520380076185e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.250000000000000000e+01 5.212764981016467658e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.300000000000000000e+01 5.134844056226350517e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.350000000000000000e+01 5.045224107358244225e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.400000000000000000e+01 4.943173415130366521e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.450000000000000000e+01 4.828123079935105011e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.500000000000000000e+01 4.699706679491765016e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.550000000000000000e+01 4.557796428744804729e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.600000000000000000e+01 4.402533521479246303e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.650000000000000000e+01 4.234350429591051324e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.700000000000000000e+01 4.053983204950445440e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.750000000000000000e+01 3.862472266044605362e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.800000000000000000e+01 3.661150736756174240e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.850000000000000000e+01 3.451620101949834662e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.900000000000000000e+01 3.235713705156663877e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.950000000000000000e+01 3.015449379681050956e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+01 2.792973214285711236e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.050000000000000000e+01 2.570497048890369030e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.100000000000000000e+01 2.350232723414747227e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.150000000000000000e+01 2.134326326621556547e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.200000000000000000e+01 1.924795691815172916e+01 0.000000000000000000e+00 0.000000000000000000e+00
