# bilayer.tether_hg_zaxis bilayer.tether_hg_area bilayer.tether_hg_msigma_area bilayer.tether_hg_psigma_area
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e-01 1.920833404692365816e-15 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 9.091647817931552006e-15 0.000000000000000000e+00 0.000000000000000000e+00
1.500000000000000000e+00 3.863941673101725432e-14 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.600910089794038553e-13 0.000000000000000000e+00 0.000000000000000000e+00
2.500000000000000000e+00 6.413348079403900323e-13 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+00 2.490778175610908599e-12 0.000000000000000000e+00 0.000000000000000000e+00
3.500000000000000000e+00 9.442526480435171705e-12 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+00 3.466744681415703568e-11 0.000000000000000000e+00 0.000000000000000000e+00
4.500000000000000000e+00 1.218458659186588094e-10 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+00 4.137847158744881116e-10 0.000000000000000000e+00 0.000000000000000000e+00
5.500000000000000000e+00 1.390351531652831823e-09 0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 4.528764370753641165e-09 0.000000000000000000e+00 0.000000000000000000e+00
6.500000000000000000e+00 1.425411579305002384e-08 0.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000000e+00 4.330990756036706274e-08 0.000000000000000000e+00 0.000000000000000000e+00
7.500000000000000000e+00 1.280930911620456285e-07 0.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000000e+00 3.679819631510319209e-07 0.000000000000000000e+00 0.000000000000000000e+00
8.500000000000000000e+00 1.004467378298480552e-06 0.000000000000000000e+00 0.000000000000000000e+00
9.000000000000000000e+00 2.644522292796029515e-06 0.000000000000000000e+00 0.000000000000000000e+00
9.500000000000000000e+00 6.839483032460205471e-06 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+01 1.722977912380016529e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.050000000000000000e+01 4.185821449827969792e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.100000000000000000e+01 9.616257688155793650e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.150000000000000000e+01 2.174568173078597231e-04 0.000000000000000000e+00 0.000000000000000000e+00
1.200000000000000000e+01 4.765716939036349249e-04 0.000000000000000000e+00 0.000000000000000000e+00
1.250000000000000000e+01 1.030195687938427387e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.300000000000000000e+01 2.156445696715171556e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.350000000000000000e+01 4.330192744212589193e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.400000000000000000e+01 8.305659116475620773e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.450000000000000000e+01 1.536259243559404131e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.500000000000000000e+01 2.803577249555259249e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.550000000000000000e+01 5.027447317281036332e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.600000000000000000e+01 8.670767895682590654e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.650000000000000000e+01 1.446339807024733526e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.700000000000000000e+01 2.345218833727663599e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.750000000000000000e+01 3.654629546729045719e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.800000000000000000e+01 5.502922050118481678e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.850000000000000000e+01 8.127249566816839854e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.900000000000000000e+01 1.170764663005084527e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.950000000000000000e+01 1.630353614200648504e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+01 2.189921572577552489e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.050000000000000000e+01 2.901697871929655115e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.100000000000000000e+01 3.765879675396803350e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.150000000000000000e+01 4.711854934265029549e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.200000000000000000e+01 5.812899551349128835e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.250000000000000000e+01 6.993003344731484106e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.300000000000000000e+01 8.167913253639554227e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.350000000000000000e+01 9.260993749529173868e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.400000000000000000e+01 1.025831944289229369e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.450000000000000000e+01 1.105101215175092122e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.500000000000000000e+01 1.162713587813422222e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.550000000000000000e+01 1.192440529491669388e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.600000000000000000e+01 1.191497246689456091e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.650000000000000000e+01 1.158490139618746184e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.700000000000000000e+01 1.111221289782050192e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.750000000000000000e+01 1.026345362393049143e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.800000000000000000e+01 9.293077419846246912e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.850000000000000000e+01 8.118395396320170931e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.900000000000000000e+01 6.967801480905311706e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.950000000000000000e+01 5.911765858218133829e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+01 4.843321971784448010e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.050000000000000000e+01 3.862535235887844642e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.100000000000000000e+01 3.023925333111645131e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.150000000000000000e+01 2.301484829265817655e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.200000000000000000e+01 1.705433551284579075e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.250000000000000000e+01 1.206987269968789800e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.300000000000000000e+01 8.419974111143019302e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.350000000000000000e+01 5.725151925638196637e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.400000000000000000e+01 3.800544304872272572e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.450000000000000000e+01 2.429002114642714316e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.500000000000000000e+01 1.496911925572679825e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.550000000000000000e+01 9.010792862842857687e-02 0.000000000000000000e+00 0.000000000000000000e+00
3.600000000000000000e+01 5.245063855673892661e-02 0.000000000000000000e+00 0.000000000000000000e+00
3.650000000000000000e+01 2.978986535417641607e-02 0.000000000000000000e+00 0.000000000000000000e+00
3.700000000000000000e+01 1.651963875259268577e-02 0.000000000000000000e+00 0.000000000000000000e+00
3.750000000000000000e+01 8.787312657064103028e-03 0.000000000000000000e+00 0.000000000000000000e+00
3.800000000000000000e+01 4.540867759152515670e-03 0.000000000000000000e+00 0.000000000000000000e+00
3.850000000000000000e+01 2.297271487006826395e-03 0.000000000000000000e+00 0.000000000000000000e+00
3.900000000000000000e+01 1.111148539617606628e-03 0.000000000000000000e+00 0.000000000000000000e+00
3.950000000000000000e+01 5.355381755912992127e-04 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+01 2.440770160793676426e-04 0.000000000000000000e+00 0.000000000000000000e+00
4.050000000000000000e+01 1.084715634435062467e-04 0.000000000000000000e+00 0.000000000000000000e+00
4.100000000000000000e+01 4.699855574035156447e-05 0.000000000000000000e+00 0.000000000000000000e+00
4.150000000000000000e+01 1.965546524943410581e-05 0.000000000000000000e+00 0.000000000000000000e+00
4.200000000000000000e+01 7.743758321739526026e-06 0.000000000000000000e+00 0.000000000000000000e+00
4.250000000000000000e+01 2.959661572651620493e-06 0.000000000000000000e+00 0.000000000000000000e+00
4.300000000000000000e+01 1.108237566517381635e-06 0.000000000000000000e+00 0.000000000000000000e+00
4.350000000000000000e+01 4.044326182946279664e-07 0.000000000000000000e+00 0.000000000000000000e+00
4.400000000000000000e+01 1.450610074576050002e-07 0.000000000000000000e+00 0.000000000000000000e+00
4.450000000000000000e+01 4.958560503216219961e-08 0.000000000000000000e+00 0.000000000000000000e+00
4.500000000000000000e+01 1.619806777399650108e-08 0.000000000000000000e+00 0.000000000000000000e+00
4.550000000000000000e+01 5.259213391172976523e-09 0.000000000000000000e+00 0.000000000000000000e+00
4.600000000000000000e+01 1.624575635701855804e-09 0.000000000000000000e+00 0.000000000000000000e+00
4.650000000000000000e+01 4.876513087102516243e-10 0.000000000000000000e+00 0.000000000000000000e+00
4.700000000000000000e+01 1.406056507763183647e-10 0.000000000000000000e+00 0.000000000000000000e+00
4.750000000000000000e+01 3.923973687199060302e-11 0.000000000000000000e+00 0.000000000000000000e+00
4.800000000000000000e+01 1.082082069161734999e-11 0.000000000000000000e+00 0.000000000000000000e+00
4.850000000000000000e+01 2.857158641553237040e-12 0.000000000000000000e+00 0.000000000000000000e+00
4.900000000000000000e+01 7.259035354289594550e-13 0.000000000000000000e+00 0.000000000000000000e+00
4.950000000000000000e+01 1.815777060203782247e-13 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+01 4.419195187405802930e-14 0.000000000000000000e+00 0.000000000000000000e+00
5.050000000000000000e+01 1.034243894698245822e-14 0.000000000000000000e+00 0.000000000000000000e+00
5.100000000000000000e+01 2.582690455245452574e-15 0.000000000000000000e+00 0.000000000000000000e+00
5.150000000000000000e+01 8.452524659466641759e-16 0.000000000000000000e+00 0.000000000000000000e+00
5.200000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.250000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.300000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.350000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.400000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.450000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 9.534890960186868892e-04
5.500000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 6.163373334980338375e-03
5.550000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.494324296399907395e-02
5.600000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 2.635096576096285920e-02
5.650000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 4.101263237610809631e-02
5.700000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 5.981026289036300153e-02
5.750000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 8.177627314151704463e-02
5.800000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.062216091235674703e-01
5.850000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.382454564914820661e-01
5.900000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.725781592575242329e-01
5.950000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 2.110958098055691623e-01
