WaterFracHeadgroup1  [    0.5727,     0.5871,     0.6043] (-   0.01435, +   0.01723)
WaterFracHeadgroup2  [    0.5658,     0.5809,     0.5994] (-    0.0151, +   0.01847)
WaterFracHydrocarbon  [   0.01188,    0.01844,    0.02365] (-  0.006562, +  0.005214)
WaterFracLipid1  [    0.0125,    0.01936,    0.02473] (-  0.006862, +  0.005373)
WaterFracLipid2  [   0.01125,    0.01763,    0.02268] (-  0.006384, +  0.005049)
WaterFracSubMembrane  [    0.9971,     0.9976,     0.9979] (- 0.0004731, + 0.0003341)
bilayer_defect_hc_AVG  [         0,          0,          0] (-         0, +         0)
bilayer_defect_hc_COM  [     1e+05,      1e+05,      1e+05] (-         0, +         0)
bilayer_defect_hc_INT  [         0,          0,          0] (-         0, +         0)
bilayer_defect_hg_AVG  [         0,          0,          0] (-         0, +         0)
bilayer_defect_hg_COM  [     1e+05,      1e+05,      1e+05] (-         0, +         0)
bilayer_defect_hg_INT  [         0,          0,          0] (-         0, +         0)
bilayer_headgroup1_2_AVG  [         0,          0,          0] (-         0, +         0)
bilayer_headgroup1_2_COM  [     1e+05,      1e+05,      1e+05] (-         0, +         0)
bilayer_headgroup1_2_INT  [         0,          0,          0] (-         0, +         0)
bilayer_headgroup1_3_AVG  [         0,          0,          0] (-         0, +         0)
bilayer_headgroup1_3_COM  [     1e+05,      1e+05,      1e+05] (-         0, +         0)
bilayer_headgroup1_3_INT  [         0,          0,          0] (-         0, +         0)
bilayer_headgroup1_AVG  [     2.103,      2.107,      2.112] (-   0.00421, +  0.005074)
bilayer_headgroup1_COM  [     55.98,      56.17,      56.46] (-    0.1888, +    0.2921)
bilayer_headgroup1_INT  [     4.227,      4.308,      4.376] (-   0.08059, +   0.06826)
bilayer_headgroup1_cg_AVG  [    0.8992,     0.9259,     0.9582] (-   0.02668, +   0.03227)
bilayer_headgroup1_cg_COM  [     58.63,      58.91,       59.2] (-    0.2807, +    0.2942)
bilayer_headgroup1_cg_INT  [     1.831,      1.895,      1.962] (-   0.06419, +   0.06653)
