# x	 y	 dy	 fy
0.000000000000000000e+00 6.481399999999999662e-02 1.000000000000000021e-02 6.338139233454838373e-02
1.000000000000000021e-03 6.501999999999999447e-02 1.000000000000000021e-02 6.477408000238200902e-02
2.000000000000000042e-03 6.564000000000000390e-02 1.000000000000000021e-02 6.616676767021563432e-02
3.000000000000000062e-03 6.667099999999999416e-02 1.000000000000000021e-02 6.755945533804925962e-02
4.000000000000000083e-03 6.811499999999999500e-02 1.000000000000000021e-02 6.895214300588288492e-02
5.000000000000000104e-03 6.997000000000000441e-02 1.000000000000000021e-02 7.034483067371651022e-02
6.000000000000000125e-03 7.223599999999999466e-02 1.000000000000000021e-02 7.173751834155013551e-02
7.000000000000000146e-03 7.491100000000000536e-02 1.000000000000000021e-02 7.510105403251457479e-02
8.000000000000000167e-03 7.799499999999999489e-02 1.000000000000000021e-02 7.923838367501237490e-02
8.999999999999999320e-03 8.148600000000000287e-02 1.000000000000000021e-02 8.337571331751016113e-02
1.000000000000000021e-02 8.538199999999999956e-02 1.000000000000000021e-02 8.751304296000796124e-02
1.099999999999999936e-02 8.968199999999999783e-02 1.000000000000000021e-02 9.165037260250574747e-02
1.200000000000000025e-02 9.438399999999999568e-02 1.000000000000000021e-02 9.578770224500354757e-02
1.299999999999999940e-02 9.948600000000000498e-02 1.000000000000000021e-02 1.010703255435110165e-01
1.400000000000000029e-02 1.049900000000000000e-01 1.000000000000000021e-02 1.078336193059134807e-01
1.499999999999999944e-02 1.108800000000000063e-01 1.000000000000000021e-02 1.145969130683159587e-01
1.600000000000000033e-02 1.171699999999999964e-01 1.000000000000000021e-02 1.213602068307184367e-01
1.700000000000000122e-02 1.238400000000000056e-01 1.000000000000000021e-02 1.281235005931209148e-01
1.799999999999999864e-02 1.309099999999999986e-01 1.000000000000000021e-02 1.348867943555233651e-01
1.899999999999999953e-02 1.383500000000000008e-01 1.000000000000000021e-02 1.420262697111139005e-01
2.000000000000000042e-02 1.461800000000000044e-01 1.000000000000000021e-02 1.512289234363771995e-01
2.100000000000000130e-02 1.543899999999999995e-01 1.000000000000000021e-02 1.604315771616404984e-01
2.199999999999999872e-02 1.629700000000000037e-01 1.000000000000000021e-02 1.696342308869037696e-01
2.299999999999999961e-02 1.719100000000000072e-01 1.000000000000000021e-02 1.788368846121670408e-01
2.400000000000000050e-02 1.812300000000000022e-01 1.000000000000000021e-02 1.880395383374303397e-01
2.500000000000000139e-02 1.908999999999999864e-01 1.000000000000000021e-02 1.972421920626936387e-01
2.599999999999999881e-02 2.009400000000000075e-01 1.000000000000000021e-02 2.083636927378276216e-01
