# Q dQ R dR fit
0 7.25282e-05 0.890664 0.0220696 1
0.00692603 9.33842e-05 0.932754 0.0229485 1
0.00738776 9.59028e-05 0.919322 0.0225984 1
0.0078495 9.85132e-05 0.971313 0.0237306 1
0.00831123 0.000101208 0.999635 0.0243291 1
0.00877297 0.000103981 0.938176 0.0230752 0.919177
0.0092347 0.000106827 0.70379 0.0180539 0.177425
0.00969643 0.000109738 0.109752 0.00467195 0.0406045
0.0101582 0.000112711 0.033326 0.00237092 0.0218946
0.0106199 0.00011574 0.0205109 0.00183297 0.01843
0.0110816 0.000118822 0.018729 0.00175051 0.0196221
0.0115434 0.000121951 0.0181337 0.00124563 0.0222963
0.0120051 0.000125126 0.0211023 0.00185958 0.0252885
0.012236 0.000126729 0.019668 0.0016768 0.0267439
0.0124668 0.000128341 0.0206638 0.00182777 0.0281167
0.0129286 0.000131595 0.0224614 0.00192714 0.0305972
0.0133903 0.000134885 0.0279079 0.00214763 0.0326963
0.0136211 0.000136542 0.0279599 0.00182697 0.0335978
0.013852 0.000138207 0.0332498 0.00235582 0.0343812
0.0143137 0.000141561 0.0270429 0.0021136 0.0356719
0.0147755 0.000144942 0.0329102 0.00234644 0.0366293
0.0150063 0.000146643 0.0329654 0.00179263 0.0369897
0.0152372 0.00014835 0.0348726 0.00241154 0.0372604
0.0156989 0.000151783 0.0357806 0.00245492 0.037599
0.0161607 0.00015524 0.0311421 0.00228429 0.0377003
0.0163915 0.000156976 0.0363402 0.0017254 0.037668
0.0166224 0.000158717 0.037068 0.00250035 0.0375742
0.0170841 0.000162215 0.0322129 0.00231159 0.037248
0.0175458 0.000165816 0.0324128 0.00232096 0.0367619
0.0177767 0.000167997 0.0313523 0.00144912 0.0364573
0.0184693 0.000174543 0.0331681 0.00145914 0.0353538
0.0191619 0.000181088 0.0301299 0.00132024 0.0340179
0.0198545 0.000187633 0.0319368 0.00133008 0.0324961
0.020547 0.000194178 0.0290673 0.00121344 0.0308364
0.0212396 0.000200723 0.0276706 0.00113799 0.0290802
0.0219322 0.000207268 0.0263842 0.00108443 0.0272635
0.0226248 0.000213814 0.0239708 0.000990554 0.0254171
0.0230865 0.000218177 0.0234845 0.000872738 0.0241891
0.0253951 0.000239994 0.0175986 0.000664391 0.0182333
0.0277036 0.00026181 0.0124534 0.000495343 0.0130097
0.0300122 0.000283627 0.00862819 0.000372244 0.00881896
0.0323207 0.000305443 0.00504279 0.000254188 0.0057289
0.0346292 0.000327258 0.00317614 0.000184436 0.00364674
0.0369377 0.000349074 0.00171472 0.000124544 0.00238571
0.0392461 0.000370888 0.000986567 8.76911e-05 0.0017219
0.0415545 0.000392703 0.000954784 8.11313e-05 0.00143787
0.0438629 0.000414517 0.00106572 8.06231e-05 0.00135164
0.0461712 0.000436331 0.00146577 9.0479e-05 0.00132992
0.0498645 0.000471232 0.00174018 9.23305e-05 0.00124994
0.0535577 0.000506131 0.00155273 8.09966e-05 0.00104516
0.0572508 0.00054103 0.00123664 6.70061e-05 0.00077577
0.0609437 0.000575927 0.00085925 5.26941e-05 0.000539362
0.0646366 0.000610822 0.00040695 3.29955e-05 0.000391757
0.0683293 0.000645716 0.000215364 2.28846e-05 0.000327094
0.0720219 0.000680608 0.000212471 2.17434e-05 0.000301573
0.0757143 0.000715498 0.000201726 2.03633e-05 0.000270676
0.0794066 0.000750386 0.000237179 2.11085e-05 0.000214594
0.0830988 0.000785272 0.000233354 1.98913e-05 0.000141672
0.0867908 0.000820156 0.000157129 1.58124e-05 7.47997e-05
0.0904826 0.000855038 0.000128255 1.35866e-05 3.26989e-05
0.0923284 0.000872478 0.000114463 1.04642e-05 2.34763e-05
0.09602 0.000907356 4.99128e-05 6.83737e-06 2.46401e-05
0.0997113 0.000942232 3.36511e-05 5.66901e-06 3.70581e-05
0.103402 0.000977105 1.57194e-05 4.29498e-06 4.60137e-05
0.107093 0.00101198 4.72633e-05 6.03147e-06 4.33163e-05
0.110784 0.00104684 5.4228e-05 6.22619e-06 3.03542e-05
0.114475 0.00108171 4.48591e-05 5.54653e-06 1.46346e-05
0.118165 0.00111657 1.84573e-05 3.91276e-06 3.88719e-06
0.121855 0.00115143 2.34497e-05 4.10337e-06 1.56482e-06
0.125545 0.00118629 6.25192e-06 2.86063e-06 5.87821e-06
0.129235 0.00122114 5.57002e-06 2.28056e-06 1.20136e-05
