# z rho mu
-10 0 0
0 0 0
0 1.56995e-08 5.49328e-08
0 1.56995e-08 5.49328e-08
0 1.82237e-08 6.37649e-08
0 1.82237e-08 6.37649e-08
0 2.04979e-08 7.17224e-08
0 2.04979e-08 7.17224e-08
0 2.24233e-08 7.84592e-08
0 2.24233e-08 7.84592e-08
0 2.39326e-08 8.37404e-08
0 2.39326e-08 8.37404e-08
0 2.5001e-08 8.74788e-08
0 2.5001e-08 8.74788e-08
0 2.56545e-08 8.97654e-08
0 2.56545e-08 8.97654e-08
0 2.59724e-08 9.08778e-08
0 2.59724e-08 9.08778e-08
0 2.60757e-08 9.12391e-08
0 2.60757e-08 9.12391e-08
0 2.60902e-08 9.12898e-08
0 2.60902e-08 9.12898e-08
0 2.60904e-08 9.12906e-08
0.5 2.60904e-08 9.12906e-08
0.5 2.60077e-08 9.13459e-08
1 2.60077e-08 9.13459e-08
1 2.59341e-08 9.15004e-08
1.5 2.59341e-08 9.15004e-08
1.5 2.61625e-08 9.17371e-08
2 2.61625e-08 9.17371e-08
2 2.70271e-08 9.20388e-08
2.5 2.70271e-08 9.20388e-08
2.5 2.89038e-08 9.23885e-08
3 2.89038e-08 9.23885e-08
3 3.22106e-08 9.27691e-08
3.5 3.22106e-08 9.27691e-08
3.5 3.74081e-08 9.31634e-08
4 3.74081e-08 9.31634e-08
4 4.50002e-08 9.35545e-08
4.5 4.50002e-08 9.35545e-08
4.5 5.55334e-08 9.39253e-08
5 5.55334e-08 9.39253e-08
5 6.95975e-08 9.42585e-08
5.5 6.95975e-08 9.42585e-08
5.5 8.78243e-08 9.45372e-08
6 8.78243e-08 9.45372e-08
6 1.10886e-07 9.47443e-08
6.5 1.10886e-07 9.47443e-08
6.5 1.44994e-07 9.4951e-08
7 1.44994e-07 9.4951e-08
7 1.7648e-07 9.49109e-08
7.5 1.7648e-07 9.49109e-08
7.5 2.17058e-07 9.47786e-08
8 2.17058e-07 9.47786e-08
8 2.66387e-07 9.45196e-08
8.5 2.66387e-07 9.45196e-08
8.5 3.24769e-07 9.41091e-08
9 3.24769e-07 9.41091e-08
9 3.92818e-07 9.35266e-08
9.5 3.92818e-07 9.35266e-08
9.5 4.71288e-07 9.27536e-08
10 4.71288e-07 9.27536e-08
10 5.60982e-07 9.17725e-08
10.5 5.60982e-07 9.17725e-08
10.5 7.0804e-07 9.12906e-08
11 7.0804e-07 9.12906e-08
11 9.11895e-07 9.12906e-08
11.5 9.11895e-07 9.12906e-08
11.5 1.14357e-06 9.12906e-08
12 1.14357e-06 9.12906e-08
12 1.40371e-06 9.12906e-08
12.5 1.40371e-06 9.12906e-08
12.5 1.69013e-06 9.12906e-08
13 1.69013e-06 9.12906e-08
13 2.00035e-06 9.12906e-08
13.5 2.00035e-06 9.12906e-08
13.5 2.33179e-06 9.12906e-08
14 2.33179e-06 9.12906e-08
14 2.68171e-06 9.12906e-08
14.5 2.68171e-06 9.12906e-08
14.5 3.04732e-06 9.12906e-08
15 3.04732e-06 9.12906e-08
15 3.42568e-06 9.12906e-08
15.5 3.42568e-06 9.12906e-08
15.5 3.81385e-06 9.12906e-08
16 3.81385e-06 9.12906e-08
16 4.20882e-06 9.12906e-08
16.5 4.20882e-06 9.12906e-08
16.5 4.6076e-06 9.12906e-08
17 4.6076e-06 9.12906e-08
17 5.00723e-06 9.12906e-08
17.5 5.00723e-06 9.12906e-08
17.5 5.40483e-06 9.12906e-08
18 5.40483e-06 9.12906e-08
18 5.79764e-06 9.12906e-08
18.5 5.79764e-06 9.12906e-08
18.5 6.18303e-06 9.12906e-08
19 6.18303e-06 9.12906e-08
19 6.55856e-06 9.12906e-08
19.5 6.55856e-06 9.12906e-08
19.5 6.922e-06 9.12906e-08
20 6.922e-06 9.12906e-08
20 7.27137e-06 9.12906e-08
20.5 7.27137e-06 9.12906e-08
20.5 7.60494e-06 9.12906e-08
21 7.60494e-06 9.12906e-08
21 7.92129e-06 9.12906e-08
21.5 7.92129e-06 9.12906e-08
21.5 8.21926e-06 9.12906e-08
22 8.21926e-06 9.12906e-08
22 8.49801e-06 9.12906e-08
22.5 8.49801e-06 9.12906e-08
22.5 8.757e-06 9.12906e-08
23 8.757e-06 9.12906e-08
23 8.996e-06 9.12906e-08
23.5 8.996e-06 9.12906e-08
23.5 9.21502e-06 9.12906e-08
24 9.21502e-06 9.12906e-08
24 9.41441e-06 9.12906e-08
24.5 9.41441e-06 9.12906e-08
24.5 9.59812e-06 9.12906e-08
25 9.59812e-06 9.12906e-08
25 9.77128e-06 9.12906e-08
25.5 9.77128e-06 9.12906e-08
25.5 9.93483e-06 9.12906e-08
26 9.93483e-06 9.12906e-08
26 1.00898e-05 9.12906e-08
26.5 1.00898e-05 9.12906e-08
26.5 1.02372e-05 9.12906e-08
27 1.02372e-05 9.12906e-08
27 1.03783e-05 9.12906e-08
27.5 1.03783e-05 9.12906e-08
27.5 1.05143e-05 9.12906e-08
28 1.05143e-05 9.12906e-08
28 1.06463e-05 9.12906e-08
28.5 1.06463e-05 9.12906e-08
28.5 1.07756e-05 9.12906e-08
29 1.07756e-05 9.12906e-08
29 1.09034e-05 9.12906e-08
29.5 1.09034e-05 9.12906e-08
29.5 1.10308e-05 9.12906e-08
30 1.10308e-05 9.12906e-08
30 1.11586e-05 9.12906e-08
30.5 1.11586e-05 9.12906e-08
30.5 1.12877e-05 9.12906e-08
31 1.12877e-05 9.12906e-08
31 1.14187e-05 9.12906e-08
31.5 1.14187e-05 9.12906e-08
31.5 1.1552e-05 9.12906e-08
32 1.1552e-05 9.12906e-08
32 1.16877e-05 9.12906e-08
32.5 1.16877e-05 9.12906e-08
32.5 1.18255e-05 9.12906e-08
33 1.18255e-05 9.12906e-08
33 1.19651e-05 9.12906e-08
33.5 1.19651e-05 9.12906e-08
33.5 1.21057e-05 9.12906e-08
34 1.21057e-05 9.12906e-08
34 1.22462e-05 9.12906e-08
34.5 1.22462e-05 9.12906e-08
34.5 1.23855e-05 9.12906e-08
35 1.23855e-05 9.12906e-08
35 1.25222e-05 9.12906e-08
35.5 1.25222e-05 9.12906e-08
35.5 1.2655e-05 9.12906e-08
36 1.2655e-05 9.12906e-08
36 1.27826e-05 9.12906e-08
36.5 1.27826e-05 9.12906e-08
36.5 1.29037e-05 9.12906e-08
37 1.29037e-05 9.12906e-08
37 1.30173e-05 9.12906e-08
37.5 1.30173e-05 9.12906e-08
37.5 1.31225e-05 9.12906e-08
38 1.31225e-05 9.12906e-08
38 1.31883e-05 9.21903e-08
38.5 1.31883e-05 9.21903e-08
38.5 1.31262e-05 9.62937e-08
39 1.31262e-05 9.62937e-08
39 1.30454e-05 1.00227e-07
39.5 1.30454e-05 1.00227e-07
39.5 1.29501e-05 1.03962e-07
40 1.29501e-05 1.03962e-07
40 1.28448e-05 1.07472e-07
40.5 1.28448e-05 1.07472e-07
40.5 1.27338e-05 1.10732e-07
41 1.27338e-05 1.10732e-07
41 1.2621e-05 1.1372e-07
41.5 1.2621e-05 1.1372e-07
41.5 1.251e-05 1.16425e-07
42 1.251e-05 1.16425e-07
42 1.24037e-05 1.18839e-07
42.5 1.24037e-05 1.18839e-07
42.5 1.23044e-05 1.20961e-07
43 1.23044e-05 1.20961e-07
43 1.22139e-05 1.22795e-07
43.5 1.22139e-05 1.22795e-07
43.5 1.2133e-05 1.24352e-07
44 1.2133e-05 1.24352e-07
44 1.20624e-05 1.25649e-07
44.5 1.20624e-05 1.25649e-07
44.5 1.2002e-05 1.26706e-07
45 1.2002e-05 1.26706e-07
45 1.19513e-05 1.27547e-07
45.5 1.19513e-05 1.27547e-07
45.5 1.19096e-05 1.28196e-07
46 1.19096e-05 1.28196e-07
46 1.1876e-05 1.28681e-07
46.5 1.1876e-05 1.28681e-07
46.5 1.18496e-05 1.29028e-07
47 1.18496e-05 1.29028e-07
47 1.18292e-05 1.29263e-07
47.5 1.18292e-05 1.29263e-07
47.5 1.18138e-05 1.29409e-07
48 1.18138e-05 1.29409e-07
48 1.18025e-05 1.29487e-07
48.5 1.18025e-05 1.29487e-07
48.5 1.17943e-05 1.29517e-07
49 1.17943e-05 1.29517e-07
