# Q dQ R dR fit
0.0113809 0.00103957 0.959876 0.0393567 0.853859
0.0117366 0.00103957 0.971934 0.0398179 0.853793
0.0120922 0.00103957 0.968126 0.0396413 0.853712
0.0124479 0.00103957 0.998575 0.0408554 0.853613
0.0128035 0.00103957 0.989571 0.040477 0.853494
0.0131592 0.00103957 0.999192 0.040856 0.853356
0.0135148 0.00103957 0.988305 0.0404092 0.853199
0.0138705 0.00103957 0.985578 0.0402958 0.853026
0.0142261 0.00103957 0.979249 0.0400399 0.852838
0.0145818 0.00103957 1 0.0408827 0.852638
0.0149374 0.00103957 0.98919 0.0404512 0.852425
0.0152931 0.00103957 0.99787 0.0408112 0.8522
0.0156488 0.00103957 0.994263 0.0406762 0.851961
0.0160044 0.00103957 0.994036 0.0406803 0.851707
0.0163601 0.00103957 0.990968 0.0405713 0.851435
0.0167157 0.00103957 0.993436 0.0406887 0.851143
0.0170714 0.00103957 0.995504 0.0407918 0.850826
0.017427 0.00103957 0.983496 0.0403251 0.850481
0.0177827 0.00103957 0.974186 0.0399689 0.8501
0.0181383 0.00103957 0.965496 0.0396388 0.849677
0.018494 0.00103957 0.964058 0.0396047 0.849199
0.0188496 0.00103957 0.95838 0.0393991 0.848645
0.0192053 0.00103957 0.964037 0.0396562 0.847961
0.0195609 0.00103957 0.949216 0.0390794 0.847024
0.0199166 0.00103957 0.954706 0.0393318 0.845581
0.0202722 0.00103957 0.954771 0.0393638 0.843097
0.0206279 0.00103956 0.94055 0.0388123 0.838555
0.0209835 0.00103956 0.896992 0.0370598 0.830255
0.0213392 0.00103956 0.862315 0.0356685 0.815754
0.0216949 0.00103956 0.794106 0.0329002 0.792151
0.0220505 0.00103956 0.722685 0.0299954 0.756826
0.0224062 0.00103956 0.653998 0.0271761 0.708488
0.0227618 0.00103956 0.57078 0.0237602 0.64809
0.0231175 0.00103956 0.51031 0.0212781 0.579058
0.0234731 0.00103956 0.442726 0.0185038 0.506563
0.0238288 0.00103956 0.39403 0.0165048 0.436108
0.0241844 0.00103956 0.346906 0.0145702 0.372086
0.0245401 0.00103956 0.306647 0.0129174 0.31694
0.0248957 0.00103956 0.273917 0.0115735 0.271163
0.0252514 0.00103956 0.243144 0.0103099 0.233879
0.025607 0.00103956 0.21262 0.00905631 0.203594
0.0259627 0.00103956 0.191994 0.00820914 0.178775
0.0263183 0.00103956 0.18022 0.00772546 0.158138
0.026674 0.00103956 0.155845 0.00672392 0.140723
0.0270296 0.00103956 0.137177 0.00595666 0.12585
0.0273853 0.00103956 0.124438 0.00543289 0.113021
0.0277409 0.00103956 0.111616 0.00490552 0.101869
0.0280966 0.00103956 0.103261 0.00456175 0.0921328
0.0284522 0.00103956 0.0880995 0.00361922 0.0835857
0.0288079 0.00103956 0.0819737 0.00368512 0.0760694
0.0291635 0.00103956 0.0741462 0.00304653 0.06943
0.0295192 0.00103956 0.0691517 0.00315632 0.0635604
