# Q dQ R dR fit
0.00877296 8.5737e-05 0.0331353 0.000614051 0.0451028
0.0100889 9.85974e-05 0.0224859 0.000443918 0.0317578
0.0114048 0.000111457 0.0160689 0.000327808 0.0224372
0.0127208 0.000124318 0.011198 0.000248751 0.0162155
0.0140367 0.000137178 0.00803257 0.00019322 0.0119677
0.0153526 0.000150038 0.00639052 0.000153149 0.00900441
0.0166685 0.000162898 0.0048695 0.000123552 0.00689534
0.0179845 0.000175759 0.00370308 0.000101234 0.00536584
0.0193004 0.000188619 0.00301143 8.41005e-05 0.00423753
0.0206163 0.000201478 0.00245295 7.07309e-05 0.00339173
0.0219322 0.000214338 0.00202302 6.01701e-05 0.00275074
0.0241253 0.00023577 0.00143036 4.6954e-05 0.0019882
0.0263185 0.000257202 0.00114575 3.74833e-05 0.00147455
0.0285116 0.000278634 0.000860879 3.05301e-05 0.00112009
0.0307047 0.000300065 0.000739043 2.53015e-05 0.000869009
0.0328977 0.000321495 0.000618009 2.1287e-05 0.000687025
0.0350908 0.000342926 0.000504834 1.81472e-05 0.000552402
0.0372838 0.000364355 0.00039802 1.56509e-05 0.00045101
0.0394768 0.000385784 0.000349068 1.36369e-05 0.000373405
0.0416698 0.000407213 0.000269559 1.19903e-05 0.000313147
0.0438627 0.00042864 0.000261932 1.06301e-05 0.00026593
0.0473713 0.000462923 0.000222958 8.89544e-06 0.000209392
0.0508798 0.000497204 0.000183559 7.55631e-06 0.000168935
0.0543882 0.000531482 0.000158681 6.50166e-06 0.000139448
0.0578966 0.000565759 0.000137374 5.65471e-06 0.000117494
0.0614048 0.000600034 0.000121507 4.96275e-06 0.00010082
0.0649128 0.000634304 0.000111321 4.38865e-06 8.79064e-05
0.0684208 0.000668574 9.06555e-05 3.90577e-06 7.77048e-05
0.0719286 0.00070284 8.55536e-05 3.49472e-06 6.94788e-05
0.0754363 0.000737103 7.62391e-05 3.14102e-06 6.27015e-05
0.0789438 0.000771363 7.06579e-05 2.83382e-06 5.69922e-05
0.0824512 0.00080562 6.37736e-05 2.56479e-06 5.20729e-05
0.0859585 0.000839874 5.95534e-05 2.32733e-06 4.77317e-05
0.087712 0.000856999 5.61487e-05 2.21896e-06 4.57361e-05
0.091219 0.000891248 5.12811e-05 2.0204e-06 4.2028e-05
0.0947258 0.000925493 4.27546e-05 1.84271e-06 3.85983e-05
0.0982324 0.000959733 3.97349e-05 1.68325e-06 3.53921e-05
0.101739 0.000993971 4.00369e-05 1.53968e-06 3.23647e-05
0.105245 0.0010282 3.44656e-05 1.41014e-06 2.94877e-05
0.108751 0.00106243 2.69717e-05 1.29304e-06 2.67431e-05
0.112257 0.00109666 2.59333e-05 1.18707e-06 2.41221e-05
0.115762 0.00113087 2.10911e-05 1.09116e-06 2.1623e-05
0.119268 0.00116509 1.91561e-05 1.0043e-06 1.92462e-05
0.122773 0.0011993 1.71998e-05 9.25741e-07 1.69975e-05
0.126278 0.0012335 1.55217e-05 8.54739e-07 1.4882e-05
0.129782 0.0012677 1.10978e-05 7.90679e-07 1.29068e-05
0.133287 0.0013019 1.1333e-05 7.32956e-07 1.10766e-05
0.136791 0.00133608 9.47916e-06 6.81081e-07 9.39735e-06
0.140295 0.00137027 6.80347e-06 6.34553e-07 7.87185e-06
0.143798 0.00140444 5.91047e-06 5.92928e-07 6.50207e-06
0.147302 0.00143862 4.32311e-06 5.5575e-07 5.28683e-06
0.150805 0.00147278 4.03376e-06 5.22596e-07 4.22207e-06
0.153432 0.0014984 2.66018e-06 5.00197e-07 3.52535e-06
0.15781 0.00154109 1.68806e-06 4.66988e-07 2.54279e-06
0.162187 0.00158377 2.09116e-06 4.3824e-07 1.76335e-06
0.166564 0.00162644 1.28339e-06 4.13338e-07 1.1734e-06
0.170941 0.0016691 6.49113e-07 3.91662e-07 7.51412e-07
0.175317 0.00171175 4.49035e-07 3.72658e-07 4.74072e-07
0.179693 0.0017544 2.46226e-07 3.5583e-07 3.17083e-07
0.184068 0.00179702 1.82555e-07 3.40756e-07 2.5631e-07
0.188442 0.00183963 8.49581e-08 3.27082e-07 2.68459e-07
0.192816 0.00188224 -1.05054e-07 3.14514e-07 3.31879e-07
0.197189 0.00192483 8.82783e-07 3.02826e-07 4.27091e-07
0.201562 0.00196741 4.81518e-07 2.91836e-07 5.37263e-07
0.205934 0.00200997 6.97168e-07 2.81413e-07 6.48395e-07
0.210305 0.00205252 5.01493e-07 2.71461e-07 7.49501e-07
0.214676 0.00209506 4.71036e-07 2.6191e-07 8.32577e-07
0.219046 0.00213759 7.42256e-07 2.52719e-07 8.9238e-07
0.223416 0.0021801 7.27816e-07 2.4386e-07 9.26244e-07
0.227785 0.0022226 9.06681e-07 2.35321e-07 9.33692e-07
0.232153 0.00226508 1.09117e-06 2.27098e-07 9.16086e-07
0.23652 0.00230755 2.94712e-07 2.19188e-07 8.76195e-07
0.240887 0.00235 7.50994e-07 2.11594e-07 8.1776e-07
0.245253 0.00239244 8.6838e-07 2.04319e-07 7.45156e-07
0.249618 0.00243486 2.94198e-07 1.97366e-07 6.62995e-07
0.253982 0.00247726 3.27667e-07 1.9075e-07 5.801e-07
0.258346 0.00251965 2.21807e-07 1.8457e-07 5.2781e-07
