Q R dR
0.00877296 0.9961947463672721 0.0034161955759059977
0.0100889 1.0008258457685797 0.002966931138146535
0.0114048 0.9788643457435303 0.002588852277486352
0.0127208 0.30078743740732666 0.0012866177552054473
0.0140367 0.10696017834671234 0.000696470025673064
0.0153526 0.05345943219787553 0.00044887464486017826
0.0166685 0.031512428655830024 0.00031504874004451065
0.0179845 0.020119285011045752 0.0002321649477131527
0.0193004 0.013385041883459887 0.00017704347227772977
0.0206163 0.009353504137402371 0.00013861860098582726
0.0219322 0.006870377117572078 0.00011100279298684693
0.0241253 0.004142551255751525 7.979050587607484e-05
0.0263185 0.002900007140166917 5.974539858555122e-05
0.0285116 0.0020401929417256047 4.643517901969439e-05
0.0307047 0.0015357798647996034 3.730499357883123e-05
0.0328977 0.001267605123248582 3.086255069925515e-05
0.0350908 0.0010627540488355757 2.61916991369213e-05
0.0372838 0.0008809039839125691 2.2712280041960347e-05
0.0394768 0.0008000975000891598 2.0046905726121345e-05
0.0416698 0.0007353051531976092 1.7946844749410228e-05
0.0438627 0.0006624261031091862 1.6248663119121148e-05
0.0473713 0.0005656080684294898 1.409477999450657e-05
0.0508798 0.0005378165183186932 1.2399207661746518e-05
0.0543882 0.0004958172417522886 1.1007193777973209e-05
0.0578966 0.0004784930626150854 9.826968810391125e-06
0.0614048 0.0004358408892880553 8.803556115683241e-06
0.0649128 0.00040842167281435714 7.90235773363572e-06
0.0684208 0.0003842419655460515 7.10044425293024e-06
0.0719286 0.00034305438040129887 6.381943488727052e-06
0.0754363 0.0003201538043188339 5.735205934449703e-06
0.0789438 0.0002836955900216386 5.151343470415098e-06
0.0824512 0.0002652679691565134 4.623276710531351e-06
0.0859585 0.00023735089540475235 4.144951196377119e-06
0.087712 0.00022864827399946957 3.923137228653023e-06
0.091219 0.00020187818338068906 3.5113552370637084e-06
0.0947258 0.0001808476550564105 3.13830963076534e-06
0.0982324 0.00015604623656972696 2.800784466857849e-06
0.101739 0.0001392676072263004 2.49565507988957e-06
0.105245 0.0001248561603645921 2.2201966983665497e-06
0.108751 0.00010481798347031352 1.9718301610468883e-06
0.112257 9.164780950475339e-05 1.7482976018742832e-06
0.115762 7.785310922752648e-05 1.5475580956401686e-06
0.119268 6.24847473182194e-05 1.367598417565713e-06
0.122773 5.553085873021079e-05 1.2067788355928386e-06
0.126278 4.626313856789225e-05 1.0634453160423261e-06
0.129782 3.8535762927592334e-05 9.361637627723341e-07
0.133287 3.091889572082075e-05 8.235078585181585e-07
0.136791 2.5300386088521165e-05 7.242934431714556e-07
0.140295 1.7939697621663174e-05 6.373353217716575e-07
0.143798 1.509770218204162e-05 5.615806696702809e-07
0.147302 1.343725936784626e-05 4.959834911772322e-07
0.150805 9.473648228313145e-06 4.3952369202702533e-07
0.153432 7.85857407521293e-06 4.0287644503679626e-07
0.15781 5.8194266991299705e-06 3.512540793360715e-07
0.162187 4.228268135193534e-06 3.0964794471424627e-07
0.166564 2.6209236079167683e-06 2.7667897699312104e-07
0.170941 1.6918374951108468e-06 2.5076595396226696e-07
0.175317 1.157069930372893e-06 2.3043367859601567e-07
0.179693 9.712167235849958e-07 2.1435702877717222e-07
0.184068 3.864581157002882e-07 2.0142639118348884e-07
0.188442 -8.15288596446077e-08 1.907557907243743e-07
0.192816 3.1263168384207646e-07 1.8167769001030824e-07
0.197189 -1.7247889444088259e-07 1.7372046668878559e-07
0.201562 5.278068607423948e-08 1.6656133987050046e-07
0.205934 -1.0314900444869268e-07 1.5999490280078634e-07
0.210305 -8.99258339329971e-09 1.538935921932215e-07
0.214676 2.5024940894577854e-07 1.4818084928803205e-07
0.219046 1.0007429337528167e-07 1.4281452697472698e-07
0.223416 8.931927153969184e-09 1.377671898338764e-07
0.227785 6.618773178272914e-08 1.330214878173089e-07
0.232153 2.0440951169319743e-07 1.2856075185327352e-07
0.23652 -7.484344336196698e-08 1.2436724474286934e-07
0.240887 -1.2437530959564372e-07 1.2042021758139294e-07
0.245253 1.7871764930209234e-07 1.1669871579589706e-07
0.249618 -3.1963934802401464e-08 1.1317956041924207e-07
0.253982 4.865952522176703e-08 1.0982654063794741e-07
0.258346 1.334593055884875e-07 1.0653749567586439e-07
