Model 0x1023881e0
  size 202 out of 214
  interface=0x102388280
  repeats=0 at 0x102388214
  # d(0x7fd89a80a960) rho(0x7fd89a80a2b0) mu(0x7fd89a809c00) rough(0x7fd89a80b010)
  0 0 2.07e-06 0 3
  1 0.5 2.07e-06 0 0
  2 0.5 2.07e-06 0 0
  3 0.5 2.07e-06 0 0
  4 0.5 2.07e-06 0 0
  5 0.5 2.07e-06 0 0
  6 0.5 2.07e-06 0 0
  7 0.5 2.07e-06 0 0
  8 0.5 2.07e-06 0 0
  9 0.5 2.07e-06 0 0
  10 0.5 2.07e-06 0 0
  11 0.5 2.07e-06 0 0
  12 0.5 2.07e-06 0 0
  13 0.5 2.07e-06 0 0
  14 0.5 2.07001e-06 0 0
  15 0.5 2.07001e-06 0 0
  16 0.5 2.07002e-06 0 0
  17 0.5 2.07005e-06 0 0
  18 0.5 2.07009e-06 0 0
  19 0.5 2.07018e-06 0 0
  20 0.5 2.07299e-06 0 0
  21 0.5 2.07211e-06 0 0
  22 0.5 2.07194e-06 0 0
  23 0.5 2.07242e-06 0 0
  24 0.5 2.07363e-06 0 0
  25 0.5 2.07578e-06 0 0
  26 0.5 2.07924e-06 0 0
  27 0.5 2.08455e-06 0 0
  28 0.5 2.0924e-06 0 0
  29 0.5 2.10368e-06 0 0
  30 0.5 2.1194e-06 0 0
  31 0.5 2.14073e-06 0 0
  32 0.5 2.16888e-06 0 0
  33 0.5 2.20499e-06 0 0
  34 0.5 2.25008e-06 0 0
  35 0.5 2.30481e-06 0 0
  36 0.5 2.36945e-06 0 0
  37 0.5 2.44369e-06 0 0
  38 0.5 2.52664e-06 0 0
  39 0.5 2.61677e-06 0 0
  40 0.5 2.71205e-06 0 0
  41 0.5 2.81e-06 0 0
  42 0.5 2.90795e-06 0 0
  43 0.5 3.00323e-06 0 0
  44 0.5 3.09336e-06 0 0
  45 0.5 3.17631e-06 0 0
  46 0.5 3.25055e-06 0 0
  47 0.5 3.31519e-06 0 0
  48 0.5 3.36993e-06 0 0
  49 0.5 3.41501e-06 0 0
  50 0.5 3.45113e-06 0 0
  51 0.5 3.47928e-06 0 0
  52 0.5 3.50063e-06 0 0
  53 0.5 3.51639e-06 0 0
  54 0.5 3.52773e-06 0 0
  55 0.5 3.53571e-06 0 0
  56 0.5 3.54126e-06 0 0
  57 0.5 3.54517e-06 0 0
  58 0.5 3.54809e-06 0 0
  59 0.5 3.55063e-06 0 0
  60 0.5 3.55334e-06 0 0
  61 0.5 3.55681e-06 0 0
  62 0.5 3.56172e-06 0 0
  63 0.5 3.56885e-06 0 0
  64 0.5 3.57916e-06 0 0
  65 0.5 3.59379e-06 0 0
  66 0.5 3.61399e-06 0 0
  67 0.5 3.64108e-06 0 0
  68 0.5 3.67629e-06 0 0
  69 0.5 3.7206e-06 0 0
  70 0.5 3.77448e-06 0 0
  71 0.5 3.83769e-06 0 0
  72 0.5 3.90902e-06 0 0
  73 0.5 3.98621e-06 0 0
  74 0.5 4.06592e-06 0 0
  75 0.5 4.14391e-06 0 0
  76 0.5 4.2154e-06 0 0
  77 0.5 4.27558e-06 0 0
  78 0.5 4.3202e-06 0 0
  79 0.5 4.34611e-06 0 0
  80 0.5 4.35171e-06 0 0
  81 0.5 4.33712e-06 0 0
  82 0.5 4.30412e-06 0 0
  83 0.5 4.25584e-06 0 0
  84 0.5 4.1962e-06 0 0
  85 0.5 4.12936e-06 0 0
  86 0.5 4.05917e-06 0 0
  87 0.5 3.9887e-06 0 0
  88 0.5 3.91995e-06 0 0
  89 0.5 3.85366e-06 0 0
  90 0.5 3.78912e-06 0 0
  91 0.5 3.72411e-06 0 0
  92 0.5 3.65485e-06 0 0
  93 0.5 3.57613e-06 0 0
  94 0.5 3.48164e-06 0 0
  95 0.5 3.36463e-06 0 0
  96 0.5 3.21886e-06 0 0
  97 0.5 3.03977e-06 0 0
  98 0.5 2.82556e-06 0 0
  99 0.5 2.57802e-06 0 0
  100 0.5 2.30281e-06 0 0
  101 0.5 2.00906e-06 0 0
  102 0.5 1.70826e-06 0 0
  103 0.5 1.41288e-06 0 0
  104 0.5 1.13464e-06 0 0
  105 0.5 8.83116e-07 0 0
  106 0.5 6.6476e-07 0 0
  107 0.5 4.82535e-07 0 0
  108 0.5 3.36121e-07 0 0
  109 0.5 2.22583e-07 0 0
  110 0.5 1.37271e-07 0 0
  111 0.5 7.47449e-08 0 0
  112 0.5 2.95665e-08 0 0
  113 0.5 -3.14597e-09 0 0
  114 0.5 -2.74093e-08 0 0
  115 0.5 -4.62817e-08 0 0
  116 0.5 -6.19202e-08 0 0
  117 0.5 -7.57222e-08 0 0
  118 0.5 -8.84956e-08 0 0
  119 0.5 -1.00622e-07 0 0
  120 0.5 -1.12193e-07 0 0
  121 0.5 -1.23117e-07 0 0
  122 0.5 -1.33196e-07 0 0
  123 0.5 -1.42182e-07 0 0
  124 0.5 -1.49817e-07 0 0
  125 0.5 -1.55861e-07 0 0
  126 0.5 -1.60112e-07 0 0
  127 0.5 -1.62424e-07 0 0
  128 0.5 -1.62718e-07 0 0
  129 0.5 -1.60981e-07 0 0
  130 0.5 -1.57277e-07 0 0
  131 0.5 -1.51735e-07 0 0
  132 0.5 -1.44543e-07 0 0
  133 0.5 -1.35938e-07 0 0
  134 0.5 -1.2619e-07 0 0
  135 0.5 -1.1558e-07 0 0
  136 0.5 -1.04375e-07 0 0
  137 0.5 -9.27971e-08 0 0
  138 0.5 -8.09776e-08 0 0
  139 0.5 -6.88944e-08 0 0
  140 0.5 -5.62856e-08 0 0
  141 0.5 -4.25331e-08 0 0
  142 0.5 -2.65174e-08 0 0
  143 0.5 -6.45396e-09 0 0
  144 0.5 2.02624e-08 0 0
  145 0.5 5.71587e-08 0 0
  146 0.5 1.0867e-07 0 0
  147 0.5 1.79944e-07 0 0
  148 0.5 2.76414e-07 0 0
  149 0.5 4.03123e-07 0 0
  150 0.5 5.63868e-07 0 0
  151 0.5 7.60275e-07 0 0
  152 0.5 9.91008e-07 0 0
  153 0.5 1.25133e-06 0 0
  154 0.5 1.53319e-06 0 0
  155 0.5 1.82591e-06 0 0
  156 0.5 2.1174e-06 0 0
  157 0.5 2.39575e-06 0 0
