Model 0x104bb51e0
  size 202 out of 214
  interface=0x104bb5280
  repeats=0 at 0x104bb5214
  # d(0x7fae3180af60) rho(0x7fae3180a8b0) mu(0x7fae3180a200) rough(0x7fae3180b610)
  0 0 2.07e-06 0 3
  1 0.5 2.07e-06 0 0
  2 0.5 2.07e-06 0 0
  3 0.5 2.07e-06 0 0
  4 0.5 2.07e-06 0 0
  5 0.5 2.07e-06 0 0
  6 0.5 2.07e-06 0 0
  7 0.5 2.07e-06 0 0
  8 0.5 2.07e-06 0 0
  9 0.5 2.07e-06 0 0
  10 0.5 2.07e-06 0 0
  11 0.5 2.07e-06 0 0
  12 0.5 2.07e-06 0 0
  13 0.5 2.07e-06 0 0
  14 0.5 2.07001e-06 0 0
  15 0.5 2.07001e-06 0 0
  16 0.5 2.07002e-06 0 0
  17 0.5 2.07005e-06 0 0
  18 0.5 2.07009e-06 0 0
  19 0.5 2.07018e-06 0 0
  20 0.5 2.07376e-06 0 0
  21 0.5 2.07254e-06 0 0
  22 0.5 2.07217e-06 0 0
  23 0.5 2.07254e-06 0 0
  24 0.5 2.07369e-06 0 0
  25 0.5 2.07581e-06 0 0
  26 0.5 2.07926e-06 0 0
  27 0.5 2.08456e-06 0 0
  28 0.5 2.09241e-06 0 0
  29 0.5 2.10368e-06 0 0
  30 0.5 2.1194e-06 0 0
  31 0.5 2.14073e-06 0 0
  32 0.5 2.16888e-06 0 0
  33 0.5 2.20499e-06 0 0
  34 0.5 2.25008e-06 0 0
  35 0.5 2.30481e-06 0 0
  36 0.5 2.36945e-06 0 0
  37 0.5 2.44369e-06 0 0
  38 0.5 2.52664e-06 0 0
  39 0.5 2.61677e-06 0 0
  40 0.5 2.71205e-06 0 0
  41 0.5 2.81e-06 0 0
  42 0.5 2.90795e-06 0 0
  43 0.5 3.00323e-06 0 0
  44 0.5 3.09336e-06 0 0
  45 0.5 3.17631e-06 0 0
  46 0.5 3.25055e-06 0 0
  47 0.5 3.31519e-06 0 0
  48 0.5 3.36993e-06 0 0
  49 0.5 3.41501e-06 0 0
  50 0.5 3.45114e-06 0 0
  51 0.5 3.47929e-06 0 0
  52 0.5 3.50065e-06 0 0
  53 0.5 3.51642e-06 0 0
  54 0.5 3.52779e-06 0 0
  55 0.5 3.53584e-06 0 0
  56 0.5 3.5415e-06 0 0
  57 0.5 3.5456e-06 0 0
  58 0.5 3.54886e-06 0 0
  59 0.5 3.55198e-06 0 0
  60 0.5 3.55564e-06 0 0
  61 0.5 3.56064e-06 0 0
  62 0.5 3.56792e-06 0 0
  63 0.5 3.57864e-06 0 0
  64 0.5 3.59425e-06 0 0
  65 0.5 3.61645e-06 0 0
  66 0.5 3.64718e-06 0 0
  67 0.5 3.68849e-06 0 0
  68 0.5 3.74237e-06 0 0
  69 0.5 3.81047e-06 0 0
  70 0.5 3.89378e-06 0 0
  71 0.5 3.99226e-06 0 0
  72 0.5 4.10458e-06 0 0
  73 0.5 4.22784e-06 0 0
  74 0.5 4.35762e-06 0 0
  75 0.5 4.48809e-06 0 0
  76 0.5 4.61253e-06 0 0
  77 0.5 4.72395e-06 0 0
  78 0.5 4.8159e-06 0 0
  79 0.5 4.88324e-06 0 0
  80 0.5 4.92278e-06 0 0
  81 0.5 4.93365e-06 0 0
  82 0.5 4.91726e-06 0 0
  83 0.5 4.87701e-06 0 0
  84 0.5 4.81765e-06 0 0
  85 0.5 4.7446e-06 0 0
  86 0.5 4.66314e-06 0 0
  87 0.5 4.57786e-06 0 0
  88 0.5 4.49215e-06 0 0
  89 0.5 4.40786e-06 0 0
  90 0.5 4.32512e-06 0 0
  91 0.5 4.24216e-06 0 0
  92 0.5 4.15529e-06 0 0
  93 0.5 4.05902e-06 0 0
  94 0.5 3.94647e-06 0 0
  95 0.5 3.81013e-06 0 0
  96 0.5 3.64299e-06 0 0
  97 0.5 3.43978e-06 0 0
  98 0.5 3.1983e-06 0 0
  99 0.5 2.92035e-06 0 0
  100 0.5 2.61204e-06 0 0
  101 0.5 2.28338e-06 0 0
  102 0.5 1.9471e-06 0 0
  103 0.5 1.61701e-06 0 0
  104 0.5 1.30616e-06 0 0
  105 0.5 1.02522e-06 0 0
  106 0.5 7.814e-07 0 0
  107 0.5 5.78027e-07 0 0
  108 0.5 4.14754e-07 0 0
  109 0.5 2.88316e-07 0 0
  110 0.5 1.93527e-07 0 0
  111 0.5 1.24318e-07 0 0
  112 0.5 7.46138e-08 0 0
  113 0.5 3.89576e-08 0 0
  114 0.5 1.28554e-08 0 0
  115 0.5 -7.12035e-09 0 0
  116 0.5 -2.33948e-08 0 0
  117 0.5 -3.7549e-08 0 0
  118 0.5 -5.05098e-08 0 0
  119 0.5 -6.27318e-08 0 0
  120 0.5 -7.43497e-08 0 0
  121 0.5 -8.52958e-08 0 0
  122 0.5 -9.53849e-08 0 0
  123 0.5 -1.04376e-07 0 0
  124 0.5 -1.12013e-07 0 0
  125 0.5 -1.18057e-07 0 0
  126 0.5 -1.22308e-07 0 0
  127 0.5 -1.24621e-07 0 0
  128 0.5 -1.24914e-07 0 0
  129 0.5 -1.23178e-07 0 0
  130 0.5 -1.19474e-07 0 0
  131 0.5 -1.13931e-07 0 0
  132 0.5 -1.06739e-07 0 0
  133 0.5 -9.81331e-08 0 0
  134 0.5 -8.83824e-08 0 0
  135 0.5 -7.77656e-08 0 0
  136 0.5 -6.65462e-08 0 0
  137 0.5 -5.49372e-08 0 0
  138 0.5 -4.30531e-08 0 0
  139 0.5 -3.08409e-08 0 0
  140 0.5 -1.79849e-08 0 0
  141 0.5 -3.77732e-09 0 0
  142 0.5 1.30435e-08 0 0
  143 0.5 3.44752e-08 0 0
  144 0.5 6.34249e-08 0 0
  145 0.5 1.03822e-07 0 0
  146 0.5 1.60605e-07 0 0
  147 0.5 2.39501e-07 0 0
  148 0.5 3.46549e-07 0 0
  149 0.5 4.87355e-07 0 0
  150 0.5 6.66129e-07 0 0
  151 0.5 8.84662e-07 0 0
  152 0.5 1.14145e-06 0 0
  153 0.5 1.43122e-06 0 0
  154 0.5 1.74502e-06 0 0
  155 0.5 2.07099e-06 0 0
  156 0.5 2.39577e-06 0 0
  157 0.5 2.70623e-06 0 0
  158 0.5 2.99127e-06 0 0
  159 0.5 3.2432e-06 0 0
  160 0.5 3.45856e-06 0 0
  161 0.5 3.63815e-06 0 0
  162 0.5 3.78641e-06 0 0
  163 0.5 3.91024e-06 0 0
  164 0.5 4.01781e-06 0 0
  165 0.5 4.11733e-06 0 0
  166 0.5 4.21623e-06 0 0
  167 0.5 4.32062e-06 0 0
  168 0.5 4.43501e-06 0 0
  169 0.5 4.56228e-06 0 0
  170 0.5 4.70364e-06 0 0
  171 0.5 4.85865e-06 0 0
  172 0.5 5.02526e-06 0 0
  173 0.5 5.19992e-06 0 0
  174 0.5 5.37789e-06 0 0
  175 0.5 5.55369e-06 0 0
  176 0.5 5.72168e-06 0 0
  177 0.5 5.87675e-06 0 0
  178 0.5 6.01484e-06 0 0
  179 0.5 6.13336e-06 0 0
  180 0.5 6.23133e-06 0 0
  181 0.5 6.3093e-06 0 0
  182 0.5 6.369e-06 0 0
  183 0.5 6.41298e-06 0 0
  184 0.5 6.44414e-06 0 0
  185 0.5 6.46537e-06 0 0
  186 0.5 6.47928e-06 0 0
  187 0.5 6.48803e-06 0 0
  188 0.5 6.49334e-06 0 0
  189 0.5 6.49642e-06 0 0
  190 0.5 6.5e-06 0 0
  191 0.5 6.5e-06 0 0
  192 0.5 6.5e-06 0 0
  193 0.5 6.5e-06 0 0
  194 0.5 6.5e-06 0 0
  195 0.5 6.5e-06 0 0
  196 0.5 6.5e-06 0 0
  197 0.5 6.5e-06 0 0
  198 0.5 6.5e-06 0 0
  199 0.5 6.5e-06 0 0
  200 0.5 6.5e-06 0 0
  201 100 6.5e-06 0 0
