Model 0x10763f1e0
  size 202 out of 214
  interface=0x10763f280
  repeats=0 at 0x10763f214
  # d(0x7f9e7f808f60) rho(0x7f9e7f8088b0) mu(0x7f9e7f808200) rough(0x7f9e7f809610)
  0 0 2.07e-06 0 3
  1 0.5 2.07e-06 0 0
  2 0.5 2.07e-06 0 0
  3 0.5 2.07e-06 0 0
  4 0.5 2.07e-06 0 0
  5 0.5 2.07e-06 0 0
  6 0.5 2.07e-06 0 0
  7 0.5 2.07e-06 0 0
  8 0.5 2.07e-06 0 0
  9 0.5 2.07e-06 0 0
  10 0.5 2.07e-06 0 0
  11 0.5 2.07e-06 0 0
  12 0.5 2.07e-06 0 0
  13 0.5 2.07e-06 0 0
  14 0.5 2.07001e-06 0 0
  15 0.5 2.07001e-06 0 0
  16 0.5 2.07002e-06 0 0
  17 0.5 2.07005e-06 0 0
  18 0.5 2.07009e-06 0 0
  19 0.5 2.07018e-06 0 0
  20 0.5 2.06913e-06 0 0
  21 0.5 2.06996e-06 0 0
  22 0.5 2.07078e-06 0 0
  23 0.5 2.0718e-06 0 0
  24 0.5 2.07331e-06 0 0
  25 0.5 2.07562e-06 0 0
  26 0.5 2.07917e-06 0 0
  27 0.5 2.08452e-06 0 0
  28 0.5 2.09239e-06 0 0
  29 0.5 2.10367e-06 0 0
  30 0.5 2.1194e-06 0 0
  31 0.5 2.14073e-06 0 0
  32 0.5 2.16887e-06 0 0
  33 0.5 2.20499e-06 0 0
  34 0.5 2.25008e-06 0 0
  35 0.5 2.30481e-06 0 0
  36 0.5 2.36945e-06 0 0
  37 0.5 2.44369e-06 0 0
  38 0.5 2.52664e-06 0 0
  39 0.5 2.61677e-06 0 0
  40 0.5 2.71205e-06 0 0
  41 0.5 2.81e-06 0 0
  42 0.5 2.90795e-06 0 0
  43 0.5 3.00323e-06 0 0
  44 0.5 3.09336e-06 0 0
  45 0.5 3.17631e-06 0 0
  46 0.5 3.25055e-06 0 0
  47 0.5 3.31519e-06 0 0
  48 0.5 3.36992e-06 0 0
  49 0.5 3.415e-06 0 0
  50 0.5 3.45111e-06 0 0
  51 0.5 3.47925e-06 0 0
  52 0.5 3.50056e-06 0 0
  53 0.5 3.51623e-06 0 0
  54 0.5 3.52741e-06 0 0
  55 0.5 3.5351e-06 0 0
  56 0.5 3.5401e-06 0 0
  57 0.5 3.54302e-06 0 0
  58 0.5 3.54424e-06 0 0
  59 0.5 3.54388e-06 0 0
  60 0.5 3.54183e-06 0 0
  61 0.5 3.53768e-06 0 0
  62 0.5 3.53071e-06 0 0
  63 0.5 3.51987e-06 0 0
  64 0.5 3.50373e-06 0 0
  65 0.5 3.48051e-06 0 0
  66 0.5 3.44807e-06 0 0
  67 0.5 3.40403e-06 0 0
  68 0.5 3.34588e-06 0 0
  69 0.5 3.27123e-06 0 0
  70 0.5 3.17801e-06 0 0
  71 0.5 3.06483e-06 0 0
  72 0.5 2.93126e-06 0 0
  73 0.5 2.77806e-06 0 0
  74 0.5 2.60742e-06 0 0
  75 0.5 2.42298e-06 0 0
  76 0.5 2.22973e-06 0 0
  77 0.5 2.03374e-06 0 0
  78 0.5 1.84171e-06 0 0
  79 0.5 1.66048e-06 0 0
  80 0.5 1.49633e-06 0 0
  81 0.5 1.35445e-06 0 0
  82 0.5 1.23845e-06 0 0
  83 0.5 1.15003e-06 0 0
  84 0.5 1.08895e-06 0 0
  85 0.5 1.0532e-06 0 0
  86 0.5 1.03932e-06 0 0
  87 0.5 1.04288e-06 0 0
  88 0.5 1.059e-06 0 0
  89 0.5 1.08267e-06 0 0
  90 0.5 1.10911e-06 0 0
  91 0.5 1.13382e-06 0 0
  92 0.5 1.15263e-06 0 0
  93 0.5 1.1617e-06 0 0
  94 0.5 1.15753e-06 0 0
  95 0.5 1.13712e-06 0 0
  96 0.5 1.09824e-06 0 0
  97 0.5 1.03974e-06 0 0
  98 0.5 9.61843e-07 0 0
  99 0.5 8.66363e-07 0 0
  100 0.5 7.5667e-07 0 0
  101 0.5 6.37422e-07 0 0
  102 0.5 5.14077e-07 0 0
  103 0.5 3.92253e-07 0 0
  104 0.5 2.77074e-07 0 0
  105 0.5 1.72617e-07 0 0
  106 0.5 8.15602e-08 0 0
  107 0.5 5.07516e-09 0 0
  108 0.5 -5.70432e-08 0 0
  109 0.5 -1.06079e-07 0 0
  110 0.5 -1.44012e-07 0 0
  111 0.5 -1.73122e-07 0 0
  112 0.5 -1.9567e-07 0 0
  113 0.5 -2.13664e-07 0 0
  114 0.5 -2.28733e-07 0 0
  115 0.5 -2.42088e-07 0 0
  116 0.5 -2.54547e-07 0 0
  117 0.5 -2.66588e-07 0 0
  118 0.5 -2.78425e-07 0 0
  119 0.5 -2.90072e-07 0 0
  120 0.5 -3.01408e-07 0 0
  121 0.5 -3.12221e-07 0 0
  122 0.5 -3.2225e-07 0 0
  123 0.5 -3.31214e-07 0 0
  124 0.5 -3.3884e-07 0 0
  125 0.5 -3.4488e-07 0 0
  126 0.5 -3.49129e-07 0 0
  127 0.5 -3.51441e-07 0 0
  128 0.5 -3.51735e-07 0 0
  129 0.5 -3.49999e-07 0 0
  130 0.5 -3.46295e-07 0 0
  131 0.5 -3.40753e-07 0 0
  132 0.5 -3.33563e-07 0 0
  133 0.5 -3.24964e-07 0 0
  134 0.5 -3.1523e-07 0 0
  135 0.5 -3.04652e-07 0 0
  136 0.5 -2.93519e-07 0 0
  137 0.5 -2.82097e-07 0 0
  138 0.5 -2.706e-07 0 0
  139 0.5 -2.59162e-07 0 0
  140 0.5 -2.47789e-07 0 0
  141 0.5 -2.36312e-07 0 0
  142 0.5 -2.24322e-07 0 0
  143 0.5 -2.111e-07 0 0
  144 0.5 -1.9555e-07 0 0
  145 0.5 -1.7616e-07 0 0
  146 0.5 -1.51007e-07 0 0
  147 0.5 -1.17839e-07 0 0
  148 0.5 -7.42651e-08 0 0
  149 0.5 -1.8038e-08 0 0
  150 0.5 5.25651e-08 0 0
  151 0.5 1.38337e-07 0 0
  152 0.5 2.38779e-07 0 0
  153 0.5 3.5187e-07 0 0
  154 0.5 4.74061e-07 0 0
  155 0.5 6.00508e-07 0 0
  156 0.5 7.25551e-07 0 0
  157 0.5 8.43353e-07 0 0
  158 0.5 9.48565e-07 0 0
  159 0.5 1.03691e-06 0 0
  160 0.5 1.10558e-06 0 0
  161 0.5 1.15329e-06 0 0
  162 0.5 1.18022e-06 0 0
  163 0.5 1.18765e-06 0 0
  164 0.5 1.17756e-06 0 0
  165 0.5 1.1523e-06 0 0
  166 0.5 1.11432e-06 0 0
  167 0.5 1.06606e-06 0 0
  168 0.5 1.00995e-06 0 0
  169 0.5 9.48457e-07 0 0
  170 0.5 8.84147e-07 0 0
  171 0.5 8.19652e-07 0 0
  172 0.5 7.5755e-07 0 0
  173 0.5 7.00178e-07 0 0
  174 0.5 6.49411e-07 0 0
  175 0.5 6.0649e-07 0 0
  176 0.5 5.71922e-07 0 0
  177 0.5 5.45506e-07 0 0
  178 0.5 5.26454e-07 0 0
  179 0.5 5.13591e-07 0 0
  180 0.5 5.05564e-07 0 0
  181 0.5 5.01047e-07 0 0
  182 0.5 4.98874e-07 0 0
  183 0.5 4.98124e-07 0 0
  184 0.5 4.98132e-07 0 0
  185 0.5 4.98466e-07 0 0
  186 0.5 4.98877e-07 0 0
  187 0.5 4.99244e-07 0 0
  188 0.5 4.99525e-07 0 0
  189 0.5 4.99719e-07 0 0
  190 0.5 5e-07 0 0
