Model 0x102d811e0
  size 202 out of 214
  interface=0x102d81280
  repeats=0 at 0x102d81214
  # d(0x7fd07900a960) rho(0x7fd07900a2b0) mu(0x7fd079009c00) rough(0x7fd07900b010)
  0 0 2.07e-06 0 3
  1 0.5 2.07e-06 0 0
  2 0.5 2.07e-06 0 0
  3 0.5 2.07e-06 0 0
  4 0.5 2.07e-06 0 0
  5 0.5 2.07e-06 0 0
  6 0.5 2.07e-06 0 0
  7 0.5 2.07e-06 0 0
  8 0.5 2.07e-06 0 0
  9 0.5 2.07e-06 0 0
  10 0.5 2.07e-06 0 0
  11 0.5 2.07e-06 0 0
  12 0.5 2.07e-06 0 0
  13 0.5 2.07e-06 0 0
  14 0.5 2.07001e-06 0 0
  15 0.5 2.07001e-06 0 0
  16 0.5 2.07002e-06 0 0
  17 0.5 2.07005e-06 0 0
  18 0.5 2.07009e-06 0 0
  19 0.5 2.07018e-06 0 0
  20 0.5 2.0699e-06 0 0
  21 0.5 2.07039e-06 0 0
  22 0.5 2.07101e-06 0 0
  23 0.5 2.07193e-06 0 0
  24 0.5 2.07337e-06 0 0
  25 0.5 2.07565e-06 0 0
  26 0.5 2.07918e-06 0 0
  27 0.5 2.08452e-06 0 0
  28 0.5 2.09239e-06 0 0
  29 0.5 2.10367e-06 0 0
  30 0.5 2.1194e-06 0 0
  31 0.5 2.14073e-06 0 0
  32 0.5 2.16887e-06 0 0
  33 0.5 2.20499e-06 0 0
  34 0.5 2.25008e-06 0 0
  35 0.5 2.30481e-06 0 0
  36 0.5 2.36945e-06 0 0
  37 0.5 2.44369e-06 0 0
  38 0.5 2.52664e-06 0 0
  39 0.5 2.61677e-06 0 0
  40 0.5 2.71205e-06 0 0
  41 0.5 2.81e-06 0 0
  42 0.5 2.90795e-06 0 0
  43 0.5 3.00323e-06 0 0
  44 0.5 3.09336e-06 0 0
  45 0.5 3.17631e-06 0 0
  46 0.5 3.25055e-06 0 0
  47 0.5 3.31519e-06 0 0
  48 0.5 3.36992e-06 0 0
  49 0.5 3.415e-06 0 0
  50 0.5 3.45112e-06 0 0
  51 0.5 3.47926e-06 0 0
  52 0.5 3.50057e-06 0 0
  53 0.5 3.51626e-06 0 0
  54 0.5 3.52748e-06 0 0
  55 0.5 3.53522e-06 0 0
  56 0.5 3.54033e-06 0 0
  57 0.5 3.54345e-06 0 0
  58 0.5 3.54501e-06 0 0
  59 0.5 3.54523e-06 0 0
  60 0.5 3.54413e-06 0 0
  61 0.5 3.54151e-06 0 0
  62 0.5 3.53691e-06 0 0
  63 0.5 3.52966e-06 0 0
  64 0.5 3.51882e-06 0 0
  65 0.5 3.50316e-06 0 0
  66 0.5 3.48125e-06 0 0
  67 0.5 3.45144e-06 0 0
  68 0.5 3.41196e-06 0 0
  69 0.5 3.3611e-06 0 0
  70 0.5 3.2973e-06 0 0
  71 0.5 3.21941e-06 0 0
  72 0.5 3.12681e-06 0 0
  73 0.5 3.01969e-06 0 0
  74 0.5 2.89912e-06 0 0
  75 0.5 2.76717e-06 0 0
  76 0.5 2.62686e-06 0 0
  77 0.5 2.4821e-06 0 0
  78 0.5 2.33741e-06 0 0
  79 0.5 2.19761e-06 0 0
  80 0.5 2.06741e-06 0 0
  81 0.5 1.95099e-06 0 0
  82 0.5 1.85158e-06 0 0
  83 0.5 1.77119e-06 0 0
  84 0.5 1.7104e-06 0 0
  85 0.5 1.66843e-06 0 0
  86 0.5 1.64329e-06 0 0
  87 0.5 1.63205e-06 0 0
  88 0.5 1.63119e-06 0 0
  89 0.5 1.63687e-06 0 0
  90 0.5 1.64511e-06 0 0
  91 0.5 1.65188e-06 0 0
  92 0.5 1.65308e-06 0 0
  93 0.5 1.64459e-06 0 0
  94 0.5 1.62235e-06 0 0
  95 0.5 1.58262e-06 0 0
  96 0.5 1.52237e-06 0 0
  97 0.5 1.43975e-06 0 0
  98 0.5 1.33459e-06 0 0
  99 0.5 1.20869e-06 0 0
  100 0.5 1.0659e-06 0 0
  101 0.5 9.11749e-07 0 0
  102 0.5 7.52915e-07 0 0
  103 0.5 5.96379e-07 0 0
  104 0.5 4.48588e-07 0 0
  105 0.5 3.14717e-07 0 0
  106 0.5 1.982e-07 0 0
  107 0.5 1.00567e-07 0 0
  108 0.5 2.15897e-08 0 0
  109 0.5 -4.03469e-08 0 0
  110 0.5 -8.77551e-08 0 0
  111 0.5 -1.23548e-07 0 0
  112 0.5 -1.50623e-07 0 0
  113 0.5 -1.7156e-07 0 0
  114 0.5 -1.88468e-07 0 0
  115 0.5 -2.02927e-07 0 0
  116 0.5 -2.16022e-07 0 0
  117 0.5 -2.28415e-07 0 0
  118 0.5 -2.40439e-07 0 0
  119 0.5 -2.52182e-07 0 0
  120 0.5 -2.63565e-07 0 0
  121 0.5 -2.744e-07 0 0
