Model 0x103f1b1e0
  size 202 out of 214
  interface=0x103f1b280
  repeats=0 at 0x103f1b214
  # d(0x7f9d2200af60) rho(0x7f9d2200a8b0) mu(0x7f9d2200a200) rough(0x7f9d2200b610)
  0 0 2.07e-06 0 3
  1 0.5 2.07e-06 0 0
  2 0.5 2.07e-06 0 0
  3 0.5 2.07e-06 0 0
  4 0.5 2.07e-06 0 0
  5 0.5 2.07e-06 0 0
  6 0.5 2.07e-06 0 0
  7 0.5 2.07e-06 0 0
  8 0.5 2.07e-06 0 0
  9 0.5 2.07e-06 0 0
  10 0.5 2.07e-06 0 0
  11 0.5 2.07e-06 0 0
  12 0.5 2.07e-06 0 0
  13 0.5 2.07e-06 0 0
  14 0.5 2.07001e-06 0 0
  15 0.5 2.07001e-06 0 0
  16 0.5 2.07002e-06 0 0
  17 0.5 2.07005e-06 0 0
  18 0.5 2.07009e-06 0 0
  19 0.5 2.07018e-06 0 0
  20 0.5 2.07029e-06 0 0
  21 0.5 2.0706e-06 0 0
  22 0.5 2.07112e-06 0 0
  23 0.5 2.07199e-06 0 0
  24 0.5 2.0734e-06 0 0
  25 0.5 2.07567e-06 0 0
  26 0.5 2.07919e-06 0 0
  27 0.5 2.08453e-06 0 0
  28 0.5 2.09239e-06 0 0
  29 0.5 2.10367e-06 0 0
  30 0.5 2.1194e-06 0 0
  31 0.5 2.14073e-06 0 0
  32 0.5 2.16887e-06 0 0
  33 0.5 2.20499e-06 0 0
  34 0.5 2.25008e-06 0 0
  35 0.5 2.30481e-06 0 0
  36 0.5 2.36945e-06 0 0
  37 0.5 2.44369e-06 0 0
  38 0.5 2.52664e-06 0 0
  39 0.5 2.61677e-06 0 0
  40 0.5 2.71205e-06 0 0
  41 0.5 2.81e-06 0 0
  42 0.5 2.90795e-06 0 0
  43 0.5 3.00323e-06 0 0
  44 0.5 3.09336e-06 0 0
  45 0.5 3.17631e-06 0 0
  46 0.5 3.25055e-06 0 0
  47 0.5 3.31519e-06 0 0
  48 0.5 3.36992e-06 0 0
  49 0.5 3.41501e-06 0 0
  50 0.5 3.45112e-06 0 0
  51 0.5 3.47926e-06 0 0
  52 0.5 3.50058e-06 0 0
  53 0.5 3.51628e-06 0 0
  54 0.5 3.52751e-06 0 0
  55 0.5 3.53528e-06 0 0
  56 0.5 3.54045e-06 0 0
  57 0.5 3.54367e-06 0 0
  58 0.5 3.5454e-06 0 0
  59 0.5 3.54591e-06 0 0
  60 0.5 3.54529e-06 0 0
  61 0.5 3.54342e-06 0 0
  62 0.5 3.54001e-06 0 0
  63 0.5 3.53456e-06 0 0
  64 0.5 3.52636e-06 0 0
  65 0.5 3.51449e-06 0 0
  66 0.5 3.49785e-06 0 0
  67 0.5 3.47514e-06 0 0
  68 0.5 3.445e-06 0 0
  69 0.5 3.40604e-06 0 0
  70 0.5 3.35695e-06 0 0
  71 0.5 3.29669e-06 0 0
  72 0.5 3.22459e-06 0 0
  73 0.5 3.14051e-06 0 0
  74 0.5 3.04497e-06 0 0
  75 0.5 2.93926e-06 0 0
  76 0.5 2.82543e-06 0 0
  77 0.5 2.70629e-06 0 0
  78 0.5 2.58526e-06 0 0
  79 0.5 2.46617e-06 0 0
  80 0.5 2.35295e-06 0 0
  81 0.5 2.24925e-06 0 0
  82 0.5 2.15815e-06 0 0
  83 0.5 2.08177e-06 0 0
  84 0.5 2.02113e-06 0 0
  85 0.5 1.97605e-06 0 0
  86 0.5 1.94527e-06 0 0
  87 0.5 1.92663e-06 0 0
  88 0.5 1.91728e-06 0 0
  89 0.5 1.91397e-06 0 0
  90 0.5 1.91311e-06 0 0
  91 0.5 1.91091e-06 0 0
  92 0.5 1.9033e-06 0 0
  93 0.5 1.88603e-06 0 0
  94 0.5 1.85476e-06 0 0
  95 0.5 1.80537e-06 0 0
  96 0.5 1.73443e-06 0 0
  97 0.5 1.63975e-06 0 0
  98 0.5 1.52096e-06 0 0
  99 0.5 1.37986e-06 0 0
  100 0.5 1.22051e-06 0 0
  101 0.5 1.04891e-06 0 0
  102 0.5 8.72333e-07 0 0
  103 0.5 6.98442e-07 0 0
  104 0.5 5.34345e-07 0 0
  105 0.5 3.85767e-07 0 0
  106 0.5 2.5652e-07 0 0
  107 0.5 1.48313e-07 0 0
  108 0.5 6.09061e-08 0 0
  109 0.5 -7.48067e-09 0 0
  110 0.5 -5.96269e-08 0 0
  111 0.5 -9.87618e-08 0 0
  112 0.5 -1.28099e-07 0 0
  113 0.5 -1.50508e-07 0 0
  114 0.5 -1.68336e-07 0 0
  115 0.5 -1.83346e-07 0 0
  116 0.5 -1.96759e-07 0 0
  117 0.5 -2.09328e-07 0 0
  118 0.5 -2.21446e-07 0 0
  119 0.5 -2.33237e-07 0 0
  120 0.5 -2.44643e-07 0 0
  121 0.5 -2.5549e-07 0 0
  122 0.5 -2.65533e-07 0 0
  123 0.5 -2.74504e-07 0 0
  124 0.5 -2.82133e-07 0 0
  125 0.5 -2.88174e-07 0 0
  126 0.5 -2.92424e-07 0 0
  127 0.5 -2.94736e-07 0 0
  128 0.5 -2.95029e-07 0 0
  129 0.5 -2.93293e-07 0 0
  130 0.5 -2.8959e-07 0 0
  131 0.5 -2.84048e-07 0 0
  132 0.5 -2.76857e-07 0 0
  133 0.5 -2.68257e-07 0 0
  134 0.5 -2.58518e-07 0 0
  135 0.5 -2.4793e-07 0 0
  136 0.5 -2.36776e-07 0 0
  137 0.5 -2.25307e-07 0 0
  138 0.5 -2.13713e-07 0 0
  139 0.5 -2.02082e-07 0 0
  140 0.5 -1.90338e-07 0 0
  141 0.5 -1.78178e-07 0 0
  142 0.5 -1.64981e-07 0 0
  143 0.5 -1.49706e-07 0 0
  144 0.5 -1.30806e-07 0 0
  145 0.5 -1.06164e-07 0 0
  146 0.5 -7.31038e-08 0 0
  147 0.5 -2.85043e-08 0 0
  148 0.5 3.09386e-08 0 0
  149 0.5 1.0831e-07 0 0
  150 0.5 2.05956e-07 0 0
  151 0.5 3.24919e-07 0 0
  152 0.5 4.64448e-07 0 0
  153 0.5 6.21709e-07 0 0
  154 0.5 7.91801e-07 0 0
  155 0.5 9.68128e-07 0 0
  156 0.5 1.14311e-06 0 0
  157 0.5 1.30907e-06 0 0
  158 0.5 1.45924e-06 0 0
  159 0.5 1.58849e-06 0 0
  160 0.5 1.69382e-06 0 0
  161 0.5 1.77451e-06 0 0
  162 0.5 1.83177e-06 0 0
  163 0.5 1.86829e-06 0 0
  164 0.5 1.88762e-06 0 0
  165 0.5 1.89355e-06 0 0
  166 0.5 1.8898e-06 0 0
  167 0.5 1.8797e-06 0 0
  168 0.5 1.86622e-06 0 0
  169 0.5 1.85191e-06 0 0
  170 0.5 1.83902e-06 0 0
  171 0.5 1.8294e-06 0 0
  172 0.5 1.82448e-06 0 0
  173 0.5 1.82511e-06 0 0
  174 0.5 1.83153e-06 0 0
  175 0.5 1.84329e-06 0 0
  176 0.5 1.85936e-06 0 0
  177 0.5 1.87832e-06 0 0
  178 0.5 1.89855e-06 0 0
  179 0.5 1.91853e-06 0 0
  180 0.5 1.93701e-06 0 0
  181 0.5 1.95311e-06 0 0
  182 0.5 1.96641e-06 0 0
  183 0.5 1.97684e-06 0 0
  184 0.5 1.98463e-06 0 0
  185 0.5 1.99019e-06 0 0
  186 0.5 1.99398e-06 0 0
  187 0.5 1.99644e-06 0 0
  188 0.5 1.99798e-06 0 0
  189 0.5 1.99889e-06 0 0
  190 0.5 2e-06 0 0
  191 0.5 2e-06 0 0
  192 0.5 2e-06 0 0
  193 0.5 2e-06 0 0
  194 0.5 2e-06 0 0
  195 0.5 2e-06 0 0
  196 0.5 2e-06 0 0
  197 0.5 2e-06 0 0
  198 0.5 2e-06 0 0
  199 0.5 2e-06 0 0
  200 0.5 2e-06 0 0
  201 100 2e-06 0 0
