# z rho mu
-10 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0.5 2.07e-06 0
0.5 2.07e-06 0
1 2.07e-06 0
1 2.07e-06 0
1.5 2.07e-06 0
1.5 2.07e-06 0
2 2.07e-06 0
2 2.07e-06 0
2.5 2.07e-06 0
2.5 2.07e-06 0
3 2.07e-06 0
3 2.07e-06 0
3.5 2.07e-06 0
3.5 2.07e-06 0
4 2.07e-06 0
4 2.07e-06 0
4.5 2.07e-06 0
4.5 2.07e-06 0
5 2.07e-06 0
5 2.07e-06 0
5.5 2.07e-06 0
5.5 2.07e-06 0
6 2.07e-06 0
6 2.07e-06 0
6.5 2.07e-06 0
6.5 2.07e-06 0
7 2.07e-06 0
7 2.07e-06 0
7.5 2.07e-06 0
7.5 2.06851e-06 0
8 2.06851e-06 0
8 2.0693e-06 0
8.5 2.0693e-06 0
8.5 2.06968e-06 0
9 2.06968e-06 0
9 2.06986e-06 0
9.5 2.06986e-06 0
9.5 2.06995e-06 0
10 2.06995e-06 0
10 2.07e-06 0
10.5 2.07e-06 0
10.5 2.07004e-06 0
11 2.07004e-06 0
11 2.07011e-06 0
11.5 2.07011e-06 0
11.5 2.07026e-06 0
12 2.07026e-06 0
12 2.07058e-06 0
12.5 2.07058e-06 0
12.5 2.07123e-06 0
13 2.07123e-06 0
13 2.07251e-06 0
13.5 2.07251e-06 0
13.5 2.07489e-06 0
14 2.07489e-06 0
14 2.07915e-06 0
14.5 2.07915e-06 0
14.5 2.08644e-06 0
15 2.08644e-06 0
15 2.09835e-06 0
15.5 2.09835e-06 0
15.5 2.11697e-06 0
16 2.11697e-06 0
16 2.14481e-06 0
16.5 2.14481e-06 0
16.5 2.18463e-06 0
17 2.18463e-06 0
17 2.23907e-06 0
