#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)
                  10                    0   -0.556996350255889                    0
                 0.5                    0   -0.556996350255889                    0
                 0.5                    0   -0.556996350255889                    0
                 0.5                    0    -0.55638865435818                    0
                 0.5                    0   -0.556034117948974                    0
                 0.5                    0   -0.555496929201021                    0
                 0.5                    0    -0.55469677067327                    0
                 0.5                    0   -0.553525079700727                    0
                 0.5                    0   -0.551838356802981                    0
                 0.5                    0   -0.549451235170181                    0
                 0.5                    0   -0.546129898838275                    0
                 0.5                    0   -0.541586647743134                    0
                 0.5                    0   -0.535476596450032                    0
                 0.5                    0   -0.527397622572734                    0
                 0.5                    0   -0.516894709688326                    0
                 0.5                    0   -0.503469719864987                    0
                 0.5                    0   -0.486597355900531                    0
                 0.5                    0   -0.465747625834376                    0
                 0.5                    0   -0.440414521522551                    0
                 0.5                    0   -0.410149917889877                    0
                 0.5                    0    -0.37460096600396                    0
                 0.5                    0   -0.333548586328477                    0
                 0.5                    0   -0.286944168357582                    0
                 0.5                    0   -0.234941336993186                    0
                 0.5                    0   -0.177919712741587                    0
                 0.5                    0   -0.116497987707804                    0
                 0.5                    0  -0.0515343298679939                    0
                 0.5                    0   0.0158869626079432                    0
                 0.5                    0   0.0844826147466514                    0
                 0.5                    0     0.15281038024419                    0
                 0.5                    0    0.219320043654798                    0
                 0.5                    0    0.282412853898082                    0
                 0.5                    0    0.340506338274102                    0
                 0.5                    0    0.392101179599559                    0
                 0.5                    0    0.435846756060263                    0
                 0.5                    0    0.470601997648212                    0
                 0.5                    0    0.495488367456925                    0
                 0.5                    0    0.509932017888377                    0
                 0.5                    0    0.513692517972667                    0
                 0.5                    0    0.506876038426543                    0
                 0.5                    0    0.489931561065697                    0
                 0.5                    0    0.463629576109439                    0
                 0.5                    0    0.429023832255761                    0
                 0.5                    0    0.387397944261935                    0
                 0.5                    0    0.340199921998703                    0
                 0.5                    0    0.288968806433542                    0
                 0.5                    0    0.235258414352979                    0
                 0.5                    0    0.180563561112666                    0
                 0.5                    0    0.126253961156191                    0
                 0.5                    0   0.0735202889991278                    0
                 0.5                    0   0.0233356927357661                    0
                 0.5                    0  -0.0235654643078291                    0
                 0.5                    0  -0.0666915039624724                    0
                 0.5                    0   -0.105781410323808                    0
                 0.5                    0   -0.140779612251776                    0
                 0.5                    0   -0.171801185617246                    0
                 0.5                    0   -0.199091498821677                    0
                 0.5                    0   -0.222984263285052                    0
                 0.5                    0   -0.243861487637428                    0
                 0.5                    0   -0.262118085117186                    0
                 0.5                    0   -0.278132983682835                    0
                 0.5                    0   -0.292247669762568                    0
                 0.5                    0   -0.304752268997046                    0
                 0.5                    0   -0.315878605944941                    0
                 0.5                    0   -0.325799226485855                    0
                 0.5                    0   -0.334631113621859                    0
                 0.5                    0   -0.342442754840925                    0
                 0.5                    0   -0.349263286129645                    0
                 0.5                    0   -0.355092597042145                    0
                 0.5                    0   -0.359911488243158                    0
                 0.5                    0    -0.36369119087814                    0
                 0.5                    0   -0.366401759763091                    0
                 0.5                    0   -0.368019024179527                    0
                 0.5                    0   -0.368529914536705                    0
                 0.5                    0   -0.367936080525986                    0
                 0.5                    0   -0.366255781030909                    0
                 0.5                    0   -0.363524064521754                    0
                 0.5                    0     -0.3597912783618                    0
                 0.5                    0   -0.355119954084733                    0
                 0.5                    0   -0.349580121275508                    0
                 0.5                    0   -0.343243113799726                    0
                 0.5                    0   -0.336173958174269                    0
                 0.5                    0   -0.328422484804567                    0
                 0.5                    0   -0.320013388164826                    0
                 0.5                    0   -0.310935589033529                    0
                 0.5                    0   -0.301131422956394                    0
                 0.5                    0   -0.290486388474074                    0
                 0.5                    0   -0.278820419584382                    0
                 0.5                    0   -0.265881869748888                    0
                 0.5                    0   -0.251345567081508                    0
                 0.5                    0   -0.234816370119621                    0
                 0.5                    0   -0.215839565676865                    0
                 0.5                    0   -0.193919156402397                    0
                 0.5                    0   -0.168544556263642                    0
                 0.5                    0    -0.13922544842118                    0
                 0.5                    0   -0.105533603087641                    0
                 0.5                    0  -0.0671493877565489                    0
                 0.5                    0  -0.0239096525166507                    0
                 0.5                    0   0.0241472116539207                    0
                 0.5                    0   0.0767438106202059                    0
                 0.5                    0    0.133338768503595                    0
                 0.5                    0    0.193118709377931                    0
                 0.5                    0    0.255010722320193                    0
                 0.5                    0    0.317717400747169                    0
                 0.5                    0    0.379774769722793                    0
                 0.5                    0    0.439631473972588                    0
                 0.5                    0    0.495745691805269                    0
                 0.5                    0    0.546694543789309                    0
                 0.5                    0    0.591289409606047                    0
                 0.5                    0    0.628689619678152                    0
                 0.5                    0     0.65850646088416                    0
                 0.5                    0    0.680889305842625                    0
                 0.5                    0    0.696585922820619                    0
                 0.5                    0    0.706969664421241                    0
                 0.5                    0    0.714027339538737                    0
                 0.5                    0    0.720303264960833                    0
                 0.5                    0    0.728797401322583                    0
                 0.5                    0    0.742818680165489                    0
                 0.5                    0    0.765798573415975                    0
                 0.5                    0    0.801074401077416                    0
                 0.5                    0    0.851656357176324                    0
                 0.5                    0    0.919996109841941                    0
                 0.5                    0     1.00777735423741                    0
                 0.5                    0     1.11574916874688                    0
                 0.5                    0     1.24362095987544                    0
                 0.5                    0     1.39003305691359                    0
                 0.5                    0      1.5526099654386                    0
                 0.5                    0     1.72809469779512                    0
                 0.5                    0     1.91255361395591                    0
