#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000  -0.55699635   0.00000000
 10.00000000  -0.55699635   0.00000000
 10.00000000  -0.55699635   0.00000000
 10.50000000  -0.55699635   0.00000000
 10.50000000  -0.55699635   0.00000000
 11.00000000  -0.55699635   0.00000000
 11.00000000  -0.55638865   0.00000000
 11.50000000  -0.55638865   0.00000000
 11.50000000  -0.55603412   0.00000000
 12.00000000  -0.55603412   0.00000000
 12.00000000  -0.55549693   0.00000000
 12.50000000  -0.55549693   0.00000000
 12.50000000  -0.55469677   0.00000000
 13.00000000  -0.55469677   0.00000000
 13.00000000  -0.55352508   0.00000000
 13.50000000  -0.55352508   0.00000000
 13.50000000  -0.55183836   0.00000000
 14.00000000  -0.55183836   0.00000000
 14.00000000  -0.54945124   0.00000000
 14.50000000  -0.54945124   0.00000000
 14.50000000  -0.54612990   0.00000000
 15.00000000  -0.54612990   0.00000000
 15.00000000  -0.54158665   0.00000000
 15.50000000  -0.54158665   0.00000000
 15.50000000  -0.53547660   0.00000000
 16.00000000  -0.53547660   0.00000000
 16.00000000  -0.52739762   0.00000000
 16.50000000  -0.52739762   0.00000000
 16.50000000  -0.51689471   0.00000000
 17.00000000  -0.51689471   0.00000000
 17.00000000  -0.50346972   0.00000000
 17.50000000  -0.50346972   0.00000000
 17.50000000  -0.48659736   0.00000000
 18.00000000  -0.48659736   0.00000000
 18.00000000  -0.46574763   0.00000000
 18.50000000  -0.46574763   0.00000000
 18.50000000  -0.44041452   0.00000000
 19.00000000  -0.44041452   0.00000000
 19.00000000  -0.41014992   0.00000000
 19.50000000  -0.41014992   0.00000000
 19.50000000  -0.37460097   0.00000000
 20.00000000  -0.37460097   0.00000000
 20.00000000  -0.33354859   0.00000000
 20.50000000  -0.33354859   0.00000000
 20.50000000  -0.28694417   0.00000000
 21.00000000  -0.28694417   0.00000000
 21.00000000  -0.23494134   0.00000000
 21.50000000  -0.23494134   0.00000000
 21.50000000  -0.17791971   0.00000000
 22.00000000  -0.17791971   0.00000000
 22.00000000  -0.11649799   0.00000000
 22.50000000  -0.11649799   0.00000000
 22.50000000  -0.05153433   0.00000000
 23.00000000  -0.05153433   0.00000000
 23.00000000   0.01588696   0.00000000
 23.50000000   0.01588696   0.00000000
 23.50000000   0.08448261   0.00000000
 24.00000000   0.08448261   0.00000000
 24.00000000   0.15281038   0.00000000
 24.50000000   0.15281038   0.00000000
 24.50000000   0.21932004   0.00000000
 25.00000000   0.21932004   0.00000000
 25.00000000   0.28241285   0.00000000
 25.50000000   0.28241285   0.00000000
 25.50000000   0.34050634   0.00000000
 26.00000000   0.34050634   0.00000000
 26.00000000   0.39210118   0.00000000
 26.50000000   0.39210118   0.00000000
 26.50000000   0.43584676   0.00000000
 27.00000000   0.43584676   0.00000000
 27.00000000   0.47060200   0.00000000
 27.50000000   0.47060200   0.00000000
 27.50000000   0.49548837   0.00000000
 28.00000000   0.49548837   0.00000000
 28.00000000   0.50993202   0.00000000
 28.50000000   0.50993202   0.00000000
 28.50000000   0.51369252   0.00000000
 29.00000000   0.51369252   0.00000000
 29.00000000   0.50687604   0.00000000
 29.50000000   0.50687604   0.00000000
 29.50000000   0.48993156   0.00000000
 30.00000000   0.48993156   0.00000000
 30.00000000   0.46362958   0.00000000
 30.50000000   0.46362958   0.00000000
 30.50000000   0.42902383   0.00000000
 31.00000000   0.42902383   0.00000000
 31.00000000   0.38739794   0.00000000
 31.50000000   0.38739794   0.00000000
 31.50000000   0.34019992   0.00000000
 32.00000000   0.34019992   0.00000000
 32.00000000   0.28896881   0.00000000
 32.50000000   0.28896881   0.00000000
 32.50000000   0.23525841   0.00000000
 33.00000000   0.23525841   0.00000000
 33.00000000   0.18056356   0.00000000
 33.50000000   0.18056356   0.00000000
 33.50000000   0.12625396   0.00000000
 34.00000000   0.12625396   0.00000000
 34.00000000   0.07352029   0.00000000
 34.50000000   0.07352029   0.00000000
 34.50000000   0.02333569   0.00000000
 35.00000000   0.02333569   0.00000000
 35.00000000  -0.02356546   0.00000000
 35.50000000  -0.02356546   0.00000000
 35.50000000  -0.06669150   0.00000000
 36.00000000  -0.06669150   0.00000000
 36.00000000  -0.10578141   0.00000000
 36.50000000  -0.10578141   0.00000000
 36.50000000  -0.14077961   0.00000000
 37.00000000  -0.14077961   0.00000000
 37.00000000  -0.17180119   0.00000000
 37.50000000  -0.17180119   0.00000000
 37.50000000  -0.19909150   0.00000000
 38.00000000  -0.19909150   0.00000000
 38.00000000  -0.22298426   0.00000000
 38.50000000  -0.22298426   0.00000000
 38.50000000  -0.24386149   0.00000000
 39.00000000  -0.24386149   0.00000000
 39.00000000  -0.26211809   0.00000000
 39.50000000  -0.26211809   0.00000000
 39.50000000  -0.27813298   0.00000000
 40.00000000  -0.27813298   0.00000000
 40.00000000  -0.29224767   0.00000000
 40.50000000  -0.29224767   0.00000000
 40.50000000  -0.30475227   0.00000000
 41.00000000  -0.30475227   0.00000000
 41.00000000  -0.31587861   0.00000000
 41.50000000  -0.31587861   0.00000000
 41.50000000  -0.32579923   0.00000000
 42.00000000  -0.32579923   0.00000000
 42.00000000  -0.33463111   0.00000000
 42.50000000  -0.33463111   0.00000000
 42.50000000  -0.34244275   0.00000000
 43.00000000  -0.34244275   0.00000000
