# Q dQ R dR fit
0.00877296 8.5737e-05 0.0587691 0.000821827 0.0578514
0.0100889 9.85974e-05 0.0414834 0.000603696 0.0413804
0.0114048 0.000111457 0.0301185 0.000451106 0.0296029
0.0127208 0.000124318 0.0215892 0.000344819 0.0215805
0.0140367 0.000137178 0.0153567 0.000268766 0.0160136
0.0153526 0.000150038 0.0119769 0.000213066 0.0120799
0.0166685 0.000162898 0.00902368 0.000171437 0.00925191
0.0179845 0.000175759 0.00734272 0.000139765 0.00718559
0.0193004 0.000188619 0.0056513 0.000115287 0.00565294
0.0206163 0.000201478 0.00444233 9.60963e-05 0.00449984
0.0219322 0.000214338 0.00366462 8.0895e-05 0.00362414
0.0241253 0.00023577 0.00252386 6.18459e-05 0.0025817
0.0263185 0.000257202 0.00185359 4.82108e-05 0.00188078
0.0285116 0.000278634 0.00135047 3.82448e-05 0.00139923
0.0307047 0.000300065 0.00105295 3.0806e-05 0.0010604
0.0328977 0.000321495 0.000814198 2.5152e-05 0.000816953
0.0350908 0.000342926 0.000632109 2.07858e-05 0.000638755
0.0372838 0.000364355 0.000503107 1.73675e-05 0.000506193
0.0394768 0.000385784 0.000412875 1.46588e-05 0.000406151
0.0416698 0.000407213 0.000336709 1.24896e-05 0.000329697
0.0438627 0.00042864 0.00024724 1.07408e-05 0.000270858
0.0473713 0.000462923 0.000201465 8.58553e-06 0.000202182
0.0508798 0.000497204 0.000150963 6.99973e-06 0.000154806
0.0543882 0.000531482 0.000114476 5.81855e-06 0.000121747
0.0578966 0.000565759 9.81573e-05 4.92624e-06 9.83555e-05
0.0614048 0.000600034 7.93137e-05 4.24269e-06 8.16054e-05
0.0649128 0.000634304 7.18589e-05 3.71124e-06 6.94759e-05
0.0684208 0.000668574 6.66839e-05 3.29121e-06 6.05858e-05
0.0719286 0.00070284 5.79359e-05 2.95318e-06 5.39738e-05
0.0754363 0.000737103 4.57237e-05 2.67574e-06 4.89592e-05
0.0789438 0.000771363 4.02116e-05 2.44338e-06 4.50548e-05
0.0824512 0.00080562 4.19578e-05 2.24481e-06 4.19094e-05
0.0859585 0.000839874 4.23997e-05 2.0718e-06 3.92634e-05
0.087712 0.000856999 3.57948e-05 1.99305e-06 3.8072e-05
0.091219 0.000891248 3.62802e-05 1.8483e-06 3.58718e-05
0.0947258 0.000925493 3.44423e-05 1.71737e-06 3.3809e-05
0.0982324 0.000959733 3.17271e-05 1.59782e-06 3.18173e-05
0.101739 0.000993971 3.00225e-05 1.48779e-06 2.98498e-05
0.105245 0.0010282 2.8946e-05 1.38598e-06 2.78801e-05
0.108751 0.00106243 2.85707e-05 1.29141e-06 2.58964e-05
0.112257 0.00109666 2.53952e-05 1.20338e-06 2.38983e-05
0.115762 0.00113087 2.01518e-05 1.12138e-06 2.18946e-05
0.119268 0.00116509 1.87574e-05 1.04498e-06 1.98975e-05
0.122773 0.0011993 1.87162e-05 9.73918e-07 1.79253e-05
0.126278 0.0012335 1.69515e-05 9.07922e-07 1.59965e-05
0.129782 0.0012677 1.31996e-05 8.46795e-07 1.41308e-05
0.133287 0.0013019 1.24012e-05 7.90313e-07 1.23458e-05
0.136791 0.00133608 1.08562e-05 7.38325e-07 1.06595e-05
0.140295 0.00137027 1.01767e-05 6.90632e-07 9.08611e-06
0.143798 0.00140444 7.15743e-06 6.47058e-07 7.63805e-06
0.147302 0.00143862 6.58118e-06 6.0738e-07 6.32341e-06
0.150805 0.00147278 5.30614e-06 5.71384e-07 5.14644e-06
0.153432 0.0014984 3.91766e-06 5.46724e-07 4.36144e-06
0.15781 0.00154109 2.3005e-06 5.09692e-07 3.23119e-06
0.162187 0.00158377 2.13248e-06 4.77254e-07 2.31157e-06
0.166564 0.00162644 1.72523e-06 4.48944e-07 1.59562e-06
0.170941 0.0016691 7.65878e-07 4.24242e-07 1.06622e-06
0.175317 0.00171175 7.39138e-07 4.02637e-07 7.02428e-07
0.179693 0.0017544 4.82878e-07 3.83634e-07 4.80455e-07
0.184068 0.00179702 2.69997e-07 3.66784e-07 3.7528e-07
0.188442 0.00183963 5.15075e-07 3.51681e-07 3.61624e-07
0.192816 0.00188224 2.10555e-07 3.37972e-07 4.15105e-07
0.197189 0.00192483 5.158e-07 3.25368e-07 5.13094e-07
0.201562 0.00196741 8.23794e-07 3.13627e-07 6.35444e-07
0.205934 0.00200997 5.6623e-07 3.02568e-07 7.649e-07
0.210305 0.00205252 1.44978e-06 2.92049e-07 8.87474e-07
0.214676 0.00209506 9.68854e-07 2.8197e-07 9.92542e-07
0.219046 0.00213759 1.20117e-06 2.72262e-07 1.07269e-06
0.223416 0.0021801 1.15272e-06 2.62881e-07 1.12361e-06
0.227785 0.0022226 1.07684e-06 2.53805e-07 1.14367e-06
0.232153 0.00226508 1.06944e-06 2.45026e-07 1.13357e-06
0.23652 0.00230755 6.64554e-07 2.36542e-07 1.09587e-06
0.240887 0.00235 1.09274e-06 2.28357e-07 1.03444e-06
0.245253 0.00239244 9.14411e-07 2.20481e-07 9.54124e-07
0.249618 0.00243486 8.08504e-07 2.12922e-07 8.60193e-07
0.253982 0.00247726 7.03578e-07 2.05711e-07 7.63132e-07
0.258346 0.00251965 6.6662e-07 1.98991e-07 7.01004e-07
