# Q dQ R dR fit
0.00877296 8.5737e-05 0.059205 0.000821827 0.0578514
0.0100889 9.85974e-05 0.041788 0.000603696 0.0413804
0.0114048 0.000111457 0.0299451 0.000451106 0.0296029
0.0127208 0.000124318 0.0217815 0.000344819 0.0215805
0.0140367 0.000137178 0.0158976 0.000268766 0.0160136
0.0153526 0.000150038 0.0120625 0.000213066 0.0120799
0.0166685 0.000162898 0.00920514 0.000171437 0.00925191
0.0179845 0.000175759 0.00701064 0.000139765 0.00718559
0.0193004 0.000188619 0.0057973 0.000115287 0.00565294
0.0206163 0.000201478 0.00452636 9.60963e-05 0.00449984
0.0219322 0.000214338 0.0036904 8.0895e-05 0.00362414
0.0241253 0.00023577 0.00256413 6.18459e-05 0.0025817
0.0263185 0.000257202 0.00183786 4.82108e-05 0.00188078
0.0285116 0.000278634 0.00134407 3.82448e-05 0.00139923
0.0307047 0.000300065 0.00104267 3.0806e-05 0.0010604
0.0328977 0.000321495 0.000828357 2.5152e-05 0.000816953
0.0350908 0.000342926 0.000639493 2.07858e-05 0.000638755
0.0372838 0.000364355 0.000499929 1.73675e-05 0.000506193
0.0394768 0.000385784 0.000385485 1.46588e-05 0.000406151
0.0416698 0.000407213 0.000318267 1.24896e-05 0.000329697
0.0438627 0.00042864 0.000274135 1.07408e-05 0.000270858
0.0473713 0.000462923 0.000200394 8.58553e-06 0.000202182
0.0508798 0.000497204 0.000144183 6.99973e-06 0.000154806
0.0543882 0.000531482 0.000123407 5.81855e-06 0.000121747
0.0578966 0.000565759 9.90415e-05 4.92624e-06 9.83555e-05
0.0614048 0.000600034 8.07049e-05 4.24269e-06 8.16054e-05
0.0649128 0.000634304 7.01523e-05 3.71124e-06 6.94759e-05
0.0684208 0.000668574 6.58431e-05 3.29121e-06 6.05858e-05
0.0719286 0.00070284 5.19311e-05 2.95318e-06 5.39738e-05
0.0754363 0.000737103 5.25671e-05 2.67574e-06 4.89592e-05
0.0789438 0.000771363 4.99604e-05 2.44338e-06 4.50548e-05
0.0824512 0.00080562 4.19831e-05 2.24481e-06 4.19094e-05
0.0859585 0.000839874 4.0933e-05 2.0718e-06 3.92634e-05
0.087712 0.000856999 3.89249e-05 1.99305e-06 3.8072e-05
0.091219 0.000891248 3.4224e-05 1.8483e-06 3.58718e-05
0.0947258 0.000925493 3.24184e-05 1.71737e-06 3.3809e-05
0.0982324 0.000959733 3.29126e-05 1.59782e-06 3.18173e-05
0.101739 0.000993971 3.11708e-05 1.48779e-06 2.98498e-05
0.105245 0.0010282 2.74587e-05 1.38598e-06 2.78801e-05
0.108751 0.00106243 2.67146e-05 1.29141e-06 2.58964e-05
0.112257 0.00109666 2.25623e-05 1.20338e-06 2.38983e-05
0.115762 0.00113087 2.16469e-05 1.12138e-06 2.18946e-05
0.119268 0.00116509 2.11761e-05 1.04498e-06 1.98975e-05
0.122773 0.0011993 1.61793e-05 9.73918e-07 1.79253e-05
0.126278 0.0012335 1.6013e-05 9.07922e-07 1.59965e-05
0.129782 0.0012677 1.48655e-05 8.46795e-07 1.41308e-05
0.133287 0.0013019 1.16062e-05 7.90313e-07 1.23458e-05
0.136791 0.00133608 9.54953e-06 7.38325e-07 1.06595e-05
0.140295 0.00137027 8.33916e-06 6.90632e-07 9.08611e-06
0.143798 0.00140444 7.9244e-06 6.47058e-07 7.63805e-06
0.147302 0.00143862 6.02055e-06 6.0738e-07 6.32341e-06
0.150805 0.00147278 4.89881e-06 5.71384e-07 5.14644e-06
0.153432 0.0014984 4.78342e-06 5.46724e-07 4.36144e-06
0.15781 0.00154109 2.43708e-06 5.09692e-07 3.23119e-06
0.162187 0.00158377 1.99134e-06 4.77254e-07 2.31157e-06
0.166564 0.00162644 1.44682e-06 4.48944e-07 1.59562e-06
0.170941 0.0016691 6.25984e-07 4.24242e-07 1.06622e-06
0.175317 0.00171175 1.02094e-06 4.02637e-07 7.02428e-07
0.179693 0.0017544 8.90155e-07 3.83634e-07 4.80455e-07
0.184068 0.00179702 6.89506e-07 3.66784e-07 3.7528e-07
0.188442 0.00183963 1.52621e-07 3.51681e-07 3.61624e-07
0.192816 0.00188224 3.50603e-07 3.37972e-07 4.15105e-07
0.197189 0.00192483 4.73193e-08 3.25368e-07 5.13094e-07
0.201562 0.00196741 6.91019e-07 3.13627e-07 6.35444e-07
0.205934 0.00200997 1.4494e-06 3.02568e-07 7.649e-07
0.210305 0.00205252 7.13597e-07 2.92049e-07 8.87474e-07
0.214676 0.00209506 1.23745e-06 2.8197e-07 9.92542e-07
0.219046 0.00213759 1.04946e-06 2.72262e-07 1.07269e-06
0.223416 0.0021801 1.37519e-06 2.62881e-07 1.12361e-06
0.227785 0.0022226 1.32009e-06 2.53805e-07 1.14367e-06
0.232153 0.00226508 1.04167e-06 2.45026e-07 1.13357e-06
0.23652 0.00230755 1.20342e-06 2.36542e-07 1.09587e-06
0.240887 0.00235 1.06686e-06 2.28357e-07 1.03444e-06
0.245253 0.00239244 5.43307e-07 2.20481e-07 9.54124e-07
0.249618 0.00243486 8.31441e-07 2.12922e-07 8.60193e-07
0.253982 0.00247726 7.73014e-07 2.05711e-07 7.63132e-07
0.258346 0.00251965 3.44291e-07 1.98991e-07 7.01004e-07
