Q R dR
0.00877296 0.05675113058825676 0.0008218266554410931
0.0100889 0.04097676038814484 0.0006036955442968419
0.0114048 0.029510313409591368 0.0004511058744812215
0.0127208 0.021446849620629628 0.0003448188836564849
0.0140367 0.01606775462019648 0.0002687661926562569
0.0153526 0.011830521193255025 0.00021306593061416325
0.0166685 0.009517665206602206 0.0001714373805285828
0.0179845 0.00739653640350711 0.00013976512226565238
0.0193004 0.005532023062367386 0.00011528668794283175
0.0206163 0.004459397054267038 9.609625313424268e-05
0.0219322 0.0034906696614791636 8.089503825952199e-05
0.0241253 0.002530163676291737 6.184588301059947e-05
0.0263185 0.0018652228375227742 4.8210760162855704e-05
0.0285116 0.0014485572097303482 3.824477104080163e-05
0.0307047 0.0010170538372632502 3.080595589895552e-05
0.0328977 0.0008189046983829509 2.515201483622917e-05
0.0350908 0.0006705596702042065 2.078575950567118e-05
0.0372838 0.0005044476471579218 1.7367477122866798e-05
0.0394768 0.0003955243017919941 1.4658763305673872e-05
0.0416698 0.00034873396577587057 1.2489615756625732e-05
0.0438627 0.00025354840305706925 1.0740805092957147e-05
0.0473713 0.0001976951460058021 8.585532706038742e-06
0.0508798 0.00014501365590284147 6.999729300699372e-06
0.0543882 0.0001322996699386137 5.818548324934841e-06
0.0578966 9.475524281862736e-05 4.926236963114312e-06
0.0614048 8.550027076716705e-05 4.24268698026314e-06
0.0649128 6.119637271045698e-05 3.711240143011361e-06
0.0684208 5.5511895043961646e-05 3.2912090054220463e-06
0.0719286 5.08849619298631e-05 2.953177129060546e-06
0.0754363 4.897182246511163e-05 2.6757441908067007e-06
0.0789438 4.536727467184538e-05 2.4433765648677517e-06
0.0824512 3.9078713801903375e-05 2.2448087740434485e-06
0.0859585 3.835046139873172e-05 2.071803331639498e-06
0.087712 3.9437514494419516e-05 1.993050062440556e-06
0.091219 3.548475078664295e-05 1.8482951611843003e-06
0.0947258 3.188190199575583e-05 1.7173672298795119e-06
0.0982324 3.311055911718583e-05 1.5978160257100217e-06
0.101739 3.012317694535676e-05 1.4877921474668398e-06
0.105245 2.945245146888822e-05 1.3859848683721057e-06
0.108751 2.3744670240859847e-05 1.291414819463071e-06
0.112257 2.3726752724716517e-05 1.2033780089638274e-06
0.115762 2.476077749151228e-05 1.1213812015355616e-06
0.119268 1.9275743147882957e-05 1.0449818731322324e-06
0.122773 1.677546301382625e-05 9.739184740946328e-07
0.126278 1.5389574351829922e-05 9.079220406192944e-07
0.129782 1.3069333337540477e-05 8.467954887787268e-07
0.133287 1.2565496352019714e-05 7.90313246988509e-07
0.136791 9.902040842541493e-06 7.383249719835875e-07
0.140295 8.596606896926918e-06 6.906319093420577e-07
0.143798 8.688997096005787e-06 6.470582209390041e-07
0.147302 6.331790100107658e-06 6.073799991320096e-07
0.150805 3.99063028750532e-06 5.713838651072355e-07
0.153432 4.245647111419055e-06 5.467242277271416e-07
0.15781 3.329440977837588e-06 5.096920609800794e-07
0.162187 2.1866464184755184e-06 4.77254187985229e-07
0.166564 1.7236671980093194e-06 4.48944398506273e-07
0.170941 1.177931302087093e-06 4.242415692022053e-07
0.175317 1.132401436036041e-06 4.026367468398428e-07
0.179693 -2.791097823974986e-07 3.8363382506355696e-07
0.184068 2.487672908054037e-07 3.667837682811437e-07
0.188442 -4.203001894974821e-08 3.516810645811706e-07
0.192816 2.9586041526704485e-07 3.3797224319471957e-07
0.197189 8.205050206817451e-07 3.253675765245052e-07
0.201562 5.21878446961832e-07 3.136269867147077e-07
0.205934 6.086605210598477e-07 3.0256759440671393e-07
0.210305 9.02934786440179e-07 2.920494628906578e-07
0.214676 1.0797754674819135e-06 2.819695556498174e-07
0.219046 9.406306375696774e-07 2.7226170361509586e-07
0.223416 1.2470165839189704e-06 2.628807951161474e-07
0.227785 1.2733514696676754e-06 2.5380540047883663e-07
0.232153 1.2773802027339915e-06 2.450258607847655e-07
0.23652 1.1700205958467872e-06 2.3654199354299632e-07
0.240887 1.0743970850262467e-06 2.2835715356737415e-07
0.245253 1.4442640766782256e-06 2.2048131039669373e-07
0.249618 9.359663776985026e-07 2.1292247744226133e-07
0.253982 4.5206143792400957e-07 2.0571051042727672e-07
0.258346 8.691574284972633e-07 1.9899128461735621e-07
