#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)
                  10                    0     1.99006819239489                    0
                 0.5                    0     1.99006819239489                    0
                 0.5                    0     1.99006819239489                    0
                 0.5                    0     1.99006819239489                    0
                 0.5                    0     1.99006819239489                    0
                 0.5                    0     1.99006819239489                    0
                 0.5                    0     1.98915148591807                    0
                 0.5                    0     1.98868691892416                    0
                 0.5                    0     1.98802451683897                    0
                 0.5                    0     1.98709902657967                    0
                 0.5                    0     1.98583219621457                    0
                 0.5                    0     1.98413368093049                    0
                 0.5                    0     1.98190360911172                    0
                 0.5                    0     1.97903716131325                    0
                 0.5                    0     1.97543135367566                    0
                 0.5                    0     1.97099395794341                    0
                 0.5                    0     1.96565414253518                    0
                 0.5                    0      1.9593740138406                    0
                 0.5                    0     1.95215982603537                    0
                 0.5                    0     1.94407127968515                    0
                 0.5                    0     1.93522711946146                    0
                 0.5                    0     1.92580523768038                    0
                 0.5                    0     1.91603573939269                    0
                 0.5                    0      1.9061859379336                    0
                 0.5                    0     1.89653699696349                    0
                 0.5                    0     1.88735284548789                    0
                 0.5                    0     1.87884296529631                    0
                 0.5                    0     1.87112157155196                    0
                 0.5                    0     1.86416646882142                    0
                 0.5                    0      1.8577813812046                    0
                 0.5                    0     1.85156577269652                    0
                 0.5                    0     1.84489606996812                    0
                 0.5                    0     1.83692177423856                    0
                 0.5                    0     1.82657921160575                    0
                 0.5                    0     1.81262463245896                    0
                 0.5                    0     1.79368704113495                    0
                 0.5                    0     1.76833953966734                    0
                 0.5                    0     1.73518616087382                    0
                 0.5                    0       1.692959260099                    0
                 0.5                    0     1.64062071811273                    0
                 0.5                    0     1.57745873445418                    0
                 0.5                    0     1.50317115332514                    0
                 0.5                    0      1.4179263386983                    0
                 0.5                    0     1.32239379172456                    0
                 0.5                    0     1.21773902017723                    0
                 0.5                    0     1.10558046958833                    0
                 0.5                    0    0.987910251835476                    0
                 0.5                    0    0.866984443677227                    0
                 0.5                    0    0.745192284576376                    0
                 0.5                    0    0.624916123547889                    0
                 0.5                    0    0.508395036185329                    0
                 0.5                    0    0.397604471987458                    0
                 0.5                    0    0.294162183677577                    0
                 0.5                    0    0.199267372252644                    0
                 0.5                    0     0.11367597779256                    0
                 0.5                    0   0.0377109643328753                    0
                 0.5                    0  -0.0286971341620643                    0
                 0.5                    0  -0.0859467707309764                    0
                 0.5                    0   -0.134687834866022                    0
                 0.5                    0    -0.17573896541222                    0
                 0.5                    0   -0.210007790768392                    0
                 0.5                    0   -0.238420460579413                    0
                 0.5                    0   -0.261864704510196                    0
                 0.5                    0   -0.281148455532873                    0
                 0.5                    0   -0.296974104638616                    0
                 0.5                    0   -0.309926910865097                    0
                 0.5                    0   -0.320475067164662                    0
                 0.5                    0   -0.328978414258359                    0
                 0.5                    0   -0.335702724791461                    0
                 0.5                    0    -0.34083673165485                    0
                 0.5                    0   -0.344509519112759                    0
                 0.5                    0   -0.346806417754037                    0
                 0.5                    0    -0.34778205610695                    0
                 0.5                    0   -0.347469668779364                    0
                 0.5                    0   -0.345886122384308                    0
                 0.5                    0   -0.343032403706717                    0
                 0.5                    0   -0.338889547431847                    0
                 0.5                    0   -0.333410202681236                    0
                 0.5                    0    -0.32650629021904                    0
                 0.5                    0   -0.318033520026173                    0
                 0.5                    0   -0.307773940199818                    0
                 0.5                    0   -0.295418166163834                    0
                 0.5                    0   -0.280549455741957                    0
                 0.5                    0   -0.262632277960798                    0
