#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   3.00169649   0.00000000
  0.00000000   3.00169649   0.00000000
  0.00000000   3.00037012   0.00000000
  0.50000000   3.00037012   0.00000000
  0.50000000   2.99987027   0.00000000
  1.00000000   2.99987027   0.00000000
  1.00000000   2.99920638   0.00000000
  1.50000000   2.99920638   0.00000000
  1.50000000   2.99833387   0.00000000
  2.00000000   2.99833387   0.00000000
  2.00000000   2.99719916   0.00000000
  2.50000000   2.99719916   0.00000000
  2.50000000   2.99573892   0.00000000
  3.00000000   2.99573892   0.00000000
  3.00000000   2.99387937   0.00000000
  3.50000000   2.99387937   0.00000000
  3.50000000   2.99153600   0.00000000
  4.00000000   2.99153600   0.00000000
  4.00000000   2.98861364   0.00000000
  4.50000000   2.98861364   0.00000000
  4.50000000   2.98500698   0.00000000
  5.00000000   2.98500698   0.00000000
  5.00000000   2.98060167   0.00000000
  5.50000000   2.98060167   0.00000000
  5.50000000   2.97527603   0.00000000
  6.00000000   2.97527603   0.00000000
  6.00000000   2.96890329   0.00000000
  6.50000000   2.96890329   0.00000000
  6.50000000   2.96135444   0.00000000
  7.00000000   2.96135444   0.00000000
  7.00000000   2.95250144   0.00000000
  7.50000000   2.95250144   0.00000000
  7.50000000   2.94222078   0.00000000
  8.00000000   2.94222078   0.00000000
  8.00000000   2.93039702   0.00000000
  8.50000000   2.93039702   0.00000000
  8.50000000   2.91692610   0.00000000
  9.00000000   2.91692610   0.00000000
  9.00000000   2.90171809   0.00000000
  9.50000000   2.90171809   0.00000000
  9.50000000   2.88469900   0.00000000
 10.00000000   2.88469900   0.00000000
 10.00000000   2.86581141   0.00000000
 10.50000000   2.86581141   0.00000000
 10.50000000   2.84501354   0.00000000
 11.00000000   2.84501354   0.00000000
 11.00000000   2.82227667   0.00000000
 11.50000000   2.82227667   0.00000000
 11.50000000   2.79758071   0.00000000
 12.00000000   2.79758071   0.00000000
 12.00000000   2.77090816   0.00000000
 12.50000000   2.77090816   0.00000000
 12.50000000   2.74223651   0.00000000
 13.00000000   2.74223651   0.00000000
 13.00000000   2.71152973   0.00000000
 13.50000000   2.71152973   0.00000000
 13.50000000   2.67872922   0.00000000
 14.00000000   2.67872922   0.00000000
 14.00000000   2.64374509   0.00000000
 14.50000000   2.64374509   0.00000000
 14.50000000   2.60644862   0.00000000
 15.00000000   2.60644862   0.00000000
 15.00000000   2.56666670   0.00000000
 15.50000000   2.56666670   0.00000000
 15.50000000   2.52417921   0.00000000
 16.00000000   2.52417921   0.00000000
 16.00000000   2.47871997   0.00000000
 16.50000000   2.47871997   0.00000000
 16.50000000   2.42998196   0.00000000
 17.00000000   2.42998196   0.00000000
 17.00000000   2.37762695   0.00000000
 17.50000000   2.37762695   0.00000000
 17.50000000   2.32129963   0.00000000
 18.00000000   2.32129963   0.00000000
 18.00000000   2.26064578   0.00000000
 18.50000000   2.26064578   0.00000000
 18.50000000   2.19533376   0.00000000
 19.00000000   2.19533376   0.00000000
 19.00000000   2.12507820   0.00000000
 19.50000000   2.12507820   0.00000000
 19.50000000   2.04966455   0.00000000
 20.00000000   2.04966455   0.00000000
 20.00000000   1.96897279   0.00000000
 20.50000000   1.96897279   0.00000000
 20.50000000   1.88299882   0.00000000
 21.00000000   1.88299882   0.00000000
 21.00000000   1.79187171   0.00000000
 21.50000000   1.79187171   0.00000000
 21.50000000   1.69586550   0.00000000
 22.00000000   1.69586550   0.00000000
 22.00000000   1.59540429   0.00000000
 22.50000000   1.59540429   0.00000000
 22.50000000   1.49106005   0.00000000
 23.00000000   1.49106005   0.00000000
 23.00000000   1.38354268   0.00000000
 23.50000000   1.38354268   0.00000000
 23.50000000   1.27368279   0.00000000
 24.00000000   1.27368279   0.00000000
 24.00000000   1.16240784   0.00000000
 24.50000000   1.16240784   0.00000000
 24.50000000   1.05071302   0.00000000
 25.00000000   1.05071302   0.00000000
 25.00000000   0.93962837   0.00000000
 25.50000000   0.93962837   0.00000000
 25.50000000   0.83018414   0.00000000
 26.00000000   0.83018414   0.00000000
 26.00000000   0.72337626   0.00000000
 26.50000000   0.72337626   0.00000000
 26.50000000   0.62013397   0.00000000
 27.00000000   0.62013397   0.00000000
 27.00000000   0.52129122   0.00000000
 27.50000000   0.52129122   0.00000000
 27.50000000   0.42756341   0.00000000
 28.00000000   0.42756341   0.00000000
 28.00000000   0.33953044   0.00000000
 28.50000000   0.33953044   0.00000000
 28.50000000   0.25762662   0.00000000
 29.00000000   0.25762662   0.00000000
 29.00000000   0.18213755   0.00000000
 29.50000000   0.18213755   0.00000000
 29.50000000   0.11320370   0.00000000
 30.00000000   0.11320370   0.00000000
 30.00000000   0.05082979   0.00000000
 30.50000000   0.05082979   0.00000000
 30.50000000  -0.00510086   0.00000000
 31.00000000  -0.00510086   0.00000000
 31.00000000  -0.05480838   0.00000000
 31.50000000  -0.05480838   0.00000000
 31.50000000  -0.09859607   0.00000000
 32.00000000  -0.09859607   0.00000000
 32.00000000  -0.13682900   0.00000000
 32.50000000  -0.13682900   0.00000000
 32.50000000  -0.16991276   0.00000000
 33.00000000  -0.16991276   0.00000000
 33.00000000  -0.19827328   0.00000000
 33.50000000  -0.19827328   0.00000000
 33.50000000  -0.22233848   0.00000000
 34.00000000  -0.22233848   0.00000000
 34.00000000  -0.24252229   0.00000000
 34.50000000  -0.24252229   0.00000000
 34.50000000  -0.25921128   0.00000000
 35.00000000  -0.25921128   0.00000000
 35.00000000  -0.27275393   0.00000000
 35.50000000  -0.27275393   0.00000000
 35.50000000  -0.28345237   0.00000000
 36.00000000  -0.28345237   0.00000000
 36.00000000  -0.29155634   0.00000000
 36.50000000  -0.29155634   0.00000000
 36.50000000  -0.29725905   0.00000000
 37.00000000  -0.29725905   0.00000000
 37.00000000  -0.30069446   0.00000000
 37.50000000  -0.30069446   0.00000000
 37.50000000  -0.30193570   0.00000000
 38.00000000  -0.30193570   0.00000000
 38.00000000  -0.30099431   0.00000000
 38.50000000  -0.30099431   0.00000000
 38.50000000  -0.29782024   0.00000000
 39.00000000  -0.29782024   0.00000000
 39.00000000  -0.29230235   0.00000000
 39.50000000  -0.29230235   0.00000000
 39.50000000  -0.28426969   0.00000000
 40.00000000  -0.28426969   0.00000000
 40.00000000  -0.27349365   0.00000000
 40.50000000  -0.27349365   0.00000000
 40.50000000  -0.25969136   0.00000000
 41.00000000  -0.25969136   0.00000000
 41.00000000  -0.24253053   0.00000000
 41.50000000  -0.24253053   0.00000000
 41.50000000  -0.22163638   0.00000000
 42.00000000  -0.22163638   0.00000000
 42.00000000  -0.19660070   0.00000000
 42.50000000  -0.19660070   0.00000000
 42.50000000  -0.16699354   0.00000000
 43.00000000  -0.16699354   0.00000000
 43.00000000  -0.13237748   0.00000000
 43.50000000  -0.13237748   0.00000000
 43.50000000  -0.09232441   0.00000000
 44.00000000  -0.09232441   0.00000000
 44.00000000  -0.04643457   0.00000000
 44.50000000  -0.04643457   0.00000000
 44.50000000   0.00564281   0.00000000
 45.00000000   0.00564281   0.00000000
 45.00000000   0.06418808   0.00000000
 45.50000000   0.06418808   0.00000000
 45.50000000   0.12938994   0.00000000
 46.00000000   0.12938994   0.00000000
