#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)
                  10                    0     3.49999330225832                    0
                 0.5                    0     3.49999330225832                    0
                 0.5                    0     3.49999330225832                    0
                 0.5                    0     3.49999330225832                    0
                 0.5                    0     3.49999330225832                    0
                 0.5                    0     3.49999330225832                    0
                 0.5                    0     3.49999330225832                    0
                 0.5                    0     3.49999330225832                    0
                 0.5                    0     3.49999330225832                    0
                 0.5                    0     3.49999330225832                    0
                 0.5                    0     3.49999330225832                    0
                 0.5                    0     3.49999330225832                    0
                 0.5                    0     3.49850085883588                    0
                 0.5                    0     3.49729211344832                    0
                 0.5                    0     3.49526383079087                    0
                 0.5                    0     3.49198086409772                    0
                 0.5                    0     3.48685561135102                    0
                 0.5                    0     3.47913878013764                    0
                 0.5                    0     3.46793409006344                    0
                 0.5                    0     3.45224639661276                    0
                 0.5                    0     3.43106870981151                    0
                 0.5                    0     3.40350594794579                    0
                 0.5                    0     3.36892295022564                    0
                 0.5                    0     3.32709365120111                    0
                 0.5                    0     3.27832082394463                    0
                 0.5                    0     3.22349488377399                    0
                 0.5                    0     3.16406797476447                    0
                 0.5                    0     3.10193535348938                    0
                 0.5                    0     3.03923625426187                    0
                 0.5                    0     2.97810498536472                    0
                 0.5                    0     2.92041368481375                    0
                 0.5                    0     2.86754691615434                    0
                 0.5                    0     2.82023532831091                    0
                 0.5                    0     2.77845589269557                    0
                 0.5                    0     2.74138790952348                    0
                 0.5                    0     2.70740519233953                    0
                 0.5                    0     2.67409011381881                    0
                 0.5                    0     2.63827288973075                    0
                 0.5                    0     2.59612165533674                    0
                 0.5                    0     2.54332394368336                    0
                 0.5                    0     2.47539746556226                    0
                 0.5                    0     2.38814283826708                    0
                 0.5                    0     2.27820730252912                    0
                 0.5                    0     2.14367940110727                    0
                 0.5                    0     1.98459774474133                    0
                 0.5                    0     1.80324842604097                    0
                 0.5                    0     1.60415334723359                    0
                 0.5                    0     1.39371172679784                    0
                 0.5                    0     1.17953387385418                    0
                 0.5                    0    0.969577909315068                    0
                 0.5                    0    0.771245376815377                    0
                 0.5                    0    0.590597777984066                    0
                 0.5                    0    0.431822558812824                    0
                 0.5                    0    0.297015513931715                    0
                 0.5                    0    0.186275839698273                    0
                 0.5                    0   0.0980495885037091                    0
                 0.5                    0   0.0296208734110207                    0
                 0.5                    0   -0.022357353766059                    0
                 0.5                    0  -0.0613838251796881                    0
                 0.5                    0  -0.0907393940817314                    0
                 0.5                    0   -0.113250229294831                    0
                 0.5                    0   -0.131176636844189                    0
                 0.5                    0   -0.146201311664372                    0
                 0.5                    0   -0.159483401882984                    0
                 0.5                    0   -0.171746576413253                    0
                 0.5                    0   -0.183376498410317                    0
