Model 0x1043e21e0
  size 202 out of 214
  interface=0x1043e2280
  repeats=0 at 0x1043e2214
  # d(0x7fae8c00a960) rho(0x7fae8c00a2b0) mu(0x7fae8c009c00) rough(0x7fae8c00b010)
  0 0 2.07e-06 0 3
  1 0.5 2.07e-06 0 0
  2 0.5 2.07e-06 0 0
  3 0.5 2.07e-06 0 0
  4 0.5 2.07e-06 0 0
  5 0.5 2.07e-06 0 0
  6 0.5 2.07e-06 0 0
  7 0.5 2.07e-06 0 0
  8 0.5 2.07e-06 0 0
  9 0.5 2.07e-06 0 0
  10 0.5 2.07e-06 0 0
  11 0.5 2.07e-06 0 0
  12 0.5 2.07e-06 0 0
  13 0.5 2.07e-06 0 0
  14 0.5 2.07e-06 0 0
  15 0.5 2.07e-06 0 0
  16 0.5 2.06851e-06 0 0
  17 0.5 2.0693e-06 0 0
  18 0.5 2.06968e-06 0 0
  19 0.5 2.06986e-06 0 0
  20 0.5 2.06995e-06 0 0
  21 0.5 2.07e-06 0 0
  22 0.5 2.07004e-06 0 0
  23 0.5 2.07011e-06 0 0
  24 0.5 2.07026e-06 0 0
  25 0.5 2.07058e-06 0 0
  26 0.5 2.07123e-06 0 0
  27 0.5 2.07251e-06 0 0
  28 0.5 2.07489e-06 0 0
  29 0.5 2.07915e-06 0 0
  30 0.5 2.08644e-06 0 0
  31 0.5 2.09835e-06 0 0
  32 0.5 2.11697e-06 0 0
  33 0.5 2.14481e-06 0 0
  34 0.5 2.18463e-06 0 0
  35 0.5 2.23907e-06 0 0
  36 0.5 2.31025e-06 0 0
  37 0.5 2.39926e-06 0 0
  38 0.5 2.50569e-06 0 0
  39 0.5 2.6274e-06 0 0
  40 0.5 2.76049e-06 0 0
  41 0.5 2.89966e-06 0 0
  42 0.5 3.03883e-06 0 0
  43 0.5 3.17192e-06 0 0
  44 0.5 3.29363e-06 0 0
  45 0.5 3.40006e-06 0 0
  46 0.5 3.48907e-06 0 0
  47 0.5 3.56026e-06 0 0
  48 0.5 3.61469e-06 0 0
  49 0.5 3.65449e-06 0 0
  50 0.5 3.6823e-06 0 0
  51 0.5 3.70082e-06 0 0
  52 0.5 3.71247e-06 0 0
  53 0.5 3.71916e-06 0 0
