# z rho mu
-10 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0 2.07e-06 0
0.5 2.07e-06 0
0.5 2.07e-06 0
1 2.07e-06 0
1 2.07e-06 0
1.5 2.07e-06 0
1.5 2.07e-06 0
2 2.07e-06 0
2 2.07e-06 0
2.5 2.07e-06 0
2.5 2.07e-06 0
3 2.07e-06 0
3 2.07e-06 0
3.5 2.07e-06 0
3.5 2.07e-06 0
4 2.07e-06 0
4 2.07e-06 0
4.5 2.07e-06 0
4.5 2.07e-06 0
5 2.07e-06 0
5 2.07e-06 0
5.5 2.07e-06 0
5.5 2.07e-06 0
6 2.07e-06 0
6 2.07e-06 0
6.5 2.07e-06 0
6.5 2.07e-06 0
7 2.07e-06 0
7 2.07e-06 0
7.5 2.07e-06 0
7.5 2.07e-06 0
8 2.07e-06 0
8 2.07001e-06 0
8.5 2.07001e-06 0
8.5 2.06858e-06 0
9 2.06858e-06 0
9 2.06928e-06 0
9.5 2.06928e-06 0
9.5 2.06969e-06 0
10 2.06969e-06 0
10 2.06998e-06 0
10.5 2.06998e-06 0
10.5 2.07025e-06 0
11 2.07025e-06 0
11 2.07063e-06 0
11.5 2.07063e-06 0
11.5 2.07125e-06 0
12 2.07125e-06 0
12 2.07231e-06 0
12.5 2.07231e-06 0
12.5 2.07411e-06 0
13 2.07411e-06 0
13 2.07707e-06 0
13.5 2.07707e-06 0
13.5 2.0818e-06 0
14 2.0818e-06 0
14 2.0891e-06 0
14.5 2.0891e-06 0
14.5 2.09998e-06 0
15 2.09998e-06 0
15 2.11571e-06 0
15.5 2.11571e-06 0
15.5 2.13766e-06 0
16 2.13766e-06 0
16 2.1673e-06 0
16.5 2.1673e-06 0
16.5 2.20603e-06 0
17 2.20603e-06 0
17 2.25494e-06 0
