Q R dR
0.00877296 0.056392276321628895 0.0008218266554410931
0.0100889 0.04111894904774652 0.0006036955442968419
0.0114048 0.02958655265519387 0.0004511058744812215
0.0127208 0.020973239334806045 0.0003448188836564849
0.0140367 0.01588154210187202 0.0002687661926562569
0.0153526 0.011870140592046819 0.00021306593061416325
0.0166685 0.009119195211608576 0.0001714373805285828
0.0179845 0.007095742523933758 0.00013976512226565238
0.0193004 0.005644747326983982 0.00011528668794283175
0.0206163 0.004534482124734204 9.609625313424268e-05
0.0219322 0.0036953644496882463 8.089503825952199e-05
0.0241253 0.0025010630645465235 6.184588301059947e-05
0.0263185 0.0018207597121635475 4.8210760162855704e-05
0.0285116 0.0014218420494012743 3.824477104080163e-05
0.0307047 0.0010759428172096113 3.080595589895552e-05
0.0328977 0.0007728253939156278 2.515201483622917e-05
0.0350908 0.0006151631147101045 2.078575950567118e-05
0.0372838 0.00048620213945597994 1.7367477122866798e-05
0.0394768 0.00038647796497403046 1.4658763305673872e-05
0.0416698 0.00033925660408018834 1.2489615756625732e-05
0.0438627 0.0002575972353938181 1.0740805092957147e-05
0.0473713 0.00020434985786160585 8.585532706038742e-06
0.0508798 0.00015088224899835551 6.999729300699372e-06
0.0543882 0.00012104215319779346 5.818548324934841e-06
0.0578966 9.274387325319498e-05 4.926236963114312e-06
0.0614048 7.732897055811252e-05 4.24268698026314e-06
0.0649128 6.684347622723043e-05 3.711240143011361e-06
0.0684208 6.205989023519548e-05 3.2912090054220463e-06
0.0719286 5.205704015189978e-05 2.953177129060546e-06
0.0754363 4.6723455914158714e-05 2.6757441908067007e-06
0.0789438 4.285481853815891e-05 2.4433765648677517e-06
0.0824512 4.291887599321888e-05 2.2448087740434485e-06
0.0859585 3.9689212905999646e-05 2.071803331639498e-06
0.087712 3.82498134340561e-05 1.993050062440556e-06
0.091219 3.55797554992245e-05 1.8482951611843003e-06
0.0947258 3.458349364868838e-05 1.7173672298795119e-06
0.0982324 2.9145268688979797e-05 1.5978160257100217e-06
0.101739 2.9342137252397556e-05 1.4877921474668398e-06
0.105245 2.893275626378843e-05 1.3859848683721057e-06
0.108751 2.5746581657979757e-05 1.291414819463071e-06
0.112257 2.4594269470901192e-05 1.2033780089638274e-06
0.115762 2.163673587982922e-05 1.1213812015355616e-06
0.119268 1.951424160459682e-05 1.0449818731322324e-06
0.122773 1.6971229491225178e-05 9.739184740946328e-07
0.126278 1.7164574154883468e-05 9.079220406192944e-07
0.129782 1.4580475781158252e-05 8.467954887787268e-07
0.133287 1.2720847224129977e-05 7.90313246988509e-07
0.136791 1.1394530449103882e-05 7.383249719835875e-07
0.140295 9.086721941513187e-06 6.906319093420577e-07
0.143798 7.815234647530937e-06 6.470582209390041e-07
0.147302 6.850281984371131e-06 6.073799991320096e-07
0.150805 5.7471547774935495e-06 5.713838651072355e-07
0.153432 4.5445234979161545e-06 5.467242277271416e-07
0.15781 3.1859755863861816e-06 5.096920609800794e-07
0.162187 2.014060648309611e-06 4.77254187985229e-07
0.166564 1.6260461451388539e-06 4.48944398506273e-07
0.170941 1.1515524577423563e-06 4.242415692022053e-07
0.175317 8.369419551317463e-07 4.026367468398428e-07
0.179693 2.551455564979968e-07 3.8363382506355696e-07
0.184068 -1.3306298889877294e-07 3.667837682811437e-07
0.188442 3.9811126557465017e-07 3.516810645811706e-07
0.192816 7.35430348800379e-07 3.3797224319471957e-07
0.197189 7.073952422191065e-07 3.253675765245052e-07
0.201562 5.04592541636019e-07 3.136269867147077e-07
0.205934 4.93827586925484e-07 3.0256759440671393e-07
0.210305 6.930928737145647e-07 2.920494628906578e-07
0.214676 1.1790840755987219e-06 2.819695556498174e-07
0.219046 1.2141213036427252e-06 2.7226170361509586e-07
0.223416 8.434348962693032e-07 2.628807951161474e-07
0.227785 1.0199798658062734e-06 2.5380540047883663e-07
0.232153 1.5789871952887962e-06 2.450258607847655e-07
0.23652 1.2459979908002862e-06 2.3654199354299632e-07
0.240887 1.1149423659570968e-06 2.2835715356737415e-07
0.245253 8.224826617259181e-07 2.2048131039669373e-07
0.249618 8.165040279812269e-07 2.1292247744226133e-07
0.253982 8.715943744695609e-07 2.0571051042727672e-07
0.258346 4.782960738409534e-07 1.9899128461735621e-07
