#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)
                   0     7.90298123947008                2.069                    0
     6.5824746266471     7.90298123947008       3.276044611815                    0
    120.282744874656                    0     2.37363266262697                    0
                   4                    0     2.37363266262697                    0
                 0.5                    0     2.37474952845758                    0
                 0.5                    0     2.37531253274613                    0
                 0.5                    0     2.37611815627224                    0
                 0.5                    0       2.377257403059                    0
                 0.5                    0     2.37884957368176                    0
                 0.5                    0      2.3810487278961                    0
                 0.5                    0     2.38405078700487                    0
                 0.5                    0       2.388101034073                    0
                 0.5                    0     2.39350164643028                    0
                 0.5                    0     2.40061876005655                    0
                 0.5                    0     2.40988843005241                    0
                 0.5                    0     2.42182072989389                    0
                 0.5                    0     2.43700114216477                    0
                 0.5                    0     2.45608835446858                    0
                 0.5                    0     2.47980760566469                    0
                 0.5                    0     2.50893884621055                    0
                 0.5                    0     2.54429919337143                    0
                 0.5                    0     2.58671947995919                    0
                 0.5                    0     2.63701510557865                    0
                 0.5                    0      2.6959518809381                    0
                 0.5                    0      2.7642080746577                    0
                 0.5                    0     2.84233438301491                    0
                 0.5                    0     2.93071399330165                    0
                 0.5                    0     3.02952524551429                    0
                 0.5                    0     3.13870956348306                    0
                 0.5                    0     3.25794728472005                    0
                 0.5                    0      3.3866437450991                    0
                 0.5                    0      3.5239274692746                    0
                 0.5                    0     3.66866160472274                    0
                 0.5                    0     3.81946886487727                    0
                 0.5                    0      3.9747692833923                    0
                 0.5                    0     4.13282910771994                    0
                 0.5                    0     4.29181825856565                    0
                 0.5                    0     4.44987302557664                    0
                 0.5                    0     4.60516011216443                    0
                 0.5                    0     4.75593781051819                    0
                 0.5                    0     4.90060998245508                    0
                 0.5                    0      5.0377686280363                    0
                 0.5                    0     5.16622113323941                    0
                 0.5                    0     5.28499882804862                    0
                 0.5                    0     5.39334435027957                    0
                 0.5                    0     5.49067666858808                    0
                 0.5                    0     5.57653468954426                    0
                 0.5                    0     5.65050333895271                    0
                 0.5                    0     5.71212986020502                    0
                 0.5                    0     5.76084243974155                    0
                 0.5                    0     5.79588727608412                    0
                 0.5                    0     5.81630248382346                    0
                 0.5                    0     5.82094615026646                    0
                 0.5                    0     5.80859009329719                    0
                 0.5                    0     5.77808001594348                    0
                 0.5                    0     5.72854800535256                    0
                 0.5                    0     5.65964767098464                    0
                 0.5                    0     5.57176999548989                    0
                 0.5                    0       5.466193674002                    0
                 0.5                    0     5.34513033765289                    0
                 0.5                    0     5.21164257316634                    0
                 0.5                    0     5.06943736087529                    0
                 0.5                    0     4.92256278478038                    0
                 0.5                    0     4.77505405675933                    0
                 0.5                    0     4.63058040838971                    0
                 0.5                    0     4.49213597787689                    0
                 0.5                    0      4.3617994934531                    0
                 0.5                    0     4.24056741678158                    0
                 0.5                    0     4.12825222526175                    0
                 0.5                    0     4.02343757435402                    0
                 0.5                    0     3.92349496571692                    0
                 0.5                    0     3.82468526307031                    0
                 0.5                    0     3.72238155192192                    0
                 0.5                    0     3.61144634882239                    0
                 0.5                    0     3.48677051441722                    0
                 0.5                    0     3.34393698913227                    0
                 0.5                    0     3.17992234633029                    0
                 0.5                    0     2.99371106294611                    0
                 0.5                    0     2.78668791896046                    0
                 0.5                    0     2.56270158498004                    0
                 0.5                    0     2.32775365133551                    0
                 0.5                    0     2.08934676233823                    0
                 0.5                    0     1.85560094421042                    0
                 0.5                    0      1.6342971146428                    0
                 0.5                    0     1.43201753551282                    0
                 0.5                    0     1.25352321475958                    0
                 0.5                    0     1.10144855063944                    0
                 0.5                    0    0.976322074157018                    0
                 0.5                    0    0.876858409597277                    0
                 0.5                    0    0.800425096843921                    0
                 0.5                    0    0.743574813213409                    0
                 0.5                    0    0.702546202996702                    0
                 0.5                    0    0.673666209796322                    0
                 0.5                    0    0.653622481033384                    0
                 0.5                    0    0.639606424825607                    0
                 0.5                    0    0.629349839495856                    0
                 0.5                    0    0.621088873377624                    0
                 0.5                    0    0.613489895753023                    0
