#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   2.06900000   0.00000000
  0.00000000   2.06900000   0.00000000
  0.00000000   5.04736279   0.00000000
  7.04959485   5.04736279   0.00000000
  7.04959485   2.18720045   0.00000000
129.56514982   2.18720045   0.00000000
129.56514982   2.16299654   0.00000000
130.56514982   2.16299654   0.00000000
130.56514982   2.16060898   0.00000000
131.06514982   2.16060898   0.00000000
131.06514982   2.15818147   0.00000000
131.56514982   2.15818147   0.00000000
131.56514982   2.15488354   0.00000000
132.06514982   2.15488354   0.00000000
132.06514982   2.15066340   0.00000000
132.56514982   2.15066340   0.00000000
132.56514982   2.14545709   0.00000000
133.06514982   2.14545709   0.00000000
133.06514982   2.13918899   0.00000000
133.56514982   2.13918899   0.00000000
133.56514982   2.13177254   0.00000000
134.06514982   2.13177254   0.00000000
134.06514982   2.12311103   0.00000000
134.56514982   2.12311103   0.00000000
134.56514982   2.11309868   0.00000000
135.06514982   2.11309868   0.00000000
135.06514982   2.10162170   0.00000000
135.56514982   2.10162170   0.00000000
135.56514982   2.08855977   0.00000000
136.06514982   2.08855977   0.00000000
136.06514982   2.07378753   0.00000000
136.56514982   2.07378753   0.00000000
136.56514982   2.05717635   0.00000000
137.06514982   2.05717635   0.00000000
137.06514982   2.03859624   0.00000000
137.56514982   2.03859624   0.00000000
137.56514982   2.01791806   0.00000000
138.06514982   2.01791806   0.00000000
138.06514982   1.99501571   0.00000000
138.56514982   1.99501571   0.00000000
138.56514982   1.96976863   0.00000000
139.06514982   1.96976863   0.00000000
139.06514982   1.94206434   0.00000000
139.56514982   1.94206434   0.00000000
139.56514982   1.91180105   0.00000000
140.06514982   1.91180105   0.00000000
140.06514982   1.87889034   0.00000000
140.56514982   1.87889034   0.00000000
140.56514982   1.84325981   0.00000000
141.06514982   1.84325981   0.00000000
141.06514982   1.80485567   0.00000000
141.56514982   1.80485567   0.00000000
141.56514982   1.76364517   0.00000000
142.06514982   1.76364517   0.00000000
142.06514982   1.71961893   0.00000000
142.56514982   1.71961893   0.00000000
142.56514982   1.67279291   0.00000000
143.06514982   1.67279291   0.00000000
143.06514982   1.62321020   0.00000000
143.56514982   1.62321020   0.00000000
143.56514982   1.57094237   0.00000000
144.06514982   1.57094237   0.00000000
144.06514982   1.51609044   0.00000000
144.56514982   1.51609044   0.00000000
144.56514982   1.45878544   0.00000000
145.06514982   1.45878544   0.00000000
145.06514982   1.39918838   0.00000000
145.56514982   1.39918838   0.00000000
145.56514982   1.33748989   0.00000000
146.06514982   1.33748989   0.00000000
146.06514982   1.27390916   0.00000000
146.56514982   1.27390916   0.00000000
146.56514982   1.20869247   0.00000000
147.06514982   1.20869247   0.00000000
147.06514982   1.14211121   0.00000000
147.56514982   1.14211121   0.00000000
147.56514982   1.07445935   0.00000000
148.06514982   1.07445935   0.00000000
148.06514982   1.00605056   0.00000000
148.56514982   1.00605056   0.00000000
148.56514982   0.93721482   0.00000000
149.06514982   0.93721482   0.00000000
149.06514982   0.86829480   0.00000000
149.56514982   0.86829480   0.00000000
149.56514982   0.79964189   0.00000000
150.06514982   0.79964189   0.00000000
150.06514982   0.73161205   0.00000000
150.56514982   0.73161205   0.00000000
150.56514982   0.66456152   0.00000000
151.06514982   0.66456152   0.00000000
151.06514982   0.59884250   0.00000000
151.56514982   0.59884250   0.00000000
151.56514982   0.53479884   0.00000000
152.06514982   0.53479884   0.00000000
152.06514982   0.47276185   0.00000000
152.56514982   0.47276185   0.00000000
152.56514982   0.41304627   0.00000000
153.06514982   0.41304627   0.00000000
153.06514982   0.35594651   0.00000000
153.56514982   0.35594651   0.00000000
153.56514982   0.30173318   0.00000000
154.06514982   0.30173318   0.00000000
154.06514982   0.25064996   0.00000000
154.56514982   0.25064996   0.00000000
154.56514982   0.20291090   0.00000000
155.06514982   0.20291090   0.00000000
155.06514982   0.15869815   0.00000000
155.56514982   0.15869815   0.00000000
155.56514982   0.11816011   0.00000000
156.06514982   0.11816011   0.00000000
156.06514982   0.08141007   0.00000000
156.56514982   0.08141007   0.00000000
156.56514982   0.04852537   0.00000000
157.06514982   0.04852537   0.00000000
157.06514982   0.01954693   0.00000000
157.56514982   0.01954693   0.00000000
157.56514982  -0.00552065   0.00000000
158.06514982  -0.00552065   0.00000000
158.06514982  -0.02670865   0.00000000
158.56514982  -0.02670865   0.00000000
158.56514982  -0.04408325   0.00000000
159.06514982  -0.04408325   0.00000000
159.06514982  -0.05774427   0.00000000
159.56514982  -0.05774427   0.00000000
159.56514982  -0.06782347   0.00000000
160.06514982  -0.06782347   0.00000000
160.06514982  -0.07448250   0.00000000
160.56514982  -0.07448250   0.00000000
160.56514982  -0.07791061   0.00000000
161.06514982  -0.07791061   0.00000000
