#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)
                   0     6.55227391196311                2.069                    0
    15.0475373223806     6.55227391196311     3.58848844121005                    0
    110.434460855231                    0     9.01273256267305                    0
                   1                    0     9.01273256267261                    0
                 0.5                    0     9.01132533437886                    0
                 0.5                    0     9.00987514295861                    0
                 0.5                    0     9.00787458638501                    0
                 0.5                    0     9.00526602883597                    0
                 0.5                    0     9.00197719417337                    0
                 0.5                    0     8.99792110608415                    0
                 0.5                    0     8.99299610695594                    0
                 0.5                    0     8.98708600022958                    0
                 0.5                    0     8.98006036441888                    0
                 0.5                    0     8.97177508855103                    0
                 0.5                    0     8.96207317820349                    0
                 0.5                    0     8.95078587837854                    0
                 0.5                    0     8.93773415400434                    0
                 0.5                    0     8.92273056079754                    0
                 0.5                    0     8.90558152858206                    0
                 0.5                    0     8.88609006605782                    0
                 0.5                    0     8.86405888070786                    0
                 0.5                    0     8.83929389041094                    0
                 0.5                    0     8.81160808491022                    0
                 0.5                    0     8.78082567622061                    0
                 0.5                    0     8.74678645808355                    0
                 0.5                    0     8.70935027651451                    0
                 0.5                    0     8.66840149718712                    0
                 0.5                    0     8.62385334169628                    0
                 0.5                    0     8.57565195441932                    0
                 0.5                    0     8.52378005541835                    0
                 0.5                    0     8.46826003311331                    0
                 0.5                    0     8.40915633363569                    0
                 0.5                    0     8.34657701196813                    0
                 0.5                    0     8.28067432310601                    0
                 0.5                    0     8.21164424927194                    0
                 0.5                    0     8.13972488126088                    0
                 0.5                    0     8.06519359779161                    0
                 0.5                    0     7.98836301577536                    0
                 0.5                    0      7.9095757162241                    0
                 0.5                    0     7.82919778476791                    0
                 0.5                    0     7.74761124223274                    0
                 0.5                    0     7.66520547938281                    0
                 0.5                    0     7.58236785075154                    0
                 0.5                    0     7.49947362539156                    0
                 0.5                    0      7.4168755370218                    0
                 0.5                    0     7.33489322157421                    0
                 0.5                    0     7.25380287491516                    0
                 0.5                    0     7.17382750490997                    0
                 0.5                    0      7.0951281862523                    0
                 0.5                    0     7.01779674870627                    0
                 0.5                    0     6.94185033380883                    0
                 0.5                    0      6.8672282353957                    0
                 0.5                    0     6.79379138954107                    0
                 0.5                    0     6.72132479480962                    0
                 0.5                    0     6.64954302152635                    0
                 0.5                    0     6.57809880981832                    0
                 0.5                    0      6.5065945654765                    0
                 0.5                    0     6.43459635008866                    0
                 0.5                    0     6.36164974222116                    0
                 0.5                    0     6.28729673888368                    0
                 0.5                    0     6.21109269341119                    0
                 0.5                    0     6.13262217067912                    0
                 0.5                    0     6.05151256522705                    0
                 0.5                    0      5.9674443900574                    0
                 0.5                    0      5.8801573139882                    0
                 0.5                    0     5.78945130404581                    0
                 0.5                    0     5.69518260544891                    0
                 0.5                    0     5.59725474193457                    0
                 0.5                    0       5.495605208598                    0
                 0.5                    0     5.39018901374098                    0
                 0.5                    0     5.28096065535884                    0
