#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   2.06900000   0.00000000
  0.00000000   2.06900000   0.00000000
  0.00000000   3.39893986   0.00000000
 14.49618285   3.39893986   0.00000000
 14.49618285   8.02141783   0.00000000
125.45309252   8.02141783   0.00000000
125.45309252   8.02141783   0.00000000
125.95309252   8.02141783   0.00000000
125.95309252   8.01977862   0.00000000
126.45309252   8.01977862   0.00000000
126.45309252   8.01645573   0.00000000
126.95309252   8.01645573   0.00000000
126.95309252   8.01136019   0.00000000
127.45309252   8.01136019   0.00000000
127.45309252   8.00435850   0.00000000
127.95309252   8.00435850   0.00000000
127.95309252   7.99527267   0.00000000
128.45309252   7.99527267   0.00000000
128.45309252   7.98388039   0.00000000
128.95309252   7.98388039   0.00000000
128.95309252   7.96991529   0.00000000
129.45309252   7.96991529   0.00000000
129.45309252   7.95306772   0.00000000
129.95309252   7.95306772   0.00000000
129.95309252   7.93298571   0.00000000
130.45309252   7.93298571   0.00000000
130.45309252   7.90927666   0.00000000
130.95309252   7.90927666   0.00000000
130.95309252   7.88150960   0.00000000
131.45309252   7.88150960   0.00000000
131.45309252   7.84921829   0.00000000
131.95309252   7.84921829   0.00000000
131.95309252   7.81190516   0.00000000
132.45309252   7.81190516   0.00000000
132.45309252   7.76904629   0.00000000
132.95309252   7.76904629   0.00000000
132.95309252   7.72009741   0.00000000
133.45309252   7.72009741   0.00000000
133.45309252   7.66450101   0.00000000
133.95309252   7.66450101   0.00000000
133.95309252   7.60169455   0.00000000
134.45309252   7.60169455   0.00000000
134.45309252   7.53111968   0.00000000
134.95309252   7.53111968   0.00000000
134.95309252   7.45223246   0.00000000
135.45309252   7.45223246   0.00000000
135.45309252   7.36451444   0.00000000
135.95309252   7.36451444   0.00000000
135.95309252   7.26748432   0.00000000
136.45309252   7.26748432   0.00000000
136.45309252   7.16071009   0.00000000
136.95309252   7.16071009   0.00000000
136.95309252   7.04382137   0.00000000
137.45309252   7.04382137   0.00000000
137.45309252   6.91652148   0.00000000
137.95309252   6.91652148   0.00000000
137.95309252   6.77859918   0.00000000
138.45309252   6.77859918   0.00000000
138.45309252   6.62993950   0.00000000
138.95309252   6.62993950   0.00000000
138.95309252   6.47053344   0.00000000
139.45309252   6.47053344   0.00000000
139.45309252   6.30048610   0.00000000
139.95309252   6.30048610   0.00000000
139.95309252   6.12002298   0.00000000
140.45309252   6.12002298   0.00000000
140.45309252   5.92949422   0.00000000
140.95309252   5.92949422   0.00000000
140.95309252   5.72937630   0.00000000
141.45309252   5.72937630   0.00000000
141.45309252   5.52027140   0.00000000
141.95309252   5.52027140   0.00000000
141.95309252   5.30290388   0.00000000
142.45309252   5.30290388   0.00000000
142.45309252   5.07811429   0.00000000
142.95309252   5.07811429   0.00000000
142.95309252   4.84685061   0.00000000
143.45309252   4.84685061   0.00000000
143.45309252   4.61015714   0.00000000
143.95309252   4.61015714   0.00000000
143.95309252   4.36916110   0.00000000
144.45309252   4.36916110   0.00000000
144.45309252   4.12505732   0.00000000
144.95309252   4.12505732   0.00000000
144.95309252   3.87909154   0.00000000
145.45309252   3.87909154   0.00000000
145.45309252   3.63254246   0.00000000
145.95309252   3.63254246   0.00000000
145.95309252   3.38670338   0.00000000
146.45309252   3.38670338   0.00000000
146.45309252   3.14286367   0.00000000
146.95309252   3.14286367   0.00000000
146.95309252   2.90229072   0.00000000
147.45309252   2.90229072   0.00000000
147.45309252   2.66621283   0.00000000
147.95309252   2.66621283   0.00000000
147.95309252   2.43580345   0.00000000
148.45309252   2.43580345   0.00000000
148.45309252   2.21216716   0.00000000
148.95309252   2.21216716   0.00000000
148.95309252   1.99632773   0.00000000
149.45309252   1.99632773   0.00000000
149.45309252   1.78921837   0.00000000
149.95309252   1.78921837   0.00000000
149.95309252   1.59167435   0.00000000
150.45309252   1.59167435   0.00000000
150.45309252   1.40442787   0.00000000
150.95309252   1.40442787   0.00000000
150.95309252   1.22810509   0.00000000
151.45309252   1.22810509   0.00000000
151.45309252   1.06322509   0.00000000
151.95309252   1.06322509   0.00000000
151.95309252   0.91020040   0.00000000
152.45309252   0.91020040   0.00000000
152.45309252   0.76933871   0.00000000
152.95309252   0.76933871   0.00000000
152.95309252   0.64084532   0.00000000
153.45309252   0.64084532   0.00000000
153.45309252   0.52482598   0.00000000
153.95309252   0.52482598   0.00000000
153.95309252   0.42128964   0.00000000
154.45309252   0.42128964   0.00000000
154.45309252   0.33015078   0.00000000
154.95309252   0.33015078   0.00000000
154.95309252   0.25123121   0.00000000
155.45309252   0.25123121   0.00000000
155.45309252   0.18426114   0.00000000
155.95309252   0.18426114   0.00000000
155.95309252   0.12887969   0.00000000
156.45309252   0.12887969   0.00000000
156.45309252   0.08463489   0.00000000
