# Q Iq dIq dQ fit
1.417999999999999990e-03 2.349000000000000000e+03 6.274000000000000199e+01 2.325999999999999888e-04 3.731274013240274144e+03
1.675999999999999972e-03 2.363000000000000000e+03 5.339999999999999858e+01 2.359999999999999902e-04 3.420569066645388830e+03
1.933999999999999955e-03 2.409000000000000000e+03 6.221999999999999886e+01 2.400000000000000061e-04 3.088498762721353160e+03
2.191999999999999938e-03 2.288000000000000000e+03 5.499000000000000199e+01 2.446999999999999848e-04 2.734425816262840272e+03
2.449999999999999921e-03 2.150000000000000000e+03 4.667000000000000171e+01 2.500000000000000052e-04 2.369512054761822128e+03
2.707999999999999904e-03 2.073000000000000000e+03 4.321000000000000085e+01 2.556999999999999811e-04 2.007279731572150013e+03
2.965999999999999887e-03 1.964000000000000000e+03 4.477000000000000313e+01 2.619000000000000234e-04 1.655065630729269287e+03
3.223000000000000170e-03 1.702000000000000000e+03 3.797999999999999687e+01 2.685000000000000212e-04 1.338413942283947335e+03
3.481000000000000153e-03 1.440000000000000000e+03 3.321000000000000085e+01 2.754000000000000263e-04 1.060618763541669978e+03
3.739000000000000136e-03 1.135000000000000000e+03 3.071000000000000085e+01 2.827999999999999893e-04 8.309342667467199135e+02
3.996999999999999685e-03 8.597000000000000455e+02 2.467999999999999972e+01 2.904000000000000114e-04 6.527130154493195278e+02
4.255000000000000102e-03 6.507000000000000455e+02 2.137999999999999901e+01 2.983999999999999890e-04 5.241540480149777750e+02
4.512999999999999651e-03 4.973000000000000114e+02 1.803999999999999915e+01 3.066000000000000257e-04 4.388161167287465219e+02
4.771000000000000067e-03 3.931999999999999886e+02 1.421000000000000085e+01 3.151000000000000155e-04 3.914999908998282763e+02
5.028000000000000351e-03 3.548999999999999773e+02 1.325999999999999979e+01 3.238000000000000101e-04 3.613527534236328620e+02
5.285999999999999900e-03 2.913000000000000114e+02 1.018999999999999950e+01 3.327000000000000096e-04 3.445120200847653678e+02
5.544000000000000317e-03 2.625000000000000000e+02 1.064000000000000057e+01 3.418000000000000140e-04 3.335900941418967705e+02
5.801999999999999866e-03 2.711999999999999886e+02 1.077999999999999936e+01 3.511000000000000232e-04 3.233042451591892927e+02
6.060000000000000282e-03 2.753999999999999773e+02 1.088000000000000078e+01 3.605999999999999830e-04 3.114573642126433697e+02
6.317999999999999831e-03 2.906000000000000227e+02 1.108000000000000007e+01 3.701999999999999996e-04 2.970214110781133741e+02
6.576000000000000248e-03 3.021000000000000227e+02 1.009999999999999964e+01 3.800000000000000209e-04 2.803059808496967662e+02
6.832999999999999664e-03 2.925000000000000000e+02 9.916000000000000369e+00 3.898999999999999905e-04 2.622525254769966523e+02
7.091000000000000081e-03 2.608000000000000114e+02 1.025000000000000000e+01 3.999000000000000167e-04 2.437396827859301993e+02
