# Q Iq dIq dQ fit
1.417999999999999990e-03 2.179000000000000057e+02 1.461999999999999922e+01 2.325999999999999888e-04 3.200963254864506098e+02
1.675999999999999972e-03 2.279000000000000057e+02 1.200000000000000000e+01 2.359999999999999902e-04 2.934349064174281807e+02
1.933999999999999955e-03 2.220999999999999943e+02 1.050000000000000000e+01 2.400000000000000061e-04 2.649407912997231733e+02
2.191999999999999938e-03 2.245999999999999943e+02 1.027999999999999936e+01 2.446999999999999848e-04 2.345588126722097115e+02
2.449999999999999921e-03 2.250000000000000000e+02 1.085999999999999943e+01 2.500000000000000052e-04 2.032461181748913077e+02
2.707999999999999904e-03 2.185999999999999943e+02 8.727000000000000313e+00 2.556999999999999811e-04 1.721624729033711674e+02
2.965999999999999887e-03 1.841999999999999886e+02 7.410000000000000142e+00 2.619000000000000234e-04 1.419372966989563452e+02
3.223000000000000170e-03 1.645999999999999943e+02 7.429999999999999716e+00 2.685000000000000212e-04 1.147633043438297875e+02
3.481000000000000153e-03 1.375999999999999943e+02 6.317999999999999616e+00 2.754000000000000263e-04 9.092453240199142783e+01
3.739000000000000136e-03 1.050000000000000000e+02 5.166999999999999815e+00 2.827999999999999893e-04 7.121679568491120449e+01
3.996999999999999685e-03 7.953000000000000114e+01 4.133000000000000007e+00 2.904000000000000114e-04 5.592889947726987288e+01
4.255000000000000102e-03 6.182999999999999829e+01 3.531000000000000139e+00 2.983999999999999890e-04 4.490605407327974063e+01
4.512999999999999651e-03 4.703000000000000114e+01 3.279999999999999805e+00 3.066000000000000257e-04 3.759367498184165157e+01
4.771000000000000067e-03 3.528000000000000114e+01 2.632000000000000117e+00 3.151000000000000155e-04 3.354214338112715410e+01
5.028000000000000351e-03 3.338000000000000256e+01 2.474000000000000199e+00 3.238000000000000101e-04 3.096038936037642841e+01
5.285999999999999900e-03 2.946999999999999886e+01 2.361000000000000210e+00 3.327000000000000096e-04 2.951487651492749720e+01
5.544000000000000317e-03 3.225999999999999801e+01 2.355999999999999872e+00 3.418000000000000140e-04 2.857140088631131647e+01
5.801999999999999866e-03 2.707999999999999829e+01 2.096000000000000085e+00 3.511000000000000232e-04 2.767745575826059579e+01
6.060000000000000282e-03 2.685999999999999943e+01 2.103000000000000203e+00 3.605999999999999830e-04 2.664684351914170790e+01
6.317999999999999831e-03 2.730000000000000071e+01 2.072999999999999954e+00 3.701999999999999996e-04 2.539309823570018310e+01
6.576000000000000248e-03 2.676999999999999957e+01 1.893999999999999906e+00 3.800000000000000209e-04 2.394441399827506700e+01
6.832999999999999664e-03 2.869000000000000128e+01 1.941000000000000059e+00 3.898999999999999905e-04 2.238268543133009914e+01
7.091000000000000081e-03 2.694000000000000128e+01 1.802999999999999936e+00 3.999000000000000167e-04 2.078371264240343308e+01
7.348999999999999630e-03 2.571000000000000085e+01 1.816999999999999948e+00 4.099999999999999912e-04 1.922900869012645231e+01
7.607000000000000046e-03 2.278000000000000114e+01 1.693999999999999950e+00 4.203000000000000247e-04 1.785136792770137149e+01
7.865000000000000463e-03 2.098999999999999844e+01 1.604000000000000092e+00 4.306000000000000040e-04 1.652964692974404670e+01
8.123000000000000012e-03 1.739999999999999858e+01 1.461000000000000076e+00 4.409999999999999858e-04 1.534995678629108795e+01
8.380000000000000296e-03 1.698000000000000043e+01 1.368000000000000105e+00 4.515000000000000241e-04 1.431458276539078156e+01
8.389000000000000623e-03 1.565000000000000036e+01 2.932000000000000162e-01 1.123999999999999999e-03 1.502313550880250226e+01
8.637999999999999845e-03 1.159999999999999964e+01 1.125000000000000000e+00 4.621000000000000107e-04 1.340629037401280144e+01
8.798000000000000265e-03 1.377999999999999936e+01 2.674000000000000266e-01 1.129999999999999928e-03 1.358027448905496293e+01
8.895999999999999394e-03 1.148000000000000043e+01 1.092999999999999972e+00 4.727999999999999998e-04 1.260354319843895432e+01
9.154000000000000678e-03 1.255000000000000071e+01 1.133999999999999897e+00 4.834999999999999888e-04 1.189506035772702930e+01
9.206999999999999906e-03 1.209999999999999964e+01 2.341000000000000025e-01 1.136999999999999990e-03 1.228345091824557400e+01
9.412000000000000227e-03 1.089000000000000057e+01 1.076000000000000068e+00 4.943000000000000345e-04 1.125837149042003738e+01
9.615999999999999548e-03 1.081000000000000050e+01 2.107999999999999874e-01 1.144999999999999967e-03 1.121480846210528526e+01
9.669999999999999776e-03 9.747999999999999332e+00 9.578999999999999737e-01 5.050999999999999717e-04 1.068357765908865353e+01
9.927000000000000060e-03 1.028999999999999915e+01 1.060000000000000053e+00 5.159999999999999656e-04 1.018135823774197846e+01
1.003000000000000072e-02 1.017999999999999972e+01 2.192000000000000060e-01 1.152000000000000029e-03 1.024022799083266655e+01
1.018999999999999941e-02 9.044999999999999929e+00 9.935000000000000497e-01 5.270000000000000162e-04 9.670815299645930452e+00
1.043000000000000003e-02 9.349000000000000199e+00 1.756000000000000061e-01 1.160000000000000007e-03 9.454093519946182411e+00
1.043999999999999963e-02 8.621000000000000441e+00 9.737999999999999989e-01 5.379999999999999583e-04 9.232940493922653147e+00
1.069999999999999944e-02 8.566000000000000725e+00 8.790000000000000036e-01 5.490999999999999570e-04 8.780805139327821252e+00
1.084000000000000068e-02 8.928000000000000824e+00 1.781999999999999973e-01 1.167999999999999984e-03 8.703593137252301659e+00
1.095999999999999926e-02 1.039000000000000057e+01 9.747999999999999998e-01 5.601999999999999558e-04 8.356494159153452728e+00
1.124999999999999958e-02 8.300000000000000711e+00 1.643000000000000016e-01 1.175999999999999962e-03 8.059384817941111834e+00
1.129999999999999928e-02 8.426000000000000156e+00 1.524000000000000077e-01 2.177000000000000116e-03 8.666240421742688937e+00
1.166000000000000023e-02 7.899000000000000021e+00 1.691000000000000003e-01 1.185000000000000072e-03 7.458923764424291392e+00
1.207000000000000087e-02 7.076999999999999957e+00 1.585000000000000020e-01 1.193999999999999966e-03 6.927943747079138959e+00
1.247999999999999977e-02 6.608999999999999986e+00 1.509000000000000064e-01 1.203000000000000076e-03 6.438014980982821989e+00
1.263000000000000060e-02 6.668000000000000149e+00 1.088999999999999968e-01 2.188999999999999974e-03 6.712668323256579583e+00
1.289000000000000042e-02 6.248999999999999666e+00 1.381000000000000005e-01 1.211999999999999970e-03 6.011831502382323222e+00
1.329999999999999932e-02 5.754999999999999893e+00 1.275999999999999912e-01 1.221999999999999996e-03 5.617536453526041917e+00
1.370999999999999996e-02 5.357999999999999652e+00 1.199000000000000066e-01 1.232000000000000022e-03 5.275230877916079919e+00
1.396000000000000019e-02 5.423000000000000043e+00 8.445999999999999341e-02 2.204999999999999929e-03 5.363850875365390181e+00
1.412000000000000061e-02 4.942999999999999616e+00 1.226000000000000006e-01 1.242000000000000048e-03 4.956832578246968879e+00
1.452999999999999951e-02 4.915000000000000036e+00 1.074999999999999983e-01 1.252000000000000075e-03 4.673826623369899735e+00
1.494000000000000015e-02 4.511000000000000121e+00 1.165999999999999953e-01 1.262000000000000101e-03 4.414414498617110993e+00
1.528999999999999977e-02 4.578999999999999737e+00 7.158000000000000473e-02 2.222000000000000017e-03 4.385738424572419802e+00
1.533999999999999947e-02 4.495000000000000107e+00 1.113999999999999990e-01 1.273000000000000043e-03 4.179094136832165240e+00
1.575000000000000011e-02 4.147000000000000242e+00 1.042000000000000010e-01 1.283999999999999985e-03 3.958699957287172833e+00
1.616000000000000075e-02 3.919999999999999929e+00 9.500000000000000111e-02 1.294999999999999927e-03 3.743955257404235848e+00
1.657000000000000139e-02 3.907000000000000028e+00 8.512999999999999734e-02 1.307000000000000002e-03 3.547681642447910288e+00
1.661999999999999936e-02 3.814999999999999947e+00 5.517999999999999988e-02 2.242000000000000069e-03 3.649778886400920630e+00
1.697999999999999857e-02 3.431999999999999940e+00 9.221000000000000030e-02 1.317999999999999944e-03 3.374511816952207699e+00
1.738999999999999921e-02 3.258999999999999897e+00 9.017999999999999627e-02 1.330000000000000019e-03 3.201118445877504826e+00
1.779999999999999985e-02 3.225000000000000089e+00 8.512000000000000122e-02 1.340999999999999961e-03 3.044574298193677198e+00
1.795000000000000068e-02 3.278000000000000025e+00 4.538999999999999979e-02 2.262999999999999821e-03 3.084175181931437582e+00
1.821000000000000049e-02 3.178999999999999826e+00 9.565999999999999504e-02 1.353999999999999952e-03 2.897316309639969667e+00
1.862000000000000113e-02 3.109999999999999876e+00 8.616999999999999660e-02 1.366000000000000027e-03 2.760309845649223881e+00
1.902999999999999831e-02 2.700000000000000178e+00 7.764999999999999680e-02 1.378000000000000102e-03 2.633905728999126339e+00
1.927999999999999853e-02 2.838000000000000078e+00 4.390999999999999764e-02 2.285999999999999838e-03 2.634002935025476333e+00
1.943999999999999895e-02 2.810999999999999943e+00 7.728000000000000147e-02 1.391000000000000092e-03 2.516107247615229969e+00
